,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1962-01,, 
1,1962-02,, 
2,1962-03,, 
3,1962-04,, 
4,1962-05,, 
5,1962-06,12.8,=
6,1962-07,16.65,=
7,1962-08,12.95,=
8,1962-09,11.35,=
9,1962-10,9.5,=
10,1962-11,3.5,=
11,1962-12,-0.9,=
12,1963-01,-3.7,=
13,1963-02,-1.55,=
14,1963-03,0.85,=
15,1963-04,6.7,=
16,1963-05,14.95,=
17,1963-06,18.04,=
18,1963-07,16.1,=
19,1963-08,16.95,=
20,1963-09,11.2,=
21,1963-10,8.5,=
22,1963-11,4.19,=
23,1963-12,-0.69,=
24,1964-01,1.25,=
25,1964-02,0.15,=
26,1964-03,2.0,=
27,1964-04,6.55,=
28,1964-05,11.95,=
29,1964-06,10.45,=
30,1964-07,14.45,=
31,1964-08,14.5,=
32,1964-09,10.5,=
33,1964-10,6.2,=
34,1964-11,2.55,=
35,1964-12,1.3,=
36,1965-01,-0.15,=
37,1965-02,-0.4,=
38,1965-03,2.09,=
39,1965-04,7.85,=
40,1965-05,11.15,=
41,1965-06,15.75,=
42,1965-07,17.2,=
43,1965-08,15.1,=
44,1965-09,13.4,=
45,1965-10,9.2,=
46,1965-11,0.9,=
47,1965-12,-1.09,=
48,1966-01,-1.3,=
49,1966-02,-3.3,=
50,1966-03,1.9,=
51,1966-04,4.1,=
52,1966-05,10.85,=
53,1966-06,18.45,=
54,1966-07,16.95,=
55,1966-08,15.15,=
56,1966-09,9.95,=
57,1966-10,7.3,=
58,1966-11,1.84,=
59,1966-12,3.05,=
60,1967-01,0.15,=
61,1967-02,2.2,=
62,1967-03,4.44,=
63,1967-04,4.85,=
64,1967-05,11.15,=
65,1967-06,14.29,=
66,1967-07,16.15,=
67,1967-08,14.8,=
68,1967-09,12.29,=
69,1967-10,6.3,=
70,1967-11,5.9,=
71,1967-12,2.6,=
72,1968-01,-2.2,=
73,1968-02,-1.75,=
74,1968-03,1.75,=
75,1968-04,6.39,=
76,1968-05,11.2,=
77,1968-06,15.8,=
78,1968-07,17.65,=
79,1968-08,17.15,=
80,1968-09,13.6,=
81,1968-10,6.8,=
82,1968-11,2.5,=
83,1968-12,-0.9,=
84,1969-01,0.55,=
85,1969-02,-2.99,=
86,1969-03,-0.45,=
87,1969-04,7.7,=
88,1969-05,13.55,=
89,1969-06,16.45,=
90,1969-07,16.29,=
91,1969-08,20.0,=
92,1969-09,11.4,=
93,1969-10,9.15,=
94,1969-11,1.0,=
95,1969-12,-1.34,=
96,1970-01,-2.5,=
97,1970-02,-2.94,=
98,1970-03,-0.19,=
99,1970-04,2.75,=
100,1970-05,11.35,=
101,1970-06,16.54,=
102,1970-07,16.29,=
103,1970-08,16.0,=
104,1970-09,10.3,=
105,1970-10,6.55,=
106,1970-11,3.9,=
107,1970-12,1.34,=
108,1971-01,0.19,=
109,1971-02,1.55,=
110,1971-03,-0.25,=
111,1971-04,6.55,=
112,1971-05,12.55,=
113,1971-06,15.25,=
114,1971-07,17.35,=
115,1971-08,16.6,=
116,1971-09,11.95,=
117,1971-10,8.0,=
118,1971-11,3.1,=
119,1971-12,4.35,=
120,1972-01,-0.2,=
121,1972-02,1.4,=
122,1972-03,4.19,=
123,1972-04,5.15,=
124,1972-05,12.3,=
125,1972-06,14.35,=
126,1972-07,17.54,=
127,1972-08,14.15,=
128,1972-09,10.8,=
129,1972-10,7.45,=
130,1972-11,2.5,=
131,1972-12,4.64,=
132,1973-01,4.6,=
133,1973-02,1.5,=
134,1973-03,5.5,=
135,1973-04,6.0,=
136,1973-05,11.7,=
137,1973-06,14.55,=
138,1973-07,18.09,=
139,1973-08,13.75,=
140,1973-09,11.95,=
141,1973-10,5.6,=
142,1973-11,1.59,=
143,1973-12,0.29,=
144,1974-01,4.3,=
145,1974-02,0.85,=
146,1974-03,4.3,=
147,1974-04,6.85,=
148,1974-05,10.7,=
149,1974-06,15.4,=
150,1974-07,16.15,=
151,1974-08,15.0,=
152,1974-09,14.35,=
153,1974-10,6.25,=
154,1974-11,3.4,=
155,1974-12,3.35,=
156,1975-01,4.44,=
157,1975-02,0.5,=
158,1975-03,2.25,=
159,1975-04,4.44,=
160,1975-05,11.6,=
161,1975-06,15.4,=
162,1975-07,18.75,=
163,1975-08,19.04,=
164,1975-09,10.85,=
165,1975-10,8.5,=
166,1975-11,5.45,=
167,1975-12,4.8,=
168,1976-01,-0.5,=
169,1976-02,0.84,=
170,1976-03,0.94,=
171,1976-04,6.14,=
172,1976-05,11.4,=
173,1976-06,14.15,=
174,1976-07,17.04,=
175,1976-08,16.25,=
176,1976-09,9.89,=
177,1976-10,6.9,=
178,1976-11,4.0,=
179,1976-12,-1.25,=
180,1977-01,0.34,=
181,1977-02,-1.45,=
182,1977-03,4.19,=
183,1977-04,2.85,=
184,1977-05,12.95,=
185,1977-06,15.75,=
186,1977-07,18.5,=
187,1977-08,15.9,=
188,1977-09,10.35,=
189,1977-10,8.15,=
190,1977-11,4.05,=
191,1977-12,2.39,=
