,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-14.17,r
1,1950-02,-10.77,r
2,1950-03,-5.06,r
3,1950-04,1.63,r
4,1950-05,5.12,r
5,1950-06,9.8,r
6,1950-07,11.42,r
7,1950-08,13.39,r
8,1950-09,8.54,r
9,1950-10,4.67,r
10,1950-11,-2.24,r
11,1950-12,-5.12,r
12,1951-01,-12.41,r
13,1951-02,-10.02,r
14,1951-03,-7.34,r
15,1951-04,0.8,r
16,1951-05,2.41,r
17,1951-06,9.38,r
18,1951-07,12.88,r
19,1951-08,16.01,r
20,1951-09,7.97,r
21,1951-10,4.53,r
22,1951-11,-5.38,r
23,1951-12,-6.57,r
24,1952-01,-7.02,r
25,1952-02,-6.82,r
26,1952-03,-11.74,r
27,1952-04,-1.47,r
28,1952-05,2.12,r
29,1952-06,11.81,r
30,1952-07,15.74,r
31,1952-08,10.76,r
32,1952-09,7.15,r
33,1952-10,-0.63,r
34,1952-11,-4.44,r
35,1952-12,-8.91,r
36,1953-01,-10.09,r
37,1953-02,-16.45,r
38,1953-03,-5.86,r
39,1953-04,0.28,r
40,1953-05,3.36,r
41,1953-06,14.78,r
42,1953-07,13.59,r
43,1953-08,14.02,r
44,1953-09,6.12,r
45,1953-10,2.7,r
46,1953-11,-0.58,r
47,1953-12,-2.31,r
48,1954-01,-8.18,r
49,1954-02,-12.12,r
50,1954-03,-4.56,r
51,1954-04,-0.42,r
52,1954-05,6.12,r
53,1954-06,11.31,r
54,1954-07,17.61,r
55,1954-08,12.72,r
56,1954-09,8.52,r
57,1954-10,1.1,r
58,1954-11,-4.56,r
59,1954-12,-1.69,r
60,1955-01,-10.39,r
61,1955-02,-15.23,r
62,1955-03,-11.99,r
63,1955-04,-3.96,r
64,1955-05,2.5,r
65,1955-06,8.31,r
66,1955-07,13.68,r
67,1955-08,13.01,r
68,1955-09,7.78,r
69,1955-10,1.96,r
70,1955-11,-8.58,r
71,1955-12,-17.51,r
