,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-13.9,""""
1,1950-02,-25.1,""""
2,1950-03,-29.5,""""
3,1950-04,-21.6,""""
4,1950-05,-10.9,""""
5,1950-06,2.6,""""
6,1950-07,7.7,""""
7,1950-08,7.3,""""
8,1950-09,-3.3,""""
9,1950-10,-14.6,""""
10,1950-11,-21.7,""""
11,1950-12,, 
12,1951-01,-31.6,""""
13,1951-02,-36.09,""""
14,1951-03,-22.6,""""
15,1951-04,-18.79,""""
16,1951-05,-2.6,""""
17,1951-06,6.8,""""
18,1951-07,10.2,""""
19,1951-08,6.4,""""
20,1951-09,2.5,""""
21,1951-10,-7.5,""""
22,1951-11,-26.3,""""
23,1951-12,-28.7,""""
24,1952-01,-32.2,""""
25,1952-02,-39.09,""""
26,1952-03,-28.1,""""
27,1952-04,-18.0,""""
28,1952-05,-6.1,""""
29,1952-06,4.0,""""
30,1952-07,12.6,""""
31,1952-08,10.4,""""
32,1952-09,3.1,""""
33,1952-10,-10.3,""""
34,1952-11,-26.6,""""
35,1952-12,-33.5,""""
36,1953-01,-32.4,""""
37,1953-02,-36.7,""""
38,1953-03,-32.7,""""
39,1953-04,-18.6,""""
40,1953-05,-3.6,""""
41,1953-06,9.0,""""
42,1953-07,13.3,""""
43,1953-08,9.6,""""
44,1953-09,1.9,""""
45,1953-10,-10.8,""""
46,1953-11,-22.4,""""
47,1953-12,-38.3,""""
48,1954-01,-27.0,""""
49,1954-02,-31.9,""""
50,1954-03,-28.2,""""
51,1954-04,, 
52,1954-05,, 
53,1954-06,, 
54,1954-07,10.5,""""
55,1954-08,5.6,""""
56,1954-09,0.3,""""
57,1954-10,-13.8,""""
58,1954-11,-24.3,""""
59,1954-12,-37.4,""""
60,1955-01,-36.09,""""
61,1955-02,-33.4,""""
62,1955-03,-28.5,""""
63,1955-04,-18.6,""""
64,1955-05,-5.6,""""
65,1955-06,5.5,""""
66,1955-07,9.2,""""
67,1955-08,8.1,""""
68,1955-09,0.1,""""
69,1955-10,-17.79,""""
70,1955-11,-24.9,""""
71,1955-12,-19.2,""""
72,1956-01,-24.4,""""
73,1956-02,-32.09,""""
74,1956-03,-28.6,""""
75,1956-04,-16.29,""""
76,1956-05,-3.5,""""
77,1956-06,8.8,""""
