,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-17.57,E
1,1950-02,-10.92,E
2,1950-03,-5.2,E
3,1950-04,0.92,E
4,1950-05,5.2,E
5,1950-06,11.69,E
6,1950-07,13.06,E
7,1950-08,, 
8,1950-09,7.62,E
9,1950-10,2.1,E
10,1950-11,-5.99,E
11,1950-12,-12.46,E
12,1951-01,-18.35,E
13,1951-02,-12.81,E
14,1951-03,-10.65,E
15,1951-04,-0.6,E
16,1951-05,3.19,E
17,1951-06,9.06,E
18,1951-07,11.6,E
19,1951-08,14.2,E
20,1951-09,8.66,E
21,1951-10,3.26,E
22,1951-11,-7.51,E
23,1951-12,-8.06,E
24,1952-01,-12.28,E
25,1952-02,-11.88,E
26,1952-03,-10.11,E
27,1952-04,1.07,E
28,1952-05,5.18,E
29,1952-06,10.32,E
30,1952-07,12.85,E
31,1952-08,9.6,E
32,1952-09,5.3,E
33,1952-10,-1.8,E
34,1952-11,-8.12,E
35,1952-12,-13.31,E
36,1953-01,-11.94,E
37,1953-02,-14.66,E
38,1953-03,-1.15,E
39,1953-04,0.83,E
40,1953-05,6.23,E
41,1953-06,, 
42,1953-07,, 
43,1953-08,11.51,E
44,1953-09,, 
45,1953-10,3.95,E
46,1953-11,-1.07,E
47,1953-12,-4.4,E
48,1954-01,-11.73,E
49,1954-02,-13.52,E
50,1954-03,-5.41,E
51,1954-04,-1.07,E
52,1954-05,8.37,E
53,1954-06,11.5,E
54,1954-07,, 
55,1954-08,12.53,E
56,1954-09,7.17,E
57,1954-10,-0.2,E
58,1954-11,-6.82,E
59,1954-12,-5.29,E
60,1955-01,-13.32,E
61,1955-02,-12.23,E
62,1955-03,-7.56,E
63,1955-04,, 
64,1955-05,, 
65,1955-06,, 
66,1955-07,, 
67,1955-08,, 
68,1955-09,, 
69,1955-10,, 
70,1955-11,, 
71,1955-12,, 
72,1957-01,, 
73,1957-02,-11.98,E
74,1957-03,-8.28,E
75,1957-04,0.22,E
76,1957-05,4.95,E
77,1957-06,9.11,E
78,1957-07,15.87,E
79,1957-08,11.61,E
80,1957-09,6.5,E
81,1957-10,0.93,E
82,1957-11,-3.77,E
83,1957-12,-8.7,E
84,1958-01,-16.45,E
85,1958-02,-15.41,E
86,1958-03,-10.99,E
87,1958-04,-1.51,E
88,1958-05,4.54,E
89,1958-06,10.68,E
90,1958-07,12.67,E
91,1958-08,13.48,E
92,1958-09,8.63,E
93,1958-10,3.16,E
94,1958-11,0.25,E
95,1958-12,-13.85,E
96,1959-01,-15.38,E
97,1959-02,-3.68,E
98,1959-03,-1.29,E
99,1959-04,0.54,E
100,1959-05,6.56,E
101,1959-06,12.04,E
102,1959-07,14.62,E
103,1959-08,13.16,E
104,1959-09,7.22,E
105,1959-10,2.61,E
106,1959-11,-4.19,E
107,1959-12,-8.59,E
108,1960-01,-15.03,E
109,1960-02,-15.86,E
110,1960-03,-6.49,E
111,1960-04,, 
112,1960-05,7.84,E
113,1960-06,13.44,E
114,1960-07,15.52,E
115,1960-08,12.93,E
116,1960-09,7.92,E
117,1960-10,-4.03,E
118,1960-11,-6.87,E
119,1960-12,, 
120,1961-01,-14.05,E
121,1961-02,-5.91,E
122,1961-03,-3.6,E
123,1961-04,-2.45,E
124,1961-05,5.21,E
125,1961-06,12.96,E
126,1961-07,14.4,E
127,1961-08,11.94,E
128,1961-09,8.35,E
129,1961-10,6.08,E
