,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-15.79,E
1,1950-02,-9.92,E
2,1950-03,-3.72,E
3,1950-04,1.6,E
4,1950-05,6.2,E
5,1950-06,11.19,E
6,1950-07,13.6,E
7,1950-08,14.08,E
8,1950-09,8.24,E
9,1950-10,3.04,E
10,1950-11,-3.6,E
11,1950-12,-11.0,E
12,1951-01,-16.91,E
13,1951-02,-8.68,E
14,1951-03,-9.73,E
15,1951-04,-0.09,E
16,1951-05,3.83,E
17,1951-06,9.38,E
18,1951-07,12.0,E
19,1951-08,14.76,E
20,1951-09,9.56,E
21,1951-10,4.07,E
22,1951-11,-4.26,E
23,1951-12,-7.41,E
24,1952-01,-13.23,E
25,1952-02,-9.47,E
26,1952-03,-8.88,E
27,1952-04,2.21,E
28,1952-05,5.95,E
29,1952-06,10.39,E
30,1952-07,13.59,E
31,1952-08,10.77,E
32,1952-09,5.86,E
33,1952-10,-0.2,E
34,1952-11,-7.12,E
35,1952-12,-11.46,E
36,1953-01,-13.45,E
37,1953-02,-13.26,E
38,1953-03,0.33,E
39,1953-04,1.79,E
40,1953-05,6.85,E
41,1953-06,15.85,E
42,1953-07,14.43,E
43,1953-08,13.51,E
44,1953-09,7.54,E
45,1953-10,4.13,E
46,1953-11,-1.16,E
47,1953-12,-3.55,E
48,1954-01,-11.97,E
49,1954-02,-13.44,E
50,1954-03,-5.52,E
51,1954-04,-0.49,E
52,1954-05,8.35,E
53,1954-06,11.1,E
54,1954-07,14.78,E
55,1954-08,12.79,E
56,1954-09,7.29,E
57,1954-10,0.01,E
58,1954-11,-5.81,E
59,1954-12,-4.43,E
60,1955-01,-13.34,E
61,1955-02,-12.79,E
62,1955-03,-7.52,E
63,1955-04,-3.34,E
64,1955-05,2.86,E
65,1955-06,8.96,E
66,1955-07,15.46,E
67,1955-08,13.97,E
68,1955-09,9.38,E
69,1955-10,0.35,E
70,1955-11,-5.17,E
71,1955-12,-16.04,E
72,1956-01,-14.71,E
73,1956-02,-14.17,E
74,1956-03,-5.07,E
75,1956-04,-2.45,E
76,1956-05,6.26,E
77,1956-06,10.92,E
78,1956-07,14.4,E
79,1956-08,10.75,E
80,1956-09,7.59,E
81,1956-10,1.4,E
82,1956-11,-10.05,E
83,1956-12,, 
84,1969-01,, 
85,1969-02,, 
86,1969-03,, 
87,1969-04,, 
88,1969-05,, 
89,1969-06,, 
90,1969-07,, 
91,1969-08,, 
92,1969-09,, 
93,1969-10,, 
94,1969-11,-8.03,E
95,1969-12,-12.09,E
96,1970-01,-16.11,E
97,1970-02,-18.14,E
98,1970-03,-4.52,E
99,1970-04,-0.9,E
100,1970-05,6.96,E
101,1970-06,15.23,E
102,1970-07,13.19,E
103,1970-08,12.13,E
104,1970-09,7.09,E
