,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-17.25,E
1,1950-02,-15.41,E
2,1950-03,-8.97,E
3,1950-04,-1.2,E
4,1950-05,2.48,E
5,1950-06,11.03,E
6,1950-07,12.79,E
7,1950-08,13.16,E
8,1950-09,6.11,E
9,1950-10,0.69,E
10,1950-11,-9.92,E
11,1950-12,-11.49,E
12,1951-01,-18.05,E
13,1951-02,-14.77,E
14,1951-03,-12.0,E
15,1951-04,-3.17,E
16,1951-05,-0.42,E
17,1951-06,6.7,E
18,1951-07,10.31,E
19,1951-08,13.08,E
20,1951-09,6.55,E
21,1951-10,2.8,E
22,1951-11,-12.12,E
23,1951-12,-11.86,E
24,1952-01,-12.82,E
25,1952-02,-13.38,E
26,1952-03,-14.06,E
27,1952-04,-2.12,E
28,1952-05,1.7,E
29,1952-06,10.52,E
30,1952-07,12.45,E
31,1952-08,7.94,E
32,1952-09,4.22,E
33,1952-10,-3.47,E
34,1952-11,-9.6,E
35,1952-12,-16.5,E
36,1953-01,-13.07,E
37,1953-02,-18.13,E
38,1953-03,-6.35,E
39,1953-04,-2.41,E
40,1953-05,3.15,E
41,1953-06,14.87,E
42,1953-07,12.93,E
43,1953-08,10.84,E
44,1953-09,4.31,E
45,1953-10,0.89,E
46,1953-11,-3.83,E
47,1953-12,-6.57,E
48,1954-01,-12.97,E
49,1954-02,-17.6,E
50,1954-03,-8.03,E
51,1954-04,-3.5,E
52,1954-05,5.37,E
53,1954-06,8.86,E
54,1954-07,14.58,E
55,1954-08,10.91,E
56,1954-09,5.49,E
57,1954-10,-3.14,E
58,1954-11,-8.69,E
59,1954-12,-7.65,E
60,1955-01,-14.93,E
61,1955-02,-17.93,E
62,1955-03,-12.34,E
63,1955-04,-7.15,E
64,1955-05,0.16,E
65,1955-06,5.88,E
66,1955-07,13.06,E
67,1955-08,11.45,E
68,1955-09,6.4,E
69,1955-10,-3.19,E
70,1955-11,-13.53,E
71,1955-12,-21.21,E
72,1956-01,-15.34,E
73,1956-02,-17.99,E
74,1956-03,-8.52,E
75,1956-04,-7.91,E
76,1956-05,3.69,E
77,1956-06,10.39,E
78,1956-07,12.59,E
79,1956-08,8.63,E
80,1956-09,4.18,E
81,1956-10,-4.81,E
82,1956-11,-13.6,E
83,1956-12,-14.48,E
84,1957-01,-12.4,E
85,1957-02,-13.24,E
86,1957-03,-10.61,E
87,1957-04,-2.13,E
88,1957-05,1.61,E
89,1957-06,7.73,E
90,1957-07,15.44,E
91,1957-08,10.87,E
92,1957-09,4.81,E
93,1957-10,-2.98,E
94,1957-11,-5.67,E
95,1957-12,-14.0,E
96,1958-01,-18.36,E
97,1958-02,-14.31,E
98,1958-03,-11.7,E
99,1958-04,-5.37,E
100,1958-05,0.43,E
101,1958-06,8.49,E
102,1958-07,11.06,E
103,1958-08,12.21,E
104,1958-09,5.8,E
105,1958-10,-1.06,E
106,1958-11,-3.7,E
107,1958-12,-16.8,E
108,1959-01,-14.81,E
109,1959-02,-4.56,E
110,1959-03,-4.48,E
111,1959-04,-5.36,E
112,1959-05,4.0,E
113,1959-06,10.47,E
114,1959-07,13.41,E
115,1959-08,10.94,E
116,1959-09,4.23,E
117,1959-10,-0.86,E
118,1959-11,-6.31,E
119,1959-12,-10.71,E
120,1960-01,-16.62,E
121,1960-02,-16.92,E
122,1960-03,-6.18,E
123,1960-04,-1.66,E
124,1960-05,6.28,E
125,1960-06,11.42,E
126,1960-07,16.46,E
127,1960-08,11.27,E
128,1960-09,5.71,E
129,1960-10,-4.81,E
130,1960-11,-8.48,E
131,1960-12,-13.23,E
132,1961-01,-14.92,E
133,1961-02,-11.91,E
134,1961-03,-8.35,E
135,1961-04,-6.55,E
136,1961-05,2.67,E
137,1961-06,11.91,E
138,1961-07,14.5,E
139,1961-08,11.26,E
140,1961-09,5.51,E
141,1961-10,3.94,E
142,1961-11,-4.86,E
143,1961-12,-17.4,E
144,1962-01,-15.62,E
145,1962-02,-12.85,E
146,1962-03,-16.8,E
147,1962-04,-2.06,E
148,1962-05,2.79,E
149,1962-06,8.67,E
150,1962-07,10.54,E
151,1962-08,9.08,E
152,1962-09,4.87,E
153,1962-10,-0.48,E
154,1962-11,-6.14,E
155,1962-12,-17.75,E
156,1963-01,-13.43,E
157,1963-02,-16.48,E
158,1963-03,-12.93,E
159,1963-04,-3.03,E
160,1963-05,8.42,E
161,1963-06,8.77,E
162,1963-07,11.2,E
163,1963-08,11.71,E
164,1963-09,7.76,E
165,1963-10,-0.28,E
166,1963-11,-9.33,E
167,1963-12,-10.56,E
168,1964-01,-5.69,E
169,1964-02,-15.08,E
170,1964-03,-9.81,E
171,1964-04,-4.38,E
172,1964-05,4.13,E
173,1964-06,8.89,E
174,1964-07,12.78,E
175,1964-08,10.03,E
176,1964-09,3.55,E
177,1964-10,2.04,E
178,1964-11,-7.18,E
179,1964-12,-10.76,E
180,1965-01,-15.34,E
181,1965-02,-11.81,E
182,1965-03,-12.58,E
183,1965-04,-3.27,E
184,1965-05,-0.64,E
185,1965-06,9.21,E
186,1965-07,, 
187,1965-08,9.48,E
188,1965-09,6.18,E
189,1965-10,-1.39,E
190,1965-11,-11.77,E
191,1965-12,-18.41,E
192,1966-01,-21.6,E
193,1966-02,-24.46,E
194,1966-03,-18.22,E
195,1966-04,-7.28,E
196,1966-05,1.44,E
197,1966-06,12.21,E
198,1966-07,12.77,E
199,1966-08,9.61,E
200,1966-09,1.81,E
