,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1975-01,, 
1,1975-02,, 
2,1975-03,, 
3,1975-04,, 
4,1975-05,, 
5,1975-06,, 
6,1975-07,, 
7,1975-08,, 
8,1975-09,7.14,0
9,1975-10,-5.47,0
10,1975-11,-21.31,0
11,1975-12,-25.24,0
12,1976-01,-22.96,0
13,1976-02,-23.47,0
14,1976-03,-10.9,0
15,1976-04,1.63,0
16,1976-05,7.36,0
17,1976-06,14.53,0
18,1976-07,16.01,0
19,1976-08,15.31,0
20,1976-09,8.36,0
21,1976-10,-4.43,0
22,1976-11,-6.88,0
23,1976-12,-16.98,0
24,1977-01,-8.67,0
25,1977-02,-9.22,0
26,1977-03,-13.54,0
27,1977-04,-2.09,0
28,1977-05,8.16,0
29,1977-06,14.62,0
30,1977-07,16.47,0
31,1977-08,16.59,0
32,1977-09,7.97,0
33,1977-10,-3.09,0
34,1977-11,-20.88,0
35,1977-12,-23.86,0
36,1978-01,-13.72,0
37,1978-02,-10.32,0
38,1978-03,-10.05,0
39,1978-04,0.38,0
40,1978-05,9.45,0
41,1978-06,12.9,0
42,1978-07,17.02,0
43,1978-08,14.98,0
44,1978-09,8.2,0
45,1978-10,-4.52,0
46,1978-11,-10.74,0
47,1978-12,-13.72,0
48,1979-01,-15.65,0
49,1979-02,-29.08,0
50,1979-03,-11.12,0
51,1979-04,-0.95,0
52,1979-05,9.8,0
53,1979-06,13.92,0
54,1979-07,15.94,0
55,1979-08,15.56,0
56,1979-09,8.23,0
57,1979-10,0.33,0
58,1979-11,-5.06,0
59,1979-12,-23.18,0
60,1980-01,-24.39,0
61,1980-02,-9.09,0
62,1980-03,-7.03,0
63,1980-04,1.79,0
64,1980-05,9.89,0
65,1980-06,13.29,0
66,1980-07,15.89,0
67,1980-08,12.46,0
68,1980-09,5.57,0
69,1980-10,-0.4,0
70,1980-11,-12.33,0
71,1980-12,-30.6,0
72,1981-01,-4.32,0
73,1981-02,-14.47,0
74,1981-03,-1.02,0
75,1981-04,-0.73,0
76,1981-05,11.5,0
77,1981-06,13.01,0
78,1981-07,14.28,0
79,1981-08,12.16,0
80,1981-09,5.92,0
81,1981-10,-1.93,0
82,1981-11,-11.57,0
83,1981-12,, 
84,1982-01,-24.57,0
85,1982-02,-19.63,0
86,1982-03,-10.77,0
87,1982-04,-4.14,0
88,1982-05,, 
89,1982-06,, 
90,1982-07,16.28,0
91,1982-08,12.35,0
92,1982-09,8.68,0
93,1982-10,-8.8,0
94,1982-11,-14.81,0
95,1982-12,-16.84,0
96,1983-01,-22.33,0
97,1983-02,-15.08,0
98,1983-03,-12.08,0
99,1983-04,1.46,0
100,1983-05,8.68,0
101,1983-06,14.94,0
102,1983-07,16.24,0
103,1983-08,11.65,0
104,1983-09,4.04,0
105,1983-10,-5.98,0
106,1983-11,-9.53,0
107,1983-12,-17.86,0
108,1984-01,-20.04,0
109,1984-02,-26.16,0
110,1984-03,-7.19,0
111,1984-04,-1.79,0
112,1984-05,7.38,0
113,1984-06,14.8,0
114,1984-07,14.98,0
115,1984-08,11.5,0
116,1984-09,7.42,0
117,1984-10,-4.2,0
118,1984-11,-17.61,0
119,1984-12,-18.17,0
120,1985-01,-7.69,0
121,1985-02,-22.41,0
122,1985-03,-8.78,0
123,1985-04,-7.4,0
124,1985-05,6.79,0
125,1985-06,12.91,0
126,1985-07,16.31,0
127,1985-08,12.49,0
128,1985-09,6.22,0
129,1985-10,-7.98,0
130,1985-11,-17.32,0
131,1985-12,-10.83,0
132,1986-01,-17.33,0
133,1986-02,-13.11,0
134,1986-03,-14.98,0
135,1986-04,-6.19,0
136,1986-05,7.26,0
137,1986-06,15.08,0
138,1986-07,16.3,0
139,1986-08,11.91,0
140,1986-09,7.35,0
141,1986-10,-2.75,0
142,1986-11,-15.88,0
143,1986-12,-12.18,0
144,1987-01,-15.75,0
145,1987-02,, 
146,1987-03,, 
147,1987-04,, 
148,1987-05,, 
149,1987-06,, 
150,1987-07,, 
151,1987-08,, 
152,1987-09,, 
153,1987-10,, 
154,1987-11,, 
155,1987-12,, 
156,1995-01,, 
157,1995-02,, 
158,1995-03,, 
159,1995-04,, 
160,1995-05,, 
161,1995-06,, 
162,1995-07,, 
163,1995-08,, 
164,1995-09,, 
165,1995-10,, 
166,1995-11,-20.49,0
167,1995-12,-22.67,0
168,1996-01,-28.14,0
169,1996-02,-19.03,0
170,1996-03,, 
171,1996-04,0.49,0
172,1996-05,8.02,0
173,1996-06,13.2,0
174,1996-07,14.76,0
175,1996-08,9.66,0
176,1996-09,3.98,0
177,1996-10,-12.86,0
178,1996-11,-17.27,0
179,1996-12,-26.02,0
180,1997-01,-22.75,0
181,1997-02,-9.05,0
182,1997-03,-17.3,0
183,1997-04,0.07,0
184,1997-05,, 
185,1997-06,, 
186,1997-07,, 
187,1997-08,, 
188,1997-09,, 
189,1997-10,-10.67,0
190,1997-11,-9.2,0
191,1997-12,-21.49,0
192,1998-01,-24.55,0
193,1998-02,-15.22,0
194,1998-03,-6.12,0
195,1998-04,3.06,0
196,1998-05,8.53,0
197,1998-06,13.32,0
198,1998-07,14.71,0
199,1998-08,9.78,0
200,1998-09,6.07,0
201,1998-10,-4.02,0
202,1998-11,-11.92,0
203,1998-12,-21.5,0
204,1999-01,-24.74,0
205,1999-02,-25.92,0
206,1999-03,-13.06,0
207,1999-04,-0.19,0
208,1999-05,6.04,0
209,1999-06,14.49,0
210,1999-07,14.55,0
211,1999-08,12.21,0
212,1999-09,5.71,0
213,1999-10,-8.43,0
214,1999-11,, 
215,1999-12,-24.04,0
216,2000-01,, 
217,2000-02,-13.64,0
218,2000-03,-7.9,0
219,2000-04,, 
220,2000-05,, 
221,2000-06,, 
222,2000-07,, 
223,2000-08,, 
224,2000-09,, 
225,2000-10,, 
226,2000-11,, 
227,2000-12,, 
