,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-18.29,0
1,1950-02,-30.27,0
2,1950-03,-8.04,0
3,1950-04,-1.74,0
4,1950-05,8.55,0
5,1950-06,14.9,0
6,1950-07,16.67,0
7,1950-08,14.26,0
8,1950-09,8.21,0
9,1950-10,-3.36,0
10,1950-11,-21.15,0
11,1950-12,-20.79,0
12,1951-01,-30.67,0
13,1951-02,-22.01,0
14,1951-03,-18.09,0
15,1951-04,1.3,0
16,1951-05,9.6,0
17,1951-06,13.86,0
18,1951-07,15.68,0
19,1951-08,14.35,0
20,1951-09,8.28,0
21,1951-10,-5.42,0
22,1951-11,-11.36,0
23,1951-12,-21.93,0
24,1952-01,-28.55,0
25,1952-02,-19.17,0
26,1952-03,-12.81,0
27,1952-04,-2.27,0
28,1952-05,5.31,0
29,1952-06,14.65,0
30,1952-07,15.55,0
31,1952-08,12.15,0
32,1952-09,5.9,0
33,1952-10,-0.83,0
34,1952-11,-9.26,0
35,1952-12,-19.6,0
36,1953-01,-30.28,0
37,1953-02,-16.33,0
38,1953-03,-13.59,0
39,1953-04,2.89,0
40,1953-05,10.8,0
41,1953-06,16.53,0
42,1953-07,16.67,0
43,1953-08,13.35,0
44,1953-09,7.3,0
45,1953-10,-4.46,0
46,1953-11,-16.54,0
47,1953-12,-20.06,0
48,1954-01,-25.89,0
49,1954-02,-27.16,0
50,1954-03,-11.28,0
51,1954-04,-3.13,0
52,1954-05,10.27,0
53,1954-06,14.74,0
54,1954-07,14.55,0
55,1954-08,13.56,0
56,1954-09,5.94,0
57,1954-10,-0.43,0
58,1954-11,-10.81,0
59,1954-12,-29.72,0
60,1955-01,-19.55,0
61,1955-02,-24.57,0
62,1955-03,-12.17,0
63,1955-04,-5.79,0
64,1955-05,7.75,0
65,1955-06,13.13,0
66,1955-07,16.22,0
67,1955-08,11.67,0
68,1955-09,6.46,0
69,1955-10,-4.55,0
70,1955-11,-23.21,0
71,1955-12,-22.78,0
72,1956-01,-29.0,0
73,1956-02,-23.64,0
74,1956-03,-14.51,0
75,1956-04,-0.47,0
76,1956-05,9.14,0
77,1956-06,14.27,0
78,1956-07,16.09,0
79,1956-08,13.17,0
80,1956-09,5.5,0
81,1956-10,-8.3,0
82,1956-11,-20.46,0
83,1956-12,-33.4,0
84,1957-01,-16.96,0
85,1957-02,-19.21,0
86,1957-03,-7.74,0
87,1957-04,0.24,0
88,1957-05,9.1,0
89,1957-06,17.84,0
90,1957-07,15.9,0
91,1957-08,15.06,0
92,1957-09,6.41,0
93,1957-10,-1.56,0
94,1957-11,-9.5,0
95,1957-12,-26.42,0
96,1958-01,-19.25,0
97,1958-02,-16.98,0
98,1958-03,-8.9,0
99,1958-04,1.36,0
100,1958-05,9.05,0
101,1958-06,17.0,0
102,1958-07,16.95,0
103,1958-08,13.57,0
104,1958-09,5.96,0
105,1958-10,-9.61,0
106,1958-11,-17.04,0
107,1958-12,-21.74,0
108,1959-01,-28.9,0
109,1959-02,-14.51,0
110,1959-03,-21.46,0
111,1959-04,-3.37,0
112,1959-05,8.43,0
113,1959-06,16.35,0
114,1959-07,13.06,0
115,1959-08,12.51,0
116,1959-09,6.42,0
117,1959-10,-4.45,0
118,1959-11,-14.07,0
119,1959-12,-23.02,0
120,1960-01,-19.9,0
121,1960-02,-16.11,0
122,1960-03,-15.43,0
123,1960-04,-2.95,0
124,1960-05,11.73,0
125,1960-06,13.31,0
126,1960-07,16.71,0
127,1960-08,12.76,0
128,1960-09,5.21,0
129,1960-10,-3.3,0
130,1960-11,-18.28,0
131,1960-12,-14.77,0
132,1961-01,-18.9,0
133,1961-02,-20.22,0
134,1961-03,-17.44,0
135,1961-04,-3.83,0
136,1961-05,9.59,0
137,1961-06,14.86,0
138,1961-07,15.09,0
139,1961-08,12.9,0
140,1961-09,6.7,0
141,1961-10,-6.03,0
142,1961-11,-20.09,0
143,1961-12,-31.02,0
144,1962-01,-22.09,0
145,1962-02,-13.85,0
146,1962-03,-13.38,0
147,1962-04,-1.09,0
148,1962-05,7.16,0
149,1962-06,14.78,0
150,1962-07,17.5,0
151,1962-08,14.44,0
152,1962-09,5.27,0
153,1962-10,-0.68,0
154,1962-11,-15.35,0
155,1962-12,-21.44,0
156,1963-01,-16.85,0
157,1963-02,-17.93,0
158,1963-03,-13.5,0
159,1963-04,-4.17,0
160,1963-05,9.62,0
161,1963-06,11.91,0
162,1963-07,15.55,0
163,1963-08,12.58,0
164,1963-09,8.83,0
165,1963-10,-3.14,0
166,1963-11,-23.61,0
167,1963-12,-15.56,0
168,1964-01,-26.49,0
169,1964-02,-17.38,0
170,1964-03,-19.02,0
171,1964-04,-3.44,0
172,1964-05,3.67,0
173,1964-06,15.61,0
174,1964-07,15.36,0
175,1964-08,13.62,0
176,1964-09,7.18,0
