,Code,Elevation,Latitude,Longitude,Name,Time,Time Range,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12
0,CA002100700,504,63.6167,-135.8667,MAYO_A,88 years,1925-2013,0.207986626,0.138565354,0.315632832,0.526476642,0.234634954,0.053387241,0.399404697,0.202389209,0.049622299,0.147804349,0.03349622,0.04160814
1,CA002100880,454,62.8167,-137.3667,PELLY_RANCH,117 years,1898-2015,0.277202742,0.064753035,0.347159209,0.580721127,0.288710659,0.268833633,0.292900512,0.219170738,0.257454925,0.236557719,0.062372537,0.050650159
2,CA002101100,705,60.1667,-132.7333,TESLIN_A,70 years,1943-2013,0.160500985,-0.131476663,0.208016528,0.511884121,0.522059519,0.049150641,0.249889029,0.413265599,0.100261695,0.274899966,0.237311638,-0.089771067
3,CA002101200,687,60.1167,-128.8167,WATSON_LAKE_A,76 years,1938-2014,0.270558056,0.082804366,-0.068056083,0.336353221,0.442345063,0.084101848,0.209205356,0.41453444,0.121670562,0.299588106,0.079022082,-0.014260224
4,CA002101300,706,60.7167,-135.0667,WHITEHORSE_A,79 years,1942-2021,0.208854915,-0.020291121,0.204585464,0.514203777,0.334206686,0.056821929,0.271467687,0.321164132,0.088089777,0.36759991,0.159001565,-0.057143904
5,CA002101415,707,60.7333,-135.0833,WHITEHORSE_WSO,71 years,1942-2013,0.231389504,-0.016777166,0.20444208,0.517179369,0.321397815,0.031969016,0.233987384,0.386303276,0.106705297,0.423177962,0.119381564,-0.094361305
6,CA002200100,6,68.2167,-135,AKLAVIK_A,83 years,1926-2009,0.144319076,-0.018485646,0.274541022,0.438203572,0.287617478,-0.006223593,0.460851265,0.138204367,0.107196176,-0.031923988,0.114243985,0.15645661
7,CA002201400,81,66.2333,-128.65,FORT_GOOD_HOPE_A,101 years,1909-2010,0.154328583,-0.146016576,0.271624101,0.579973647,0.375448497,0.173807062,0.198103146,0.106485132,0.199569167,-0.093217789,-0.109956452,-0.353788445
8,CA002201700,100,64.9167,-125.5667,TULITA_A,99 years,1908-2007,-0.31746763,0.16325276,0.421161393,0.627039862,0.183627697,0.127166776,0.27693713,0.079950938,0.265161334,0.516672838,0.393208457,-0.404245956
9,CA002201900,166,62.7167,-109.1667,FORT_RELIANCE,65 years,1948-2013,0.142432397,0.268955458,0.086283698,0.44963079,0.426348499,0.564815241,0.435389777,0.013984224,0.346760986,0.323911546,0.301159145,0.080638402
10,CA002202000,160,61.1833,-113.6833,FORT_RESOLUTION_A,77 years,1930-2007,-0.230844605,0.087788657,0.074321661,0.46872507,0.308721131,0.297649528,0.246677462,0.177309481,0.250199784,0.189114878,0.200954545,-0.371024338
11,CA002202100,132,61.8667,-121.35,FORT_SIMPSON,109 years,1895-2004,-0.163664285,0.07093892,0.299968932,0.357272959,0.268908957,0.341722048,0.22354248,0.225325399,-0.112052469,0.158563156,0.288234517,-0.266759823
12,CA002202101,169,61.7667,-121.2333,FORT_SIMPSON_A,93 years,1921-2014,0.094216693,0.096163401,0.290410086,0.509596364,0.284011764,0.177504777,0.301888495,0.087636897,0.083390754,0.166049815,0.157589796,0.049619294
13,CA002202115,169,61.7667,-121.2333,FORT_SIMPSON,126 years,1895-2021,0.10520821,0.08512151,0.275728937,0.487965639,0.266333443,0.189303704,0.258842478,0.074218291,0.104226157,0.15566039,0.165314481,0.050781638
14,CA002202196,183,60,-111.9333,FORT_SMITH,91 years,1913-2004,0.202962753,0.20449661,0.235747316,0.374154275,0.336847236,0.364218706,0.382369275,0.048241823,0.120727569,0.238135391,0.303860597,-0.093345796
15,CA002202198,207,60,-111.8667,FORT_SMITH,76 years,1928-2004,0.203250828,0.201149121,0.22155628,0.211996937,0.053019903,0.356663266,0.357185536,0.052129378,0.103636152,0.228804887,0.253077647,-0.065777339
16,CA002202200,205,60.0167,-111.9667,FORT_SMITH_A,90 years,1931-2021,0.204498608,0.208302206,0.251940723,0.3642216,0.338486114,0.384922793,0.352177523,0.048296818,0.132124137,0.22740381,0.319029516,-0.018949538
17,CA002202398,161,60.85,-115.95,HAY_RIVER,111 years,1893-2004,1,1,-1,1,0.990705999,0.253512292,1,-1,1,1,0.560768059,-1
18,CA002202400,165,60.8333,-115.7833,HAY_RIVER_A,128 years,1893-2021,0.125320661,0.15529242,0.118108169,0.429965922,0.450701039,0.201895899,0.271951204,0.083331,0.155731239,0.231366224,0.295579457,0.011216813
