,Code,Correlation1,Correlation10,Correlation11,Correlation12,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Elevation,Latitude,Longitude,Name,Time,Unnamed: 0
0,CA002100200,0.2260590990629566,0.1890588962117312,0.3196861221595124,-0.2440054027232587,0.061921810354062766,0.275376600611539,0.5056260281380445,0.5266670905759551,0.4143013111116002,0.4970546562665194,0.29602994381581904,0.24902170713935656,660.0,60.1667,-134.7,CARCROSS,97 years,7.0
1,CA002100630,0.283090245189688,0.3061512545709287,0.17640078069146228,-0.14852951867690156,0.16759886666832466,0.3855767388376531,0.4130580382370543,0.38653651599709016,0.3101140248635374,0.4425102861056742,0.3538928675381997,0.1109330185283256,595.0,60.7667,-137.5833,HAINES_JUNCTION,77 years,16.0
2,CA002100700,0.2183689534903276,0.20550409785626692,0.11119961527608294,0.03696601678540428,0.15712102853231566,0.34896263121773996,0.416006077218142,0.30697520003246803,0.25370468046870936,0.4525484974819832,0.15520971929503366,0.2228937634574708,504.0,63.6167,-135.8667,MAYO_A,88 years,25.0
3,CA002100800,0.16287450088269698,-0.041285469676531114,0.5457692187983079,0.4089371185351952,0.1479622875671209,0.15913799163761988,0.6221404378990385,0.21652973981264306,0.19732564272626646,0.3877649908709169,0.2799526335147803,0.1271749440006775,250.0,67.5667,-139.8333,OLD_CROW_A,64 years,29.0
4,CA002100950,0.31676510516657275,0.06700138222491048,0.039131958370694817,0.2262911696731897,0.3071198991544857,0.4062367140842224,0.5230603681771179,0.3858950623421617,0.5011484219747409,0.4070129041778368,0.19748577774267292,0.26983942958070306,49.0,68.95,-137.2167,SHINGLE_POINT_A,64 years,36.0
5,CA002101100,0.1763176651405789,0.28436221110334625,0.2559318489233292,-0.12121284238181015,-0.05696340027490779,0.2976906449198603,0.35606377917780696,0.5210570672852266,0.08227581847943315,0.2362540504307996,0.4101433315068957,0.08164435840033475,705.0,60.1667,-132.7333,TESLIN_A,70 years,45.0
6,CA002101200,0.19465190084637024,0.2936044716449097,0.11985587307400825,0.004380334152671184,0.13721067933878275,0.15973073321440276,0.188400665830631,0.4604419572280315,0.16757045459098874,0.202788817248918,0.3778878078184508,0.12070934337954925,687.0,60.1167,-128.8167,WATSON_LAKE_A,76 years,48.0
7,CA002101300,0.1200696528273965,0.28627345420348205,0.1902421158945658,-0.06374440630025707,0.053495738125668026,0.294545851887779,0.4273869232432661,0.40133857679397206,0.2512055070287664,0.30111642432980706,0.2749789288891292,0.06345354121196986,706.0,60.7167,-135.0667,WHITEHORSE_A,79 years,50.0
8,CA002101400,0.19498505907636,0.34318312570039544,0.003185510333206234,0.10118352833564924,0.10204391453420664,0.3959125851187096,0.5646770899923941,0.4456810971760991,0.3589820268832423,0.3657029239875051,0.08629245378786245,0.030670946201780444,640.0,60.7167,-135.0333,WHITEHORSE_RIVERDALE,53 years,53.0
9,CA002101415,0.18214907920669748,0.3498559675748252,0.18627436612552184,-0.12231739088249073,0.025382840329101524,0.2745542418749932,0.36956604598898457,0.3808777773510521,0.1867273499818738,0.237934460208534,0.3307414554101845,0.11103803784036048,707.0,60.7333,-135.0833,WHITEHORSE_WSO,71 years,54.0
10,CA002200100,0.1871646366379384,0.15500700609340065,0.2892409759230083,0.21411302469830054,-0.10934188425840888,0.2347533170588573,0.37432505011423617,0.3625320035586089,0.13940770032590286,0.3949011192781952,0.1437052342235978,0.270502456098898,6.0,68.2167,-135.0,AKLAVIK_A,83 years,55.0
11,CA002200675,0.3765795346076761,0.3600370337510059,0.4297945543779169,0.3856634515840951,0.3469935577861066,0.3828462827394038,0.3882465148538638,0.3691996085442849,0.5206376073509318,0.5009180369819372,0.4789351375501917,0.5946996849897312,87.0,70.1667,-124.7167,CAPE_PARRY_A,64 years,56.0
12,CA002201500,0.19143596726965256,0.3444787244452668,0.21434076921417167,0.02197461150110998,-0.11077273374190234,0.1453238362651136,0.500734395875169,0.4045604610364485,0.4238005803843793,0.17992575490080973,0.2476668101828894,0.3350292062410394,42.0,66.25,-128.6333,FORT_GOOD_HOPE_2,81 years,63.0
13,CA002201600,0.14956816284304436,0.4132896982891919,-0.09869017868828764,-0.16505919284836698,-0.2681657381586323,0.06608193215914725,0.3857465090972902,0.4816950007988689,0.4529533977212791,0.2699137357499714,0.17280517351445526,0.4140937658089236,31.0,67.4333,-134.8833,FORT_MCPHERSON,85 years,66.0
14,CA002201700,0.09533984470079326,0.4652536321154935,0.20330775157206266,-0.0903749168844564,-0.05714021401493949,0.11284404047951295,0.5211474414497537,0.45084510206463,0.25492715633307755,0.25923808210606897,0.17556300758257135,0.3686894124416357,100.0,64.9167,-125.5667,TULITA_A,99 years,68.0
15,CA002201900,0.16526536535728925,0.2816990525483435,0.2729063174663973,0.1918516098979996,0.3188193535333481,0.2067593846293485,0.3824539559273637,0.44043202049692,0.6050011320877167,0.3959408953193442,0.2075088012314765,0.2771294051932296,166.0,62.7167,-109.1667,FORT_RELIANCE,65 years,71.0
16,CA002202000,0.04300333498893923,0.30949822516610503,0.27778093557438865,-0.13122716024455058,-0.12699148555287618,0.1730265469290945,0.2612788828720206,0.3535508428225787,0.3418882220660733,0.3141206968108849,0.31238692392036244,0.26326220668798583,160.0,61.1833,-113.6833,FORT_RESOLUTION_A,77 years,74.0
17,CA002202101,0.18378967783693012,0.23363066212610936,0.21196275064507905,0.16696682726353715,0.10391443536151318,0.2335757594393345,0.3600205757377568,0.2791480633334578,0.27007301181426924,0.22851604924674476,0.13604842779048906,0.24575077324846445,169.0,61.7667,-121.2333,FORT_SIMPSON_A,93 years,76.0
18,CA002202196,0.26488833130237016,0.17557509621446776,0.2484962343343675,0.08019613254739373,0.1996886440241168,0.17686380352653264,0.3484066151022233,0.3103465907558566,0.4442680628841472,0.33338295951754404,0.1143792580546692,0.2480722479252457,183.0,60.0,-111.9333,FORT_SMITH,91 years,79.0
19,CA002202198,0.20962051445293994,0.2404335250089183,0.3195562734233397,0.064067924754355,0.09516569165216546,0.25502819875931715,0.18404116387077374,0.09180180714073148,0.4375264026268811,0.28354849190517456,0.14956560616982364,0.21922652085405991,207.0,60.0,-111.8667,FORT_SMITH,76 years,80.0
20,CA002202200,0.22873980894870924,0.1942552768164519,0.2975186422952478,0.14025506891112782,0.1480740936585677,0.3072776982205132,0.2842406495000189,0.3702334180286491,0.4998358463531475,0.2914252035302141,0.2712105816544717,0.21465492213170345,205.0,60.0167,-111.9667,FORT_SMITH_A,90 years,81.0
21,CA002202570,0.3240930464737365,0.2502140689649551,0.26761541464568217,0.4220359264429769,0.2404566523701753,0.403997234019244,0.5505202035565848,0.18413804673024545,0.3197388783633198,0.4606267654764579,0.2612274680643234,0.32910742986613845,68.0,68.3,-133.4833,INUVIK_A,64 years,89.0
22,CA002202800,0.09090806754056252,0.15811549813415168,0.005619486893327898,0.08703873320070148,-0.11319000088392027,0.2302781186740473,0.491379990292685,0.3305089170669554,0.26536397032138803,0.3204306069899548,0.1558407611001491,0.21832496377675906,73.0,65.2833,-126.8,NORMAN_WELLS_A,70 years,95.0
23,CA002202801,0.1000052865101768,0.10063762715599704,0.033992668617728025,0.1674852654759826,-0.005107139595334639,0.2591009803871242,0.4650715293022469,0.2382381611443907,0.2951465946192795,0.3407296107821104,0.2227396887270255,0.1776205769774898,73.0,65.2833,-126.8,NORMAN_WELLS,76 years,96.0
24,CA002204000,0.0332590615490774,0.05289331477972144,-0.015623896154551162,-0.1674607601507137,-0.13618902667393362,0.15215822340802376,0.5286641608892639,0.4637429844401288,0.19875648319527228,0.2202242764178523,0.15403872577748107,0.11426037445915994,150.0,63.2167,-123.4333,WRIGLEY_A,64 years,110.0
