,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-26.88,C
1,1950-02,-18.47,C
2,1950-03,-6.9,C
3,1950-04,-2.39,C
4,1950-05,5.16,C
5,1950-06,13.61,C
6,1950-07,12.16,C
7,1950-08,12.02,C
8,1950-09,8.16,C
9,1950-10,-1.76,C
10,1950-11,-17.27,C
11,1950-12,-14.9,C
12,1951-01,-23.7,C
13,1951-02,-18.3,C
14,1951-03,-11.86,C
15,1951-04,0.4,C
16,1951-05,6.44,C
17,1951-06,11.16,C
18,1951-07,15.9,C
19,1951-08,12.95,C
20,1951-09,9.33,C
21,1951-10,-3.33,C
22,1951-11,-10.27,C
23,1951-12,-22.44,C
24,1952-01,-26.13,C
25,1952-02,-13.26,C
26,1952-03,-8.55,C
27,1952-04,-1.08,C
28,1952-05,4.63,C
29,1952-06,9.71,C
30,1952-07,12.96,C
31,1952-08,11.05,C
32,1952-09,6.5,C
33,1952-10,3.51,C
34,1952-11,-1.61,C
35,1952-12,-12.08,C
36,1953-01,-25.39,C
37,1953-02,-7.5,C
38,1953-03,-8.91,C
39,1953-04,1.35,C
40,1953-05,7.85,C
41,1953-06,12.88,C
42,1953-07,13.57,C
43,1953-08,11.99,C
44,1953-09,6.75,C
45,1953-10,1.56,C
46,1953-11,-8.95,C
47,1953-12,-11.63,C
48,1954-01,-23.24,C
49,1954-02,-15.14,C
50,1954-03,-7.35,C
51,1954-04,-6.2,C
52,1954-05,6.74,C
53,1954-06,12.02,C
54,1954-07,12.48,C
55,1954-08,13.07,C
56,1954-09,7.62,C
57,1954-10,1.63,C
58,1954-11,-3.51,C
59,1954-12,-15.41,C
60,1955-01,-13.16,C
61,1955-02,-13.74,C
62,1955-03,-10.8,C
63,1955-04,-1.72,C
64,1955-05,3.69,C
65,1955-06,9.74,C
66,1955-07,14.3,C
67,1955-08,10.24,C
68,1955-09,6.54,C
69,1955-10,-0.51,C
70,1955-11,-18.2,C
71,1955-12,-24.56,C
72,1956-01,-21.96,C
73,1956-02,-18.14,C
74,1956-03,-9.73,C
75,1956-04,-0.31,C
76,1956-05,5.98,C
77,1956-06,9.62,C
78,1956-07,13.73,C
79,1956-08,12.4,C
80,1956-09,6.79,C
81,1956-10,-2.42,C
82,1956-11,-2.17,C
83,1956-12,-20.51,C
84,1957-01,-24.66,C
85,1957-02,-14.73,C
86,1957-03,-6.04,C
87,1957-04,-0.51,C
88,1957-05,7.07,C
89,1957-06,12.97,C
90,1957-07,13.04,C
91,1957-08,14.24,C
92,1957-09,10.6,C
93,1957-10,0.97,C
94,1957-11,-3.0,C
95,1957-12,-14.53,C
96,1958-01,-12.44,C
97,1958-02,-16.63,C
98,1958-03,-7.26,C
99,1958-04,2.06,C
100,1958-05,7.75,C
101,1958-06,15.19,C
102,1958-07,15.72,C
103,1958-08,10.62,C
104,1958-09,5.77,C
105,1958-10,-0.15,C
106,1958-11,-8.63,C
107,1958-12,-16.62,C
108,1959-01,-26.58,C
109,1959-02,-13.79,C
110,1959-03,-7.34,C
111,1959-04,-1.06,C
112,1959-05,5.33,C
113,1959-06,12.47,C
114,1959-07,12.87,C
115,1959-08,9.77,C
116,1959-09,6.3,C
117,1959-10,-1.53,C
118,1959-11,-7.22,C
119,1959-12,-8.27,C
120,1960-01,-18.96,C
121,1960-02,-12.02,C
122,1960-03,-9.88,C
123,1960-04,1.7,C
124,1960-05,6.86,C
125,1960-06,10.08,C
126,1960-07,12.91,C
127,1960-08,11.7,C
128,1960-09,6.69,C
129,1960-10,0.44,C
130,1960-11,-7.82,C
131,1960-12,-9.12,C
132,1961-01,-16.39,C
133,1961-02,-12.79,C
134,1961-03,-7.38,C
135,1961-04,-0.16,C
136,1961-05,5.52,C
137,1961-06,10.59,C
138,1961-07,13.69,C
139,1961-08,11.45,C
140,1961-09,5.75,C
