,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-24.1,w
1,1950-02,-27.4,w
2,1950-03,-23.5,w
3,1950-04,-21.9,w
4,1950-05,-5.7,w
5,1950-06,2.6,w
6,1950-07,5.6,w
7,1950-08,4.7,w
8,1950-09,-2.8,w
9,1950-10,-9.39,w
10,1950-11,-13.7,w
11,1950-12,-19.6,w
12,1951-01,-25.9,w
13,1951-02,-29.6,w
14,1951-03,-27.1,w
15,1951-04,-17.79,w
16,1951-05,-5.2,w
17,1951-06,1.4,w
18,1951-07,4.2,w
19,1951-08,2.4,w
20,1951-09,-2.7,w
21,1951-10,-15.1,w
22,1951-11,-16.92,X
23,1951-12,-26.65,X
24,1952-01,-26.46,X
25,1952-02,-25.12,X
26,1952-03,-27.95,X
27,1952-04,-17.41,X
28,1952-05,-3.06,X
29,1952-06,4.01,X
30,1952-07,4.79,X
31,1952-08,4.85,X
32,1952-09,-0.88,X
33,1952-10,-11.42,X
34,1952-11,-14.8,X
35,1952-12,-17.96,X
36,1953-01,-22.03,X
37,1953-02,-27.07,X
38,1953-03,-26.85,X
39,1953-04,-10.39,X
40,1953-05,-2.24,X
41,1953-06,0.69,X
42,1953-07,5.42,X
43,1953-08,4.08,X
44,1953-09,-2.55,X
45,1953-10,-13.3,X
46,1953-11,-22.95,X
47,1953-12,-28.57,X
48,1954-01,-23.21,X
49,1954-02,, 
50,1954-03,-25.48,X
51,1954-04,-12.32,X
52,1954-05,-3.95,X
53,1954-06,2.55,X
54,1954-07,5.02,X
55,1954-08,5.39,X
56,1954-09,-2.0,X
57,1954-10,-9.99,X
58,1954-11,-17.82,X
59,1954-12,-25.06,X
60,1955-01,-28.22,X
61,1955-02,-24.74,X
62,1955-03,-24.13,X
63,1955-04,-19.09,X
64,1955-05,-9.61,X
65,1955-06,2.79,X
66,1955-07,5.23,X
67,1955-08,4.09,X
68,1955-09,-1.73,X
69,1955-10,-4.37,X
70,1955-11,-17.84,X
71,1955-12,-21.46,X
72,1956-01,-23.55,X
73,1956-02,-25.04,X
74,1956-03,-28.08,X
75,1956-04,-16.56,X
76,1956-05,-7.22,X
77,1956-06,2.04,X
78,1956-07,5.87,X
79,1956-08,4.59,X
80,1956-09,-2.79,X
81,1956-10,-7.97,X
82,1956-11,-18.01,X
83,1956-12,-22.16,X
84,1957-01,-26.62,X
85,1957-02,-20.94,X
86,1957-03,-22.4,X
87,1957-04,-18.29,X
88,1957-05,-2.35,X
89,1957-06,5.08,X
90,1957-07,8.2,X
91,1957-08,6.27,X
92,1957-09,1.1,X
93,1957-10,-12.05,X
94,1957-11,-17.94,X
95,1957-12,-22.69,X
96,1958-01,-23.14,X
97,1958-02,-21.24,X
98,1958-03,-23.58,X
99,1958-04,-22.29,X
100,1958-05,-4.15,X
101,1958-06,3.27,X
102,1958-07,5.64,X
103,1958-08,3.27,X
104,1958-09,-4.72,X
105,1958-10,-12.21,X
106,1958-11,-21.43,X
107,1958-12,-20.32,X
108,1959-01,-18.33,X
109,1959-02,-24.99,X
110,1959-03,-29.18,X
111,1959-04,-17.05,X
112,1959-05,-5.99,X
113,1959-06,2.84,X
114,1959-07,5.69,X
115,1959-08,3.82,X
116,1959-09,-2.04,X
117,1959-10,-11.48,X
118,1959-11,-16.94,X
119,1959-12,-25.21,X
120,1960-01,-24.27,X
121,1960-02,-24.69,X
122,1960-03,-29.37,X
123,1960-04,-19.75,X
124,1960-05,-5.43,X
125,1960-06,3.06,X
126,1960-07,7.15,X
127,1960-08,5.46,X
128,1960-09,-3.31,X
129,1960-10,-6.01,X
130,1960-11,-14.42,X
131,1960-12,-23.21,X
132,1961-01,-29.93,X
133,1961-02,-32.24,X
134,1961-03,-30.73,X
135,1961-04,-18.11,X
136,1961-05,-9.16,X
137,1961-06,1.53,X
138,1961-07,4.73,X
139,1961-08,5.05,X
140,1961-09,-4.62,X
141,1961-10,-11.6,X
142,1961-11,-20.23,X
143,1961-12,-21.96,X
144,1962-01,-20.26,X
145,1962-02,-26.7,X
146,1962-03,-19.25,X
147,1962-04,-17.05,X
148,1962-05,-6.11,X
149,1962-06,1.62,X
150,1962-07,5.52,X
151,1962-08,3.55,X
152,1962-09,-4.96,X
153,1962-10,-9.77,X
154,1962-11,-13.74,X
155,1962-12,-19.37,X
156,1963-01,-17.47,X
157,1963-02,-16.84,X
158,1963-03,-24.13,X
159,1963-04,-17.18,X
160,1963-05,-7.31,X
