,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,1.86,G
1,1950-02,-1.31,G
2,1950-03,0.68,G
3,1950-04,1.29,G
4,1950-05,6.63,G
5,1950-06,9.48,G
6,1950-07,11.6,G
7,1950-08,11.77,G
8,1950-09,6.96,G
9,1950-10,3.91,G
10,1950-11,0.76,G
11,1950-12,-2.35,G
12,1951-01,-2.47,E
13,1951-02,-1.49,E
14,1951-03,-3.09,E
15,1951-04,-0.5,E
16,1951-05,7.13,E
17,1951-06,9.43,E
18,1951-07,11.14,E
19,1951-08,10.97,E
20,1951-09,8.49,E
21,1951-10,4.58,E
22,1951-11,0.95,E
23,1951-12,-0.84,E
24,1952-01,-2.9,E
25,1952-02,-0.67,E
26,1952-03,0.15,E
27,1952-04,1.34,E
28,1952-05,4.64,E
29,1952-06,6.54,E
30,1952-07,9.57,E
31,1952-08,9.23,E
32,1952-09,7.45,E
33,1952-10,5.48,E
34,1952-11,2.79,E
35,1952-12,0.71,E
36,1953-01,-0.17,E
37,1953-02,1.05,E
38,1953-03,1.41,E
39,1953-04,-1.08,E
40,1953-05,5.45,E
41,1953-06,9.71,E
42,1953-07,10.3,E
43,1953-08,10.67,E
44,1953-09,9.13,E
45,1953-10,4.03,E
46,1953-11,1.59,E
47,1953-12,2.38,E
48,1954-01,1.77,E
49,1954-02,-0.27,E
50,1954-03,0.13,E
51,1954-04,3.75,E
52,1954-05,6.33,E
53,1954-06,8.96,E
54,1954-07,8.96,E
55,1954-08,9.55,E
56,1954-09,5.1,E
57,1954-10,3.01,E
58,1954-11,2.22,E
59,1954-12,-0.88,E
60,1955-01,-2.3,E
61,1955-02,-2.87,E
62,1955-03,0.24,E
63,1955-04,4.37,E
64,1955-05,4.89,E
65,1955-06,8.87,E
66,1955-07,10.41,E
67,1955-08,9.99,E
68,1955-09,7.23,E
69,1955-10,3.52,E
70,1955-11,3.45,E
71,1955-12,-2.51,E
72,1956-01,-3.41,E
73,1956-02,2.53,E
74,1956-03,2.58,E
75,1956-04,2.35,E
76,1956-05,5.67,E
77,1956-06,7.3,E
78,1956-07,9.6,E
79,1956-08,8.7,E
80,1956-09,8.22,E
81,1956-10,4.58,E
82,1956-11,4.59,E
83,1956-12,1.75,E
84,1957-01,0.92,E
85,1957-02,-2.44,E
86,1957-03,-0.73,E
87,1957-04,3.85,E
88,1957-05,5.79,E
89,1957-06,8.75,E
90,1957-07,10.94,E
91,1957-08,10.69,E
92,1957-09,6.75,E
93,1957-10,4.19,E
94,1957-11,2.99,E
95,1957-12,-0.38,E
96,1958-01,-2.28,E
97,1958-02,-2.92,E
98,1958-03,-0.88,E
99,1958-04,3.44,E
100,1958-05,3.68,E
101,1958-06,8.68,E
102,1958-07,10.18,E
103,1958-08,7.95,E
104,1958-09,10.43,E
105,1958-10,6.06,E
106,1958-11,3.99,E
107,1958-12,0.16,E
108,1959-01,-3.85,E
109,1959-02,1.59,E
110,1959-03,2.57,E
111,1959-04,0.55,E
112,1959-05,6.45,E
113,1959-06,8.07,E
114,1959-07,10.7,E
115,1959-08,8.71,E
116,1959-09,8.78,E
117,1959-10,7.64,E
118,1959-11,0.9,E
119,1959-12,-0.35,E
120,1960-01,1.03,E
121,1960-02,-1.35,E
122,1960-03,1.83,E
123,1960-04,3.11,E
124,1960-05,6.97,E
125,1960-06,9.12,E
126,1960-07,11.14,E
127,1960-08,9.78,E
128,1960-09,9.18,E
129,1960-10,5.41,E
130,1960-11,3.37,E
131,1960-12,0.06,E
132,1961-01,1.1,E
133,1961-02,-0.06,E
134,1961-03,-0.04,E
135,1961-04,0.41,E
136,1961-05,6.86,E
137,1961-06,8.58,E
138,1961-07,10.25,E
139,1961-08,9.89,E
140,1961-09,8.72,E
141,1961-10,5.56,E
142,1961-11,1.96,E
143,1961-12,-1.53,E
144,1962-01,0.32,E
145,1962-02,-0.1,E
146,1962-03,-2.69,E
147,1962-04,3.36,E
148,1962-05,5.16,E
149,1962-06,7.86,E
150,1962-07,10.18,E
151,1962-08,9.49,E
152,1962-09,7.64,E
153,1962-10,4.66,E
154,1962-11,1.2,E
155,1962-12,0.31,E
156,1963-01,-0.09,E
157,1963-02,0.5,E
158,1963-03,2.71,E
159,1963-04,2.0,E
160,1963-05,3.52,E
161,1963-06,8.93,E
162,1963-07,8.83,E
163,1963-08,8.8,E
164,1963-09,5.97,E
165,1963-10,4.7,E
166,1963-11,-1.23,E
167,1963-12,1.27,E
168,1964-01,2.67,E
169,1964-02,2.29,E
170,1964-03,4.78,E
171,1964-04,3.39,E
172,1964-05,6.26,E
173,1964-06,8.93,E
174,1964-07,9.86,E
175,1964-08,8.93,E
176,1964-09,5.75,E
177,1964-10,5.01,E
178,1964-11,2.36,E
179,1964-12,-1.46,E
180,1965-01,-1.24,E
181,1965-02,3.59,E
182,1965-03,-2.31,E
183,1965-04,1.59,E
184,1965-05,5.17,E
185,1965-06,8.15,E
186,1965-07,10.8,E
187,1965-08,9.82,E
188,1965-09,6.1,E
189,1965-10,6.61,E
190,1965-11,0.84,E
191,1965-12,-1.9,E
192,1966-01,-2.31,E
193,1966-02,-2.57,E
194,1966-03,-1.63,E
195,1966-04,1.79,E
196,1966-05,4.6,E
197,1966-06,9.42,E
198,1966-07,10.56,E
199,1966-08,9.76,E
200,1966-09,7.7,E
201,1966-10,3.21,E
202,1966-11,-0.2,E
203,1966-12,-2.44,E
204,1967-01,0.14,E
205,1967-02,0.54,E
206,1967-03,-4.08,E
207,1967-04,1.03,E
208,1967-05,3.8,E
209,1967-06,8.21,E
210,1967-07,9.31,E
211,1967-08,9.87,E
212,1967-09,7.85,E
213,1967-10,2.54,E
214,1967-11,0.04,E
215,1967-12,-1.32,E
216,1968-01,-2.53,E
217,1968-02,-2.66,E
218,1968-03,-2.26,E
219,1968-04,0.78,E
220,1968-05,4.38,E
221,1968-06,7.38,E
222,1968-07,11.06,E
223,1968-08,9.97,E
224,1968-09,8.82,E
225,1968-10,2.04,E
226,1968-11,4.11,E
227,1968-12,0.0,E
228,1969-01,-3.17,E
229,1969-02,-3.87,E
230,1969-03,-2.73,E
231,1969-04,0.28,E
232,1969-05,4.71,E
233,1969-06,9.1,E
234,1969-07,9.79,E
235,1969-08,11.21,E
236,1969-09,6.21,E
237,1969-10,3.82,E
238,1969-11,-1.27,E
239,1969-12,-0.63,E
240,1970-01,-0.94,E
241,1970-02,-2.87,E
242,1970-03,-2.67,E
243,1970-04,1.5,E
244,1970-05,4.75,E
245,1970-06,8.79,E
246,1970-07,8.54,E
247,1970-08,9.71,E
248,1970-09,7.26,E
249,1970-10,3.44,E
250,1970-11,0.27,E
251,1970-12,1.6,E
252,1971-01,-4.46,E
253,1971-02,-1.08,E
254,1971-03,-0.1,E
255,1971-04,1.65,E
256,1971-05,5.8,E
257,1971-06,8.41,E
258,1971-07,10.54,E
259,1971-08,9.94,E
260,1971-09,7.08,E
261,1971-10,3.35,E
262,1971-11,0.47,E
263,1971-12,-0.95,E
264,1972-01,2.53,E
265,1972-02,1.18,E
266,1972-03,1.47,E
267,1972-04,2.48,E
268,1972-05,6.93,E
269,1972-06,8.18,E
270,1972-07,9.78,E
271,1972-08,9.23,E
272,1972-09,8.14,E
273,1972-10,4.14,E
274,1972-11,0.02,E
275,1972-12,0.58,E
276,1973-01,2.31,E
277,1973-02,-3.42,E
278,1973-03,0.82,E
279,1973-04,2.3,E
280,1973-05,4.51,E
281,1973-06,7.12,E
282,1973-07,9.9,E
283,1973-08,9.77,E
284,1973-09,8.15,E
285,1973-10,4.2,E
286,1973-11,-1.7,E
287,1973-12,-4.26,E
288,1974-01,0.02,E
289,1974-02,-0.99,E
290,1974-03,2.83,E
291,1974-04,5.65,E
292,1974-05,7.67,E
293,1974-06,8.87,E
294,1974-07,11.01,E
295,1974-08,9.51,E
296,1974-09,5.52,E
297,1974-10,4.73,E
298,1974-11,2.31,E
299,1974-12,-2.77,E
300,1975-01,-4.24,E
301,1975-02,1.83,E
302,1975-03,-0.66,E
303,1975-04,1.48,E
304,1975-05,5.75,E
305,1975-06,6.83,E
306,1975-07,10.23,E
307,1975-08,10.23,E
308,1975-09,5.56,E
309,1975-10,5.4,E
310,1975-11,1.67,E
311,1975-12,-1.25,E
312,1976-01,-3.5,E
313,1976-02,-0.63,E
314,1976-03,0.63,E
315,1976-04,2.37,E
316,1976-05,5.1,E
317,1976-06,9.58,E
318,1976-07,11.67,E
319,1976-08,10.04,E
320,1976-09,8.82,E
321,1976-10,5.98,E
322,1976-11,2.73,E
323,1976-12,-0.95,E
324,1977-01,-3.01,E
325,1977-02,-1.52,E
326,1977-03,1.11,E
327,1977-04,0.86,E
328,1977-05,7.1,E
329,1977-06,8.64,E
330,1977-07,10.91,E
331,1977-08,10.94,E
332,1977-09,7.34,E
333,1977-10,4.46,E
334,1977-11,-0.78,E
335,1977-12,0.25,E
336,1978-01,-2.05,E
337,1978-02,-2.05,E
338,1978-03,-0.31,E
339,1978-04,3.78,E
340,1978-05,6.5,E
341,1978-06,8.31,E
342,1978-07,10.87,E
343,1978-08,11.88,E
344,1978-09,7.56,E
345,1978-10,4.44,E
346,1978-11,0.26,E
347,1978-12,0.81,E
348,1979-01,-4.0,E
349,1979-02,-0.43,E
350,1979-03,-4.01,E
351,1979-04,1.2,E
352,1979-05,1.62,E
353,1979-06,8.57,E
354,1979-07,9.63,E
355,1979-08,9.97,E
356,1979-09,5.11,E
357,1979-10,4.5,E
358,1979-11,0.42,E
359,1979-12,-0.43,E
360,1980-01,-0.81,E
361,1980-02,0.71,E
362,1980-03,0.5,E
363,1980-04,3.38,E
364,1980-05,7.19,E
365,1980-06,9.43,E
366,1980-07,11.41,E
367,1980-08,11.13,E
368,1980-09,8.25,E
369,1980-10,1.61,E
370,1980-11,0.86,E
371,1980-12,-2.32,E
372,1981-01,-2.94,E
373,1981-02,-2.41,E
374,1981-03,-2.43,E
375,1981-04,3.18,E
376,1981-05,5.45,E
377,1981-06,8.6,E
378,1981-07,10.23,E
379,1981-08,11.1,E
380,1981-09,6.24,E
381,1981-10,0.54,E
382,1981-11,-0.51,E
383,1981-12,-2.85,E
