,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,2.65,_
1,1950-02,-0.8,_
2,1950-03,1.45,_
3,1950-04,1.75,_
4,1950-05,6.35,_
5,1950-06,8.64,_
6,1950-07,11.65,_
7,1950-08,11.75,_
8,1950-09,6.89,_
9,1950-10,4.05,_
10,1950-11,0.9,_
11,1950-12,-1.7,_
12,1951-01,-1.4,_
13,1951-02,-1.2,_
14,1951-03,-3.05,_
15,1951-04,-0.6,_
16,1951-05,6.45,_
17,1951-06,9.14,_
18,1951-07,10.14,_
19,1951-08,11.0,_
20,1951-09,9.16,X
21,1951-10,5.15,X
22,1951-11,1.2,X
23,1951-12,-1.21,X
24,1952-01,-3.16,X
25,1952-02,-0.27,X
26,1952-03,0.73,X
27,1952-04,2.84,X
28,1952-05,5.65,X
29,1952-06,7.84,X
30,1952-07,9.8,X
31,1952-08,10.21,X
32,1952-09,7.64,X
33,1952-10,5.45,X
34,1952-11,2.93,X
35,1952-12,1.37,X
36,1953-01,0.87,X
37,1953-02,2.1,X
38,1953-03,2.44,X
39,1953-04,0.12,X
40,1953-05,6.47,X
41,1953-06,9.7,X
42,1953-07,11.5,X
43,1953-08,11.04,X
44,1953-09,9.5,X
45,1953-10,4.34,X
46,1953-11,2.14,X
47,1953-12,2.43,X
48,1954-01,2.11,X
49,1954-02,0.08,X
50,1954-03,1.55,X
51,1954-04,4.22,X
52,1954-05,7.08,X
53,1954-06,9.53,X
54,1954-07,10.02,X
55,1954-08,10.6,X
56,1954-09,6.18,X
57,1954-10,4.04,X
58,1954-11,2.81,X
59,1954-12,-0.3,X
60,1955-01,-1.38,X
61,1955-02,-1.63,X
62,1955-03,1.82,X
63,1955-04,5.39,X
64,1955-05,5.22,X
65,1955-06,9.53,X
66,1955-07,9.98,X
67,1955-08,9.58,X
68,1955-09,7.87,X
69,1955-10,4.04,X
70,1955-11,4.22,X
71,1955-12,-1.77,X
72,1956-01,-2.88,X
73,1956-02,2.87,X
74,1956-03,3.77,X
75,1956-04,3.61,X
76,1956-05,6.39,X
77,1956-06,8.0,X
78,1956-07,10.24,X
79,1956-08,9.69,X
80,1956-09,8.74,X
81,1956-10,4.75,X
82,1956-11,4.82,X
83,1956-12,2.05,X
84,1957-01,1.06,X
85,1957-02,-1.94,X
86,1957-03,-0.05,X
87,1957-04,5.13,X
88,1957-05,6.73,X
89,1957-06,9.53,X
90,1957-07,11.48,X
91,1957-08,10.98,X
92,1957-09,6.96,X
93,1957-10,4.68,X
94,1957-11,3.16,X
95,1957-12,-0.01,X
96,1958-01,-2.02,X
97,1958-02,-1.47,X
98,1958-03,0.64,X
99,1958-04,4.34,X
100,1958-05,4.67,X
101,1958-06,9.71,X
102,1958-07,11.48,X
103,1958-08,9.72,X
104,1958-09,11.03,X
105,1958-10,6.17,X
106,1958-11,4.65,X
107,1958-12,0.51,X
108,1959-01,-2.96,X
109,1959-02,2.31,X
110,1959-03,3.44,X
111,1959-04,2.34,X
112,1959-05,7.17,X
113,1959-06,8.64,X
114,1959-07,11.26,X
115,1959-08,9.93,X
116,1959-09,8.28,X
117,1959-10,7.38,X
118,1959-11,1.3,X
119,1959-12,0.22,X
120,1960-01,1.69,X
121,1960-02,-1.27,X
122,1960-03,3.14,X
123,1960-04,4.44,X
124,1960-05,8.13,X
125,1960-06,9.6,X
126,1960-07,11.86,X
127,1960-08,11.09,X
128,1960-09,9.16,X
129,1960-10,5.64,X
130,1960-11,3.03,X
131,1960-12,0.27,X
132,1961-01,1.7,X
133,1961-02,1.08,X
134,1961-03,0.54,X
135,1961-04,1.53,X
136,1961-05,7.04,X
137,1961-06,8.02,X
138,1961-07,10.58,X
139,1961-08,10.8,X
140,1961-09,9.77,X
141,1961-10,6.39,X
142,1961-11,2.56,X
143,1961-12,-0.58,X
144,1962-01,0.86,X
145,1962-02,0.78,X
146,1962-03,-0.77,X
147,1962-04,3.99,X
