,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-10.05,k
1,1950-02,-8.72,k
2,1950-03,-5.26,k
3,1950-04,-1.48,k
4,1950-05,3.37,k
5,1950-06,7.71,k
6,1950-07,9.58,k
7,1950-08,10.28,k
8,1950-09,4.81,k
9,1950-10,0.13,k
10,1950-11,-5.88,k
11,1950-12,-10.64,k
12,1951-01,-12.48,k
13,1951-02,-9.43,k
14,1951-03,-10.25,k
15,1951-04,-3.68,k
16,1951-05,2.77,k
17,1951-06,6.61,k
18,1951-07,8.05,k
19,1951-08,10.03,k
20,1951-09,6.2,k
21,1951-10,1.85,k
22,1951-11,-4.21,k
23,1951-12,-4.25,k
24,1952-01,-12.28,k
25,1952-02,-7.86,k
26,1952-03,-9.14,k
27,1952-04,0.48,k
28,1952-05,3.91,k
29,1952-06,5.86,k
30,1952-07,9.08,k
31,1952-08,7.25,k
32,1952-09,1.74,k
33,1952-10,-1.8,k
34,1952-11,-8.55,k
35,1952-12,-8.96,k
36,1953-01,-8.14,k
37,1953-02,-10.06,k
38,1953-03,-2.27,k
39,1953-04,-1.95,k
40,1953-05,4.07,k
41,1953-06,12.38,k
42,1953-07,10.03,k
43,1953-08,8.68,k
44,1953-09,4.89,k
45,1953-10,2.74,k
46,1953-11,-1.74,k
47,1953-12,-5.71,k
48,1954-01,-11.33,k
49,1954-02,-13.88,k
50,1954-03,-6.5,k
51,1954-04,-2.93,k
52,1954-05,6.12,k
53,1954-06,7.9,k
54,1954-07,9.48,k
55,1954-08,8.88,k
56,1954-09,4.23,k
57,1954-10,-1.25,k
58,1954-11,-5.91,k
59,1954-12,-6.58,k
60,1955-01,-8.42,k
61,1955-02,-13.93,k
62,1955-03,-8.78,k
63,1955-04,-4.13,k
64,1955-05,0.31,k
65,1955-06,6.0,k
66,1955-07,12.79,k
67,1955-08,11.77,k
68,1955-09,6.0,k
69,1955-10,-1.78,k
70,1955-11,-3.12,k
71,1955-12,-10.42,k
72,1956-01,-11.48,k
73,1956-02,-12.66,k
74,1956-03,-6.65,k
75,1956-04,-3.95,k
76,1956-05,3.93,k
77,1956-06,6.33,k
78,1956-07,9.88,k
79,1956-08,6.42,k
80,1956-09,6.02,k
81,1956-10,-0.67,k
82,1956-11,-5.97,k
83,1956-12,-6.88,k
84,1957-01,-7.28,E
85,1957-02,-10.66,E
86,1957-03,-6.26,E
87,1957-04,-2.22,E
88,1957-05,1.93,E
89,1957-06,5.93,E
90,1957-07,10.77,E
91,1957-08,8.92,E
92,1957-09,3.59,E
93,1957-10,0.6,E
94,1957-11,-3.98,E
95,1957-12,-6.85,E
96,1958-01,-13.27,E
97,1958-02,-14.23,E
98,1958-03,-12.56,E
99,1958-04,-3.43,E
100,1958-05,0.86,E
101,1958-06,7.35,E
102,1958-07,9.3,E
103,1958-08,9.36,E
104,1958-09,7.36,E
105,1958-10,2.43,E
106,1958-11,-1.86,E
107,1958-12,-11.17,E
108,1959-01,-12.03,E
109,1959-02,-6.37,E
110,1959-03,-3.78,E
111,1959-04,-0.72,E
112,1959-05,3.63,E
113,1959-06,8.03,E
114,1959-07,11.1,E
115,1959-08,9.91,E
116,1959-09,5.25,E
117,1959-10,1.5,E
118,1959-11,-3.78,E
119,1959-12,-7.97,E
120,1960-01,-13.32,E
121,1960-02,-13.07,E
122,1960-03,-6.43,E
123,1960-04,-2.48,E
124,1960-05,4.75,E
125,1960-06,9.53,E
126,1960-07,9.64,E
127,1960-08,9.45,E
128,1960-09,5.57,E
129,1960-10,-2.62,E
130,1960-11,-6.42,E
131,1960-12,-10.16,E
132,1961-01,-12.77,E
133,1961-02,-5.83,E
134,1961-03,-3.53,E
135,1961-04,-3.03,E
136,1961-05,3.44,E
137,1961-06,8.54,E
138,1961-07,9.33,E
139,1961-08,7.37,E
140,1961-09,7.15,E
141,1961-10,3.88,E
142,1961-11,-3.53,E
143,1961-12,-10.7,E
144,1962-01,-8.33,E
145,1962-02,-7.96,E
146,1962-03,-11.57,E
147,1962-04,-2.78,E
148,1962-05,1.47,E
149,1962-06,5.39,E
150,1962-07,8.49,E
151,1962-08,7.04,E
152,1962-09,4.04,E
153,1962-10,2.22,E
154,1962-11,-7.2,E
155,1962-12,-10.03,E
156,1963-01,-11.51,E
157,1963-02,-14.46,E
158,1963-03,-7.39,E
159,1963-04,-1.25,E
160,1963-05,5.42,E
161,1963-06,9.64,E
162,1963-07,9.24,E
163,1963-08,10.11,E
164,1963-09,5.1,E
165,1963-10,1.3,E
166,1963-11,-6.11,E
167,1963-12,-7.62,E
168,1964-01,-7.0,E
169,1964-02,-7.98,E
170,1964-03,-7.91,E
171,1964-04,-1.04,E
172,1964-05,4.51,E
173,1964-06,7.22,E
174,1964-07,8.08,E
175,1964-08,7.93,E
176,1964-09,3.83,E
177,1964-10,0.78,E
178,1964-11,-5.37,E
179,1964-12,-8.66,E
180,1965-01,-10.52,E
181,1965-02,-6.87,E
182,1965-03,-8.46,E
183,1965-04,-1.51,E
184,1965-05,1.54,E
185,1965-06,7.87,E
186,1965-07,7.65,E
187,1965-08,8.03,E
188,1965-09,6.44,E
189,1965-10,2.28,E
190,1965-11,-9.57,E
191,1965-12,-14.98,E
192,1966-01,-15.7,E
193,1966-02,-15.52,E
194,1966-03,-6.73,E
195,1966-04,-6.95,E
196,1966-05,2.93,E
197,1966-06,10.26,E
198,1966-07,9.32,E
199,1966-08,8.54,E
200,1966-09,4.14,E
201,1966-10,-0.14,E
202,1966-11,-6.13,E
203,1966-12,-9.99,E
204,1967-01,-12.65,E
205,1967-02,-8.28,E
206,1967-03,-5.01,E
207,1967-04,-4.05,E
208,1967-05,2.22,E
209,1967-06,6.64,E
210,1967-07,8.98,E
211,1967-08,9.18,E
212,1967-09,6.01,E
213,1967-10,-0.57,E
214,1967-11,-3.31,E
215,1967-12,-10.19,E
216,1968-01,-12.08,E
217,1968-02,-11.14,E
218,1968-03,-6.35,E
219,1968-04,-2.05,E
220,1968-05,0.89,E
221,1968-06,9.05,E
222,1968-07,9.62,E
223,1968-08,9.94,E
224,1968-09,6.38,E
225,1968-10,-1.08,E
226,1968-11,-6.92,E
227,1968-12,-7.92,E
228,1969-01,-8.44,E
229,1969-02,-13.32,E
230,1969-03,-8.47,E
231,1969-04,-1.29,E
232,1969-05,4.19,E
233,1969-06,10.57,E
234,1969-07,10.13,E
235,1969-08,12.69,E
236,1969-09,5.16,E
237,1969-10,1.79,E
238,1969-11,-7.53,E
239,1969-12,-9.15,E
240,1970-01,-10.96,E
241,1970-02,-12.89,E
242,1970-03,-7.14,E
243,1970-04,-4.23,E
244,1970-05,4.49,E
245,1970-06,11.86,E
246,1970-07,8.49,E
247,1970-08,10.09,E
248,1970-09,4.56,E
249,1970-10,0.75,E
250,1970-11,-6.72,E
251,1970-12,-5.88,E
252,1971-01,-5.92,E
253,1971-02,-5.62,E
254,1971-03,-7.3,E
255,1971-04,-2.51,E
256,1971-05,4.71,E
257,1971-06,6.6,E
258,1971-07,9.58,E
259,1971-08,9.41,E
260,1971-09,5.39,E
261,1971-10,0.68,E
262,1971-11,-5.86,E
263,1971-12,-3.59,E
264,1972-01,-11.2,E
265,1972-02,-9.65,E
266,1972-03,-4.6,E
267,1972-04,-2.12,E
268,1972-05,4.57,E
269,1972-06,8.36,E
270,1972-07,12.66,E
271,1972-08,8.81,E
272,1972-09,3.9,E
273,1972-10,1.62,E
274,1972-11,-4.23,E
275,1972-12,-2.78,E
276,1973-01,-3.96,E
277,1973-02,-7.08,E
278,1973-03,-1.88,E
279,1973-04,-4.39,E
280,1973-05,3.43,E
281,1973-06,8.93,E
282,1973-07,11.97,E
283,1973-08,8.49,E
284,1973-09,3.9,E
285,1973-10,-1.0,E
286,1973-11,-6.98,E
287,1973-12,-6.56,E
288,1974-01,-4.72,E
289,1974-02,-5.27,E
290,1974-03,-4.39,E
291,1974-04,0.75,E
292,1974-05,4.84,E
293,1974-06,8.06,E
294,1974-07,7.99,E
295,1974-08,8.99,E
296,1974-09,5.77,E
297,1974-10,-1.14,E
298,1974-11,-5.09,E
299,1974-12,-4.96,E
300,1975-01,-5.43,E
301,1975-02,-4.34,E
302,1975-03,-5.19,E
303,1975-04,-3.46,E
304,1975-05,3.76,E
305,1975-06,6.86,E
306,1975-07,11.36,E
307,1975-08,11.47,E
308,1975-09,5.65,E
309,1975-10,1.45,E
310,1975-11,-2.02,E
311,1975-12,-5.04,E
312,1976-01,-9.58,E
313,1976-02,-7.1,E
314,1976-03,-8.08,E
315,1976-04,-3.22,E
316,1976-05,5.17,E
317,1976-06,7.69,E
318,1976-07,10.38,E
319,1976-08,10.74,E
320,1976-09,3.06,E
321,1976-10,-0.21,E
322,1976-11,-4.2,E
323,1976-12,-9.77,E
324,1977-01,-11.05,E
325,1977-02,-11.75,E
326,1977-03,-4.15,E
327,1977-04,-4.84,E
328,1977-05,3.63,E
