,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-0.9,=
1,1950-02,0.0,=
2,1950-03,1.3,=
3,1950-04,4.6,=
4,1950-05,5.6,=
5,1950-06,10.3,=
6,1950-07,13.8,=
7,1950-08,15.6,=
8,1950-09,11.6,=
9,1950-10,8.0,=
10,1950-11,3.8,=
11,1950-12,1.2,=
12,1951-01,-1.1,=
13,1951-02,0.2,=
14,1951-03,-0.2,=
15,1951-04,2.6,=
16,1951-05,4.7,=
17,1951-06,7.7,=
18,1951-07,10.6,=
19,1951-08,14.4,=
20,1951-09,10.9,=
21,1951-10,9.2,=
22,1951-11,1.3,=
23,1951-12,2.3,=
24,1952-01,0.6,=
25,1952-02,-0.3,=
26,1952-03,-0.6,=
27,1952-04,3.8,=
28,1952-05,6.2,=
29,1952-06,10.3,=
30,1952-07,12.1,=
31,1952-08,10.7,=
32,1952-09,8.1,=
33,1952-10,4.6,=
34,1952-11,2.0,=
35,1952-12,-0.4,=
36,1953-01,0.9,=
37,1953-02,-2.4,=
38,1953-03,1.6,=
39,1953-04,2.9,=
40,1953-05,5.8,=
41,1953-06,13.2,=
42,1953-07,14.7,=
43,1953-08,13.5,=
44,1953-09,9.7,=
45,1953-10,8.6,=
46,1953-11,5.3,=
47,1953-12,4.4,=
48,1954-01,0.8,=
49,1954-02,-0.4,=
50,1954-03,0.3,=
51,1954-04,2.4,=
52,1954-05,8.4,=
53,1954-06,8.8,=
54,1954-07,14.5,=
55,1954-08,13.0,=
56,1954-09,9.6,=
57,1954-10,5.7,=
58,1954-11,2.9,=
59,1954-12,3.2,=
60,1955-01,-1.1,=
61,1955-02,-1.3,=
62,1955-03,-0.2,=
63,1955-04,0.4,=
64,1955-05,4.4,=
65,1955-06,7.3,=
66,1955-07,11.0,=
67,1955-08,11.8,=
68,1955-09,10.9,=
69,1955-10,4.7,=
70,1955-11,2.2,=
71,1955-12,-2.9,=
72,1956-01,-1.7,=
73,1956-02,-2.2,=
74,1956-03,1.6,=
75,1956-04,1.1,=
76,1956-05,6.4,=
77,1956-06,8.9,=
78,1956-07,13.0,=
79,1956-08,11.9,=
80,1956-09,8.2,=
81,1956-10,5.5,=
82,1956-11,2.2,=
83,1956-12,1.9,=
84,1957-01,1.04,=
85,1957-02,-0.34,=
86,1957-03,-2.95,=
87,1957-04,, 
88,1957-05,, 
89,1957-06,9.1,=
90,1957-07,16.1,=
91,1957-08,14.75,=
92,1957-09,9.5,=
93,1957-10,6.7,=
94,1957-11,2.85,=
95,1957-12,0.39,=
96,1958-01,-1.6,=
97,1958-02,-1.8,=
98,1958-03,-3.25,=
99,1958-04,2.34,=
100,1958-05,7.75,=
101,1958-06,13.05,=
102,1958-07,15.4,=
103,1958-08,15.0,=
104,1958-09,12.7,=
105,1958-10,8.0,=
106,1958-11,5.5,=
107,1958-12,1.19,=
108,1959-01,-1.65,=
109,1959-02,2.14,=
110,1959-03,2.55,=
111,1959-04,4.69,=
112,1959-05,6.6,=
113,1959-06,11.05,=
114,1959-07,14.75,=
115,1959-08,15.45,=
116,1959-09,8.39,=
117,1959-10,6.25,=
118,1959-11,5.14,=
119,1959-12,1.15,=
120,1960-01,-1.09,=
121,1960-02,-0.4,=
122,1960-03,1.75,=
123,1960-04,4.19,=
124,1960-05,10.2,=
125,1960-06,11.25,=
126,1960-07,14.55,=
127,1960-08,14.4,=
128,1960-09,10.75,=
129,1960-10,4.2,=
130,1960-11,3.15,=
131,1960-12,-0.09,=
132,1961-01,1.55,=
133,1961-02,0.4,=
134,1961-03,2.1,=
135,1961-04,2.95,=
136,1961-05,7.95,=
137,1961-06,14.6,=
138,1961-07,15.7,=
139,1961-08,14.35,=
140,1961-09,11.3,=
141,1961-10,9.3,=
142,1961-11,5.6,=
143,1961-12,0.75,=
144,1962-01,-1.39,=
145,1962-02,0.15,=
146,1962-03,-3.7,=
147,1962-04,3.6,=
148,1962-05,7.3,=
149,1962-06,7.9,=
150,1962-07,11.85,=
151,1962-08,12.5,=
152,1962-09,9.3,=
153,1962-10,6.05,=
154,1962-11,3.05,=
155,1962-12,0.34,=
156,1963-01,-0.95,=
157,1963-02,-1.65,=
158,1963-03,-1.15,=
159,1963-04,2.5,=
160,1963-05,11.75,=
161,1963-06,12.2,=
162,1963-07,13.7,=
163,1963-08,15.35,=
