,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-3.9,""""
1,1950-02,-3.8,""""
2,1950-03,-1.9,""""
3,1950-04,2.6,""""
4,1950-05,3.4,""""
5,1950-06,10.3,""""
6,1950-07,12.0,""""
7,1950-08,13.4,""""
8,1950-09,8.4,""""
9,1950-10,5.3,""""
10,1950-11,0.0,""""
11,1950-12,-2.5,""""
12,1951-01,-4.4,""""
13,1951-02,-2.3,""""
14,1951-03,-3.0,""""
15,1951-04,1.3,""""
16,1951-05,2.9,""""
17,1951-06,6.2,""""
18,1951-07,9.8,""""
19,1951-08,11.7,""""
20,1951-09,7.4,""""
21,1951-10,7.3,""""
22,1951-11,-2.7,""""
23,1951-12,-1.6,""""
24,1952-01,-3.3,""""
25,1952-02,-3.0,""""
26,1952-03,-3.1,""""
27,1952-04,1.7,""""
28,1952-05,4.7,""""
29,1952-06,10.6,""""
30,1952-07,10.6,""""
31,1952-08,8.5,""""
32,1952-09,6.6,""""
33,1952-10,2.0,""""
34,1952-11,-1.1,""""
35,1952-12,-3.8,""""
36,1953-01,-3.0,""""
37,1953-02,-5.1,""""
38,1953-03,-1.4,""""
39,1953-04,0.9,""""
40,1953-05,3.9,""""
41,1953-06,12.2,""""
42,1953-07,12.4,""""
43,1953-08,12.2,""""
44,1953-09,6.8,""""
45,1953-10,5.8,""""
46,1953-11,2.1,""""
47,1953-12,2.6,""""
48,1954-01,-1.7,""""
49,1954-02,-3.3,""""
50,1954-03,-2.2,""""
51,1954-04,1.0,""""
52,1954-05,6.6,""""
53,1954-06,8.2,""""
54,1954-07,14.7,""""
55,1954-08,11.3,""""
56,1954-09,8.0,""""
57,1954-10,2.9,""""
58,1954-11,-0.7,""""
59,1954-12,-0.2,""""
60,1955-01,-3.8,""""
61,1955-02,-5.9,""""
62,1955-03,-2.8,""""
63,1955-04,-0.9,""""
64,1955-05,3.2,""""
65,1955-06,6.1,""""
66,1955-07,10.5,""""
67,1955-08,10.8,""""
68,1955-09,8.9,""""
69,1955-10,2.0,""""
70,1955-11,-1.9,""""
71,1955-12,-6.8,""""
72,1956-01,-5.1,""""
73,1956-02,-4.69,""""
74,1956-03,-0.6,""""
75,1956-04,-1.1,""""
76,1956-05,5.0,""""
77,1956-06,8.8,""""
78,1956-07,12.4,""""
79,1956-08,10.1,""""
80,1956-09,6.1,""""
81,1956-10,3.1,""""
82,1956-11,-1.0,""""
83,1956-12,-1.6,""""
84,1957-01,-0.8,""""
85,1957-02,-4.19,""""
86,1957-03,-1.5,""""
87,1957-04,1.9,""""
88,1957-05,4.2,""""
89,1957-06,6.9,""""
90,1957-07,12.6,""""
91,1957-08,10.3,""""
92,1957-09,7.4,""""
93,1957-10,3.9,""""
94,1957-11,1.5,""""
95,1957-12,-3.4,""""
96,1958-01,-3.8,""""
97,1958-02,-5.7,""""
98,1958-03,-4.19,""""
99,1958-04,1.2,""""
100,1958-05,4.3,""""
101,1958-06,8.6,""""
102,1958-07,10.2,""""
103,1958-08,11.4,""""
104,1958-09,7.4,""""
105,1958-10,4.6,""""
106,1958-11,2.9,""""
107,1958-12,-3.7,""""
108,1959-01,-4.69,""""
109,1959-02,1.6,""""
110,1959-03,1.9,""""
111,1959-04,2.1,""""
112,1959-05,5.3,""""
113,1959-06,9.3,""""
114,1959-07,11.0,""""
115,1959-08,10.7,""""
116,1959-09,6.4,""""
117,1959-10,4.1,""""
118,1959-11,1.9,""""
119,1959-12,-1.9,""""
120,1960-01,-3.9,""""
121,1960-02,-5.3,""""
122,1960-03,0.7,""""
123,1960-04,3.7,""""
124,1960-05,6.4,""""
125,1960-06,8.5,""""
126,1960-07,14.4,""""
127,1960-08,12.4,""""
128,1960-09,8.8,""""
129,1960-10,0.4,""""
130,1960-11,-1.8,""""
131,1960-12,-2.5,""""
132,1961-01,-1.9,""""
133,1961-02,-1.9,""""
134,1961-03,-1.5,""""
135,1961-04,-0.7,""""
136,1961-05,4.8,""""
137,1961-06,9.6,""""
138,1961-07,12.9,""""
139,1961-08,11.9,""""
140,1961-09,8.0,""""
141,1961-10,6.6,""""
142,1961-11,1.6,""""
143,1961-12,-3.8,""""
144,1962-01,-3.6,""""
145,1962-02,-2.9,""""
146,1962-03,-6.3,""""
