,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-30.19,r
1,1950-02,-21.2,r
2,1950-03,-14.8,r
3,1950-04,-4.66,r
4,1950-05,3.03,r
5,1950-06,14.06,r
6,1950-07,17.33,r
7,1950-08,16.8,r
8,1950-09,8.86,r
9,1950-10,-2.97,r
10,1950-11,-18.39,r
11,1950-12,-21.59,r
12,1951-01,-26.88,r
13,1951-02,-30.46,r
14,1951-03,-14.93,r
15,1951-04,-0.33,r
16,1951-05,3.82,r
17,1951-06,11.1,r
18,1951-07,17.34,r
19,1951-08,11.68,r
20,1951-09,9.73,r
21,1951-10,-1.02,r
22,1951-11,-17.48,r
23,1951-12,-17.31,r
24,1952-01,-23.98,r
25,1952-02,-20.04,r
26,1952-03,-18.06,r
27,1952-04,-6.14,r
28,1952-05,3.33,r
29,1952-06,12.33,r
30,1952-07,15.9,r
31,1952-08,12.84,r
32,1952-09,9.04,r
33,1952-10,-7.15,r
34,1952-11,-27.06,r
35,1952-12,-30.41,r
36,1953-01,-21.95,r
37,1953-02,-18.87,r
38,1953-03,-12.05,r
39,1953-04,0.37,r
40,1953-05,3.92,r
41,1953-06,14.59,r
42,1953-07,20.07,r
43,1953-08,12.41,r
44,1953-09,8.02,r
45,1953-10,-4.13,r
46,1953-11,-20.82,r
47,1953-12,-18.18,r
48,1954-01,-24.38,r
49,1954-02,-28.84,r
50,1954-03,-12.81,r
51,1954-04,-3.89,r
52,1954-05,3.45,r
53,1954-06,14.6,r
54,1954-07,16.14,r
55,1954-08,15.77,r
56,1954-09,6.88,r
57,1954-10,-0.66,r
58,1954-11,-16.05,r
59,1954-12,-24.68,r
60,1955-01,-17.06,r
61,1955-02,-27.26,r
62,1955-03,-17.63,r
63,1955-04,-3.68,r
64,1955-05,3.74,r
65,1955-06,13.28,r
66,1955-07,17.42,r
67,1955-08,13.5,r
68,1955-09,5.89,r
69,1955-10,0.07,r
70,1955-11,-12.48,r
71,1955-12,-29.75,r
72,1956-01,-24.75,r
73,1956-02,-22.6,r
74,1956-03,-13.89,r
75,1956-04,-5.81,r
