,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-17.3,E
1,1950-02,-11.26,E
2,1950-03,-6.14,E
3,1950-04,1.48,E
4,1950-05,6.52,E
5,1950-06,13.09,E
6,1950-07,14.88,E
7,1950-08,14.79,E
8,1950-09,9.01,E
9,1950-10,4.78,E
10,1950-11,-3.22,E
11,1950-12,-6.3,E
12,1951-01,-15.43,E
13,1951-02,-10.52,E
14,1951-03,-8.66,E
15,1951-04,0.21,E
16,1951-05,3.25,E
17,1951-06,10.0,E
18,1951-07,13.03,E
19,1951-08,15.85,E
20,1951-09,9.31,E
21,1951-10,5.73,E
22,1951-11,-5.17,E
23,1951-12,-6.83,E
24,1952-01,-8.83,E
25,1952-02,-7.13,E
26,1952-03,-10.03,E
27,1952-04,-0.41,E
28,1952-05,4.66,E
29,1952-06,11.79,E
30,1952-07,14.53,E
31,1952-08,11.47,E
32,1952-09,6.24,E
33,1952-10,-1.45,E
34,1952-11,-5.84,E
35,1952-12,-10.15,E
36,1953-01,-10.92,E
37,1953-02,-14.92,E
38,1953-03,-3.82,E
39,1953-04,0.44,E
40,1953-05,5.91,E
41,1953-06,17.12,E
42,1953-07,14.85,E
43,1953-08,13.92,E
44,1953-09,7.38,E
45,1953-10,4.62,E
46,1953-11,0.04,E
47,1953-12,-1.64,E
48,1954-01,-9.0,E
49,1954-02,-15.39,E
50,1954-03,-4.27,E
51,1954-04,-1.7,E
52,1954-05,8.48,E
53,1954-06,10.47,E
54,1954-07,16.44,E
55,1954-08,14.03,E
56,1954-09,9.48,E
57,1954-10,0.97,E
58,1954-11,-4.2,E
59,1954-12,-2.41,E
60,1955-01,-13.04,E
61,1955-02,-15.86,E
62,1955-03,-9.27,E
63,1955-04,-4.25,E
64,1955-05,3.09,E
65,1955-06,9.95,E
66,1955-07,15.67,E
67,1955-08,14.79,E
68,1955-09,10.05,E
69,1955-10,0.88,E
70,1955-11,-7.63,E
71,1955-12,-17.59,E
72,1956-01,-13.6,E
73,1956-02,-17.53,E
74,1956-03,-9.53,E
75,1956-04,-4.68,E
76,1956-05,4.84,E
77,1956-06,12.53,E
78,1956-07,14.87,E
79,1956-08,11.23,E
80,1956-09,7.05,E
81,1956-10,0.58,E
82,1956-11,-10.22,E
83,1956-12,-9.44,E
84,1957-01,-7.55,E
85,1957-02,-9.32,E
86,1957-03,-9.87,E
87,1957-04,-1.65,E
88,1957-05,4.68,E
89,1957-06,10.27,E
90,1957-07,18.12,E
91,1957-08,14.19,E
92,1957-09,8.08,E
93,1957-10,2.57,E
94,1957-11,-2.28,E
95,1957-12,-8.98,E
96,1958-01,-15.94,E
97,1958-02,-13.8,E
98,1958-03,-10.35,E
99,1958-04,-3.36,E
100,1958-05,4.11,E
101,1958-06,12.02,E
102,1958-07,13.79,E
103,1958-08,14.15,E
104,1958-09,8.86,E
105,1958-10,3.09,E
106,1958-11,1.06,E
107,1958-12,-13.42,E
108,1959-01,-12.49,E
109,1959-02,-5.52,E
110,1959-03,-2.26,E
111,1959-04,-1.55,E
112,1959-05,6.61,E
113,1959-06,11.91,E
114,1959-07,15.03,E
115,1959-08,14.2,E
116,1959-09,6.69,E
117,1959-10,2.14,E
118,1959-11,-3.6,E
119,1959-12,-8.71,E
120,1960-01,-14.53,E
121,1960-02,-13.97,E
122,1960-03,-6.86,E
123,1960-04,-0.66,E
124,1960-05,9.47,E
125,1960-06,14.03,E
126,1960-07,18.46,E
127,1960-08,14.52,E
128,1960-09,8.38,E
129,1960-10,-2.34,E
130,1960-11,-4.95,E
131,1960-12,-6.76,E
132,1961-01,-9.46,E
133,1961-02,-6.41,E
134,1961-03,-3.77,E
135,1961-04,-2.25,E
136,1961-05,5.63,E
137,1961-06,14.22,E
138,1961-07,17.37,E
139,1961-08,13.49,E
140,1961-09,8.63,E
141,1961-10,7.67,E
142,1961-11,0.17,E
143,1961-12,-10.04,E
144,1962-01,-11.57,E
145,1962-02,-9.7,E
146,1962-03,-15.0,E
147,1962-04,1.46,E
148,1962-05,6.21,E
149,1962-06,10.96,E
150,1962-07,13.59,E
151,1962-08,11.34,E
152,1962-09,7.43,E
153,1962-10,4.16,E
154,1962-11,-1.08,E
155,1962-12,-12.37,E
156,1963-01,-13.88,E
157,1963-02,-13.83,E
158,1963-03,-11.57,E
159,1963-04,0.27,E
160,1963-05,8.9,E
161,1963-06,11.65,E
162,1963-07,13.76,E
163,1963-08,14.36,E
164,1963-09,10.95,E
165,1963-10,3.41,E
166,1963-11,-4.6,E
167,1963-12,-7.93,E
168,1964-01,-4.67,E
169,1964-02,-12.98,E
170,1964-03,-8.24,E
171,1964-04,-1.21,E
172,1964-05,6.48,E
173,1964-06,10.71,E
174,1964-07,14.55,E
175,1964-08,13.53,E
176,1964-09,7.34,E
177,1964-10,5.72,E
178,1964-11,-3.27,E
179,1964-12,-8.54,E
180,1965-01,-10.41,E
181,1965-02,-10.13,E
182,1965-03,-8.56,E
183,1965-04,-1.1,E
184,1965-05,3.53,E
185,1965-06,12.03,E
186,1965-07,13.61,E
187,1965-08,11.56,E
188,1965-09,9.87,E
189,1965-10,2.68,E
190,1965-11,-7.98,E
191,1965-12,-13.08,E
192,1966-01,-19.35,E
193,1966-02,-21.1,E
194,1966-03,-11.97,E
195,1966-04,-3.2,E
196,1966-05,4.84,E
197,1966-06,14.06,E
198,1966-07,15.96,E
199,1966-08,12.82,E
200,1966-09,5.68,E
201,1966-10,0.92,E
202,1966-11,-0.59,E
203,1966-12,-7.46,E
204,1967-01,-18.81,E
205,1967-02,-8.24,E
206,1967-03,-3.02,E
207,1967-04,-0.01,E
208,1967-05,5.66,E
209,1967-06,12.13,E
210,1967-07,14.75,E
211,1967-08,15.09,E
212,1967-09,10.25,E
213,1967-10,2.74,E
214,1967-11,1.02,E
215,1967-12,-16.08,E
216,1968-01,-18.73,E
217,1968-02,-15.84,E
218,1968-03,-6.24,E
219,1968-04,-0.17,E
220,1968-05,3.53,E
221,1968-06,12.97,E
222,1968-07,13.81,E
223,1968-08,12.33,E
224,1968-09,6.26,E
225,1968-10,-2.66,E
226,1968-11,-6.55,E
227,1968-12,-3.8,E
228,1969-01,-13.15,E
229,1969-02,-16.95,E
230,1969-03,-10.1,E
231,1969-04,-1.05,E
232,1969-05,4.54,E
233,1969-06,13.14,E
234,1969-07,14.92,E
235,1969-08,15.3,E
236,1969-09,7.81,E
237,1969-10,3.46,E
238,1969-11,-4.64,E
239,1969-12,-9.11,E
240,1970-01,-12.24,E
241,1970-02,-18.32,E
242,1970-03,-5.25,E
243,1970-04,-2.66,E
244,1970-05,5.81,E
245,1970-06,14.35,E
246,1970-07,16.77,E
247,1970-08,14.1,E
248,1970-09,8.04,E
249,1970-10,2.58,E
250,1970-11,-6.84,E
251,1970-12,-6.9,E
252,1971-01,-9.05,E
253,1971-02,-11.76,E
254,1971-03,-11.54,E
255,1971-04,-2.71,E
256,1971-05,5.21,E
257,1971-06,13.09,E
258,1971-07,14.39,E
259,1971-08,13.59,E
260,1971-09,7.18,E
261,1971-10,1.07,E
262,1971-11,-8.66,E
263,1971-12,-6.88,E
264,1972-01,-10.54,E
265,1972-02,-10.49,E
266,1972-03,-5.99,E
267,1972-04,0.24,E
268,1972-05,5.45,E
269,1972-06,14.59,E
270,1972-07,18.55,E
271,1972-08,14.28,E
272,1972-09,8.22,E
273,1972-10,2.32,E
274,1972-11,-6.1,E
275,1972-12,-1.56,E
276,1973-01,-4.61,E
277,1973-02,-8.92,E
278,1973-03,-4.92,E
279,1973-04,0.07,E
280,1973-05,5.9,E
281,1973-06,13.98,E
282,1973-07,19.07,E
283,1973-08,12.57,E
284,1973-09,5.67,E
285,1973-10,-1.7,E
286,1973-11,-6.49,E
287,1973-12,-14.6,E
288,1974-01,-6.94,E
289,1974-02,-6.22,E
290,1974-03,-4.83,E
291,1974-04,0.56,E
292,1974-05,5.54,E
293,1974-06,14.08,E
294,1974-07,15.85,E
295,1974-08,13.86,E
296,1974-09,10.44,E
297,1974-10,1.99,E
298,1974-11,-3.84,E
299,1974-12,-3.75,E
300,1975-01,-8.48,E
301,1975-02,-4.95,E
302,1975-03,-2.16,E
303,1975-04,-0.75,E
304,1975-05,7.37,E
305,1975-06,10.97,E
306,1975-07,13.94,E
307,1975-08,12.79,E
308,1975-09,10.17,E
309,1975-10,3.25,E
310,1975-11,-1.49,E
311,1975-12,-7.99,E
312,1976-01,-15.76,E
313,1976-02,-9.41,E
314,1976-03,-8.94,E
315,1976-04,-0.6,E
316,1976-05,7.95,E
317,1976-06,12.22,E
318,1976-07,14.43,E
319,1976-08,13.65,E
320,1976-09,5.25,E
321,1976-10,0.07,E
322,1976-11,-4.64,E
323,1976-12,-9.05,E
324,1977-01,-10.0,E
325,1977-02,-13.24,E
326,1977-03,-5.59,E
327,1977-04,-1.6,E
328,1977-05,4.82,E
329,1977-06,11.37,E
330,1977-07,14.42,E
331,1977-08,12.46,E
332,1977-09,7.07,E
333,1977-10,1.6,E
334,1977-11,-3.28,E
335,1977-12,-7.55,E
336,1978-01,-11.14,E
337,1978-02,-16.1,E
338,1978-03,-5.99,E
339,1978-04,-1.76,E
340,1978-05,7.27,E
341,1978-06,13.01,E
342,1978-07,14.76,E
343,1978-08,12.74,E
344,1978-09,7.38,E
345,1978-10,1.16,E
346,1978-11,-4.66,E
347,1978-12,-18.14,E
348,1979-01,-16.36,E
349,1979-02,-13.67,E
350,1979-03,-4.57,E
351,1979-04,-1.38,E
352,1979-05,5.8,E
353,1979-06,13.62,E
354,1979-07,16.36,E
355,1979-08,14.66,E
356,1979-09,7.99,E
357,1979-10,0.43,E
358,1979-11,-2.55,E
359,1979-12,-7.08,E
360,1980-01,-13.61,E
361,1980-02,-15.29,E
362,1980-03,-9.48,E
363,1980-04,1.53,E
364,1980-05,6.09,E
365,1980-06,15.43,E
366,1980-07,15.79,E
367,1980-08,13.5,E
368,1980-09,9.11,E
