,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-9.16,E
1,1950-02,-7.52,E
2,1950-03,-3.82,E
3,1950-04,-0.22,E
4,1950-05,3.25,E
5,1950-06,9.09,E
6,1950-07,10.38,E
7,1950-08,12.36,E
8,1950-09,6.82,E
9,1950-10,2.7,E
10,1950-11,-4.01,E
11,1950-12,-8.14,E
12,1951-01,-11.91,E
13,1951-02,-7.02,E
14,1951-03,-9.26,E
15,1951-04,-1.81,E
16,1951-05,1.6,E
17,1951-06,, 
18,1951-07,8.8,E
19,1951-08,12.25,E
20,1951-09,8.15,E
21,1951-10,4.67,E
22,1951-11,-3.13,E
23,1951-12,-2.35,E
24,1952-01,-11.15,E
25,1952-02,-6.61,E
26,1952-03,-7.31,E
27,1952-04,1.01,E
28,1952-05,4.22,E
29,1952-06,8.19,E
30,1952-07,10.53,E
31,1952-08,8.59,E
32,1952-09,3.47,E
33,1952-10,-1.27,E
34,1952-11,-6.5,E
35,1952-12,-9.7,E
36,1953-01,-6.35,E
37,1953-02,-9.62,E
38,1953-03,-0.33,E
39,1953-04,-0.4,E
40,1953-05,4.52,E
41,1953-06,13.77,E
42,1953-07,11.53,E
43,1953-08,10.62,E
44,1953-09,6.34,E
45,1953-10,4.86,E
46,1953-11,-0.72,E
47,1953-12,-3.77,E
48,1954-01,-9.6,E
49,1954-02,-11.92,E
50,1954-03,-5.01,E
51,1954-04,-1.72,E
52,1954-05,6.08,E
53,1954-06,8.55,E
54,1954-07,12.16,E
55,1954-08,10.08,E
56,1954-09,6.17,E
57,1954-10,0.17,E
58,1954-11,-4.47,E
59,1954-12,-3.96,E
60,1955-01,-7.76,E
61,1955-02,-11.51,E
62,1955-03,-7.97,E
63,1955-04,-3.54,E
64,1955-05,0.61,E
65,1955-06,5.9,E
66,1955-07,12.7,E
67,1955-08,12.01,E
68,1955-09,7.7,E
69,1955-10,0.34,E
70,1955-11,-3.17,E
71,1955-12,-9.85,E
72,1956-01,-8.71,E
73,1956-02,-10.92,E
74,1956-03,-4.61,E
75,1956-04,-2.62,E
76,1956-05,4.18,E
77,1956-06,8.24,E
78,1956-07,11.5,E
79,1956-08,8.3,E
80,1956-09,6.63,E
81,1956-10,1.45,E
82,1956-11,-6.85,E
83,1956-12,-5.56,E
84,1957-01,-5.57,E
85,1957-02,-9.42,E
86,1957-03,-5.44,E
87,1957-04,-1.93,E
88,1957-05,2.72,E
89,1957-06,6.46,E
90,1957-07,13.22,E
91,1957-08,9.82,E
92,1957-09,5.57,E
93,1957-10,1.37,E
94,1957-11,-1.94,E
95,1957-12,-5.43,E
96,1958-01,-11.03,E
97,1958-02,-14.23,E
98,1958-03,-13.0,E
99,1958-04,-2.04,E
100,1958-05,2.52,E
101,1958-06,8.48,E
102,1958-07,10.16,E
103,1958-08,11.25,E
104,1958-09,8.49,E
105,1958-10,4.14,E
106,1958-11,0.54,E
107,1958-12,-9.3,E
108,1959-01,-11.63,E
109,1959-02,-3.31,E
110,1959-03,-1.05,E
111,1959-04,0.21,E
112,1959-05,4.55,E
113,1959-06,9.73,E
114,1959-07,12.33,E
115,1959-08,11.4,E
116,1959-09,6.12,E
117,1959-10,2.44,E
118,1959-11,-0.83,E
119,1959-12,-6.03,E
120,1960-01,-11.03,E
121,1960-02,-10.29,E
122,1960-03,-2.87,E
123,1960-04,0.39,E
124,1960-05,5.81,E
125,1960-06,10.83,E
126,1960-07,11.71,E
127,1960-08,11.76,E
128,1960-09,8.0,E
129,1960-10,-2.52,E
130,1960-11,-5.06,E
131,1960-12,-8.33,E
132,1961-01,-8.73,E
133,1961-02,-4.83,E
134,1961-03,-2.55,E
135,1961-04,-1.53,E
136,1961-05,4.47,E
137,1961-06,10.77,E
138,1961-07,11.28,E
139,1961-08,9.86,E
140,1961-09,8.98,E
141,1961-10,6.44,E
142,1961-11,-0.22,E
143,1961-12,-7.81,E
144,1962-01,-7.14,E
145,1962-02,-5.87,E
146,1962-03,-10.01,E
147,1962-04,-1.43,E
148,1962-05,2.87,E
149,1962-06,6.62,E
150,1962-07,, 
151,1962-08,9.34,E
152,1962-09,5.96,E
153,1962-10,3.49,E
154,1962-11,-4.53,E
155,1962-12,-7.06,E
156,1963-01,-8.53,E
157,1963-02,-11.56,E
158,1963-03,-7.24,E
159,1963-04,0.6,E
160,1963-05,7.94,E
161,1963-06,10.8,E
162,1963-07,10.26,E
163,1963-08,12.51,E
164,1963-09,7.74,E
165,1963-10,3.34,E
166,1963-11,-5.11,E
167,1963-12,-4.92,E
168,1964-01,-2.77,E
169,1964-02,-7.7,E
170,1964-03,-5.41,E
171,1964-04,0.66,E
172,1964-05,6.13,E
173,1964-06,8.73,E
174,1964-07,, 
175,1964-08,, 
176,1964-09,, 
177,1964-10,, 
178,1964-11,, 
179,1964-12,, 
