,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-24.7,""""
1,1950-02,-36.09,""""
2,1950-03,-12.2,""""
3,1950-04,-5.8,""""
4,1950-05,8.1,""""
5,1950-06,15.6,""""
6,1950-07,17.3,""""
7,1950-08,13.5,""""
8,1950-09,5.6,""""
9,1950-10,-6.9,""""
10,1950-11,-23.4,""""
11,1950-12,-22.2,""""
12,1951-01,-36.5,""""
13,1951-02,-31.3,""""
14,1951-03,-22.5,""""
15,1951-04,-5.3,""""
16,1951-05,7.8,""""
17,1951-06,12.2,""""
18,1951-07,16.0,""""
19,1951-08,14.3,""""
20,1951-09,5.5,""""
21,1951-10,-9.1,""""
22,1951-11,, 
23,1951-12,, 
24,1952-01,, 
25,1952-02,-25.5,""""
26,1952-03,-16.9,""""
27,1952-04,-5.7,""""
28,1952-05,3.2,""""
29,1952-06,15.2,""""
30,1952-07,16.7,""""
31,1952-08,11.7,""""
32,1952-09,2.5,""""
33,1952-10,-5.3,""""
34,1952-11,-13.0,""""
35,1952-12,-24.9,""""
36,1953-01,-38.2,""""
37,1953-02,-22.3,""""
38,1953-03,-18.4,""""
39,1953-04,-1.6,""""
40,1953-05,7.3,""""
41,1953-06,16.1,""""
42,1953-07,16.7,""""
43,1953-08,12.2,""""
44,1953-09,5.0,""""
45,1953-10,-7.9,""""
46,1953-11,-22.3,""""
47,1953-12,-27.2,""""
48,1954-01,-32.0,""""
49,1954-02,-30.6,""""
50,1954-03,-14.7,""""
51,1954-04,-9.1,""""
52,1954-05,7.1,""""
53,1954-06,14.6,""""
54,1954-07,16.0,""""
55,1954-08,14.3,""""
56,1954-09,4.6,""""
57,1954-10,-5.7,""""
58,1954-11,, 
59,1954-12,-35.4,""""
60,1955-01,-27.8,""""
61,1955-02,-31.6,""""
62,1955-03,-18.4,""""
63,1955-04,-9.7,""""
64,1955-05,5.4,""""
65,1955-06,14.0,""""
66,1955-07,18.2,""""
67,1955-08,11.3,""""
68,1955-09,5.1,""""
69,1955-10,-5.8,""""
70,1955-11,-28.3,""""
71,1955-12,-29.0,""""
72,1956-01,-33.9,""""
73,1956-02,-28.6,""""
74,1956-03,-17.1,""""
75,1956-04,-4.6,""""
76,1956-05,6.6,""""
77,1956-06,13.8,""""
78,1956-07,16.8,""""
79,1956-08,11.9,""""
80,1956-09,3.9,""""
81,1956-10,-11.5,""""
