,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-18.29,""""
1,1950-02,-30.3,""""
2,1950-03,-8.1,""""
3,1950-04,-1.7,""""
4,1950-05,8.6,""""
5,1950-06,14.9,""""
6,1950-07,16.7,""""
7,1950-08,14.3,""""
8,1950-09,8.2,""""
9,1950-10,-3.4,""""
10,1950-11,-21.2,""""
11,1950-12,-20.8,""""
12,1951-01,-30.7,""""
13,1951-02,-22.0,""""
14,1951-03,-18.1,""""
15,1951-04,1.3,""""
16,1951-05,9.6,""""
17,1951-06,13.9,""""
18,1951-07,15.7,""""
19,1951-08,14.3,""""
20,1951-09,8.3,""""
21,1951-10,-5.4,""""
22,1951-11,-11.3,""""
23,1951-12,-21.9,""""
24,1952-01,-28.6,""""
25,1952-02,-19.2,""""
26,1952-03,-12.8,""""
27,1952-04,-2.3,""""
28,1952-05,5.3,""""
29,1952-06,14.7,""""
30,1952-07,15.6,""""
31,1952-08,12.2,""""
32,1952-09,5.9,""""
33,1952-10,-0.8,""""
34,1952-11,-9.2,""""
35,1952-12,-19.6,""""
36,1953-01,-30.3,""""
37,1953-02,-16.29,""""
38,1953-03,-13.6,""""
39,1953-04,2.9,""""
40,1953-05,10.8,""""
41,1953-06,16.6,""""
42,1953-07,16.7,""""
43,1953-08,13.3,""""
44,1953-09,7.3,""""
45,1953-10,-4.4,""""
46,1953-11,-16.6,""""
47,1953-12,-20.1,""""
48,1954-01,-25.9,""""
49,1954-02,-27.2,""""
50,1954-03,-11.3,""""
51,1954-04,-3.1,""""
52,1954-05,10.3,""""
53,1954-06,14.8,""""
54,1954-07,14.6,""""
55,1954-08,13.6,""""
56,1954-09,5.9,""""
57,1954-10,-0.4,""""
58,1954-11,-10.8,""""
59,1954-12,-29.7,""""
60,1955-01,-19.6,""""
61,1955-02,-24.6,""""
62,1955-03,-12.2,""""
63,1955-04,-5.8,""""
64,1955-05,7.8,""""
65,1955-06,13.1,""""
66,1955-07,16.3,""""
67,1955-08,11.7,""""
68,1955-09,6.4,""""
69,1955-10,-4.6,""""
70,1955-11,-23.2,""""
71,1955-12,-22.8,""""
72,1956-01,-29.0,""""
73,1956-02,-23.7,""""
74,1956-03,-14.5,""""
75,1956-04,-0.4,""""
76,1956-05,9.2,""""
77,1956-06,14.3,""""
78,1956-07,16.1,""""
79,1956-08,13.2,""""
80,1956-09,5.5,""""
81,1956-10,-8.3,""""
82,1956-11,-20.4,""""
83,1956-12,-33.4,""""
84,1957-01,-16.9,""""
85,1957-02,-19.2,""""
86,1957-03,-7.7,""""
87,1957-04,0.3,""""
88,1957-05,9.1,""""
89,1957-06,17.8,""""
90,1957-07,15.9,""""
91,1957-08,15.1,""""
92,1957-09,6.4,""""
93,1957-10,-1.6,""""
94,1957-11,-9.5,""""
95,1957-12,-26.4,""""
96,1958-01,-19.29,""""
97,1958-02,-17.0,""""
98,1958-03,-8.89,""""
99,1958-04,1.4,""""
100,1958-05,9.1,""""
101,1958-06,17.0,""""
102,1958-07,16.9,""""
103,1958-08,13.6,""""
104,1958-09,6.0,""""
105,1958-10,-9.6,""""
106,1958-11,-17.0,""""
107,1958-12,-21.8,""""
108,1959-01,-28.9,""""
109,1959-02,-14.5,""""
110,1959-03,-21.5,""""
111,1959-04,-3.3,""""
112,1959-05,8.4,""""
113,1959-06,16.4,""""
114,1959-07,13.1,""""
115,1959-08,12.5,""""
116,1959-09,6.4,""""
117,1959-10,-4.4,""""
118,1959-11,-14.1,""""
119,1959-12,-23.0,""""
120,1960-01,-19.9,""""
121,1960-02,-16.1,""""
122,1960-03,-15.4,""""
123,1960-04,-2.9,""""
124,1960-05,11.7,""""
125,1960-06,13.3,""""
126,1960-07,16.7,""""
127,1960-08,12.8,""""
128,1960-09,5.2,""""
129,1960-10,-3.1,""""
130,1960-11,-18.29,""""
131,1960-12,-14.8,""""
132,1961-01,-18.9,""""
133,1961-02,-20.2,""""
134,1961-03,-17.4,""""
135,1961-04,-3.8,""""
136,1961-05,9.6,""""
137,1961-06,14.9,""""
138,1961-07,15.1,""""
139,1961-08,12.9,""""
140,1961-09,6.7,""""
141,1961-10,-6.0,""""
142,1961-11,-20.1,""""
