,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-3.55,0
1,1950-02,-6.82,0
2,1950-03,1.37,0
3,1950-04,2.88,0
4,1950-05,6.09,0
5,1950-06,10.49,0
6,1950-07,12.62,0
7,1950-08,14.39,0
8,1950-09,9.29,0
9,1950-10,4.01,0
10,1950-11,-4.2,0
11,1950-12,-4.2,0
12,1951-01,-7.58,0
13,1951-02,-3.21,0
14,1951-03,-4.46,0
15,1951-04,3.01,0
16,1951-05,6.9,0
17,1951-06,9.56,0
18,1951-07,15.54,0
19,1951-08,13.15,0
20,1951-09,10.03,0
21,1951-10,3.43,0
22,1951-11,0.71,0
23,1951-12,-4.53,0
24,1952-01,-7.29,0
25,1952-02,-1.75,0
26,1952-03,-0.59,0
27,1952-04,1.86,0
28,1952-05,6.35,0
29,1952-06,10.89,0
30,1952-07,12.66,0
31,1952-08,13.71,0
32,1952-09,10.27,0
33,1952-10,5.65,0
34,1952-11,2.48,0
35,1952-12,-2.01,0
36,1953-01,-5.89,0
37,1953-02,-2.33,0
38,1953-03,-1.49,0
39,1953-04,3.67,0
40,1953-05,6.98,0
41,1953-06,13.03,0
42,1953-07,14.53,0
43,1953-08,13.3,0
44,1953-09,9.23,0
45,1953-10,3.37,0
46,1953-11,0.0,0
47,1953-12,-1.34,0
48,1954-01,-4.06,0
49,1954-02,-7.73,0
50,1954-03,-0.36,0
51,1954-04,2.69,0
52,1954-05,7.27,0
53,1954-06,10.91,0
54,1954-07,13.6,0
55,1954-08,12.98,0
56,1954-09,11.04,0
57,1954-10,5.48,0
58,1954-11,1.54,0
59,1954-12,-7.75,0
60,1955-01,-1.39,0
61,1955-02,-2.59,0
62,1955-03,-0.74,0
63,1955-04,1.48,0
64,1955-05,5.99,0
65,1955-06,8.49,0
66,1955-07,13.53,0
67,1955-08,12.35,0
68,1955-09,9.27,0
69,1955-10,2.48,0
70,1955-11,-4.37,0
71,1955-12,-5.72,0
72,1956-01,-6.94,0
73,1956-02,-5.98,0
74,1956-03,-2.57,0
75,1956-04,2.35,0
76,1956-05,5.24,0
77,1956-06,9.48,0
78,1956-07,13.21,0
79,1956-08,12.73,0
80,1956-09,8.98,0
81,1956-10,2.67,0
82,1956-11,-2.9,0
83,1956-12,-6.24,0
84,1957-01,-3.95,0
85,1957-02,-2.04,0
86,1957-03,1.92,0
87,1957-04,4.62,0
88,1957-05,8.72,0
89,1957-06,13.3,0
90,1957-07,14.14,0
91,1957-08,15.24,0
92,1957-09,10.47,0
93,1957-10,6.61,0
94,1957-11,3.14,0
95,1957-12,-6.12,0
96,1958-01,-1.57,0
97,1958-02,-0.14,0
98,1958-03,1.57,0
99,1958-04,5.46,0
100,1958-05,7.65,0
101,1958-06,11.45,0
102,1958-07,12.46,0
103,1958-08,12.41,0
104,1958-09,9.28,0
105,1958-10,2.63,0
106,1958-11,-1.15,0
107,1958-12,-1.56,0
108,1959-01,-5.01,0
109,1959-02,-0.23,0
110,1959-03,-4.24,0
111,1959-04,3.07,0
112,1959-05,8.55,0
113,1959-06,13.4,0
114,1959-07,12.15,0
115,1959-08,14.24,0
116,1959-09,9.99,0
117,1959-10,4.4,0
118,1959-11,1.14,0
119,1959-12,-2.75,0
120,1960-01,-3.24,0
121,1960-02,1.16,0
122,1960-03,-1.29,0
123,1960-04,2.46,0
124,1960-05,8.55,0
125,1960-06,12.02,0
126,1960-07,13.5,0
127,1960-08,12.92,0
128,1960-09,8.99,0
129,1960-10,5.4,0
