,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-32.55,S
1,1950-02,-29.57,S
2,1950-03,-17.52,S
3,1950-04,-12.35,S
4,1950-05,-2.45,S
5,1950-06,4.07,S
6,1950-07,7.65,S
7,1950-08,6.36,S
8,1950-09,, 
9,1950-10,, 
10,1950-11,, 
11,1950-12,, 
12,1957-01,, 
13,1957-02,, 
14,1957-03,, 
15,1957-04,, 
16,1957-05,, 
17,1957-06,, 
18,1957-07,8.71,S
19,1957-08,6.9,S
20,1957-09,4.11,S
21,1957-10,-6.06,S
22,1957-11,-14.31,S
23,1957-12,-20.87,S
24,1958-01,-21.14,S
25,1958-02,-22.15,S
26,1958-03,-17.45,S
27,1958-04,-14.2,S
28,1958-05,-1.74,S
29,1958-06,4.03,S
30,1958-07,7.92,S
31,1958-08,6.35,S
32,1958-09,3.26,S
33,1958-10,-4.56,S
34,1958-11,-17.14,S
35,1958-12,-17.77,S
36,1959-01,-18.77,S
37,1959-02,-30.88,S
38,1959-03,-27.55,S
39,1959-04,, 
40,1959-05,, 
41,1959-06,, 
42,1959-07,, 
43,1959-08,, 
44,1959-09,, 
45,1959-10,, 
46,1959-11,, 
47,1959-12,, 
48,1977-01,, 
49,1977-02,, 
50,1977-03,, 
51,1977-04,, 
52,1977-05,, 
53,1977-06,, 
54,1977-07,8.05,S
55,1977-08,6.96,S
56,1977-09,2.92,S
57,1977-10,-3.74,S
58,1977-11,-6.79,S
59,1977-12,-23.41,S
60,1978-01,-31.17,S
61,1978-02,-21.77,S
62,1978-03,-27.95,S
63,1978-04,-15.88,S
64,1978-05,-5.92,S
65,1978-06,0.4,S
66,1978-07,5.86,S
67,1978-08,6.64,S
68,1978-09,2.17,S
69,1978-10,-9.76,S
70,1978-11,-21.83,S
71,1978-12,-14.96,S
72,1979-01,-21.86,S
73,1979-02,-31.69,S
74,1979-03,-21.89,S
75,1979-04,-10.88,S
76,1979-05,-0.57,S
77,1979-06,2.91,S
78,1979-07,7.78,S
79,1979-08,6.45,S
80,1979-09,2.11,S
81,1979-10,-2.68,S
82,1979-11,-14.72,S
83,1979-12,-23.6,S
84,1980-01,-20.18,S
85,1980-02,-25.12,S
86,1980-03,-19.16,S
87,1980-04,-15.6,S
88,1980-05,-0.96,S
89,1980-06,4.28,S
90,1980-07,7.79,S
91,1980-08,7.86,S
92,1980-09,1.89,S
93,1980-10,-3.21,S
94,1980-11,-9.77,S
95,1980-12,-22.51,S
96,1981-01,-21.09,S
97,1981-02,-22.22,S
98,1981-03,-12.85,S
99,1981-04,-13.4,S
100,1981-05,-4.84,S
101,1981-06,3.99,S
102,1981-07,8.82,S
103,1981-08,7.84,S
104,1981-09,4.28,S
105,1981-10,-1.74,S
106,1981-11,-11.1,S
107,1981-12,-16.41,S
108,1982-01,-18.94,S
109,1982-02,-29.04,S
110,1982-03,-27.52,S
111,1982-04,-16.12,S
112,1982-05,-5.37,S
113,1982-06,3.79,S
114,1982-07,7.3,S
115,1982-08,6.52,S
116,1982-09,-0.01,S
117,1982-10,-5.52,S
118,1982-11,-13.81,S
119,1982-12,-27.87,S
120,1983-01,-33.91,S
121,1983-02,-31.75,S
122,1983-03,-26.77,S
123,1983-04,-13.53,S
124,1983-05,-5.94,S
125,1983-06,3.8,S
126,1983-07,7.61,S
127,1983-08,5.75,S
128,1983-09,1.76,S
129,1983-10,-5.27,S
130,1983-11,-15.99,S
131,1983-12,-25.92,S
132,1984-01,-33.47,S
133,1984-02,-31.53,S
134,1984-03,-23.04,S
135,1984-04,-15.12,S
136,1984-05,-4.87,S
137,1984-06,3.66,S
138,1984-07,9.05,S
139,1984-08,6.0,S
140,1984-09,1.74,S
141,1984-10,-4.08,S
142,1984-11,-13.34,S
143,1984-12,-24.49,S
144,1985-01,-17.89,S
145,1985-02,-25.0,S
146,1985-03,-24.08,S
147,1985-04,-17.16,S
148,1985-05,-4.07,S
149,1985-06,6.25,S
150,1985-07,8.93,S
151,1985-08,7.98,S
152,1985-09,3.49,S
153,1985-10,-3.14,S
154,1985-11,-9.51,S
155,1985-12,-11.34,S
156,1986-01,-26.11,S
157,1986-02,-20.4,S
158,1986-03,-25.46,S
159,1986-04,-12.63,S
160,1986-05,-3.44,S
161,1986-06,1.57,S
162,1986-07,8.76,S
163,1986-08,5.65,S
164,1986-09,2.71,S
165,1986-10,-10.6,S
166,1986-11,-16.86,S
167,1986-12,-26.48,S
168,1987-01,-28.53,S
169,1987-02,-29.18,S
170,1987-03,-24.77,S
171,1987-04,-15.66,S
172,1987-05,-7.75,S
173,1987-06,3.16,S
174,1987-07,7.17,S
175,1987-08,5.75,S
176,1987-09,4.2,S
177,1987-10,-3.76,S
178,1987-11,-14.01,S
179,1987-12,-21.91,S
180,1988-01,-28.31,S
181,1988-02,-26.18,S
182,1988-03,-20.87,S
183,1988-04,-12.26,S
184,1988-05,-4.41,S
185,1988-06,2.81,S
186,1988-07,7.38,S
187,1988-08,7.37,S
188,1988-09,3.26,S
189,1988-10,-1.27,S
190,1988-11,-12.79,S
191,1988-12,-25.95,S
192,1989-01,-32.0,S
193,1989-02,-30.51,S
194,1989-03,-28.4,S
195,1989-04,-13.3,S
196,1989-05,-7.58,S
197,1989-06,3.39,S
198,1989-07,8.22,S
199,1989-08,6.61,S
200,1989-09,0.96,S
201,1989-10,-6.49,S
202,1989-11,-11.43,S
203,1989-12,-21.04,S
204,1990-01,-29.55,S
205,1990-02,-31.89,S
206,1990-03,-22.65,S
207,1990-04,-16.7,S
208,1990-05,-4.48,S
209,1990-06,3.25,S
210,1990-07,8.21,S
211,1990-08,5.94,S
212,1990-09,2.34,S
213,1990-10,-6.1,S
214,1990-11,-11.83,S
215,1990-12,-27.52,S
216,1991-01,-31.82,S
217,1991-02,-28.79,S
218,1991-03,-22.53,S
219,1991-04,-17.21,S
220,1991-05,-6.65,S
221,1991-06,6.1,S
222,1991-07,9.34,S
223,1991-08,8.28,S
224,1991-09,2.48,S
225,1991-10,-4.59,S
226,1991-11,-9.26,S
227,1991-12,-21.77,S
228,1992-01,-25.18,S
229,1992-02,-33.08,S
230,1992-03,-27.1,S
231,1992-04,-18.45,S
232,1992-05,-7.52,S
233,1992-06,0.66,S
234,1992-07,7.3,S
235,1992-08,6.85,S
236,1992-09,1.73,S
237,1992-10,-2.59,S
238,1992-11,-18.29,S
239,1992-12,-25.41,S
240,1993-01,-31.17,S
241,1993-02,-34.32,S
242,1993-03,-26.93,S
243,1993-04,-18.87,S
244,1993-05,-4.06,S
245,1993-06,3.74,S
246,1993-07,6.05,S
247,1993-08,6.18,S
248,1993-09,2.07,S
249,1993-10,-3.54,S
250,1993-11,-16.52,S
251,1993-12,-26.02,S
