,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-10.58,k
1,1950-02,-4.0,k
2,1950-03,-1.58,k
3,1950-04,4.92,k
4,1950-05,10.35,k
5,1950-06,14.65,k
6,1950-07,16.13,k
7,1950-08,16.73,k
8,1950-09,12.36,k
9,1950-10,6.71,k
10,1950-11,1.99,k
11,1950-12,-0.62,k
12,1951-01,-6.22,E
13,1951-02,-5.98,E
14,1951-03,-5.7,E
15,1951-04,3.89,E
16,1951-05,7.47,E
17,1951-06,13.76,E
18,1951-07,15.43,E
19,1951-08,18.14,E
20,1951-09,12.82,E
21,1951-10,7.4,E
22,1951-11,1.1,E
23,1951-12,0.64,E
24,1952-01,-1.7,k
25,1952-02,-3.26,k
26,1952-03,-7.44,k
27,1952-04,4.14,k
28,1952-05,7.31,k
29,1952-06,13.4,k
30,1952-07,16.38,k
31,1952-08,14.44,k
32,1952-09,8.95,k
33,1952-10,3.05,k
34,1952-11,-1.14,k
35,1952-12,-1.94,k
36,1953-01,-4.27,E
37,1953-02,-7.53,E
38,1953-03,0.17,E
39,1953-04,4.98,E
40,1953-05,9.39,E
41,1953-06,17.14,E
42,1953-07,17.33,E
43,1953-08,15.77,E
44,1953-09,10.68,E
45,1953-10,8.36,E
46,1953-11,2.85,E
47,1953-12,-0.18,E
48,1954-01,-5.4,E
49,1954-02,-9.74,E
50,1954-03,-0.7,E
51,1954-04,2.21,E
52,1954-05,11.55,E
53,1954-06,13.97,E
54,1954-07,17.79,E
55,1954-08,15.98,E
56,1954-09,12.4,E
57,1954-10,6.23,E
58,1954-11,1.26,E
59,1954-12,1.01,E
60,1955-01,-3.81,E
61,1955-02,-6.97,E
62,1955-03,-4.47,E
63,1955-04,-0.26,E
64,1955-05,6.52,E
65,1955-06,12.48,E
66,1955-07,18.36,E
67,1955-08,18.65,E
68,1955-09,14.39,E
69,1955-10,6.96,E
70,1955-11,0.06,E
71,1955-12,-8.53,E
72,1956-01,-6.17,E
73,1956-02,-12.1,E
74,1956-03,-3.23,E
75,1956-04,0.7,E
76,1956-05,9.04,E
77,1956-06,15.88,E
78,1956-07,16.27,E
79,1956-08,13.84,E
80,1956-09,10.03,E
81,1956-10,5.66,E
82,1956-11,-3.0,E
83,1956-12,-1.39,E
84,1957-01,-1.56,E
85,1957-02,-1.46,E
86,1957-03,-5.34,E
87,1957-04,2.36,E
88,1957-05,9.16,E
89,1957-06,13.24,E
90,1957-07,18.45,E
91,1957-08,16.59,E
92,1957-09,10.92,E
93,1957-10,6.83,E
94,1957-11,2.36,E
95,1957-12,-0.72,E
96,1958-01,-7.25,E
97,1958-02,-8.63,E
98,1958-03,-6.6,E
99,1958-04,1.25,E
100,1958-05,7.89,E
101,1958-06,13.24,E
102,1958-07,15.64,E
103,1958-08,15.25,E
104,1958-09,11.69,E
105,1958-10,7.41,E
106,1958-11,4.14,E
107,1958-12,-4.83,E
108,1959-01,-3.57,E
109,1959-02,-1.39,E
110,1959-03,1.32,E
111,1959-04,4.43,E
112,1959-05,10.24,E
113,1959-06,15.66,E
114,1959-07,18.49,E
115,1959-08,17.95,E
116,1959-09,9.76,E
117,1959-10,5.77,E
118,1959-11,2.44,E
119,1959-12,-3.79,E
120,1960-01,-7.88,E
121,1960-02,-7.9,E
122,1960-03,-4.04,E
123,1960-04,2.18,E
124,1960-05,10.83,E
