,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-4.69,""""
1,1950-02,, 
2,1950-03,, 
3,1950-04,-0.2,""""
4,1950-05,2.5,""""
5,1950-06,, 
6,1950-07,7.5,""""
7,1950-08,7.5,""""
8,1950-09,4.2,""""
9,1950-10,1.0,""""
10,1950-11,0.0,""""
11,1950-12,, 
12,1951-01,-3.9,""""
13,1951-02,-5.6,""""
14,1951-03,-3.2,""""
15,1951-04,-1.8,""""
16,1951-05,2.3,""""
17,1951-06,5.6,""""
18,1951-07,8.1,""""
19,1951-08,8.0,""""
20,1951-09,6.4,""""
21,1951-10,2.2,""""
22,1951-11,, 
23,1951-12,-4.4,""""
24,1952-01,-4.3,""""
25,1952-02,-4.0,""""
26,1952-03,-3.0,""""
27,1952-04,-0.4,""""
28,1952-05,2.3,""""
29,1952-06,4.1,""""
30,1952-07,6.9,""""
31,1952-08,7.0,""""
32,1952-09,6.0,""""
33,1952-10,2.6,""""
34,1952-11,0.9,""""
35,1952-12,-0.5,""""
36,1953-01,-4.1,""""
37,1953-02,-2.6,""""
38,1953-03,-4.19,""""
39,1953-04,-0.5,""""
40,1953-05,2.1,""""
41,1953-06,5.5,""""
42,1953-07,6.4,""""
43,1953-08,6.6,""""
44,1953-09,5.5,""""
45,1953-10,1.1,""""
46,1953-11,-0.9,""""
47,1953-12,-4.3,""""
48,1954-01,-4.9,""""
49,1954-02,-4.6,""""
50,1954-03,-1.2,""""
51,1954-04,-2.0,""""
52,1954-05,2.7,""""
53,1954-06,5.2,""""
54,1954-07,8.2,""""
55,1954-08,7.3,""""
56,1954-09,4.4,""""
57,1954-10,1.8,""""
58,1954-11,-1.8,""""
59,1954-12,-3.5,""""
60,1955-01,-4.0,""""
61,1955-02,-2.5,""""
62,1955-03,-3.9,""""
63,1955-04,-0.05,S
64,1955-05,1.85,S
65,1955-06,3.98,S
66,1955-07,6.61,S
67,1955-08,7.76,S
68,1955-09,5.79,S
69,1955-10,3.24,S
70,1955-11,-0.27,S
71,1955-12,, 
72,1956-01,-5.54,S
73,1956-02,-3.45,S
74,1956-03,-1.68,S
75,1956-04,0.23,S
76,1956-05,2.02,S
77,1956-06,3.47,S
78,1956-07,5.42,S
79,1956-08,6.57,S
80,1956-09,5.06,S
