,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,2.4,I
1,1950-02,2.5,I
2,1950-03,4.45,I
3,1950-04,5.98,I
4,1950-05,11.32,I
5,1950-06,12.9,I
6,1950-07,15.8,I
7,1950-08,16.16,I
8,1950-09,11.59,I
9,1950-10,8.27,I
10,1950-11,4.65,I
11,1950-12,0.71,I
12,1951-01,1.19,I
13,1951-02,2.01,I
14,1951-03,0.9,I
15,1951-04,3.9,I
16,1951-05,10.35,I
17,1951-06,12.09,I
18,1951-07,13.08,I
19,1951-08,15.1,I
20,1951-09,13.34,I
21,1951-10,10.29,I
22,1951-11,6.56,I
23,1951-12,4.84,I
24,1952-01,0.77,I
25,1952-02,1.41,I
26,1952-03,2.49,I
27,1952-04,7.71,I
28,1952-05,10.47,I
29,1952-06,10.19,I
30,1952-07,13.35,I
31,1952-08,13.71,I
32,1952-09,9.52,I
33,1952-10,7.03,I
34,1952-11,1.73,I
35,1952-12,2.59,I
36,1953-01,2.11,I
37,1953-02,1.12,I
38,1953-03,4.78,I
39,1953-04,5.18,I
40,1953-05,9.5,I
41,1953-06,16.59,I
42,1953-07,15.29,I
43,1953-08,14.69,I
44,1953-09,12.67,I
45,1953-10,10.3,I
46,1953-11,7.66,I
47,1953-12,4.26,I
48,1954-01,0.88,I
49,1954-02,-0.03,I
50,1954-03,3.22,I
51,1954-04,5.34,I
52,1954-05,12.73,I
53,1954-06,12.85,I
54,1954-07,14.14,I
55,1954-08,15.25,I
56,1954-09,10.67,I
57,1954-10,7.9,I
58,1954-11,5.6,I
59,1954-12,3.96,I
60,1955-01,0.99,I
61,1955-02,-1.1,I
62,1955-03,1.66,I
63,1955-04,5.22,I
64,1955-05,7.36,I
65,1955-06,11.92,I
66,1955-07,16.42,I
67,1955-08,16.42,I
68,1955-09,12.95,I
69,1955-10,7.36,I
70,1955-11,6.09,I
71,1955-12,0.98,I
72,1956-01,0.78,I
73,1956-02,-1.25,I
74,1956-03,3.61,I
75,1956-04,4.75,I
76,1956-05,9.23,I
77,1956-06,11.3,I
78,1956-07,15.24,I
79,1956-08,13.65,I
80,1956-09,12.35,I
81,1956-10,7.18,I
82,1956-11,5.21,I
83,1956-12,3.18,I
84,1957-01,3.48,I
85,1957-02,1.78,I
86,1957-03,5.09,I
87,1957-04,6.52,I
88,1957-05,9.16,I
89,1957-06,11.67,I
90,1957-07,14.68,I
91,1957-08,14.32,I
92,1957-09,10.86,I
93,1957-10,8.33,I
94,1957-11,4.84,I
95,1957-12,3.0,I
96,1958-01,1.23,I
97,1958-02,-0.72,I
98,1958-03,0.68,I
99,1958-04,4.95,I
100,1958-05,7.9,I
101,1958-06,14.06,I
102,1958-07,15.19,I
103,1958-08,14.61,I
104,1958-09,14.41,I
105,1958-10,9.79,I
106,1958-11,6.72,I
107,1958-12,1.69,I
108,1959-01,-0.48,I
109,1959-02,2.3,I
110,1959-03,5.83,I
111,1959-04,7.49,I
112,1959-05,10.52,I
113,1959-06,12.96,I
114,1959-07,15.44,I
115,1959-08,15.66,I
116,1959-09,11.95,I
117,1959-10,9.8,I
118,1959-11,7.28,I
119,1959-12,3.79,I
120,1960-01,0.48,I
121,1960-02,1.22,I
122,1960-03,4.9,I
123,1960-04,6.49,I
124,1960-05,11.36,I
125,1960-06,13.56,I
126,1960-07,14.9,I
127,1960-08,15.93,I
128,1960-09,12.95,I
129,1960-10,8.02,I
130,1960-11,5.47,I
131,1960-12,2.37,I
132,1961-01,0.97,I
133,1961-02,4.17,I
134,1961-03,4.89,I
135,1961-04,6.89,I
136,1961-05,10.0,I
137,1961-06,12.55,I
138,1961-07,14.11,I
139,1961-08,13.78,I
140,1961-09,13.64,I
141,1961-10,11.28,I
