,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-1.8,=
1,1950-02,-1.84,=
2,1950-03,0.04,=
3,1950-04,3.1,=
4,1950-05,3.9,=
5,1950-06,10.85,=
6,1950-07,15.05,=
7,1950-08,15.9,=
8,1950-09,10.2,=
9,1950-10,6.9,=
10,1950-11,2.9,=
11,1950-12,-1.7,=
12,1951-01,-1.84,=
13,1951-02,0.25,=
14,1951-03,-1.5,=
15,1951-04,1.4,=
16,1951-05,3.8,=
17,1951-06,6.6,=
18,1951-07,11.1,=
19,1951-08,13.45,=
20,1951-09,10.7,=
21,1951-10,8.0,=
22,1951-11,0.1,=
23,1951-12,-0.25,=
24,1952-01,-0.94,=
25,1952-02,-0.34,=
26,1952-03,-1.14,=
27,1952-04,2.25,=
28,1952-05,5.15,=
29,1952-06,12.8,=
30,1952-07,11.45,=
31,1952-08,8.5,=
32,1952-09,6.75,=
33,1952-10,2.85,=
34,1952-11,0.54,=
35,1952-12,-2.99,=
36,1953-01,-0.25,=
37,1953-02,-2.65,=
38,1953-03,-0.04,=
39,1953-04,3.19,=
40,1953-05,5.5,=
41,1953-06,12.85,=
42,1953-07,16.1,=
43,1953-08,14.7,=
44,1953-09,7.0,=
45,1953-10,5.9,=
46,1953-11,2.25,=
47,1953-12,2.69,=
48,1954-01,0.4,=
49,1954-02,-1.7,=
50,1954-03,-0.75,=
51,1954-04,1.55,=
52,1954-05,8.5,=
53,1954-06,8.09,=
54,1954-07,15.4,=
55,1954-08,13.4,=
56,1954-09,8.34,=
57,1954-10,5.05,=
58,1954-11,1.84,=
59,1954-12,1.25,=
60,1955-01,-1.04,=
61,1955-02,-4.05,=
62,1955-03,-1.3,=
63,1955-04,-0.29,=
64,1955-05,5.1,=
65,1955-06,6.35,=
66,1955-07,12.2,=
67,1955-08,13.6,=
68,1955-09,9.95,=
69,1955-10,3.4,=
70,1955-11,0.4,=
71,1955-12,-4.19,=
72,1956-01,-0.99,=
73,1956-02,-3.74,=
74,1956-03,-0.45,=
75,1956-04,-0.4,=
76,1956-05,5.5,=
77,1956-06,13.45,=
78,1956-07,15.0,=
79,1956-08,12.79,=
80,1956-09,7.6,=
81,1956-10,5.2,=
82,1956-11,0.7,=
83,1956-12,0.14,=
84,1957-01,0.25,=
85,1957-02,-2.3,=
86,1957-03,-1.55,=
87,1957-04,2.8,=
88,1957-05,4.44,=
89,1957-06,6.6,=
90,1957-07,, 
91,1957-08,13.6,=
92,1957-09,8.05,=
93,1957-10,5.0,=
94,1957-11,1.69,=
95,1957-12,-1.19,=
96,1958-01,-1.75,=
97,1958-02,-1.69,=
98,1958-03,-3.75,=
99,1958-04,1.25,=
100,1958-05,5.55,=
101,1958-06,10.05,=
102,1958-07,11.85,=
103,1958-08,13.55,=
104,1958-09,9.8,=
105,1958-10,7.0,=
106,1958-11,4.25,=
107,1958-12,-0.95,=
108,1959-01,-2.25,=
109,1959-02,1.49,=
110,1959-03,2.6,=
111,1959-04,5.25,=
112,1959-05,7.4,=
113,1959-06,9.89,=
114,1959-07,13.95,=
115,1959-08,13.2,=
116,1959-09,8.1,=
117,1959-10,5.8,=
118,1959-11,4.14,=
119,1959-12,-0.94,=
120,1960-01,-1.7,=
121,1960-02,-1.99,=
122,1960-03,1.35,=
123,1960-04,3.9,=
124,1960-05,9.0,=
125,1960-06,9.8,=
126,1960-07,15.7,=
127,1960-08,13.35,=
128,1960-09,9.7,=
129,1960-10,3.4,=
130,1960-11,0.39,=
131,1960-12,-1.45,=
132,1961-01,0.7,=
133,1961-02,-0.55,=
134,1961-03,0.7,=
135,1961-04,-0.65,=
136,1961-05,5.3,=
137,1961-06,13.1,=
138,1961-07,15.55,=
139,1961-08,12.1,=
140,1961-09,10.75,=
141,1961-10,8.5,=
142,1961-11,3.44,=
143,1961-12,-0.09,=
144,1962-01,-0.34,=
145,1962-02,-1.25,=
146,1962-03,-4.75,=
147,1962-04,3.4,=
148,1962-05,6.35,=
149,1962-06,8.05,=
150,1962-07,11.0,=
151,1962-08,10.8,=
152,1962-09,8.5,=
153,1962-10,4.0,=
154,1962-11,1.15,=
155,1962-12,-0.9,=
156,1963-01,-1.59,=
157,1963-02,-2.19,=
158,1963-03,-2.19,=
159,1963-04,1.84,=
160,1963-05,9.8,=
161,1963-06,12.05,=
162,1963-07,12.15,=
163,1963-08,12.45,=
164,1963-09,11.15,=
165,1963-10,5.85,=
166,1963-11,1.44,=
167,1963-12,-0.3,=
168,1964-01,0.15,=
169,1964-02,-2.04,=
170,1964-03,-0.14,=
171,1964-04,0.7,=
172,1964-05,, 
173,1964-06,, 
174,1964-07,, 
175,1964-08,, 
176,1964-09,7.15,=
177,1964-10,5.65,=
178,1964-11,1.35,=
179,1964-12,-0.04,=
180,1965-01,-2.44,=
181,1965-02,-1.89,=
182,1965-03,-0.5,=
183,1965-04,1.19,=
184,1965-05,, 
185,1965-06,, 
186,1965-07,, 
187,1965-08,, 
188,1965-09,10.8,=
189,1965-10,4.6,=
190,1965-11,0.1,=
191,1965-12,-3.75,=
192,1966-01,-2.19,=
193,1966-02,-6.4,=
194,1966-03,-2.0,=
195,1966-04,-1.2,=
196,1966-05,, 
197,1966-06,, 
198,1966-07,, 
199,1966-08,, 
200,1966-09,6.3,=
201,1966-10,2.15,=
202,1966-11,2.2,=
203,1966-12,-0.89,=
204,1967-01,-2.9,=
205,1967-02,-1.15,=
206,1967-03,-0.15,=
207,1967-04,1.09,=
208,1967-05,, 
209,1967-06,, 
210,1967-07,, 
211,1967-08,, 
212,1967-09,11.1,=
213,1967-10,3.6,=
214,1967-11,3.5,=
215,1967-12,-1.04,=
216,1968-01,-2.19,=
217,1968-02,-1.65,=
218,1968-03,-1.94,=
219,1968-04,0.25,=
220,1968-05,, 
221,1968-06,, 
222,1968-07,, 
223,1968-08,, 
224,1968-09,8.95,=
225,1968-10,2.55,=
226,1968-11,0.64,=
227,1968-12,0.7,=
228,1969-01,-1.9,=
229,1969-02,-4.65,=
230,1969-03,-0.65,=
231,1969-04,3.35,=
232,1969-05,, 
233,1969-06,, 
234,1969-07,, 
235,1969-08,, 
236,1969-09,8.39,=
237,1969-10,5.75,=
238,1969-11,-0.25,=
239,1969-12,-0.29,=
240,1970-01,-0.34,=
241,1970-02,-2.85,=
242,1970-03,0.04,=
243,1970-04,0.0,=
244,1970-05,, 
245,1970-06,, 
246,1970-07,, 
247,1970-08,, 
248,1970-09,9.2,=
249,1970-10,4.54,=
250,1970-11,0.9,=
251,1970-12,0.25,=
252,1971-01,0.0,=
253,1971-02,-2.55,=
254,1971-03,-0.54,=
255,1971-04,0.2,=
256,1971-05,8.39,=
257,1971-06,, 
258,1971-07,, 
259,1971-08,, 
260,1971-09,10.15,=
261,1971-10,3.5,=
262,1971-11,0.09,=
263,1971-12,0.79,=
264,1972-01,0.3,=
265,1972-02,0.09,=
266,1972-03,1.09,=
267,1972-04,-1.34,=
268,1972-05,5.6,=
269,1972-06,13.4,=
270,1972-07,16.85,=
271,1972-08,12.6,=
272,1972-09,7.85,=
273,1972-10,4.39,=
274,1972-11,0.25,=
275,1972-12,3.4,=
276,1973-01,0.3,=
277,1973-02,-4.1,=
278,1973-03,-3.6,=
279,1973-04,-1.09,=
280,1973-05,4.6,=
281,1973-06,11.55,=
282,1973-07,16.7,=
283,1973-08,10.7,=
284,1973-09,6.1,=
285,1973-10,-0.09,=
286,1973-11,-0.84,=
287,1973-12,-3.8,=
