,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-5.98,r
1,1950-02,-12.86,r
2,1950-03,-13.25,r
3,1950-04,-8.5,r
4,1950-05,-3.12,r
5,1950-06,3.02,r
6,1950-07,7.69,r
7,1950-08,8.99,r
8,1950-09,4.75,r
9,1950-10,1.19,r
10,1950-11,-2.97,r
11,1950-12,-8.93,r
12,1951-01,-18.65,r
13,1951-02,-15.54,r
14,1951-03,-16.85,r
15,1951-04,-7.61,r
16,1951-05,0.1,r
17,1951-06,5.18,r
18,1951-07,7.88,r
19,1951-08,8.2,r
20,1951-09,4.63,r
21,1951-10,-0.46,r
22,1951-11,-4.93,r
23,1951-12,-10.7,r
24,1952-01,-14.06,r
25,1952-02,-19.27,r
26,1952-03,-13.45,r
27,1952-04,-9.78,r
28,1952-05,-1.63,r
29,1952-06,4.24,r
30,1952-07,7.36,r
31,1952-08,8.4,r
32,1952-09,5.07,r
33,1952-10,0.29,r
34,1952-11,-3.58,r
35,1952-12,-13.47,r
36,1953-01,-16.21,r
37,1953-02,-18.88,r
38,1953-03,-16.83,r
39,1953-04,-7.55,r
40,1953-05,0.41,r
41,1953-06,6.94,r
42,1953-07,9.47,r
43,1953-08,8.76,r
44,1953-09,5.0,r
45,1953-10,-2.52,r
46,1953-11,-5.31,r
47,1953-12,-15.86,r
48,1954-01,-14.29,r
49,1954-02,-18.79,r
50,1954-03,-12.42,r
51,1954-04,-4.62,r
52,1954-05,2.53,r
53,1954-06,6.63,r
54,1954-07,8.72,r
55,1954-08,8.41,r
56,1954-09,5.0,r
57,1954-10,-0.75,r
58,1954-11,-8.4,r
59,1954-12,-19.5,r
60,1955-01,-13.66,r
61,1955-02,-20.23,r
62,1955-03,-15.17,r
63,1955-04,-10.35,r
64,1955-05,-1.19,r
65,1955-06,4.14,r
66,1955-07,7.88,r
67,1955-08,8.66,r
68,1955-09,4.7,r
69,1955-10,-5.3,r
70,1955-11,-9.82,r
71,1955-12,-10.73,r
72,1956-01,-14.62,r
73,1956-02,-18.88,r
74,1956-03,-15.4,r
75,1956-04,-9.21,r
76,1956-05,0.84,r
77,1956-06,5.35,r
78,1956-07,8.94,r
79,1956-08,7.5,r
80,1956-09,4.71,r
81,1956-10,-2.48,r
82,1956-11,-13.99,r
83,1956-12,-14.56,r
84,1957-01,-8.28,r
85,1957-02,-13.68,r
86,1957-03,-15.5,r
87,1957-04,-4.04,r
88,1957-05,-0.38,r
89,1957-06,6.46,r
90,1957-07,8.06,r
91,1957-08,9.13,r
92,1957-09,3.56,r
93,1957-10,-0.58,r
94,1957-11,-4.8,r
95,1957-12,-17.16,r
96,1958-01,-18.79,r
97,1958-02,-12.59,r
98,1958-03,-10.2,r
99,1958-04,-6.48,r
100,1958-05,-2.97,r
101,1958-06,6.56,r
102,1958-07,9.47,r
103,1958-08,8.46,r
104,1958-09,3.41,r
105,1958-10,-3.22,r
106,1958-11,-8.46,r
107,1958-12,-10.99,r
108,1959-01,-10.39,r
109,1959-02,-9.65,r
110,1959-03,-17.89,r
111,1959-04,-10.95,r
112,1959-05,0.87,r
113,1959-06,4.64,r
114,1959-07,8.11,r
115,1959-08,9.59,r
116,1959-09,4.73,r
117,1959-10,-0.35,r
118,1959-11,-5.27,r
119,1959-12,-18.05,r
120,1960-01,-16.06,r
121,1960-02,-12.81,r
122,1960-03,-8.77,r
123,1960-04,-13.37,r
124,1960-05,0.43,r
125,1960-06,4.0,r
126,1960-07,10.13,r
127,1960-08,9.07,r
128,1960-09,3.87,r
129,1960-10,-0.56,r
130,1960-11,-9.06,r
131,1960-12,-8.49,r
132,1961-01,-12.24,r
133,1961-02,-18.06,r
134,1961-03,-18.41,r
135,1961-04,-9.13,r
136,1961-05,1.73,r
137,1961-06,4.48,r
138,1961-07,7.95,r
139,1961-08,7.85,r
140,1961-09,4.95,r
141,1961-10,-1.82,r
142,1961-11,-6.74,r
143,1961-12,-16.78,r
144,1962-01,-12.42,r
145,1962-02,-8.75,r
146,1962-03,-11.28,r
147,1962-04,-7.39,r
148,1962-05,-0.54,r
149,1962-06,5.12,r
150,1962-07,9.73,r
151,1962-08,9.13,r
152,1962-09,2.89,r
153,1962-10,-1.98,r
154,1962-11,-7.08,r
155,1962-12,-11.86,r
156,1963-01,-6.63,r
157,1963-02,-11.5,r
158,1963-03,-12.88,r
159,1963-04,-8.09,r
160,1963-05,0.7,r
161,1963-06,4.74,r
162,1963-07,8.13,r
163,1963-08,7.19,r
164,1963-09,4.7,r
165,1963-10,-2.75,r
166,1963-11,-9.06,r
167,1963-12,-9.94,r
168,1964-01,-17.38,r
169,1964-02,-23.11,r
170,1964-03,-17.26,r
171,1964-04,-10.5,r
172,1964-05,-2.13,r
173,1964-06,6.72,r
174,1964-07,9.92,r
175,1964-08,8.7,r
176,1964-09,4.61,r
177,1964-10,-0.67,r
178,1964-11,-7.85,r
179,1964-12,-14.55,r
180,1965-01,-17.95,r
181,1965-02,-20.87,r
182,1965-03,-11.03,r
183,1965-04,-7.66,r
184,1965-05,-2.87,r
185,1965-06,4.36,r
186,1965-07,7.13,r
187,1965-08,6.88,r
188,1965-09,3.88,r
189,1965-10,-4.18,r
190,1965-11,-2.39,r
191,1965-12,-17.01,r
192,1966-01,-11.38,r
193,1966-02,-14.15,r
194,1966-03,-18.32,r
195,1966-04,-10.99,r
196,1966-05,-2.59,r
197,1966-06,5.16,r
198,1966-07,8.18,r
199,1966-08,8.62,r
200,1966-09,4.81,r
201,1966-10,-2.82,r
202,1966-11,-4.75,r
203,1966-12,-12.58,r
204,1967-01,-9.98,r
205,1967-02,-13.69,r
206,1967-03,-7.74,r
207,1967-04,-6.55,r
208,1967-05,0.86,r
209,1967-06,6.44,r
210,1967-07,9.76,r
211,1967-08,8.69,r
212,1967-09,5.52,r
213,1967-10,-1.15,r
214,1967-11,-8.21,r
215,1967-12,-11.74,r
216,1968-01,-10.5,r
217,1968-02,-18.33,r
218,1968-03,-12.31,r
219,1968-04,-10.36,r
220,1968-05,-0.87,r
221,1968-06,5.27,r
222,1968-07,9.41,r
223,1968-08,9.94,r
224,1968-09,4.42,r
225,1968-10,-0.49,r
226,1968-11,-7.2,r
227,1968-12,-14.94,r
228,1969-01,-7.81,r
229,1969-02,-17.39,r
230,1969-03,-15.59,r
231,1969-04,-7.59,r
232,1969-05,2.27,r
