,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-9.68,E
1,1950-02,-4.99,E
2,1950-03,-0.85,E
3,1950-04,4.3,E
4,1950-05,10.12,E
5,1950-06,14.44,E
6,1950-07,14.58,E
7,1950-08,14.88,E
8,1950-09,9.64,E
9,1950-10,5.78,E
10,1950-11,-1.79,E
11,1950-12,-7.15,E
12,1951-01,-9.02,E
13,1951-02,-3.72,E
14,1951-03,-7.01,E
15,1951-04,2.88,E
16,1951-05,7.01,E
17,1951-06,13.09,E
18,1951-07,14.38,E
19,1951-08,15.41,E
20,1951-09,11.27,E
21,1951-10,5.56,E
22,1951-11,1.87,E
23,1951-12,-0.94,E
24,1952-01,-6.19,E
25,1952-02,-4.8,E
26,1952-03,-4.74,E
27,1952-04,6.34,E
28,1952-05,8.76,E
29,1952-06,12.41,E
30,1952-07,15.43,E
31,1952-08,13.67,E
32,1952-09,7.99,E
33,1952-10,3.12,E
34,1952-11,-3.16,E
35,1952-12,-6.39,E
36,1953-01,-8.49,E
37,1953-02,-7.93,E
38,1953-03,2.64,E
39,1953-04,5.53,E
40,1953-05,10.62,E
41,1953-06,16.67,E
42,1953-07,15.84,E
43,1953-08,14.47,E
44,1953-09,9.89,E
45,1953-10,8.19,E
46,1953-11,2.46,E
47,1953-12,0.32,E
48,1954-01,-7.82,E
49,1954-02,-10.33,E
50,1954-03,0.34,E
51,1954-04,3.12,E
52,1954-05,11.8,E
53,1954-06,14.42,E
54,1954-07,16.18,E
55,1954-08,14.51,E
56,1954-09,10.41,E
57,1954-10,5.09,E
58,1954-11,-1.05,E
59,1954-12,-0.74,E
60,1955-01,-6.78,E
61,1955-02,-8.47,E
62,1955-03,-3.76,E
63,1955-04,1.76,E
64,1955-05,6.96,E
65,1955-06,12.57,E
66,1955-07,18.66,E
67,1955-08,17.61,E
68,1955-09,12.27,E
69,1955-10,4.59,E
70,1955-11,0.59,E
71,1955-12,-8.54,E
72,1956-01,-9.34,E
73,1956-02,-11.64,E
74,1956-03,-2.96,E
75,1956-04,1.13,E
76,1956-05,9.88,E
77,1956-06,13.95,E
78,1956-07,15.47,E
79,1956-08,12.62,E
80,1956-09,10.02,E
81,1956-10,4.33,E
82,1956-11,-4.39,E
83,1956-12,-3.74,E
84,1957-01,-2.69,E
85,1957-02,-4.34,E
86,1957-03,-3.55,E
87,1957-04,2.91,E
