,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-9.53,E
1,1950-02,-7.05,E
2,1950-03,-0.46,E
3,1950-04,3.46,E
4,1950-05,8.56,E
5,1950-06,13.22,E
6,1950-07,13.91,E
7,1950-08,14.65,E
8,1950-09,9.74,E
9,1950-10,5.73,E
10,1950-11,-1.61,E
11,1950-12,-7.44,E
12,1951-01,-10.38,E
13,1951-02,-5.64,E
14,1951-03,-7.27,E
15,1951-04,2.0,E
16,1951-05,, 
17,1951-06,, 
18,1951-07,, 
19,1951-08,15.86,E
20,1951-09,12.34,E
21,1951-10,6.39,E
22,1951-11,1.28,E
23,1951-12,-1.84,E
24,1952-01,-7.75,E
25,1952-02,-5.93,E
26,1952-03,-4.42,E
27,1952-04,5.42,E
28,1952-05,7.41,E
29,1952-06,12.74,E
30,1952-07,15.24,E
31,1952-08,12.91,E
32,1952-09,7.58,E
33,1952-10,2.28,E
34,1952-11,-4.18,E
35,1952-12,-8.09,E
36,1953-01,-9.94,E
37,1953-02,-8.9,E
38,1953-03,2.61,E
39,1953-04,4.57,E
40,1953-05,9.13,E
41,1953-06,15.73,E
42,1953-07,16.04,E
43,1953-08,14.77,E
44,1953-09,9.57,E
45,1953-10,6.62,E
46,1953-11,1.84,E
47,1953-12,-1.46,E
48,1954-01,-8.71,E
49,1954-02,-10.69,E
50,1954-03,-1.61,E
51,1954-04,2.17,E
52,1954-05,9.34,E
53,1954-06,12.98,E
54,1954-07,15.65,E
55,1954-08,14.03,E
56,1954-09,9.47,E
57,1954-10,3.21,E
58,1954-11,-1.53,E
59,1954-12,-1.79,E
60,1955-01,-6.25,E
61,1955-02,-9.44,E
62,1955-03,-4.53,E
63,1955-04,0.76,E
64,1955-05,5.41,E
65,1955-06,11.91,E
66,1955-07,18.03,E
67,1955-08,16.94,E
68,1955-09,11.36,E
69,1955-10,3.59,E
70,1955-11,-0.68,E
71,1955-12,-9.77,E
72,1956-01,-9.02,E
73,1956-02,-11.58,E
74,1956-03,-3.71,E
75,1956-04,-0.82,E
76,1956-05,8.65,E
77,1956-06,13.44,E
78,1956-07,15.28,E
79,1956-08,11.89,E
80,1956-09,9.82,E
81,1956-10,4.54,E
82,1956-11,-5.72,E
83,1956-12,-5.8,E
84,1957-01,-3.41,E
85,1957-02,-5.89,E
86,1957-03,-5.29,E
87,1957-04,2.09,E
88,1957-05,7.67,E
89,1957-06,11.25,E
90,1957-07,16.29,E
91,1957-08,13.76,E
92,1957-09,8.74,E
93,1957-10,4.31,E
94,1957-11,-0.53,E
95,1957-12,-4.12,E
96,1958-01,-10.03,E
97,1958-02,-12.2,E
98,1958-03,-8.05,E
99,1958-04,0.77,E
100,1958-05,7.14,E
101,1958-06,11.86,E
102,1958-07,14.74,E
103,1958-08,13.7,E
104,1958-09,11.15,E
105,1958-10,6.46,E
106,1958-11,1.39,E
107,1958-12,-6.6,E
108,1959-01,-9.47,E
109,1959-02,-3.48,E
110,1959-03,0.51,E
111,1959-04,4.02,E
112,1959-05,8.74,E
113,1959-06,13.51,E
114,1959-07,17.01,E
115,1959-08,15.24,E
116,1959-09,10.35,E
117,1959-10,4.86,E
118,1959-11,1.05,E
119,1959-12,-2.21,E
120,1960-01,-8.03,E
121,1960-02,-10.54,E
122,1960-03,-2.28,E
123,1960-04,3.18,E
124,1960-05,9.25,E
125,1960-06,15.6,E
126,1960-07,15.59,E
127,1960-08,14.44,E
128,1960-09,9.68,E
129,1960-10,2.36,E
130,1960-11,0.0,E
131,1960-12,-3.42,E
132,1961-01,-7.93,E
133,1961-02,-2.43,E
134,1961-03,2.08,E
135,1961-04,3.63,E
136,1961-05,8.71,E
137,1961-06,15.1,E
138,1961-07,15.18,E
139,1961-08,13.44,E
140,1961-09,10.52,E
141,1961-10,8.61,E
142,1961-11,1.3,E
143,1961-12,-7.53,E
144,1962-01,-6.31,E
145,1962-02,-5.47,E
146,1962-03,-7.83,E
147,1962-04,3.28,E
148,1962-05,6.99,E
149,1962-06,12.31,E
150,1962-07,14.36,E
151,1962-08,12.99,E
152,1962-09,9.3,E
153,1962-10,5.83,E
154,1962-11,-2.26,E
155,1962-12,-7.63,E
156,1963-01,-10.0,E
157,1963-02,-12.71,E
158,1963-03,-5.26,E
159,1963-04,2.85,E
160,1963-05,10.35,E
161,1963-06,13.11,E
162,1963-07,15.76,E
163,1963-08,15.17,E
164,1963-09,11.01,E
165,1963-10,5.33,E
166,1963-11,-0.8,E
167,1963-12,-3.51,E
168,1964-01,-3.13,E
169,1964-02,-6.48,E
170,1964-03,-2.78,E
171,1964-04,4.25,E
172,1964-05,9.98,E
173,1964-06,13.21,E
174,1964-07,14.54,E
175,1964-08,12.6,E
176,1964-09,9.29,E
177,1964-10,4.97,E
178,1964-11,-2.03,E
179,1964-12,-5.65,E
180,1965-01,-4.96,E
181,1965-02,-4.01,E
182,1965-03,-2.89,E
183,1965-04,3.74,E
184,1965-05,7.18,E
185,1965-06,13.61,E
186,1965-07,13.69,E
187,1965-08,13.39,E
188,1965-09,10.06,E
189,1965-10,4.82,E
190,1965-11,-4.96,E
191,1965-12,-12.81,E
192,1966-01,-15.63,E
193,1966-02,-17.33,E
194,1966-03,-4.63,E
195,1966-04,-0.94,E
196,1966-05,8.66,E
197,1966-06,15.86,E
198,1966-07,16.26,E
199,1966-08,13.77,E
200,1966-09,8.35,E
201,1966-10,3.77,E
202,1966-11,-0.02,E
203,1966-12,-4.39,E
