,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-17.2,0
1,1950-02,-27.85,0
2,1950-03,-6.48,0
3,1950-04,-1.73,0
4,1950-05,9.2,0
5,1950-06,14.8,0
6,1950-07,16.93,0
7,1950-08,14.84,0
8,1950-09,8.28,0
9,1950-10,-2.43,0
10,1950-11,-19.95,0
11,1950-12,-18.38,0
12,1951-01,, 
13,1951-02,-19.98,0
14,1951-03,-16.63,0
15,1951-04,1.69,0
16,1951-05,9.43,0
17,1951-06,13.87,0
18,1951-07,15.97,0
19,1951-08,14.19,0
20,1951-09,7.97,0
21,1951-10,-5.0,0
22,1951-11,-9.72,0
23,1951-12,-20.71,0
24,1952-01,-24.73,0
25,1952-02,-17.74,0
26,1952-03,-10.97,0
27,1952-04,-1.57,0
28,1952-05,4.55,0
29,1952-06,14.05,0
30,1952-07,15.2,0
31,1952-08,11.8,0
32,1952-09,5.8,0
33,1952-10,-0.74,0
34,1952-11,-6.52,0
35,1952-12,-16.54,0
36,1953-01,-26.12,0
37,1953-02,-14.77,0
38,1953-03,-10.86,0
39,1953-04,2.94,0
40,1953-05,10.6,0
41,1953-06,16.35,0
42,1953-07,15.95,0
43,1953-08,13.52,0
44,1953-09,7.64,0
45,1953-10,-3.48,0
46,1953-11,-14.86,0
47,1953-12,-18.88,0
48,1954-01,-23.38,0
49,1954-02,-24.77,0
50,1954-03,-9.65,0
51,1954-04,-2.57,0
52,1954-05,9.81,0
53,1954-06,14.2,0
54,1954-07,14.18,0
55,1954-08,13.62,0
56,1954-09,6.13,0
57,1954-10,-0.15,0
58,1954-11,-9.65,0
59,1954-12,-28.56,0
60,1955-01,-16.35,0
61,1955-02,-23.48,0
62,1955-03,-10.59,0
63,1955-04,-5.44,0
64,1955-05,7.43,0
65,1955-06,11.99,0
66,1955-07,15.51,0
67,1955-08,11.06,0
68,1955-09,6.39,0
69,1955-10,-4.45,0
70,1955-11,-21.67,0
71,1955-12,-22.56,0
72,1956-01,-27.78,0
73,1956-02,-22.09,0
74,1956-03,-12.92,0
75,1956-04,-0.67,0
76,1956-05,8.33,0
77,1956-06,13.3,0
78,1956-07,15.52,0
79,1956-08,12.79,0
80,1956-09,5.25,0
81,1956-10,-8.3,0
82,1956-11,-18.87,0
83,1956-12,-30.49,0
84,1957-01,-15.26,0
85,1957-02,-18.85,0
86,1957-03,-6.96,0
87,1957-04,0.55,0
88,1957-05,7.99,0
89,1957-06,16.18,0
90,1957-07,14.95,0
91,1957-08,14.88,0
92,1957-09,6.48,0
93,1957-10,-1.41,0
94,1957-11,-8.62,0
95,1957-12,-25.55,0
