,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-15.6,0
1,1950-02,-12.98,0
2,1950-03,-2.64,0
3,1950-04,1.35,0
4,1950-05,5.95,0
5,1950-06,9.02,0
6,1950-07,11.41,0
7,1950-08,12.6,0
8,1950-09,8.65,0
9,1950-10,1.08,0
10,1950-11,-10.32,0
11,1950-12,-11.64,0
12,1951-01,-14.72,0
13,1951-02,-10.89,0
14,1951-03,-11.83,0
15,1951-04,1.89,0
16,1951-05,6.23,0
17,1951-06,9.58,0
18,1951-07,12.08,0
19,1951-08,12.56,0
20,1951-09,8.64,0
21,1951-10,0.6,0
22,1951-11,-3.73,0
23,1951-12,-12.92,0
24,1952-01,-16.59,0
25,1952-02,-6.89,0
26,1952-03,-5.79,0
27,1952-04,-0.45,0
28,1952-05,4.4,0
29,1952-06,8.84,0
30,1952-07,11.95,0
31,1952-08,11.87,0
32,1952-09,8.04,0
33,1952-10,3.73,0
34,1952-11,0.31,0
35,1952-12,-6.56,0
36,1953-01,-11.97,0
37,1953-02,-6.96,0
38,1953-03,-6.31,0
39,1953-04,2.76,0
40,1953-05,6.45,0
41,1953-06,11.55,0
42,1953-07,13.07,0
43,1953-08,12.15,0
44,1953-09,8.06,0
45,1953-10,0.87,0
46,1953-11,-5.58,0
47,1953-12,-7.71,0
48,1954-01,-13.2,0
49,1954-02,-15.86,0
50,1954-03,-6.78,0
51,1954-04,-1.05,0
52,1954-05,6.8,0
53,1954-06,9.87,0
54,1954-07,11.4,0
55,1954-08,11.49,0
56,1954-09,8.5,0
57,1954-10,4.02,0
58,1954-11,-1.54,0
59,1954-12,-15.81,0
60,1955-01,-6.24,0
61,1955-02,-9.52,0
62,1955-03,-5.41,0
63,1955-04,-1.88,0
64,1955-05,5.42,0
65,1955-06,8.45,0
66,1955-07,11.47,0
67,1955-08,10.65,0
68,1955-09,7.63,0
69,1955-10,0.38,0
70,1955-11,-12.28,0
71,1955-12,-14.46,0
72,1956-01,-16.44,0
73,1956-02,-13.26,0
74,1956-03,-8.35,0
75,1956-04,0.54,0
76,1956-05,5.58,0
77,1956-06,9.01,0
78,1956-07,11.47,0
79,1956-08,11.82,0
80,1956-09,6.79,0
81,1956-10,-1.93,0
82,1956-11,-8.85,0
83,1956-12,-15.66,0
84,1957-01,-11.18,0
85,1957-02,-11.03,0
86,1957-03,-1.36,0
87,1957-04,1.91,0
88,1957-05,7.06,0
89,1957-06,10.87,0
90,1957-07,12.46,0
91,1957-08,12.85,0
92,1957-09,9.05,0
93,1957-10,3.65,0
94,1957-11,1.25,0
95,1957-12,-12.73,0
96,1958-01,-7.08,0
97,1958-02,-5.55,0
98,1958-03,-2.63,0
99,1958-04,3.42,0
100,1958-05,7.27,0
101,1958-06,10.76,0
102,1958-07,12.07,0
103,1958-08,12.09,0
104,1958-09,7.06,0
105,1958-10,-1.03,0
106,1958-11,-6.85,0
107,1958-12,-8.78,0
108,1959-01,-12.2,0
109,1959-02,-5.9,0
110,1959-03,-10.78,0
111,1959-04,0.41,0
112,1959-05,6.88,0
113,1959-06,10.79,0
114,1959-07,11.78,0
115,1959-08,12.08,0
116,1959-09,8.21,0
117,1959-10,0.95,0
118,1959-11,-2.8,0
119,1959-12,-7.24,0
120,1960-01,-7.53,0
121,1960-02,-3.6,0
122,1960-03,-5.36,0
123,1960-04,-0.05,0
124,1960-05,7.4,0
125,1960-06,10.53,0
126,1960-07,12.62,0
127,1960-08,11.18,0
128,1960-09,7.72,0
129,1960-10,2.98,0
130,1960-11,-6.24,0
131,1960-12,-3.29,0
132,1961-01,-5.97,0
133,1961-02,-8.83,0
134,1961-03,-10.52,0
135,1961-04,1.04,0
136,1961-05,6.77,0
137,1961-06,10.27,0
138,1961-07,12.56,0
139,1961-08,11.2,0
140,1961-09,8.75,0
141,1961-10,-1.28,0
142,1961-11,-8.93,0
143,1961-12,-16.79,0
144,1962-01,-11.61,0
145,1962-02,-6.86,0
146,1962-03,-7.82,0
147,1962-04,1.52,0
148,1962-05,5.56,0
149,1962-06,9.38,0
150,1962-07,12.17,0
151,1962-08,12.3,0
152,1962-09,6.64,0
153,1962-10,2.62,0
154,1962-11,-5.11,0
155,1962-12,-8.41,0
156,1963-01,-6.72,0
157,1963-02,-4.28,0
158,1963-03,-5.21,0
159,1963-04,-0.6,0
160,1963-05,6.69,0
161,1963-06,8.55,0
162,1963-07,11.85,0
163,1963-08,12.21,0
164,1963-09,10.3,0
165,1963-10,2.55,0
166,1963-11,-10.68,0
167,1963-12,-3.3,0
168,1964-01,-8.71,0
169,1964-02,-7.47,0
170,1964-03,-9.35,0
171,1964-04,-0.57,0
172,1964-05,3.53,0
173,1964-06,10.1,0
174,1964-07,11.6,0
175,1964-08,11.64,0
176,1964-09,8.69,0
177,1964-10,2.09,0
178,1964-11,-5.94,0
179,1964-12,-18.4,0
180,1965-01,-11.51,0
181,1965-02,-12.52,0
182,1965-03,0.39,0
183,1965-04,2.1,0
184,1965-05,4.8,0
185,1965-06,8.26,0
186,1965-07,11.45,0
187,1965-08,10.66,0
188,1965-09,10.36,0
189,1965-10,-1.28,0
190,1965-11,-8.09,0
191,1965-12,-14.13,0
192,1966-01,-12.14,0
193,1966-02,-10.23,0
194,1966-03,-10.01,0
195,1966-04,0.36,0
196,1966-05,4.49,0
197,1966-06,9.87,0
198,1966-07,11.63,0
199,1966-08,11.15,0
200,1966-09,8.79,0
201,1966-10,-0.23,0
202,1966-11,-8.04,0
203,1966-12,-12.34,0
204,1967-01,-14.77,0
205,1967-02,-10.86,0
206,1967-03,-6.0,0
207,1967-04,0.11,0
208,1967-05,6.17,0
209,1967-06,9.62,0
210,1967-07,11.66,0
211,1967-08,12.54,0
212,1967-09,9.11,0
213,1967-10,3.02,0
214,1967-11,-1.85,0
215,1967-12,-10.69,0
216,1968-01,-13.48,0
217,1968-02,-5.25,0
218,1968-03,-2.77,0
219,1968-04,1.1,0
220,1968-05,8.27,0
221,1968-06,11.49,0
222,1968-07,14.83,0
223,1968-08,13.42,0
224,1968-09,8.12,0
225,1968-10,1.25,0
226,1968-11,-4.5,0
227,1968-12,-17.6,0
228,1969-01,-19.57,0
229,1969-02,-10.49,0
230,1969-03,-3.59,0
231,1969-04,4.69,0
232,1969-05,8.45,0
233,1969-06,12.19,0
234,1969-07,13.69,0
235,1969-08,11.74,0
236,1969-09,9.01,0
237,1969-10,4.66,0
238,1969-11,-6.13,0
239,1969-12,-1.41,0
240,1970-01,-13.37,0
241,1970-02,-0.99,0
242,1970-03,1.46,0
243,1970-04,1.6,0
244,1970-05,7.57,0
245,1970-06,10.98,0
246,1970-07,12.34,0
247,1970-08,11.96,0
248,1970-09,7.49,0
249,1970-10,-0.13,0
250,1970-11,-4.08,0
251,1970-12,-11.49,0
252,1971-01,-20.09,0
253,1971-02,-7.88,0
254,1971-03,-13.65,0
255,1971-04,-0.64,0
256,1971-05,5.28,0
257,1971-06,9.8,0
258,1971-07,11.83,0
259,1971-08,12.52,0
260,1971-09,7.79,0
261,1971-10,1.78,0
262,1971-11,-7.49,0
263,1971-12,-9.93,0
264,1972-01,-15.74,0
265,1972-02,-10.93,0
266,1972-03,-12.45,0
267,1972-04,-4.73,0
268,1972-05,6.9,0
269,1972-06,10.61,0
270,1972-07,14.83,0
271,1972-08,14.02,0
272,1972-09,9.15,0
273,1972-10,2.24,0
274,1972-11,-4.17,0
275,1972-12,-11.86,0
276,1973-01,-20.38,0
277,1973-02,-13.19,0
278,1973-03,-6.46,X
279,1973-04,2.09,0
280,1973-05,6.2,0
281,1973-06,8.79,0
282,1973-07,11.54,0
283,1973-08,10.38,0
284,1973-09,7.09,0
285,1973-10,0.36,0
286,1973-11,-11.38,0
287,1973-12,-9.34,0
288,1974-01,-17.13,0
289,1974-02,-12.11,0
290,1974-03,-7.03,0
291,1974-04,2.07,0
292,1974-05,6.58,0
293,1974-06,9.7,0
294,1974-07,11.08,0
295,1974-08,11.58,0
296,1974-09,9.35,0
297,1974-10,0.94,0
298,1974-11,-5.91,0
299,1974-12,-9.91,0
300,1975-01,-15.97,0
301,1975-02,-15.14,0
302,1975-03,-9.94,0
303,1975-04,-2.89,0
304,1975-05,4.79,0
305,1975-06,8.35,0
306,1975-07,11.85,0
307,1975-08,11.3,0
308,1975-09,7.86,0
309,1975-10,1.42,0
310,1975-11,-10.06,0
311,1975-12,-13.05,0
312,1976-01,-11.2,0
313,1976-02,-14.0,0
314,1976-03,-7.4,0
315,1976-04,0.37,0
316,1976-05,5.63,0
317,1976-06,9.17,0
318,1976-07,13.31,0
319,1976-08,12.85,0
320,1976-09,7.53,0
321,1976-10,-0.14,0
322,1976-11,-1.36,0
323,1976-12,-5.23,0
324,1977-01,-0.82,0
325,1977-02,-1.2,0
326,1977-03,-8.52,0
327,1977-04,-0.59,0
328,1977-05,5.66,0
329,1977-06,10.93,0
330,1977-07,13.77,0
331,1977-08,13.43,0
332,1977-09,7.62,0
333,1977-10,2.0,0
334,1977-11,-13.33,0
335,1977-12,-15.58,0
336,1978-01,-8.48,0
337,1978-02,-5.31,0
338,1978-03,-3.16,0
339,1978-04,1.99,0
340,1978-05,6.55,0
341,1978-06,8.81,0
342,1978-07,11.37,0
343,1978-08,12.01,0
344,1978-09,7.44,0
345,1978-10,2.78,0
346,1978-11,-3.76,0
347,1978-12,-6.83,0
348,1979-01,-6.01,0
349,1979-02,-15.84,0
350,1979-03,-1.73,0
351,1979-04,2.37,0
352,1979-05,7.62,0
353,1979-06,10.63,0
354,1979-07,13.71,0
355,1979-08,13.15,0
356,1979-09,10.34,0
357,1979-10,5.08,0
358,1979-11,0.0,0
359,1979-12,-13.27,0
360,1980-01,-11.91,0
361,1980-02,-3.38,0
362,1980-03,-3.15,0
363,1980-04,4.38,0
364,1980-05,7.67,0
365,1980-06,10.63,0
366,1980-07,12.67,0
367,1980-08,11.1,0
368,1980-09,8.06,0
369,1980-10,3.5,0
370,1980-11,-1.75,0
371,1980-12,-18.33,0
372,1981-01,-0.2,0
373,1981-02,-4.42,0
374,1981-03,2.11,0
375,1981-04,2.1,0
376,1981-05,8.42,0
377,1981-06,9.82,0
378,1981-07,12.68,0
379,1981-08,11.84,0
380,1981-09,7.69,0
381,1981-10,1.33,0
382,1981-11,-5.18,0
383,1981-12,-10.21,0
384,1982-01,-14.32,0
385,1982-02,-9.08,0
386,1982-03,-3.31,0
387,1982-04,-0.86,0
388,1982-05,5.51,0
389,1982-06,9.6,0
390,1982-07,11.72,0
391,1982-08,11.29,0
392,1982-09,7.59,0
393,1982-10,-2.31,0
394,1982-11,-3.56,0
395,1982-12,-2.78,0
396,1983-01,-7.26,0
397,1983-02,-4.17,0
398,1983-03,0.73,0
399,1983-04,4.07,0
400,1983-05,9.49,0
401,1983-06,12.87,0
402,1983-07,14.77,0
403,1983-08,13.13,0
404,1983-09,8.14,0
405,1983-10,3.31,0
406,1983-11,-1.23,0
407,1983-12,-9.18,0
408,1984-01,-9.42,0
409,1984-02,-9.51,0
410,1984-03,0.59,0
411,1984-04,1.16,0
412,1984-05,5.88,0
413,1984-06,10.59,0
414,1984-07,12.16,0
415,1984-08,11.67,0
416,1984-09,8.36,0
417,1984-10,1.11,0
418,1984-11,-7.64,0
419,1984-12,-8.06,0
420,1985-01,-1.4,0
421,1985-02,-12.22,0
422,1985-03,-5.04,0
423,1985-04,-4.63,0
424,1985-05,4.93,0
425,1985-06,8.66,0
426,1985-07,11.69,0
427,1985-08,10.58,0
428,1985-09,7.48,0
429,1985-10,-1.8,0
430,1985-11,-10.69,0
431,1985-12,-2.18,0
432,1986-01,-4.54,0
433,1986-02,-7.07,0
434,1986-03,-5.54,0
435,1986-04,-2.03,0
436,1986-05,5.4,0
437,1986-06,9.71,0
438,1986-07,11.17,0
439,1986-08,10.57,0
440,1986-09,7.37,0
441,1986-10,3.08,0
442,1986-11,-4.14,0
443,1986-12,-2.29,0
444,1987-01,-5.53,0
445,1987-02,-3.28,0
446,1987-03,-3.49,0
447,1987-04,2.2,0
448,1987-05,6.85,0
449,1987-06,10.42,0
450,1987-07,12.33,0
451,1987-08,12.08,0
452,1987-09,7.44,0
453,1987-10,3.09,0
454,1987-11,-2.95,0
455,1987-12,-10.02,0
456,1988-01,-7.81,0
457,1988-02,-5.33,0
458,1988-03,-1.39,0
459,1988-04,2.14,0
460,1988-05,7.38,0
461,1988-06,11.04,0
462,1988-07,12.96,0
463,1988-08,12.47,0
464,1988-09,7.98,0
465,1988-10,1.26,0
466,1988-11,-6.04,0
467,1988-12,-5.63,0
468,1989-01,-19.01,0
469,1989-02,-9.15,0
470,1989-03,-5.85,0
471,1989-04,3.4,0
472,1989-05,7.42,0
473,1989-06,11.1,0
474,1989-07,13.02,0
475,1989-08,13.2,0
476,1989-09,10.04,0
477,1989-10,1.27,0
478,1989-11,-7.49,0
479,1989-12,-4.27,0
480,1990-01,-10.77,0
481,1990-02,-17.7,0
482,1990-03,-3.58,0
483,1990-04,3.15,0
484,1990-05,8.32,0
485,1990-06,11.02,0
486,1990-07,12.72,0
487,1990-08,12.74,0
488,1990-09,8.81,0
489,1990-10,0.7,0
490,1990-11,-12.16,0
491,1990-12,-10.36,0
492,1991-01,-9.48,0
493,1991-02,-7.85,0
494,1991-03,-5.67,0
495,1991-04,2.6,0
496,1991-05,7.24,0
497,1991-06,10.5,0
498,1991-07,11.93,0
499,1991-08,11.29,0
500,1991-09,9.76,0
501,1991-10,0.77,0
502,1991-11,-3.23,0
503,1991-12,-6.22,0
504,1992-01,, 
505,1992-02,-11.46,0
506,1992-03,-5.37,0
507,1992-04,0.24,0
508,1992-05,6.24,0
509,1992-06,10.85,0
510,1992-07,13.17,0
511,1992-08,12.23,0
512,1992-09,3.82,0
513,1992-10,-1.1,0
514,1992-11,-2.98,0
515,1992-12,-10.04,0
516,1993-01,-10.47,0
517,1993-02,-5.9,0
518,1993-03,-2.14,0
519,1993-04,4.37,0
520,1993-05,8.88,0
521,1993-06,10.9,0
522,1993-07,13.93,0
523,1993-08,12.81,0
524,1993-09,8.25,0
525,1993-10,3.57,0
526,1993-11,-3.64,0
527,1993-12,-4.16,0
528,1994-01,-6.11,0
529,1994-02,-8.73,0
530,1994-03,-4.19,0
531,1994-04,3.1,0
532,1994-05,7.2,0
533,1994-06,11.23,0
534,1994-07,12.83,0
535,1994-08,12.58,0
536,1994-09,7.94,0
537,1994-10,0.39,0
538,1994-11,-10.8,0
539,1994-12,-9.68,0
540,1995-01,-9.31,0
541,1995-02,-7.69,0
542,1995-03,-10.32,0
543,1995-04,3.74,0
544,1995-05,8.12,0
545,1995-06,11.28,0
546,1995-07,13.15,0
547,1995-08,12.84,0
548,1995-09,11.15,0
549,1995-10,3.34,0
550,1995-11,-6.27,0
551,1995-12,-6.16,0
552,1996-01,-16.31,0
553,1996-02,-10.55,0
554,1996-03,-2.9,0
555,1996-04,2.48,0
556,1996-05,7.45,0
557,1996-06,11.05,0
558,1996-07,12.6,0
559,1996-08,11.95,0
560,1996-09,7.26,0
561,1996-10,-5.17,0
562,1996-11,-8.02,0
563,1996-12,-13.14,0
564,1997-01,-11.43,0
565,1997-02,-0.78,0
566,1997-03,-5.25,0
567,1997-04,2.89,0
568,1997-05,7.8,0
569,1997-06,12.03,0
570,1997-07,14.64,0
571,1997-08,13.31,0
572,1997-09,9.91,0
573,1997-10,-2.49,0
574,1997-11,-2.65,0
575,1997-12,-9.37,0
576,1998-01,-10.45,0
577,1998-02,-4.16,0
578,1998-03,-1.92,0
579,1998-04,3.43,0
580,1998-05,6.66,0
581,1998-06,11.14,0
582,1998-07,12.91,0
583,1998-08,11.29,0
584,1998-09,8.81,0
585,1998-10,2.59,0
586,1998-11,-5.19,0
587,1998-12,-10.75,0
588,1999-01,-12.26,0
589,1999-02,-16.07,0
590,1999-03,-4.98,0
591,1999-04,0.96,0
592,1999-05,5.62,0
