,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-36.69,C
1,1950-02,-33.0,C
2,1950-03,-24.02,C
3,1950-04,-22.44,C
4,1950-05,-5.71,C
5,1950-06,2.75,C
6,1950-07,5.84,C
7,1950-08,5.33,C
8,1950-09,-2.12,C
9,1950-10,-11.69,C
10,1950-11,-21.24,C
11,1950-12,-22.68,C
12,1951-01,-30.08,C
13,1951-02,-35.09,C
14,1951-03,-23.91,C
15,1951-04,-16.87,C
16,1951-05,-6.48,C
17,1951-06,3.35,C
18,1951-07,5.75,C
19,1951-08,4.32,C
20,1951-09,0.16,C
21,1951-10,-10.35,C
22,1951-11,-22.22,C
23,1951-12,-30.64,C
24,1952-01,-32.44,C
25,1952-02,-31.6,C
26,1952-03,-25.18,C
27,1952-04,-17.88,C
28,1952-05,-3.77,C
29,1952-06,4.34,C
30,1952-07,5.79,C
31,1952-08,4.13,C
32,1952-09,-0.83,C
33,1952-10,-12.65,C
34,1952-11,-19.6,C
35,1952-12,-22.47,C
36,1953-01,-29.07,C
37,1953-02,-27.9,C
38,1953-03,-29.34,C
39,1953-04,-11.32,C
40,1953-05,-8.07,C
41,1953-06,0.55,C
42,1953-07,4.8,C
43,1953-08,5.9,C
44,1953-09,-1.45,C
45,1953-10,-13.53,C
46,1953-11,-25.24,C
47,1953-12,-33.54,C
48,1954-01,-33.56,C
49,1954-02,-31.89,C
50,1954-03,-28.99,C
51,1954-04,-19.51,C
52,1954-05,-6.66,C
53,1954-06,1.29,C
54,1954-07,7.0,C
55,1954-08,,C
56,1954-09,-0.27,C
57,1954-10,-10.59,C
58,1954-11,-22.55,C
59,1954-12,-30.39,C
60,1955-01,-29.6,C
61,1955-02,, 
62,1955-03,-28.52,C
63,1955-04,-19.55,C
64,1955-05,-7.45,C
65,1955-06,1.87,C
66,1955-07,5.44,C
67,1955-08,4.69,C
68,1955-09,-1.78,C
69,1955-10,,C
70,1955-11,-21.52,C
71,1955-12,, 
72,1956-01,-27.45,C
73,1956-02,, 
74,1956-03,, 
75,1956-04,-16.49,C
76,1956-05,-10.99,C
77,1956-06,1.47,C
78,1956-07,6.14,C
79,1956-08,3.82,C
80,1956-09,-2.46,C
81,1956-10,-15.32,C
82,1956-11,-24.18,C
83,1956-12,-31.56,C
84,1957-01,, 
85,1957-02,-28.96,C
86,1957-03,-24.32,C
87,1957-04,-20.16,C
88,1957-05,-8.63,C
89,1957-06,2.33,C
90,1957-07,5.6,C
91,1957-08,4.23,C
92,1957-09,-0.3,C
93,1957-10,-12.27,C
94,1957-11,-25.63,C
95,1957-12,-30.29,C
96,1958-01,-27.99,C
97,1958-02,-31.76,C
98,1958-03,-28.38,C
99,1958-04,-24.48,C
100,1958-05,-4.95,C
101,1958-06,3.26,C
102,1958-07,5.59,C
103,1958-08,4.33,C
104,1958-09,-1.45,C
105,1958-10,-10.43,C
106,1958-11,-26.63,C
107,1958-12,-26.8,C
108,1959-01,-24.7,C
109,1959-02,, 
110,1959-03,, 
111,1959-04,, 
112,1959-05,, 
113,1959-06,, 
114,1959-07,, 
115,1959-08,, 
116,1959-09,-1.98,C
117,1959-10,-14.11,C
118,1959-11,-18.41,C
119,1959-12,-24.81,C
120,1960-01,-28.12,C
121,1960-02,-30.37,C
122,1960-03,, 
123,1960-04,, 
124,1960-05,, 
125,1960-06,3.02,C
126,1960-07,5.84,C
127,1960-08,5.36,C
128,1960-09,-2.14,C
129,1960-10,-8.81,C
130,1960-11,-22.87,C
131,1960-12,-26.78,C
132,1961-01,-30.98,C
133,1961-02,-34.02,C
134,1961-03,-36.32,C
135,1961-04,-17.68,C
136,1961-05,-12.31,C
137,1961-06,1.3,C
138,1961-07,6.17,C
139,1961-08,3.08,C
140,1961-09,-4.44,C
141,1961-10,-14.0,C
142,1961-11,-24.08,C
143,1961-12,-25.25,C
144,1962-01,-32.8,C
145,1962-02,-34.08,C
146,1962-03,-20.4,C
147,1962-04,-19.35,C
148,1962-05,-9.02,C
149,1962-06,3.26,C
150,1962-07,7.59,C
151,1962-08,4.95,C
152,1962-09,-0.84,C
153,1962-10,-10.43,C
154,1962-11,-22.92,C
155,1962-12,-24.94,C
156,1963-01,-25.49,C
157,1963-02,-22.44,C
158,1963-03,-32.13,C
159,1963-04,-18.95,C
160,1963-05,-10.01,C
161,1963-06,1.9,C
162,1963-07,5.39,C
163,1963-08,4.21,C
164,1963-09,-2.05,C
165,1963-10,-11.84,C
166,1963-11,-17.86,C
167,1963-12,-26.76,C
168,1964-01,-32.07,C
169,1964-02,-31.78,C
170,1964-03,-34.21,C
171,1964-04,-23.43,C
172,1964-05,-9.34,C
173,1964-06,1.75,C
174,1964-07,4.01,C
175,1964-08,4.46,C
176,1964-09,0.13,C
