,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-32.59,[
1,1950-02,-29.9,[
2,1950-03,-17.7,[
3,1950-04,-12.4,[
4,1950-05,-2.7,[
5,1950-06,4.1,[
6,1950-07,7.8,[
7,1950-08,6.2,[
8,1950-09,1.9,[
9,1950-10,-6.5,[
10,1950-11,-13.2,[
11,1950-12,-14.4,[
12,1951-01,-30.0,[
13,1951-02,-27.9,[
14,1951-03,-17.6,[
15,1951-04,-10.9,[
16,1951-05,-3.9,[
17,1951-06,4.8,[
18,1951-07,7.6,[
19,1951-08,6.2,[
20,1951-09,3.4,[
21,1951-10,-5.7,[
22,1951-11,-13.6,[
23,1951-12,-24.8,[
24,1952-01,-28.4,[
25,1952-02,-27.9,[
26,1952-03,-20.1,[
27,1952-04,-12.0,[
28,1952-05,0.3,[
29,1952-06,4.9,[
30,1952-07,8.7,[
31,1952-08,6.3,[
32,1952-09,2.3,[
33,1952-10,-7.8,[
34,1952-11,-10.6,[
35,1952-12,-15.9,[
36,1953-01,-27.9,[
37,1953-02,-24.6,[
38,1953-03,-23.2,[
39,1953-04,-4.19,[
40,1953-05,-1.6,[
41,1953-06,3.1,[
42,1953-07,6.3,[
43,1953-08,7.6,[
44,1953-09,1.7,[
45,1953-10,-5.2,[
46,1953-11,-14.7,[
47,1953-12,-29.8,[
48,1954-01,-31.0,[
49,1954-02,-29.6,[
50,1954-03,-18.5,[
51,1954-04,-16.1,[
52,1954-05,-0.5,[
53,1954-06,3.5,[
54,1954-07,9.8,[
55,1954-08,8.8,[
56,1954-09,3.5,[
57,1954-10,-4.8,[
58,1954-11,-17.2,[
59,1954-12,-22.0,[
60,1955-01,-22.3,[
61,1955-02,-23.1,[
62,1955-03,-20.2,[
63,1955-04,-13.8,[
64,1955-05,0.4,[
65,1955-06,6.0,[
66,1955-07,8.8,[
67,1955-08,7.7,[
68,1955-09,1.3,[
69,1955-10,-0.3,[
70,1955-11,-11.2,[
71,1955-12,-16.2,[
72,1956-01,-25.1,[
73,1956-02,-20.9,[
74,1956-03,-22.7,[
75,1956-04,-10.5,[
76,1956-05,-6.1,[
77,1956-06,3.2,[
78,1956-07,7.3,[
79,1956-08,7.0,[
80,1956-09,1.6,[
81,1956-10,-5.8,[
82,1956-11,-16.7,[
83,1956-12,-27.0,[
84,1957-01,-33.8,[
85,1957-02,-25.8,[
86,1957-03,-18.1,[
87,1957-04,-15.0,[
88,1957-05,-5.0,[
89,1957-06,3.3,[
90,1957-07,9.0,[
91,1957-08,6.8,[
92,1957-09,4.1,[
93,1957-10,-6.0,[
94,1957-11,-14.0,[
95,1957-12,-20.7,[
96,1958-01,-21.8,[
97,1958-02,-22.4,[
98,1958-03,-17.1,[
99,1958-04,-14.5,[
100,1958-05,-1.2,[
101,1958-06,4.1,[
102,1958-07,7.5,[
103,1958-08,6.1,[
104,1958-09,2.9,[
105,1958-10,-4.69,[
106,1958-11,-17.29,[
107,1958-12,-17.79,[
108,1959-01,-18.7,[
109,1959-02,-30.9,[
110,1959-03,-27.4,[
111,1959-04,-15.4,[
112,1959-05,-2.7,[
113,1959-06,2.2,[
114,1959-07,7.1,[
115,1959-08,6.4,[
116,1959-09,2.1,[
117,1959-10,-8.8,[
118,1959-11,-11.1,[
119,1959-12,-19.5,[
120,1960-01,-21.3,[
121,1960-02,-14.9,[
122,1960-03,-26.4,[
123,1960-04,-17.9,[
124,1960-05,-1.2,[
125,1960-06,3.7,[
126,1960-07,8.2,[
127,1960-08,6.9,[
128,1960-09,2.7,[
129,1960-10,-1.8,[
130,1960-11,-11.2,[
131,1960-12,-22.0,[
132,1961-01,-29.1,[
133,1961-02,-29.6,[
134,1961-03,-29.6,[
135,1961-04,-10.8,[
136,1961-05,-5.5,[
137,1961-06,4.3,[
138,1961-07,10.0,[
139,1961-08,6.3,[
140,1961-09,1.3,[
141,1961-10,-4.19,[
142,1961-11,-14.7,[
143,1961-12,-15.4,[
144,1962-01,-26.7,[
145,1962-02,-32.9,[
146,1962-03,-13.0,[
147,1962-04,-15.9,[
148,1962-05,-6.0,[
149,1962-06,2.7,[
150,1962-07,6.4,[
151,1962-08,6.4,[
152,1962-09,2.4,[
153,1962-10,-5.3,[
154,1962-11,-10.9,[
155,1962-12,-20.29,[
156,1963-01,-20.6,[
157,1963-02,-19.79,[
158,1963-03,-26.8,[
159,1963-04,-11.1,[
160,1963-05,-4.6,[
161,1963-06,2.0,[
162,1963-07,6.7,[
163,1963-08,7.2,[
164,1963-09,-0.1,[
165,1963-10,-6.1,[
166,1963-11,-12.7,[
167,1963-12,-19.79,[
168,1964-01,-26.8,[
169,1964-02,-25.2,[
170,1964-03,-31.1,[
171,1964-04,-17.29,[
172,1964-05,-4.1,[
173,1964-06,2.5,[
174,1964-07,7.7,[
175,1964-08,7.4,[
176,1964-09,4.1,[
177,1964-10,-7.3,[
178,1964-11,-13.6,[
179,1964-12,-19.2,[
180,1965-01,-27.3,[
181,1965-02,-23.2,[
182,1965-03,-19.79,[
183,1965-04,-16.4,[
184,1965-05,0.2,[
185,1965-06,4.0,[
186,1965-07,8.2,[
187,1965-08,5.3,[
188,1965-09,2.3,[
189,1965-10,-8.0,[
190,1965-11,-10.9,[
191,1965-12,-21.6,[
192,1966-01,-24.3,[
193,1966-02,-21.1,[
194,1966-03,-22.9,[
195,1966-04,-11.3,[
196,1966-05,-4.69,[
197,1966-06,2.8,[
198,1966-07,8.3,[
199,1966-08,8.4,[
200,1966-09,4.8,[
201,1966-10,-0.9,[
202,1966-11,-11.1,[
203,1966-12,-20.9,[
204,1967-01,-23.4,[
205,1967-02,-35.59,[
206,1967-03,-26.5,[
207,1967-04,-17.4,[
208,1967-05,-0.7,[
209,1967-06,2.9,[
210,1967-07,7.7,[
211,1967-08,7.2,[
212,1967-09,1.1,[
213,1967-10,-6.2,[
214,1967-11,-14.6,[
215,1967-12,-19.5,[
216,1968-01,-27.4,[
217,1968-02,-24.2,[
218,1968-03,-26.8,[
219,1968-04,-10.5,[
220,1968-05,-4.19,[
221,1968-06,2.8,[
222,1968-07,6.3,[
223,1968-08,6.7,[
224,1968-09,3.3,[
225,1968-10,0.1,[
226,1968-11,-12.0,[
227,1968-12,-18.9,[
228,1969-01,-19.7,[
229,1969-02,-16.9,[
230,1969-03,-22.9,[
231,1969-04,-19.5,[
232,1969-05,-3.6,[
233,1969-06,3.7,[
234,1969-07,9.8,[
235,1969-08,6.9,[
236,1969-09,1.9,[
237,1969-10,-5.4,[
238,1969-11,-10.4,[
239,1969-12,-20.29,[
240,1970-01,-24.2,[
241,1970-02,-26.3,[
242,1970-03,-18.6,[
243,1970-04,-16.6,[
244,1970-05,-6.8,[
245,1970-06,1.7,[
246,1970-07,5.9,[
247,1970-08,6.4,[
248,1970-09,2.2,[
249,1970-10,-3.2,[
250,1970-11,-9.8,[
251,1970-12,-23.1,[
252,1971-01,-22.3,[
253,1971-02,-26.9,[
254,1971-03,-17.79,[
255,1971-04,-12.8,[
256,1971-05,-4.6,[
257,1971-06,3.7,[
258,1971-07,6.3,[
259,1971-08,7.0,[
260,1971-09,1.3,[
261,1971-10,-3.2,[
262,1971-11,-11.8,[
263,1971-12,-29.8,[
264,1972-01,-32.4,[
265,1972-02,-31.0,[
266,1972-03,-27.4,[
267,1972-04,-15.1,[
268,1972-05,-6.7,[
269,1972-06,0.0,[
270,1972-07,5.6,[
271,1972-08,5.1,[
272,1972-09,0.8,[
273,1972-10,-7.0,[
274,1972-11,-15.4,[
275,1972-12,-28.6,[
276,1973-01,-29.1,[
277,1973-02,-29.7,[
278,1973-03,-25.4,[
279,1973-04,-14.3,[
280,1973-05,-3.2,[
281,1973-06,3.5,[
282,1973-07,7.2,[
283,1973-08,7.9,[
284,1973-09,4.2,[
285,1973-10,-2.7,[
286,1973-11,-7.5,[
287,1973-12,-22.8,[
288,1974-01,-30.9,[
289,1974-02,-26.3,[
290,1974-03,-25.1,[
291,1974-04,-17.1,[
292,1974-05,-2.7,[
293,1974-06,5.3,[
294,1974-07,8.4,[
295,1974-08,7.0,[
296,1974-09,1.6,[
297,1974-10,-5.0,[
298,1974-11,-13.8,[
299,1974-12,-28.0,[
300,1975-01,-30.3,[
301,1975-02,-24.8,[
302,1975-03,-25.6,[
303,1975-04,-16.1,[
304,1975-05,-3.2,[
305,1975-06,6.8,[
306,1975-07,7.6,[
307,1975-08,8.3,[
308,1975-09,2.6,[
309,1975-10,-2.9,[
310,1975-11,-12.5,[
311,1975-12,-22.6,[
312,1976-01,-25.5,[
313,1976-02,-29.5,[
314,1976-03,-25.5,[
315,1976-04,-14.5,[
316,1976-05,-2.7,[
317,1976-06,3.3,[
318,1976-07,5.8,[
319,1976-08,5.0,[
320,1976-09,1.7,[
321,1976-10,, 
322,1976-11,-13.3,[
323,1976-12,-22.1,[
324,1977-01,-16.29,[
325,1977-02,-24.9,[
326,1977-03,-16.29,[
327,1977-04,-13.9,[
328,1977-05,-2.4,[
329,1977-06,4.3,[
330,1977-07,8.1,[
331,1977-08,6.9,[
332,1977-09,2.5,[
333,1977-10,-3.8,[
334,1977-11,-7.0,[
335,1977-12,-23.0,[
336,1978-01,-30.9,[
337,1978-02,-21.9,[
338,1978-03,-27.6,[
339,1978-04,-15.9,[
340,1978-05,-6.1,[
341,1978-06,0.5,[
342,1978-07,5.7,[
343,1978-08,6.7,[
344,1978-09,1.9,[
345,1978-10,-10.0,[
346,1978-11,-21.9,[
347,1978-12,-15.2,[
348,1979-01,-21.7,[
349,1979-02,-32.2,[
350,1979-03,-21.7,[
351,1979-04,-11.1,[
352,1979-05,-0.4,[
353,1979-06,2.6,[
354,1979-07,7.4,[
355,1979-08,6.2,[
356,1979-09,2.0,[
357,1979-10,-3.4,[
