,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,,k
1,1950-02,,k
2,1950-03,,k
3,1950-04,,k
4,1950-05,,k
5,1950-06,,k
6,1950-07,,k
7,1950-08,,k
8,1950-09,,k
9,1950-10,,k
10,1950-11,,k
11,1950-12,,k
12,1951-01,-6.3,E
13,1951-02,-6.06,E
14,1951-03,-5.78,E
15,1951-04,3.81,E
16,1951-05,7.39,E
17,1951-06,13.68,E
18,1951-07,15.35,E
19,1951-08,18.06,E
20,1951-09,12.74,E
21,1951-10,7.32,E
22,1951-11,1.02,E
23,1951-12,0.56,E
24,1952-01,-1.78,k
25,1952-02,-3.34,k
26,1952-03,-7.52,k
27,1952-04,4.06,k
28,1952-05,7.23,k
29,1952-06,13.32,k
30,1952-07,16.3,k
31,1952-08,14.36,k
32,1952-09,8.87,k
33,1952-10,2.97,k
34,1952-11,-1.22,k
35,1952-12,-2.02,k
36,1953-01,-4.35,E
37,1953-02,-7.61,E
38,1953-03,0.09,E
39,1953-04,4.9,E
40,1953-05,9.31,E
41,1953-06,17.06,E
42,1953-07,17.25,E
43,1953-08,15.69,E
44,1953-09,10.6,E
45,1953-10,8.28,E
46,1953-11,2.77,E
47,1953-12,-0.26,E
48,1954-01,-5.48,E
49,1954-02,-9.82,E
50,1954-03,-0.78,E
51,1954-04,2.13,E
52,1954-05,11.47,E
53,1954-06,13.89,E
54,1954-07,17.71,E
55,1954-08,15.9,E
56,1954-09,12.32,E
57,1954-10,6.15,E
58,1954-11,1.18,E
59,1954-12,0.93,E
60,1955-01,-3.89,E
61,1955-02,-7.05,E
62,1955-03,-4.55,E
63,1955-04,-0.34,E
64,1955-05,6.44,E
65,1955-06,12.4,E
66,1955-07,18.28,E
67,1955-08,18.57,E
68,1955-09,14.31,E
69,1955-10,6.88,E
70,1955-11,-0.02,E
71,1955-12,-8.61,E
72,1956-01,-6.25,E
73,1956-02,-12.18,E
74,1956-03,-3.31,E
75,1956-04,0.62,E
76,1956-05,8.96,E
77,1956-06,15.8,E
78,1956-07,16.19,E
79,1956-08,13.76,E
80,1956-09,9.95,E
81,1956-10,5.58,E
82,1956-11,-3.08,E
83,1956-12,-1.47,E
84,1957-01,-1.64,E
85,1957-02,-1.54,E
86,1957-03,-5.42,E
87,1957-04,2.28,E
88,1957-05,9.08,E
89,1957-06,13.16,E
90,1957-07,18.37,E
91,1957-08,16.51,E
92,1957-09,10.84,E
93,1957-10,6.75,E
94,1957-11,2.28,E
95,1957-12,-0.8,E
96,1958-01,-7.33,E
97,1958-02,-8.71,E
98,1958-03,-6.68,E
99,1958-04,1.17,E
100,1958-05,7.81,E
101,1958-06,13.16,E
102,1958-07,15.56,E
103,1958-08,15.17,E
104,1958-09,11.61,E
105,1958-10,7.33,E
106,1958-11,4.06,E
107,1958-12,-4.91,E
108,1959-01,-3.65,E
109,1959-02,-1.47,E
110,1959-03,1.24,E
111,1959-04,4.35,E
112,1959-05,10.16,E
113,1959-06,15.58,E
114,1959-07,18.41,E
115,1959-08,17.87,E
116,1959-09,9.68,E
117,1959-10,5.69,E
118,1959-11,2.36,E
119,1959-12,-3.87,E
120,1960-01,-7.96,E
121,1960-02,-7.98,E
122,1960-03,-4.12,E
123,1960-04,2.1,E
124,1960-05,10.75,E
125,1960-06,16.13,E
126,1960-07,18.24,E
127,1960-08,16.32,E
128,1960-09,11.59,E
129,1960-10,4.89,E
130,1960-11,0.59,E
131,1960-12,0.73,E
132,1961-01,-2.54,E
133,1961-02,0.53,E
134,1961-03,1.27,E
135,1961-04,3.36,E
136,1961-05,9.87,E
137,1961-06,17.29,E
138,1961-07,16.48,E
139,1961-08,14.91,E
140,1961-09,11.05,E
141,1961-10,9.99,E
142,1961-11,3.3,E
143,1961-12,-3.77,E
144,1962-01,-3.09,E
145,1962-02,-4.48,E
146,1962-03,-6.81,E
147,1962-04,4.01,E
148,1962-05,8.62,E
149,1962-06,11.99,E
150,1962-07,15.39,E
151,1962-08,13.63,E
152,1962-09,10.34,E
153,1962-10,7.48,E
154,1962-11,2.4,E
155,1962-12,-5.31,E
156,1963-01,-8.93,E
157,1963-02,-9.88,E
158,1963-03,-7.88,E
159,1963-04,2.95,E
160,1963-05,12.61,E
161,1963-06,14.67,E
162,1963-07,16.8,E
163,1963-08,16.87,E
164,1963-09,13.7,E
165,1963-10,6.74,E
166,1963-11,1.3,E
167,1963-12,-2.9,E
168,1964-01,-2.24,E
169,1964-02,-7.93,E
170,1964-03,-3.51,E
171,1964-04,2.89,E
172,1964-05,9.46,E
173,1964-06,14.8,E
174,1964-07,17.04,E
175,1964-08,15.43,E
176,1964-09,10.99,E
177,1964-10,8.04,E
178,1964-11,0.64,E
179,1964-12,-1.09,E
180,1965-01,-2.93,E
181,1965-02,-6.97,E
182,1965-03,-3.0,E
183,1965-04,3.57,E
184,1965-05,7.1,E
185,1965-06,15.16,E
186,1965-07,15.16,E
187,1965-08,15.09,E
188,1965-09,13.22,E
189,1965-10,6.56,E
190,1965-11,-3.02,E
191,1965-12,-2.73,E
192,1966-01,-12.23,E
193,1966-02,-12.41,E
194,1966-03,-2.12,E
195,1966-04,0.21,E
196,1966-05,9.27,E
197,1966-06,16.73,E
198,1966-07,18.11,E
