,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1951-01,-5.39,""""
1,1951-02,-4.69,""""
2,1951-03,-4.89,""""
3,1951-04,4.31,""""
4,1951-05,7.51,""""
5,1951-06,13.81,""""
6,1951-07,15.81,""""
7,1951-08,18.81,""""
8,1951-09,13.31,""""
9,1951-10,8.51,""""
10,1951-11,2.11,""""
11,1951-12,1.71,""""
12,1952-01,-1.19,""""
13,1952-02,-2.89,""""
14,1952-03,-7.68,""""
15,1952-04,5.11,""""
16,1952-05,8.71,""""
17,1952-06,14.01,""""
18,1952-07,16.61,""""
19,1952-08,14.51,""""
20,1952-09,9.41,""""
21,1952-10,3.71,""""
22,1952-11,-1.69,""""
23,1952-12,-2.09,""""
24,1953-01,-3.69,""""
25,1953-02,-6.69,""""
26,1953-03,0.61,""""
27,1953-04,6.11,""""
28,1953-05,10.11,""""
29,1953-06,17.61,""""
30,1953-07,17.31,""""
31,1953-08,15.91,""""
32,1953-09,10.81,""""
33,1953-10,8.81,""""
34,1953-11,3.31,""""
35,1953-12,1.11,""""
36,1954-01,-4.99,""""
37,1954-02,-9.59,""""
38,1954-03,0.21,""""
39,1954-04,2.31,""""
40,1954-05,12.91,""""
41,1954-06,13.91,""""
42,1954-07,17.61,""""
43,1954-08,16.21,""""
44,1954-09,12.21,""""
45,1954-10,6.31,""""
46,1954-11,1.11,""""
47,1954-12,1.51,""""
48,1955-01,-3.59,""""
49,1955-02,-7.09,""""
50,1955-03,-4.69,""""
51,1955-04,-0.19,""""
52,1955-05,6.91,""""
53,1955-06,12.71,""""
54,1955-07,18.61,""""
55,1955-08,18.91,""""
56,1955-09,14.01,""""
57,1955-10,6.11,""""
58,1955-11,0.71,""""
59,1955-12,-7.19,""""
60,1956-01,-7.19,""""
61,1956-02,-11.69,""""
62,1956-03,-2.39,""""
63,1956-04,1.31,""""
64,1956-05,9.21,""""
65,1956-06,15.61,""""
66,1956-07,16.31,""""
67,1956-08,13.41,""""
68,1956-09,10.11,""""
69,1956-10,5.51,""""
70,1956-11,-3.48,""""
71,1956-12,-1.49,""""
72,1957-01,-1.29,""""
73,1957-02,-2.39,""""
74,1957-03,-4.89,""""
75,1957-04,2.51,""""
76,1957-05,8.91,""""
77,1957-06,12.81,""""
78,1957-07,17.81,""""
79,1957-08,15.61,""""
80,1957-09,10.01,""""
81,1957-10,6.71,""""
82,1957-11,1.81,""""
83,1957-12,-1.09,""""
84,1958-01,-6.89,""""
85,1958-02,-8.99,""""
86,1958-03,-6.49,""""
87,1958-04,1.91,""""
88,1958-05,8.41,""""
89,1958-06,13.91,""""
90,1958-07,16.51,""""
91,1958-08,15.21,""""
92,1958-09,11.61,""""
93,1958-10,7.41,""""
94,1958-11,4.41,""""
95,1958-12,-4.39,""""
96,1971-01,,k
97,1971-02,,k
98,1971-03,,k
99,1971-04,,k
100,1971-05,,k
101,1971-06,,k
102,1971-07,,k
103,1971-08,,k
104,1971-09,,k
105,1971-10,,k
106,1971-11,,k
107,1971-12,,k
108,1980-01,-7.1,k
109,1980-02,-8.0,k
110,1980-03,-4.6,k
111,1980-04,6.29,k
112,1980-05,8.78,k
113,1980-06,18.18,k
114,1980-07,17.8,k
115,1980-08,15.94,k
116,1980-09,12.36,k
117,1980-10,5.89,k
118,1980-11,-1.7,k
119,1980-12,-2.05,k
120,1987-01,-16.09,k
121,1987-02,-5.94,k
122,1987-03,-5.09,k
123,1987-04,3.93,k
124,1987-05,8.63,k
125,1987-06,13.35,k
126,1987-07,16.24,k
127,1987-08,13.21,k
128,1987-09,10.1,k
129,1987-10,8.31,k
130,1987-11,1.27,k
131,1987-12,-2.47,k
132,1998-01,,k
133,1998-02,,k
134,1998-03,,k
135,1998-04,,k
136,1998-05,,k
137,1998-06,,k
138,1998-07,,k
139,1998-08,,k
140,1998-09,,k
141,1998-10,,k
142,1998-11,,k
143,1998-12,,k
144,1999-01,-4.75,k
145,1999-02,-5.74,k
146,1999-03,-0.2,k
147,1999-04,6.5,k
148,1999-05,8.77,k
149,1999-06,17.76,k
150,1999-07,19.18,k
151,1999-08,16.37,E
152,1999-09,14.33,E
153,1999-10,7.63,E
154,1999-11,3.14,E
155,1999-12,-1.12,E
156,2000-01,-0.79,E
157,2000-02,-1.32,E
158,2000-03,0.05,E
159,2000-04,7.09,E
160,2000-05,10.86,E
161,2000-06,14.22,E
162,2000-07,17.09,E
163,2000-08,15.82,E
164,2000-09,11.13,E
165,2000-10,9.82,E
166,2000-11,5.2,E
167,2000-12,1.93,E
