,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-19.7,""""
1,1950-02,-21.5,""""
2,1950-03,-18.29,""""
3,1950-04,-16.29,""""
4,1950-05,-2.4,""""
5,1950-06,3.5,""""
6,1950-07,5.6,""""
7,1950-08,4.9,""""
8,1950-09,0.9,""""
9,1950-10,-3.7,""""
10,1950-11,-7.2,""""
11,1950-12,-9.1,""""
12,1951-01,-15.7,""""
13,1951-02,-24.1,""""
14,1951-03,-18.2,""""
15,1951-04,-14.5,""""
16,1951-05,-2.4,""""
17,1951-06,2.1,""""
18,1951-07,6.0,""""
19,1951-08,5.2,""""
20,1951-09,1.6,""""
21,1951-10,-6.3,""""
22,1951-11,-6.8,""""
23,1951-12,-18.1,""""
24,1952-01,-19.6,""""
25,1952-02,-20.0,""""
26,1952-03,-22.6,""""
27,1952-04,-14.2,""""
28,1952-05,-2.3,""""
29,1952-06,3.5,""""
30,1952-07,5.4,""""
31,1952-08,7.2,""""
32,1952-09,2.1,""""
33,1952-10,-4.3,""""
34,1952-11,-5.0,""""
35,1952-12,-8.2,""""
36,1953-01,-13.9,""""
37,1953-02,-21.0,""""
38,1953-03,-22.6,""""
39,1953-04,-7.7,""""
40,1953-05,-1.4,""""
41,1953-06,0.5,""""
42,1953-07,5.9,""""
43,1953-08,4.8,""""
44,1953-09,0.6,""""
45,1953-10,-5.3,""""
46,1953-11,-11.9,""""
47,1953-12,-21.2,""""
48,1954-01,-16.5,""""
49,1954-02,-19.1,""""
50,1954-03,-19.4,""""
51,1954-04,-7.9,""""
52,1954-05,-2.0,""""
53,1954-06,2.1,""""
54,1954-07,5.1,""""
55,1954-08,6.1,""""
56,1954-09,1.1,""""
57,1954-10,-3.3,""""
58,1954-11,-8.1,""""
59,1954-12,-16.79,""""
60,1955-01,-21.9,""""
61,1955-02,-17.4,""""
62,1955-03,-18.4,""""
63,1955-04,-17.29,""""
64,1955-05,-4.1,""""
65,1955-06,3.2,""""
66,1955-07,4.7,""""
67,1955-08,4.3,""""
68,1955-09,0.6,""""
69,1955-10,-0.3,""""
70,1955-11,-8.39,""""
71,1955-12,-12.4,""""
72,1956-01,-19.4,""""
73,1956-02,-19.79,""""
74,1956-03,-21.3,""""
75,1956-04,-11.1,""""
76,1956-05,-4.8,""""
77,1956-06,1.5,""""
78,1956-07,5.7,""""
79,1956-08,6.3,""""
80,1956-09,0.7,""""
81,1956-10,-4.1,""""
82,1956-11,-10.5,""""
83,1956-12,-16.1,""""
84,1957-01,-21.7,""""
85,1957-02,-19.2,""""
86,1957-03,-18.79,""""
87,1957-04,-15.2,""""
