,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-19.5,""""
1,1950-02,, 
2,1950-03,, 
3,1950-04,-12.3,""""
4,1950-05,-1.5,""""
5,1950-06,, 
6,1950-07,6.9,""""
7,1950-08,6.4,""""
8,1950-09,2.8,""""
9,1950-10,-2.9,""""
10,1950-11,-6.2,""""
11,1950-12,-5.8,""""
12,1951-01,-12.4,""""
13,1951-02,-20.1,""""
14,1951-03,-15.3,""""
15,1951-04,-11.7,""""
16,1951-05,-0.2,""""
17,1951-06,5.7,""""
18,1951-07,6.5,""""
19,1951-08,6.1,""""
20,1951-09,3.9,""""
21,1951-10,-3.2,""""
22,1951-11,, 
23,1951-12,-11.4,""""
24,1952-01,-15.2,""""
25,1952-02,-16.29,""""
26,1952-03,-17.6,""""
27,1952-04,-9.39,""""
28,1952-05,-0.1,""""
29,1952-06,4.1,""""
30,1952-07,6.3,""""
31,1952-08,7.0,""""
32,1952-09,3.6,""""
33,1952-10,-1.2,""""
34,1952-11,-4.4,""""
35,1952-12,-6.2,""""
36,1953-01,-11.6,""""
37,1953-02,-14.5,""""
38,1953-03,-17.1,""""
39,1953-04,-4.9,""""
40,1953-05,-0.2,""""
41,1953-06,2.8,""""
42,1953-07,6.7,""""
43,1953-08,5.6,""""
44,1953-09,,""""
45,1953-10,-3.7,""""
46,1953-11,-8.3,""""
47,1953-12,-15.4,""""
48,1954-01,-12.0,""""
49,1954-02,-18.29,""""
50,1954-03,-11.5,""""
51,1954-04,-5.8,""""
52,1954-05,0.2,""""
53,1954-06,3.0,""""
54,1954-07,4.9,""""
55,1954-08,5.5,""""
56,1954-09,2.4,""""
57,1954-10,-2.4,""""
58,1954-11,-6.0,""""
59,1954-12,-14.2,""""
60,1955-01,-18.4,""""
61,1955-02,-13.5,""""
62,1955-03,-13.7,""""
63,1955-04,-13.6,""""
64,1955-05,-1.7,""""
65,1955-06,3.9,""""
66,1955-07,4.6,""""
67,1955-08,4.3,""""
68,1955-09,1.6,""""
69,1955-10,-0.2,""""
70,1955-11,-5.2,""""
71,1955-12,-8.5,""""
72,1956-01,-17.6,""""
73,1956-02,-16.29,""""
74,1956-03,-13.7,""""
75,1956-04,-6.3,""""
76,1956-05,-2.3,""""
77,1956-06,1.8,""""
78,1956-07,5.8,""""
79,1956-08,5.9,""""
80,1956-09,1.6,""""
81,1956-10,-3.3,""""
82,1956-11,-8.1,""""
83,1956-12,-15.4,""""
84,1957-01,-19.0,""""
85,1957-02,-17.9,""""
86,1957-03,-14.6,""""
87,1957-04,-9.1,""""
88,1957-05,-1.2,""""
89,1957-06,4.5,""""
90,1957-07,7.6,""""
91,1957-08,6.8,""""
92,1957-09,4.0,""""
93,1957-10,-2.6,""""
94,1957-11,-5.7,""""
95,1957-12,-11.2,""""
96,1958-01,-15.24,k
97,1958-02,, 
98,1958-03,, 
99,1958-04,, 
100,1958-05,, 
101,1958-06,4.14,k
102,1958-07,7.88,k
103,1958-08,6.45,k
104,1958-09,2.47,k
105,1958-10,-1.88,k
106,1958-11,, 
107,1958-12,, 
108,1959-01,-8.85,k
109,1959-02,-17.03,k
110,1959-03,-21.17,k
111,1959-04,-9.42,k
112,1959-05,-0.04,k
113,1959-06,3.68,k
114,1959-07,6.39,k
115,1959-08,5.51,k
116,1959-09,2.39,k
117,1959-10,-1.17,k
118,1959-11,-4.96,k
119,1959-12,-10.11,k
120,1960-01,-11.53,k
121,1960-02,-10.51,k
122,1960-03,-20.03,k
123,1960-04,-13.1,k
124,1960-05,-0.72,k
125,1960-06,4.26,k
126,1960-07,8.33,k
127,1960-08,8.47,k
128,1960-09,2.83,k
129,1960-10,2.52,k
130,1960-11,-3.47,k
131,1960-12,-7.99,k
132,1961-01,-11.43,k
133,1961-02,-19.73,k
134,1961-03,-20.53,k
135,1961-04,-9.6,k
136,1961-05,-1.06,k
137,1961-06,5.16,k
138,1961-07,7.33,k
139,1961-08,6.11,k
140,1961-09,2.93,k
141,1961-10,-1.7,k
142,1961-11,-6.67,k
143,1961-12,-6.58,k
144,1962-01,-9.42,k
145,1962-02,-15.73,k
146,1962-03,-7.33,k
147,1962-04,-5.3,k
148,1962-05,0.13,k
149,1962-06,3.46,k
150,1962-07,7.03,k
151,1962-08,5.85,k
152,1962-09,2.74,k
153,1962-10,-1.78,k
154,1962-11,-5.58,k
155,1962-12,-7.7,k
156,1963-01,-6.12,k
157,1963-02,-6.55,k
158,1963-03,-13.39,k
159,1963-04,-5.51,k
160,1963-05,-2.52,k
161,1963-06,2.56,k
162,1963-07,5.3,k
163,1963-08,6.69,k
164,1963-09,1.88,k
165,1963-10,-3.3,k
166,1963-11,-6.02,k
167,1963-12,-6.38,k
168,1964-01,-10.27,k
169,1964-02,-9.64,k
170,1964-03,-18.75,k
171,1964-04,-9.63,k
172,1964-05,-2.6,k
173,1964-06,3.21,k
174,1964-07,4.75,k
175,1964-08,5.7,k
176,1964-09,3.43,k
177,1964-10,-2.64,k
178,1964-11,-6.68,k
179,1964-12,-8.07,k
180,1965-01,-11.7,k
181,1965-02,-7.83,k
182,1965-03,-13.91,k
183,1965-04,-9.52,k
184,1965-05,1.33,k
185,1965-06,3.39,k
186,1965-07,7.17,k
187,1965-08,7.33,k
188,1965-09,3.16,k
189,1965-10,-1.44,k
190,1965-11,-4.02,k
191,1965-12,-9.47,k
192,1966-01,-15.59,k
193,1966-02,-13.2,k
194,1966-03,-15.88,k
195,1966-04,-8.03,k
196,1966-05,-2.23,k
197,1966-06,3.21,k
198,1966-07,5.68,k
199,1966-08,6.64,k
200,1966-09,3.37,k
201,1966-10,1.44,k
202,1966-11,-5.1,k
203,1966-12,-10.22,k
204,1967-01,-7.8,k
205,1967-02,-14.66,k
206,1967-03,-16.85,k
207,1967-04,-11.75,k
208,1967-05,0.01,k
209,1967-06,2.84,k
210,1967-07,6.35,k
211,1967-08,6.38,k
212,1967-09,2.16,k
213,1967-10,-3.26,k
214,1967-11,-7.77,k
215,1967-12,-9.66,k
216,1968-01,-15.51,k
217,1968-02,-15.43,k
218,1968-03,-19.73,k
219,1968-04,-6.54,k
220,1968-05,0.36,k
221,1968-06,3.24,k
222,1968-07,7.42,k
223,1968-08,5.34,k
224,1968-09,2.52,k
225,1968-10,-1.15,k
226,1968-11,-5.14,k
227,1968-12,-7.08,k
228,1969-01,-8.29,k
229,1969-02,-9.14,k
230,1969-03,-15.11,k
231,1969-04,-9.06,k
232,1969-05,-0.11,k
233,1969-06,3.13,k
234,1969-07,5.83,k
235,1969-08,5.85,k
236,1969-09,2.53,k
237,1969-10,-3.06,k
238,1969-11,-5.38,k
239,1969-12,-11.64,k
240,1970-01,-17.93,k
241,1970-02,-13.58,k
242,1970-03,-15.26,k
243,1970-04,-10.02,k
244,1970-05,-4.58,k
245,1970-06,1.85,k
246,1970-07,4.51,k
247,1970-08,4.13,k
248,1970-09,2.99,k
249,1970-10,-1.44,k
250,1970-11,-5.85,k
251,1970-12,-9.5,k
252,1971-01,-14.38,k
253,1971-02,-19.82,k
254,1971-03,-17.06,k
255,1971-04,-11.63,k
256,1971-05,-2.66,k
257,1971-06,3.11,k
258,1971-07,6.63,k
259,1971-08,4.72,k
260,1971-09,2.58,k
261,1971-10,-3.95,k
262,1971-11,-6.64,k
263,1971-12,-19.69,k
264,1972-01,-19.27,k
265,1972-02,-17.29,k
266,1972-03,-19.99,k
267,1972-04,-13.6,k
268,1972-05,-1.13,k
269,1972-06,1.13,k
270,1972-07,3.47,k
271,1972-08,4.56,k
272,1972-09,2.88,k
273,1972-10,-1.88,k
