,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,1.56,G
1,1950-02,-2.22,G
2,1950-03,0.04,G
3,1950-04,0.03,G
4,1950-05,7.07,G
5,1950-06,9.04,G
6,1950-07,11.61,G
7,1950-08,11.25,G
8,1950-09,6.59,G
9,1950-10,3.53,G
10,1950-11,-0.78,G
11,1950-12,-4.05,G
12,1951-01,-3.33,G
13,1951-02,-0.66,G
14,1951-03,-4.48,G
15,1951-04,-1.53,G
16,1951-05,7.97,G
17,1951-06,8.23,G
18,1951-07,10.88,G
19,1951-08,9.66,G
20,1951-09,7.97,G
21,1951-10,4.87,G
22,1951-11,-0.58,G
23,1951-12,-1.14,G
24,1952-01,-3.34,G
25,1952-02,-0.45,G
26,1952-03,-0.35,G
27,1952-04,0.96,G
28,1952-05,5.51,G
29,1952-06,6.29,G
30,1952-07,10.36,G
31,1952-08,9.15,G
32,1952-09,7.15,G
33,1952-10,5.28,G
34,1952-11,1.43,G
35,1952-12,-0.43,G
36,1953-01,-0.28,G
37,1953-02,0.51,G
38,1953-03,2.15,G
39,1953-04,-2.21,G
40,1953-05,6.51,G
41,1953-06,11.97,G
42,1953-07,11.04,G
43,1953-08,11.1,G
44,1953-09,9.6,G
45,1953-10,3.97,G
46,1953-11,0.77,G
47,1953-12,2.81,G
48,1954-01,1.51,G
49,1954-02,-0.29,G
50,1954-03,-0.31,G
51,1954-04,4.9,G
52,1954-05,7.28,G
53,1954-06,9.22,G
54,1954-07,9.72,G
55,1954-08,10.34,G
56,1954-09,4.15,G
57,1954-10,2.0,G
58,1954-11,1.72,G
59,1954-12,-2.5,G
60,1955-01,-3.8,G
61,1955-02,-6.19,G
62,1955-03,-0.59,G
63,1955-04,4.88,G
64,1955-05,4.99,G
65,1955-06,9.9,G
66,1955-07,13.24,G
67,1955-08,12.53,G
68,1955-09,7.61,G
69,1955-10,1.22,G
70,1955-11,2.26,G
71,1955-12,-4.61,G
72,1956-01,-4.39,G
73,1956-02,2.72,G
74,1956-03,3.01,G
75,1956-04,1.94,G
76,1956-05,6.3,G
77,1956-06,7.88,G
78,1956-07,10.15,G
79,1956-08,8.2,G
80,1956-09,8.48,G
81,1956-10,4.17,G
82,1956-11,5.13,G
83,1956-12,0.88,G
84,1957-01,0.42,G
85,1957-02,-3.88,G
86,1957-03,-1.44,G
87,1957-04,4.82,G
88,1957-05,6.43,G
89,1957-06,9.05,G
90,1957-07,10.69,G
91,1957-08,10.88,G
92,1957-09,6.18,G
93,1957-10,3.09,G
94,1957-11,1.81,G
95,1957-12,-1.64,G
96,1958-01,-3.9,G
97,1958-02,-5.79,G
98,1958-03,-2.36,G
99,1958-04,3.52,G
100,1958-05,2.97,G
101,1958-06,9.5,G
102,1958-07,10.27,G
103,1958-08,8.09,G
104,1958-09,11.18,G
105,1958-10,5.16,G
106,1958-11,3.26,G
107,1958-12,-1.46,G
108,1959-01,-6.04,G
109,1959-02,1.94,G
110,1959-03,3.15,G
111,1959-04,0.7,G
112,1959-05,8.14,G
113,1959-06,9.27,G
114,1959-07,11.53,G
115,1959-08,9.61,G
116,1959-09,9.75,G
117,1959-10,6.92,G
118,1959-11,0.11,G
119,1959-12,-1.11,G
120,1960-01,-0.79,G
121,1960-02,-2.41,G
122,1960-03,0.49,G
123,1960-04,3.64,G
124,1960-05,8.25,G
125,1960-06,11.37,G
126,1960-07,11.05,G
127,1960-08,9.58,G
128,1960-09,8.76,G
129,1960-10,2.32,G
130,1960-11,2.32,G
131,1960-12,-0.93,G
132,1961-01,0.13,G
133,1961-02,-0.88,G
134,1961-03,-0.2,G
135,1961-04,-0.46,G
136,1961-05,8.93,G
137,1961-06,8.27,G
138,1961-07,10.9,G
139,1961-08,10.49,G
140,1961-09,8.67,G
141,1961-10,4.78,G
142,1961-11,0.95,G
143,1961-12,-3.57,G
144,1962-01,-0.42,G
145,1962-02,-0.98,G
146,1962-03,-4.35,G
147,1962-04,3.59,G
148,1962-05,6.65,G
149,1962-06,9.24,G
150,1962-07,11.18,G
151,1962-08,9.37,G
152,1962-09,7.15,G
153,1962-10,4.55,G
154,1962-11,-0.56,G
155,1962-12,-1.04,G
156,1963-01,-3.17,G
157,1963-02,-1.52,G
158,1963-03,2.89,G
159,1963-04,2.48,G
160,1963-05,4.93,G
161,1963-06,10.9,G
162,1963-07,9.61,G
163,1963-08,9.2,G
164,1963-09,5.59,G
165,1963-10,3.88,G
166,1963-11,-2.87,G
167,1963-12,-0.25,G
168,1964-01,1.49,G
169,1964-02,1.82,G
170,1964-03,5.51,G
171,1964-04,3.56,G
172,1964-05,7.4,G
173,1964-06,10.32,G
174,1964-07,11.7,G
175,1964-08,,G
176,1964-09,,G
177,1964-10,,G
178,1964-11,,G
179,1964-12,,G
180,1965-01,,G
181,1965-02,,G
182,1965-03,,G
183,1965-04,,G
184,1965-05,,G
185,1965-06,,G
186,1965-07,,G
187,1965-08,,G
188,1965-09,,G
189,1965-10,,G
190,1965-11,,G
191,1965-12,-5.25,G
192,1966-01,-3.65,G
193,1966-02,-5.9,G
194,1966-03,-2.9,G
195,1966-04,1.84,G
196,1966-05,4.85,G
197,1966-06,11.03,G
198,1966-07,11.25,G
199,1966-08,9.79,G
200,1966-09,7.33,G
201,1966-10,1.61,G
202,1966-11,-0.63,G
203,1966-12,-2.92,G
204,1967-01,-0.94,G
205,1967-02,0.73,G
206,1967-03,-6.15,G
207,1967-04,1.64,G
208,1967-05,3.5,G
209,1967-06,9.76,G
210,1967-07,8.46,G
211,1967-08,10.22,G
212,1967-09,8.68,G
213,1967-10,1.5,G
214,1967-11,-0.82,G
215,1967-12,-2.24,G
216,1968-01,-4.11,G
217,1968-02,-4.31,G
218,1968-03,-3.11,G
219,1968-04,0.64,G
220,1968-05,4.18,G
221,1968-06,7.96,G
222,1968-07,11.74,G
223,1968-08,10.73,G
224,1968-09,8.48,G
225,1968-10,-0.15,G
226,1968-11,2.6,G
227,1968-12,-1.99,G
228,1969-01,-3.4,G
229,1969-02,-6.13,G
230,1969-03,-3.21,G
231,1969-04,0.17,G
232,1969-05,4.6,G
233,1969-06,10.42,G
234,1969-07,9.95,G
235,1969-08,12.15,G
236,1969-09,6.44,G
237,1969-10,3.29,G
238,1969-11,-3.19,G
239,1969-12,-1.18,G
240,1970-01,-1.47,G
241,1970-02,-4.32,G
242,1970-03,-4.59,G
243,1970-04,0.58,G
244,1970-05,5.47,G
245,1970-06,10.61,G
246,1970-07,7.64,G
247,1970-08,9.87,G
248,1970-09,6.62,G
249,1970-10,2.71,G
250,1970-11,-1.28,G
251,1970-12,1.08,G
252,1971-01,-5.45,G
253,1971-02,-0.96,G
254,1971-03,-0.39,G
255,1971-04,1.87,G
256,1971-05,6.37,G
257,1971-06,8.43,G
258,1971-07,10.52,G
259,1971-08,9.83,G
260,1971-09,7.25,G
261,1971-10,2.74,G
262,1971-11,-0.78,G
263,1971-12,-2.19,G
264,1972-01,2.58,G
265,1972-02,0.85,G
266,1972-03,1.84,G
267,1972-04,2.59,G
268,1972-05,7.91,G
269,1972-06,8.26,G
270,1972-07,11.26,G
271,1972-08,9.8,G
272,1972-09,8.29,G
273,1972-10,4.15,G
274,1972-11,-0.53,G
275,1972-12,0.48,G
276,1973-01,2.22,G
277,1973-02,-4.97,G
278,1973-03,1.77,G
279,1973-04,2.06,G
280,1973-05,4.83,G
281,1973-06,7.59,G
282,1973-07,10.95,G
283,1973-08,10.28,G
284,1973-09,9.14,G
285,1973-10,3.04,G
286,1973-11,-5.4,G
287,1973-12,-5.9,G
288,1974-01,0.17,G
289,1974-02,-1.5,G
290,1974-03,3.74,G
291,1974-04,7.04,G
292,1974-05,7.73,G
293,1974-06,10.03,G
294,1974-07,10.71,G
295,1974-08,9.03,G
296,1974-09,5.13,G
297,1974-10,4.01,G
298,1974-11,0.84,G
299,1974-12,-3.89,S
300,1975-01,-6.35,G
301,1975-02,1.14,G
302,1975-03,-1.47,G
303,1975-04,0.67,G
304,1975-05,6.57,G
305,1975-06,7.22,G
306,1975-07,12.12,G
307,1975-08,11.93,G
308,1975-09,4.64,G
309,1975-10,4.3,G
310,1975-11,1.23,G
311,1975-12,-1.17,G
312,1976-01,-4.72,G
313,1976-02,0.62,G
314,1976-03,1.76,G
315,1976-04,3.05,G
316,1976-05,6.04,G
317,1976-06,10.19,G
318,1976-07,13.34,G
319,1976-08,13.25,G
320,1976-09,8.63,G
321,1976-10,5.23,G
322,1976-11,2.58,G
323,1976-12,-3.61,G
324,1977-01,-2.91,G
325,1977-02,-2.97,G
326,1977-03,0.38,G
327,1977-04,-0.53,G
328,1977-05,7.01,G
329,1977-06,9.86,G
330,1977-07,11.66,G
331,1977-08,10.4,G
332,1977-09,7.71,G
333,1977-10,3.51,G
334,1977-11,-2.15,G
335,1977-12,-0.64,G
336,1978-01,-3.28,G
337,1978-02,-3.99,G
338,1978-03,-0.67,G
339,1978-04,2.93,G
340,1978-05,7.15,G
341,1978-06,8.92,G
342,1978-07,10.94,G
343,1978-08,12.91,G
344,1978-09,7.03,G
345,1978-10,3.89,G
346,1978-11,-0.74,G
347,1978-12,0.48,G
348,1979-01,-5.86,G
349,1979-02,-2.24,G
350,1979-03,-6.69,G
351,1979-04,0.45,G
352,1979-05,-0.26,G
353,1979-06,9.55,G
354,1979-07,9.13,G
355,1979-08,8.82,G
356,1979-09,3.78,G
357,1979-10,4.35,G
358,1979-11,-0.84,G
359,1979-12,-1.29,G
360,1980-01,-2.72,G
361,1980-02,-0.42,G
362,1980-03,0.56,G
363,1980-04,4.09,G
364,1980-05,8.5,G
365,1980-06,9.73,G
366,1980-07,11.42,G
367,1980-08,10.76,G
368,1980-09,7.17,G
369,1980-10,-0.47,G
370,1980-11,-0.4,G
371,1980-12,-4.12,G
372,1981-01,-3.62,G
373,1981-02,-2.46,G
374,1981-03,-2.9,G
375,1981-04,3.99,G
376,1981-05,5.39,G
377,1981-06,8.17,G
378,1981-07,10.1,G
379,1981-08,11.4,G
380,1981-09,6.38,G
381,1981-10,-0.73,G
382,1981-11,-1.93,G
383,1981-12,-3.57,G
384,1982-01,-3.45,G
385,1982-02,1.24,G
386,1982-03,-0.09,G
387,1982-04,3.69,G
388,1982-05,3.82,G
389,1982-06,9.43,G
390,1982-07,12.12,G
391,1982-08,8.91,G
392,1982-09,4.81,G
393,1982-10,3.53,G
394,1982-11,-1.79,G
395,1982-12,-2.6,G
396,1983-01,-2.97,G
397,1983-02,1.47,G
398,1983-03,-2.02,G
399,1983-04,-1.86,G
400,1983-05,3.74,G
401,1983-06,9.08,G
402,1983-07,11.13,G
403,1983-08,10.74,G
404,1983-09,5.29,G
405,1983-10,1.78,G
406,1983-11,-0.14,G
407,1983-12,-1.5,G
408,1984-01,-5.25,G
409,1984-02,0.23,G
410,1984-03,1.17,G
411,1984-04,4.53,G
412,1984-05,7.27,G
413,1984-06,10.55,G
414,1984-07,13.16,G
415,1984-08,12.64,G
416,1984-09,6.69,G
417,1984-10,2.01,G
418,1984-11,-0.62,G
419,1984-12,0.1,G
420,1985-01,-2.51,G
421,1985-02,-2.06,G
422,1985-03,-0.72,G
423,1985-04,1.61,G
424,1985-05,7.35,G
425,1985-06,9.35,G
426,1985-07,9.71,G
427,1985-08,8.67,G
428,1985-09,5.3,G
429,1985-10,6.16,G
430,1985-11,-1.6,G
431,1985-12,-4.7,G
432,1986-01,-1.68,G
433,1986-02,-0.73,G
434,1986-03,0.21,G
435,1986-04,2.58,G
436,1986-05,3.75,G
437,1986-06,11.29,G
438,1986-07,10.13,G
439,1986-08,10.16,G
440,1986-09,6.42,G
441,1986-10,1.68,G
442,1986-11,-0.89,G
443,1986-12,-1.74,G
444,1987-01,1.91,G
445,1987-02,-0.93,G
446,1987-03,-0.1,G
447,1987-04,3.48,G
448,1987-05,8.26,G
449,1987-06,9.51,G
450,1987-07,12.16,G
451,1987-08,10.52,G
452,1987-09,7.01,G
453,1987-10,1.47,G
454,1987-11,3.83,G
455,1987-12,1.27,G
456,1988-01,-4.92,G
457,1988-02,-2.48,G
458,1988-03,-2.17,G
459,1988-04,-1.32,G
460,1988-05,6.82,G
461,1988-06,11.61,G
462,1988-07,10.2,G
463,1988-08,11.59,G
464,1988-09,6.89,G
465,1988-10,3.43,G
466,1988-11,1.74,G
467,1988-12,-1.05,G
468,1989-01,-1.02,G
469,1989-02,-4.04,G
470,1989-03,-2.34,G
471,1989-04,0.58,G
472,1989-05,5.29,G
473,1989-06,10.25,G
474,1989-07,12.8,G
475,1989-08,10.52,G
476,1989-09,7.28,G
477,1989-10,3.98,G
478,1989-11,-0.1,G
479,1989-12,-1.1,G
480,1990-01,-0.59,G
481,1990-02,-2.4,G
482,1990-03,-2.89,G
483,1990-04,-0.16,G
484,1990-05,7.71,G
485,1990-06,10.49,G
486,1990-07,13.21,G
487,1990-08,10.95,G
488,1990-09,6.68,G
489,1990-10,3.81,G
490,1990-11,1.66,G
491,1990-12,-0.47,G
492,1991-01,1.37,G
493,1991-02,0.43,G
494,1991-03,1.63,G
495,1991-04,0.93,G
496,1991-05,9.36,G
497,1991-06,8.59,G
498,1991-07,13.05,G
499,1991-08,12.27,G
500,1991-09,7.5,G
501,1991-10,4.57,G
502,1991-11,-0.87,G
503,1991-12,0.64,G
504,1992-01,3.14,G
505,1992-02,-0.62,G
