,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,2.38,_
1,1950-02,-1.07,_
2,1950-03,1.18,_
3,1950-04,1.48,_
4,1950-05,6.08,_
5,1950-06,8.37,_
6,1950-07,11.38,_
7,1950-08,11.48,_
8,1950-09,6.62,_
9,1950-10,3.78,_
10,1950-11,0.63,_
11,1950-12,-1.97,_
12,1951-01,-1.67,_
13,1951-02,-1.47,_
14,1951-03,-3.32,_
15,1951-04,-0.87,_
16,1951-05,6.18,_
17,1951-06,8.87,_
18,1951-07,9.87,_
19,1951-08,10.73,_
20,1951-09,8.89,X
21,1951-10,4.88,X
22,1951-11,0.93,X
23,1951-12,-1.48,X
24,1952-01,-3.43,X
25,1952-02,-0.54,X
26,1952-03,0.46,X
27,1952-04,2.57,X
28,1952-05,5.38,X
29,1952-06,7.57,X
30,1952-07,9.53,X
31,1952-08,9.18,X
32,1952-09,6.61,X
33,1952-10,4.42,X
34,1952-11,1.9,X
35,1952-12,0.34,X
36,1953-01,-0.16,X
37,1953-02,1.07,X
38,1953-03,1.41,X
39,1953-04,-0.91,X
40,1953-05,5.44,X
41,1953-06,8.67,X
42,1953-07,10.47,X
43,1953-08,10.01,X
44,1953-09,8.47,X
45,1953-10,3.31,X
46,1953-11,1.11,X
47,1953-12,1.4,X
48,1954-01,1.08,X
49,1954-02,-0.95,X
50,1954-03,0.52,X
51,1954-04,3.19,X
52,1954-05,6.05,X
53,1954-06,8.5,X
54,1954-07,8.99,X
55,1954-08,9.57,X
56,1954-09,5.15,X
57,1954-10,3.01,X
58,1954-11,1.78,X
59,1954-12,-1.33,X
60,1955-01,-2.41,X
61,1955-02,-2.66,X
62,1955-03,0.79,X
63,1955-04,4.36,X
64,1955-05,4.19,X
65,1955-06,8.5,X
66,1955-07,8.95,X
67,1955-08,8.55,X
68,1955-09,6.84,X
69,1955-10,3.01,X
70,1955-11,3.19,X
71,1955-12,-2.8,X
72,1956-01,-3.91,X
73,1956-02,1.84,X
74,1956-03,2.74,X
75,1956-04,2.58,X
76,1956-05,5.36,X
77,1956-06,6.97,X
78,1956-07,9.21,X
79,1956-08,8.66,X
80,1956-09,7.71,X
81,1956-10,3.72,X
82,1956-11,3.79,X
83,1956-12,1.02,X
84,1957-01,0.03,X
85,1957-02,-2.97,X
86,1957-03,-1.08,X
87,1957-04,4.1,X
88,1957-05,5.7,X
89,1957-06,8.5,X
90,1957-07,10.45,X
91,1957-08,9.95,X
92,1957-09,5.93,X
93,1957-10,3.65,X
94,1957-11,2.13,X
95,1957-12,-1.04,X
96,1958-01,-3.05,X
97,1958-02,-2.5,X
98,1958-03,-0.39,X
99,1958-04,3.31,X
100,1958-05,3.64,X
101,1958-06,8.68,X
102,1958-07,10.45,X
103,1958-08,8.69,X
104,1958-09,10.0,X
105,1958-10,5.14,X
106,1958-11,3.62,X
107,1958-12,-0.52,X
108,1959-01,-3.99,X
109,1959-02,1.28,X
110,1959-03,2.41,X
111,1959-04,1.31,X
112,1959-05,6.14,X
113,1959-06,7.61,X
114,1959-07,10.23,X
115,1959-08,8.9,X
116,1959-09,7.25,X
117,1959-10,6.35,X
118,1959-11,0.27,X
119,1959-12,-0.81,X
120,1960-01,0.66,X
121,1960-02,-2.3,X
122,1960-03,2.11,X
123,1960-04,3.41,X
124,1960-05,7.1,X
125,1960-06,8.57,X
126,1960-07,10.83,X
127,1960-08,10.06,X
128,1960-09,8.13,X
129,1960-10,4.61,X
130,1960-11,2.0,X
131,1960-12,-0.76,X
132,1961-01,0.67,X
133,1961-02,0.05,X
134,1961-03,-0.49,X
135,1961-04,0.5,X
136,1961-05,6.01,X
137,1961-06,6.99,X
138,1961-07,9.55,X
139,1961-08,9.77,X
140,1961-09,8.74,X
141,1961-10,5.36,X
142,1961-11,1.53,X
143,1961-12,-1.61,X
144,1962-01,-0.17,X
145,1962-02,-0.25,X
146,1962-03,-1.8,X
147,1962-04,2.96,X
148,1962-05,5.4,X
149,1962-06,8.44,X
150,1962-07,10.28,X
151,1962-08,9.85,X
152,1962-09,6.56,X
153,1962-10,4.08,X
154,1962-11,0.24,X
155,1962-12,0.13,X
156,1963-01,-0.91,X
157,1963-02,0.79,X
158,1963-03,2.96,X
159,1963-04,2.1,X
160,1963-05,3.26,X
161,1963-06,8.13,X
162,1963-07,8.71,X
163,1963-08,8.34,X
164,1963-09,5.25,X
165,1963-10,4.38,X
166,1963-11,-1.44,X
167,1963-12,1.9,X
168,1964-01,2.73,X
169,1964-02,2.35,X
170,1964-03,4.02,X
171,1964-04,3.3,X
172,1964-05,6.74,X
173,1964-06,8.14,X
174,1964-07,8.85,X
175,1964-08,8.85,X
176,1964-09,6.06,X
177,1964-10,5.22,X
178,1964-11,2.76,X
179,1964-12,-1.76,X
180,1965-01,-1.18,X
181,1965-02,3.34,X
182,1965-03,-0.85,X
183,1965-04,2.23,X
184,1965-05,6.56,X
185,1965-06,8.22,X
186,1965-07,9.97,X
187,1965-08,9.36,X
188,1965-09,6.64,X
189,1965-10,6.42,X
190,1965-11,0.48,X
191,1965-12,-1.42,X
192,1966-01,-1.28,X
193,1966-02,-1.61,X
194,1966-03,-0.38,X
195,1966-04,2.55,X
196,1966-05,5.24,X
197,1966-06,9.17,X
198,1966-07,9.94,X
199,1966-08,9.96,X
200,1966-09,7.77,X
201,1966-10,3.35,X
202,1966-11,0.3,X
203,1966-12,-1.87,X
204,1967-01,1.07,X
205,1967-02,0.82,X
206,1967-03,-3.38,X
207,1967-04,1.15,X
208,1967-05,4.49,X
209,1967-06,7.84,X
210,1967-07,9.41,X
211,1967-08,9.63,X
212,1967-09,7.5,X
213,1967-10,2.52,X
214,1967-11,0.35,X
215,1967-12,-0.88,X
216,1968-01,-1.32,X
217,1968-02,-1.4,X
218,1968-03,-1.1,X
219,1968-04,1.74,X
220,1968-05,4.64,X
221,1968-06,8.0,X
222,1968-07,10.68,X
223,1968-08,9.67,X
224,1968-09,9.14,X
225,1968-10,3.06,X
226,1968-11,4.09,X
227,1968-12,-0.29,X
228,1969-01,-3.52,X
229,1969-02,-3.94,X
230,1969-03,-0.63,X
231,1969-04,1.38,X
232,1969-05,5.52,X
233,1969-06,8.43,X
234,1969-07,8.87,X
235,1969-08,10.14,X
236,1969-09,5.88,X
237,1969-10,4.7,X
238,1969-11,-1.23,X
239,1969-12,-0.62,X
240,1970-01,-0.76,X
241,1970-02,-2.86,X
242,1970-03,-2.6,X
243,1970-04,1.76,X
244,1970-05,5.13,X
245,1970-06,7.45,X
246,1970-07,8.03,X
247,1970-08,8.81,X
248,1970-09,6.84,X
249,1970-10,2.74,X
250,1970-11,-0.29,X
251,1970-12,1.6,X
252,1971-01,-2.74,X
253,1971-02,0.54,X
254,1971-03,1.29,X
255,1971-04,2.74,X
256,1971-05,5.71,X
257,1971-06,8.14,X
258,1971-07,9.97,X
259,1971-08,9.71,X
260,1971-09,7.21,X
261,1971-10,4.2,X
262,1971-11,1.01,X
263,1971-12,-0.03,X
264,1972-01,2.22,X
265,1972-02,2.55,X
266,1972-03,2.03,X
267,1972-04,3.46,X
268,1972-05,7.24,X
269,1972-06,8.53,X
270,1972-07,10.05,X
271,1972-08,7.91,X
272,1972-09,6.78,X
273,1972-10,4.17,X
274,1972-11,0.16,X
275,1972-12,0.3,X
276,1973-01,1.91,X
277,1973-02,-2.53,X
278,1973-03,0.48,X
279,1973-04,2.6,X
280,1973-05,4.67,X
281,1973-06,7.57,X
282,1973-07,9.88,X
283,1973-08,10.15,X
284,1973-09,8.07,X
285,1973-10,4.78,X
286,1973-11,-0.53,X
287,1973-12,-2.98,X
288,1974-01,0.65,X
289,1974-02,-0.52,X
290,1974-03,3.41,X
291,1974-04,5.91,X
292,1974-05,8.0,X
293,1974-06,8.21,X
294,1974-07,9.31,X
295,1974-08,9.5,X
296,1974-09,5.61,X
297,1974-10,4.54,X
298,1974-11,2.33,X
299,1974-12,,X
300,1975-01,,X
301,1975-02,,X
302,1975-03,,X
303,1975-04,,X
304,1975-05,,X
305,1975-06,,X
306,1975-07,,X
307,1975-08,,X
308,1975-09,,X
309,1975-10,,X
310,1975-11,,X
311,1975-12,,X
312,1976-01,,X
313,1976-02,,X
314,1976-03,,X
315,1976-04,,X
316,1976-05,,X
317,1976-06,,X
318,1976-07,,X
319,1976-08,,X
320,1976-09,7.39,X
321,1976-10,5.23,X
322,1976-11,1.9,X
323,1976-12,-1.23,X
324,1977-01,-2.51,X
325,1977-02,-0.76,X
326,1977-03,2.24,X
327,1977-04,0.97,X
328,1977-05,6.19,X
329,1977-06,7.67,X
330,1977-07,9.78,X
331,1977-08,9.21,X
332,1977-09,6.55,X
333,1977-10,4.92,X
334,1977-11,-0.83,X
335,1977-12,0.58,X
336,1978-01,-2.62,X
337,1978-02,-1.78,X
338,1978-03,0.18,X
339,1978-04,3.49,X
340,1978-05,5.39,X
341,1978-06,8.0,X
342,1978-07,10.74,X
343,1978-08,9.85,X
344,1978-09,7.11,X
345,1978-10,3.9,X
346,1978-11,-0.14,X
347,1978-12,1.08,X
348,1979-01,-3.58,X
349,1979-02,-0.51,X
350,1979-03,-3.79,X
351,1979-04,1.51,X
352,1979-05,1.92,X
353,1979-06,7.44,X
354,1979-07,9.23,X
355,1979-08,9.61,X
356,1979-09,5.33,X
357,1979-10,4.53,X
358,1979-11,0.59,X
359,1979-12,-0.41,X
360,1980-01,-0.25,X
361,1980-02,1.55,X
362,1980-03,0.87,X
363,1980-04,2.96,X
364,1980-05,6.21,X
365,1980-06,8.69,X
366,1980-07,10.31,X
367,1980-08,10.42,X
368,1980-09,8.23,X
369,1980-10,2.16,X
370,1980-11,0.68,X
371,1980-12,-1.41,X
372,1981-01,-2.19,X
373,1981-02,-1.67,X
374,1981-03,-1.62,X
375,1981-04,3.55,X
376,1981-05,6.09,X
377,1981-06,8.2,X
378,1981-07,9.92,X
379,1981-08,9.54,X
380,1981-09,6.83,X
381,1981-10,0.58,X
382,1981-11,-0.39,X
383,1981-12,-2.37,X
384,1982-01,-1.24,X
385,1982-02,1.65,X
386,1982-03,0.2,S
387,1982-04,2.94,S
388,1982-05,4.66,S
389,1982-06,9.16,S
390,1982-07,9.97,S
391,1982-08,8.8,S
392,1982-09,5.31,S
393,1982-10,4.47,X
394,1982-11,,]
395,1982-12,,]
396,1983-01,,]
397,1983-02,,]
398,1983-03,,]
399,1983-04,,]
400,1983-05,,]
401,1983-06,,]
402,1983-07,,]
403,1983-08,,]
404,1983-09,,]
405,1983-10,,]
406,1983-11,,]
407,1983-12,,]
408,1984-01,,]
409,1984-02,,]
410,1984-03,,]
411,1984-04,,]
412,1984-05,,]
413,1984-06,,]
414,1984-07,,]
415,1984-08,,]
416,1984-09,,]
417,1984-10,,]
418,1984-11,,]
419,1984-12,,]
420,1985-01,0.03,]
421,1985-02,0.6,]
422,1985-03,-0.27,]
423,1985-04,3.11,]
424,1985-05,6.23,]
425,1985-06,8.44,]
426,1985-07,9.83,S
427,1985-08,9.72,S
428,1985-09,6.47,S
429,1985-10,6.02,S
430,1985-11,0.53,S
431,1985-12,-1.23,S
432,1986-01,-0.72,S
433,1986-02,1.91,S
434,1986-03,0.06,S
435,1986-04,3.09,S
436,1986-05,4.85,S
437,1986-06,7.9,S
438,1986-07,10.26,S
439,1986-08,9.81,S
440,1986-09,7.48,S
441,1986-10,2.48,S
442,1986-11,0.48,S
443,1986-12,-0.88,S
444,1987-01,2.89,S
445,1987-02,1.5,S
446,1987-03,0.01,S
447,1987-04,2.31,S
448,1987-05,6.38,S
449,1987-06,9.71,S
450,1987-07,10.6,S
451,1987-08,10.23,S
452,1987-09,7.37,S
453,1987-10,2.12,S
454,1987-11,3.9,S
455,1987-12,3.78,S
456,1988-01,-2.68,S
457,1988-02,-1.17,S
458,1988-03,-0.25,S
459,1988-04,0.3,S
460,1988-05,6.68,S
461,1988-06,7.71,X
462,1988-07,9.99,S
463,1988-08,9.71,S
464,1988-09,6.01,X
465,1988-10,4.16,X
466,1988-11,3.4,X
467,1988-12,1.08,X
468,1989-01,-0.31,X
469,1989-02,-2.79,X
470,1989-03,-1.53,X
471,1989-04,1.44,X
472,1989-05,4.46,X
473,1989-06,7.88,X
474,1989-07,8.83,X
475,1989-08,9.15,X
476,1989-09,6.48,X
