,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-2.7,E
1,1950-02,-5.3,E
2,1950-03,-5.34,E
3,1950-04,-2.53,E
4,1950-05,-1.41,E
5,1950-06,1.67,E
6,1950-07,4.14,E
7,1950-08,6.0,E
8,1950-09,4.54,E
9,1950-10,2.67,E
10,1950-11,-0.28,E
11,1950-12,-5.65,E
12,1951-01,-10.91,E
13,1951-02,-1.76,E
14,1951-03,-7.96,E
15,1951-04,-6.1,E
16,1951-05,-2.26,E
17,1951-06,2.21,E
18,1951-07,3.0,E
19,1951-08,5.34,E
20,1951-09,3.0,E
21,1951-10,1.14,E
22,1951-11,-8.19,E
23,1951-12,-11.24,E
24,1952-01,-9.04,E
25,1952-02,-8.0,E
26,1952-03,-8.24,E
27,1952-04,-5.47,E
28,1952-05,-1.47,E
29,1952-06,3.73,E
30,1952-07,4.53,E
31,1952-08,3.61,E
32,1952-09,2.4,E
33,1952-10,0.63,E
34,1952-11,-1.56,E
35,1952-12,-6.0,E
36,1953-01,-8.34,E
37,1953-02,-7.26,E
38,1953-03,-10.45,E
39,1953-04,-9.63,E
40,1953-05,-1.74,E
41,1953-06,4.38,E
42,1953-07,5.46,E
43,1953-08,6.31,E
44,1953-09,3.1,E
45,1953-10,2.38,E
46,1953-11,0.89,E
47,1953-12,0.34,E
48,1954-01,-3.63,E
49,1954-02,-2.42,E
50,1954-03,-5.73,E
51,1954-04,-2.43,E
52,1954-05,0.75,E
53,1954-06,2.35,E
54,1954-07,6.1,E
55,1954-08,4.69,E
56,1954-09,3.31,E
57,1954-10,0.2,E
58,1954-11,-0.29,E
59,1954-12,-0.98,E
60,1955-01,-8.15,E
61,1955-02,-7.52,E
62,1955-03,-5.19,E
63,1955-04,-4.82,E
64,1955-05,-1.68,E
65,1955-06,1.15,E
66,1955-07,4.97,E
67,1955-08,5.3,E
68,1955-09,4.73,E
69,1955-10,-0.87,E
70,1955-11,-6.96,E
71,1955-12,-7.24,E
72,1956-01,-4.42,E
73,1956-02,-3.79,E
74,1956-03,-3.86,E
75,1956-04,-4.82,E
76,1956-05,-0.99,E
77,1956-06,2.26,E
78,1956-07,5.77,E
79,1956-08,3.93,E
80,1956-09,2.04,E
81,1956-10,0.4,E
82,1956-11,-0.52,E
83,1956-12,-0.77,E
84,1957-01,-2.42,E
85,1957-02,-5.32,E
86,1957-03,-4.28,E
87,1957-04,-2.67,E
88,1957-05,-0.92,E
89,1957-06,2.0,E
90,1957-07,3.91,E
91,1957-08,5.37,E
92,1957-09,3.5,E
93,1957-10,2.12,E
94,1957-11,-1.17,E
95,1957-12,-6.86,E
96,1958-01,-4.99,E
97,1958-02,-6.2,E
98,1958-03,-7.4,E
99,1958-04,-4.38,E
100,1958-05,-0.16,E
101,1958-06,2.78,E
102,1958-07,3.74,E
103,1958-08,3.5,E
104,1958-09,2.66,E
105,1958-10,0.05,E
106,1958-11,-1.61,E
107,1958-12,-7.55,E
108,1959-01,-11.64,E
109,1959-02,-4.88,E
110,1959-03,-4.19,E
111,1959-04,-4.59,E
112,1959-05,-0.24,E
113,1959-06,2.84,E
114,1959-07,4.78,E
115,1959-08,4.79,E
116,1959-09,1.67,E
117,1959-10,0.61,E
118,1959-11,0.17,E
119,1959-12,-1.68,E
120,1960-01,-7.16,E
121,1960-02,-12.18,E
122,1960-03,-2.61,E
123,1960-04,-1.2,E
124,1960-05,1.86,E
125,1960-06,2.44,E
126,1960-07,6.56,E
127,1960-08,4.21,E
128,1960-09,5.02,E
129,1960-10,-2.43,E
130,1960-11,-2.82,E
131,1960-12,-7.58,E
132,1961-01,-5.5,E
133,1961-02,-8.1,E
134,1961-03,-8.95,E
135,1961-04,-9.28,E
136,1961-05,-2.03,E
137,1961-06,2.97,E
138,1961-07,5.09,E
139,1961-08,6.05,E
140,1961-09,2.99,E
141,1961-10,3.08,E
142,1961-11,-0.9,E
143,1961-12,-8.99,E
144,1962-01,-9.59,E
145,1962-02,-8.72,E
146,1962-03,-17.52,E
147,1962-04,-7.51,E
148,1962-05,-5.64,E
149,1962-06,0.05,E
150,1962-07,3.49,E
151,1962-08,2.74,E
152,1962-09,2.3,E
153,1962-10,0.05,E
154,1962-11,-1.75,E
155,1962-12,-8.19,E
156,1963-01,-13.02,E
157,1963-02,-17.6,E
158,1963-03,-12.66,E
159,1963-04,-8.68,E
160,1963-05,0.28,E
161,1963-06,1.31,E
162,1963-07,3.04,E
163,1963-08,3.88,E
164,1963-09,2.81,E
165,1963-10,1.22,E
166,1963-11,-5.63,E
167,1963-12,-10.6,E
168,1964-01,-8.53,E
169,1964-02,-6.19,E
170,1964-03,-2.34,E
171,1964-04,-4.59,E
172,1964-05,0.46,E
173,1964-06,1.62,E
174,1964-07,4.81,E
175,1964-08,4.1,E
176,1964-09,2.68,E
177,1964-10,0.76,E
178,1964-11,-2.99,E
179,1964-12,-2.42,E
180,1965-01,-6.58,E
181,1965-02,-8.2,E
182,1965-03,-12.96,E
183,1965-04,-3.5,E
184,1965-05,-3.18,E
185,1965-06,0.74,E
186,1965-07,1.56,E
187,1965-08,2.6,E
188,1965-09,2.14,E
189,1965-10,-1.17,E
190,1965-11,-3.04,E
191,1965-12,-7.49,E
192,1966-01,-13.03,E
193,1966-02,-13.71,E
194,1966-03,-11.55,E
195,1966-04,-5.47,E
196,1966-05,-3.55,E
197,1966-06,1.84,E
198,1966-07,4.29,E
199,1966-08,3.37,E
200,1966-09,0.71,E
201,1966-10,-3.7,E
202,1966-11,-3.14,E
203,1966-12,-1.74,E
204,1967-01,-12.23,E
205,1967-02,-5.19,E
206,1967-03,-5.93,E
207,1967-04,-4.49,E
208,1967-05,-2.06,E
209,1967-06,2.04,E
210,1967-07,4.6,E
211,1967-08,4.33,E
212,1967-09,2.99,E
213,1967-10,-2.13,E
214,1967-11,-1.76,E
215,1967-12,-10.55,E
216,1968-01,-13.66,E
217,1968-02,-11.54,E
218,1968-03,-13.43,E
219,1968-04,-6.98,E
220,1968-05,-3.8,E
221,1968-06,0.61,E
222,1968-07,3.16,E
223,1968-08,3.55,E
224,1968-09,0.65,E
225,1968-10,,E
226,1968-11,-6.82,E
227,1968-12,-9.87,E
228,1969-01,-8.43,E
229,1969-02,-5.46,E
230,1969-03,-10.38,E
231,1969-04,-8.55,E
232,1969-05,-1.14,E
233,1969-06,1.19,E
234,1969-07,6.01,E
235,1969-08,5.46,E
236,1969-09,3.86,E
237,1969-10,1.18,E
238,1969-11,-3.37,E
239,1969-12,-3.03,E
240,1970-01,-8.3,E
241,1970-02,-15.58,E
242,1970-03,-4.58,E
243,1970-04,-6.28,E
244,1970-05,-0.11,E
245,1970-06,3.48,E
246,1970-07,4.31,E
247,1970-08,5.65,E
248,1970-09,2.7,E
249,1970-10,0.82,E
250,1970-11,-4.6,E
251,1970-12,-8.33,E
252,1971-01,-14.31,E
253,1971-02,-5.08,E
254,1971-03,-10.46,E
255,1971-04,-6.73,E
256,1971-05,-1.31,E
257,1971-06,0.74,E
258,1971-07,4.27,E
259,1971-08,3.93,E
260,1971-09,2.14,E
261,1971-10,-2.07,E
262,1971-11,-10.91,E
263,1971-12,-5.75,E
264,1972-01,-0.7,E
265,1972-02,-4.45,E
266,1972-03,-4.69,E
267,1972-04,-6.14,E
268,1972-05,-0.89,E
269,1972-06,4.08,E
270,1972-07,6.63,E
271,1972-08,6.08,E
272,1972-09,4.23,E
273,1972-10,0.36,E
274,1972-11,-1.2,E
275,1972-12,-1.36,E
276,1973-01,-2.61,E
277,1973-02,-7.74,E
278,1973-03,-7.12,E
279,1973-04,-4.02,E
280,1973-05,-0.55,E
281,1973-06,3.87,E
282,1973-07,6.86,E
283,1973-08,4.82,E
284,1973-09,2.68,E
285,1973-10,-1.59,E
286,1973-11,-7.69,E
287,1973-12,-8.14,E
288,1974-01,-2.6,E
289,1974-02,-3.54,E
290,1974-03,0.14,E
291,1974-04,-2.61,E
292,1974-05,-0.31,E
293,1974-06,3.47,E
294,1974-07,4.68,E
295,1974-08,4.89,E
296,1974-09,3.96,E
297,1974-10,1.11,E
298,1974-11,-1.5,E
299,1974-12,-3.08,E
300,1975-01,-7.6,E
301,1975-02,-6.59,E
302,1975-03,-5.87,E
303,1975-04,-4.89,E
304,1975-05,-0.93,E
305,1975-06,0.34,E
306,1975-07,3.51,E
307,1975-08,3.98,E
308,1975-09,2.64,E
309,1975-10,-1.85,E
310,1975-11,-3.89,E
311,1975-12,-11.56,E
312,1976-01,-9.39,E
313,1976-02,-4.29,E
314,1976-03,-2.36,E
315,1976-04,-4.07,E
316,1976-05,0.25,E
317,1976-06,3.01,E
318,1976-07,6.63,E
319,1976-08,5.97,E
320,1976-09,2.05,E
321,1976-10,-0.15,E
322,1976-11,-2.85,E
323,1976-12,-3.99,E
324,1977-01,-6.51,E
325,1977-02,-6.89,E
326,1977-03,-12.14,E
327,1977-04,-8.83,E
328,1977-05,-1.95,E
329,1977-06,0.15,E
330,1977-07,2.77,E
331,1977-08,4.78,E
332,1977-09,2.31,E
333,1977-10,-0.11,E
334,1977-11,-1.45,E
335,1977-12,-4.82,E
336,1978-01,-12.9,E
337,1978-02,-15.05,E
338,1978-03,-9.37,E
339,1978-04,-4.87,E
340,1978-05,-1.33,E
341,1978-06,2.38,E
342,1978-07,3.84,E
343,1978-08,5.35,E
344,1978-09,1.3,E
345,1978-10,-0.79,E
346,1978-11,-3.49,E
347,1978-12,-7.28,E
348,1979-01,-10.74,E
349,1979-02,-7.32,E
350,1979-03,-5.6,E
351,1979-04,-6.68,E
352,1979-05,-3.52,E
353,1979-06,1.77,E
354,1979-07,6.72,E
355,1979-08,5.55,E
356,1979-09,3.26,E
357,1979-10,0.03,E
358,1979-11,-2.32,E
359,1979-12,-5.05,E
360,1980-01,-7.56,E
361,1980-02,-7.42,E
362,1980-03,-7.11,E
363,1980-04,-2.93,E
364,1980-05,-1.36,E
365,1980-06,2.97,E
366,1980-07,4.28,E
367,1980-08,6.08,E
368,1980-09,3.11,E
369,1980-10,-1.53,E
370,1980-11,-6.82,E
371,1980-12,-12.85,E
372,1981-01,-11.86,E
373,1981-02,-3.49,E
374,1981-03,-12.14,E
375,1981-04,-6.45,E
376,1981-05,-1.16,E
377,1981-06,1.2,E
378,1981-07,4.34,E
379,1981-08,4.57,E
380,1981-09,3.34,E
381,1981-10,-0.25,E
382,1981-11,-1.58,E
383,1981-12,-9.75,E
384,1982-01,-12.02,E
385,1982-02,-7.33,E
386,1982-03,-3.85,E
387,1982-04,-3.68,E
388,1982-05,-1.96,E
389,1982-06,0.03,E
390,1982-07,4.39,E
391,1982-08,3.03,E
392,1982-09,1.0,E
393,1982-10,-0.45,E
394,1982-11,-2.64,E
395,1982-12,-5.91,E
396,1983-01,-4.03,E
397,1983-02,-6.84,E
398,1983-03,-2.93,E
399,1983-04,-2.71,E
400,1983-05,-0.55,E
401,1983-06,3.67,E
402,1983-07,6.42,E
403,1983-08,4.64,E
404,1983-09,3.5,E
405,1983-10,-0.89,E
406,1983-11,-8.91,E
407,1983-12,-11.83,E
408,1984-01,-4.64,E
409,1984-02,-1.9,E
410,1984-03,-7.46,E
411,1984-04,-1.9,E
412,1984-05,-0.01,E
413,1984-06,2.94,E
414,1984-07,3.92,E
415,1984-08,5.21,E
416,1984-09,3.66,E
417,1984-10,1.35,E
418,1984-11,-0.71,E
419,1984-12,-0.04,E
420,1985-01,-5.32,E
421,1985-02,-4.78,E
422,1985-03,-4.85,E
423,1985-04,-7.42,E
424,1985-05,-1.53,E
425,1985-06,0.66,E
426,1985-07,5.01,E
427,1985-08,4.54,E
428,1985-09,2.51,E
429,1985-10,-0.47,E
430,1985-11,-2.96,E
431,1985-12,-6.69,E
432,1986-01,-6.21,E
433,1986-02,-9.78,E
434,1986-03,-4.71,E
435,1986-04,-6.69,E
436,1986-05,-0.04,E
437,1986-06,3.77,E
438,1986-07,5.19,E
439,1986-08,4.94,E
440,1986-09,1.6,E
441,1986-10,0.41,E
442,1986-11,-2.49,E
443,1986-12,-6.32,E
444,1987-01,-6.81,E
445,1987-02,-11.83,E
446,1987-03,-6.05,E
447,1987-04,-3.24,E
448,1987-05,-1.18,E
449,1987-06,0.89,E
450,1987-07,4.0,E
451,1987-08,3.73,E
452,1987-09,2.38,E
453,1987-10,1.01,E
454,1987-11,-2.51,E
455,1987-12,-13.1,E
456,1988-01,-7.98,E
457,1988-02,-5.96,E
458,1988-03,-9.0,E
459,1988-04,-8.88,E
460,1988-05,-1.13,E
461,1988-06,2.31,E
462,1988-07,4.36,E
463,1988-08,4.58,E
464,1988-09,2.44,E
465,1988-10,-3.0,E
466,1988-11,-9.54,E
467,1988-12,-12.15,E
468,1989-01,-10.3,E
469,1989-02,-10.4,E
470,1989-03,-6.94,E
471,1989-04,-1.41,E
472,1989-05,0.15,E
473,1989-06,2.79,E
474,1989-07,5.5,E
475,1989-08,6.05,E
476,1989-09,3.6,E
477,1989-10,-0.49,E
478,1989-11,-2.74,E
479,1989-12,-9.34,E
480,1990-01,-2.87,E
481,1990-02,-2.87,E
482,1990-03,-6.22,E
483,1990-04,-3.19,E
484,1990-05,-0.58,E
485,1990-06,2.6,E
486,1990-07,6.09,E
487,1990-08,5.17,E
488,1990-09,6.59,E
489,1990-10,1.25,E
490,1990-11,-4.62,E
491,1990-12,-3.65,E
492,1991-01,-4.02,E
493,1991-02,-2.16,E
494,1991-03,-4.69,E
495,1991-04,-3.49,E
496,1991-05,-0.96,E
497,1991-06,1.41,E
498,1991-07,4.45,E
499,1991-08,6.86,E
500,1991-09,2.86,E
501,1991-10,-0.05,E
502,1991-11,-3.93,E
503,1991-12,-4.19,E
504,1992-01,-4.25,E
505,1992-02,-9.68,E
506,1992-03,-4.64,E
507,1992-04,-2.27,E
508,1992-05,0.55,E
509,1992-06,3.44,E
510,1992-07,4.97,E
511,1992-08,5.28,E
512,1992-09,4.52,E
513,1992-10,-2.88,E
514,1992-11,-2.72,E
515,1992-12,-4.89,E
516,1993-01,-7.44,E
517,1993-02,-9.11,E
518,1993-03,-6.71,E
519,1993-04,-6.13,E
520,1993-05,-1.66,E
521,1993-06,0.71,E
522,1993-07,3.81,E
523,1993-08,6.02,E
524,1993-09,1.99,E
525,1993-10,-3.2,E
526,1993-11,0.42,E
527,1993-12,-4.03,E
528,1994-01,-9.17,E
