,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,,k
1,1950-02,,k
2,1950-03,,k
3,1950-04,,k
4,1950-05,,k
5,1950-06,,k
6,1950-07,,k
7,1950-08,,k
8,1950-09,,k
9,1950-10,,k
10,1950-11,,k
11,1950-12,,k
12,1951-01,,k
13,1951-02,,k
14,1951-03,,k
15,1951-04,,k
16,1951-05,,k
17,1951-06,,k
18,1951-07,,k
19,1951-08,,k
20,1951-09,,k
21,1951-10,,k
22,1951-11,,k
23,1951-12,,k
24,1952-01,,k
25,1952-02,,k
26,1952-03,,k
27,1952-04,,k
28,1952-05,,k
29,1952-06,,k
30,1952-07,,k
31,1952-08,,k
32,1952-09,,k
33,1952-10,,k
34,1952-11,,k
35,1952-12,,k
36,1953-01,,k
37,1953-02,,k
38,1953-03,,k
39,1953-04,,k
40,1953-05,,k
41,1953-06,,k
42,1953-07,,k
43,1953-08,,k
44,1953-09,,k
45,1953-10,,k
46,1953-11,,k
47,1953-12,,k
48,1954-01,-11.81,k
49,1954-02,-11.44,k
50,1954-03,-1.95,k
51,1954-04,3.73,k
52,1954-05,10.93,k
53,1954-06,13.96,k
54,1954-07,15.05,k
55,1954-08,13.99,k
56,1954-09,,k
57,1954-10,2.46,k
58,1954-11,, 
59,1954-12,, 
60,1969-01,-6.81,k
61,1969-02,-12.33,k
62,1969-03,-5.81,k
63,1969-04,4.11,k
64,1969-05,9.56,k
65,1969-06,15.95,k
66,1969-07,16.29,k
67,1969-08,17.1,k
68,1969-09,11.07,k
69,1969-10,5.84,k
70,1969-11,-8.44,k
71,1969-12,-11.84,k
72,1975-01,-2.59,k
73,1975-02,-7.45,k
74,1975-03,-1.58,k
75,1975-04,2.78,k
76,1975-05,9.13,k
77,1975-06,13.16,k
78,1975-07,17.53,k
79,1975-08,17.0,k
80,1975-09,9.89,k
81,1975-10,3.77,k
82,1975-11,-2.61,k
83,1975-12,-2.02,k
84,1977-01,,k
85,1977-02,,k
86,1977-03,,k
87,1977-04,,k
88,1977-05,,k
89,1977-06,,k
90,1977-07,,k
91,1977-08,,k
92,1977-09,,k
93,1977-10,,k
94,1977-11,,k
95,1977-12,,k
96,1982-01,-12.94,k
97,1982-02,-7.68,k
98,1982-03,0.87,k
99,1982-04,4.57,k
100,1982-05,8.98,k
101,1982-06,13.49,k
102,1982-07,16.88,k
103,1982-08,14.91,k
104,1982-09,10.22,k
105,1982-10,4.11,k
106,1982-11,-2.87,k
107,1982-12,-9.45,k
108,1985-01,-12.97,k
109,1985-02,-12.81,k
110,1985-03,-2.33,k
111,1985-04,2.59,k
112,1985-05,10.06,k
113,1985-06,13.91,k
114,1985-07,15.17,k
115,1985-08,13.48,k
116,1985-09,6.97,k
117,1985-10,6.27,k
118,1985-11,-8.56,k
119,1985-12,-13.93,k
