,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-13.26,=
1,1950-02,-6.01,=
2,1950-03,-3.26,=
3,1950-04,6.59,=
4,1950-05,11.44,=
5,1950-06,12.74,=
6,1950-07,15.84,=
7,1950-08,15.44,=
8,1950-09,9.39,=
9,1950-10,6.54,=
10,1950-11,-6.21,=
11,1950-12,-11.91,=
12,1951-01,-11.81,=
13,1951-02,-9.06,=
14,1951-03,-5.76,=
15,1951-04,3.04,=
16,1951-05,10.59,=
17,1951-06,11.84,=
18,1951-07,14.24,=
19,1951-08,15.69,=
20,1951-09,9.94,=
21,1951-10,7.04,=
22,1951-11,1.63,=
23,1951-12,-3.71,=
24,1952-01,-6.71,=
25,1952-02,-7.05,=
26,1952-03,-6.51,=
27,1952-04,3.89,=
28,1952-05,9.99,=
29,1952-06,12.14,=
30,1952-07,17.24,=
31,1952-08,12.74,=
32,1952-09,6.99,=
33,1952-10,3.99,=
34,1952-11,-6.35,=
35,1952-12,-9.91,=
36,1953-01,-11.51,=
37,1953-02,-9.96,=
38,1953-03,2.59,=
39,1953-04,3.98,=
40,1953-05,9.54,=
41,1953-06,17.39,=
42,1953-07,17.26,=
43,1953-08,14.57,=
44,1953-09,9.02,=
45,1953-10,7.22,=
46,1953-11,1.06,=
47,1953-12,-1.83,=
48,1954-01,-12.08,=
49,1954-02,-14.63,=
50,1954-03,0.32,=
51,1954-04,3.72,=
52,1954-05,13.47,=
53,1954-06,13.57,=
54,1954-07,14.62,=
55,1954-08,13.97,=
56,1954-09,9.11,=
57,1954-10,3.92,=
58,1954-11,-1.47,=
59,1954-12,-5.78,=
60,1955-01,-10.18,=
61,1955-02,-12.68,=
62,1955-03,-4.83,=
63,1955-04,4.62,=
64,1955-05,9.72,=
65,1955-06,12.87,=
66,1955-07,17.76,=
67,1955-08,15.72,=
68,1955-09,11.07,=
69,1955-10,3.16,=
70,1955-11,-3.52,=
71,1955-12,-10.78,=
72,1956-01,-15.68,=
73,1956-02,-13.03,=
74,1956-03,-3.78,=
75,1956-04,2.16,=
76,1956-05,10.67,=
77,1956-06,15.67,=
78,1956-07,16.97,=
79,1956-08,12.37,=
80,1956-09,9.86,=
81,1956-10,3.16,=
82,1956-11,-6.62,=
83,1956-12,-6.67,=
84,1957-01,-7.53,=
85,1957-02,-9.28,=
86,1957-03,-4.17,=
87,1957-04,4.72,=
88,1957-05,9.92,=
89,1957-06,14.12,=
90,1957-07,16.07,=
91,1957-08,14.02,=
92,1957-09,7.37,=
93,1957-10,4.91,=
94,1957-11,-1.72,=
95,1957-12,-6.68,=
96,1958-01,-12.18,=
97,1958-02,-13.93,=
98,1958-03,-9.28,=
99,1958-04,-0.12,=
100,1958-05,11.12,=
101,1958-06,13.17,=
102,1958-07,16.27,=
103,1958-08,13.72,=
104,1958-09,12.87,=
105,1958-10,5.86,=
106,1958-11,-0.68,=
107,1958-12,-10.33,=
108,1959-01,-12.68,=
109,1959-02,-7.38,=
110,1959-03,-0.22,=
111,1959-04,6.02,=
112,1959-05,12.52,=
113,1959-06,15.02,=
114,1959-07,15.82,=
115,1959-08,13.72,=
116,1959-09,9.36,=
117,1959-10,3.22,=
118,1959-11,-0.23,=
119,1959-12,-6.53,=
120,1960-01,-9.13,=
121,1960-02,-12.78,=
122,1960-03,-2.72,=
123,1960-04,2.81,=
124,1960-05,10.17,=
125,1960-06,16.52,=
126,1960-07,15.12,=
127,1960-08,15.02,=
128,1960-09,7.62,=
129,1960-10,2.41,=
130,1960-11,-2.18,=
131,1960-12,-4.08,=
132,1961-01,-12.28,=
133,1961-02,-8.67,=
134,1961-03,1.62,=
135,1961-04,4.62,=
136,1961-05,10.42,=
137,1961-06,15.82,=
138,1961-07,15.37,=
139,1961-08,13.12,=
140,1961-09,11.47,=
141,1961-10,8.47,=
142,1961-11,-1.78,=
143,1961-12,-12.78,=
144,1962-01,-9.03,=
145,1962-02,-6.03,=
146,1962-03,-10.78,=
147,1962-04,2.92,=
148,1962-05,9.22,=
149,1962-06,12.47,=
150,1962-07,14.62,=
151,1962-08,11.27,=
152,1962-09,7.22,=
153,1962-10,5.42,=
154,1962-11,-5.78,=
155,1962-12,-13.18,=
156,1963-01,-14.83,=
157,1963-02,-15.28,=
158,1963-03,-6.63,=
159,1963-04,1.62,=
160,1963-05,13.07,=
161,1963-06,17.12,=
162,1963-07,16.47,=
163,1963-08,15.12,=
164,1963-09,9.47,=
165,1963-10,5.41,=
166,1963-11,-6.18,=
167,1963-12,-10.78,=
168,1964-01,-6.48,=
169,1964-02,-7.28,=
170,1964-03,-3.08,=
171,1964-04,5.37,=
172,1964-05,11.32,=
173,1964-06,12.97,=
174,1964-07,13.72,=
175,1964-08,13.27,=
176,1964-09,9.11,=
177,1964-10,3.82,=
178,1964-11,-2.78,=
179,1964-12,-8.92,=
180,1965-01,-7.53,=
181,1965-02,-6.17,=
182,1965-03,-5.68,=
183,1965-04,4.72,=
184,1965-05,9.92,=
185,1965-06,14.52,=
186,1965-07,15.52,=
187,1965-08,13.62,=
188,1965-09,10.22,=
189,1965-10,5.52,=
190,1965-11,-7.83,=
191,1965-12,-14.78,=
192,1966-01,-17.73,=
193,1966-02,-17.43,=
194,1966-03,-5.33,=
195,1966-04,0.22,=
196,1966-05,11.22,=
197,1966-06,15.67,=
198,1966-07,17.22,=
199,1966-08,13.32,=
200,1966-09,7.57,=
201,1966-10,2.57,=
202,1966-11,-2.83,=
203,1966-12,-8.73,=
204,1967-01,-14.03,=
205,1967-02,-7.18,=
206,1967-03,0.81,=
207,1967-04,4.72,=
208,1967-05,9.92,=
209,1967-06,14.02,=
210,1967-07,14.97,=
211,1967-08,13.07,=
212,1967-09,10.81,=
213,1967-10,5.86,=
214,1967-11,1.51,=
215,1967-12,-8.88,=
216,1968-01,-15.32,=
217,1968-02,-11.73,=
218,1968-03,-4.08,=
219,1968-04,2.52,=
220,1968-05,9.32,=
221,1968-06,15.87,=
222,1968-07,15.92,=
223,1968-08,14.62,=
224,1968-09,9.22,=
225,1968-10,3.91,=
226,1968-11,-9.28,=
227,1968-12,-11.78,=
228,1969-01,-12.08,=
229,1969-02,-14.08,=
230,1969-03,-7.08,=
231,1969-04,5.22,=
232,1969-05,11.17,=
233,1969-06,14.52,=
234,1969-07,17.42,=
235,1969-08,16.92,=
236,1969-09,10.72,=
237,1969-10,6.77,=
238,1969-11,-7.98,=
239,1969-12,-11.78,=
240,1970-01,-16.03,=
241,1970-02,-15.93,=
242,1970-03,-5.33,=
243,1970-04,-1.18,=
244,1970-05,10.32,=
245,1970-06,18.37,=
246,1970-07,15.92,=
247,1970-08,13.97,=
248,1970-09,7.72,=
249,1970-10,3.21,=
250,1970-11,-8.73,=
251,1970-12,-6.08,=
252,1971-01,-9.78,=
253,1971-02,-3.92,=
254,1971-03,-9.08,=
255,1971-04,1.91,=
256,1971-05,11.77,=
257,1971-06,15.67,=
258,1971-07,15.72,=
259,1971-08,12.72,=
260,1971-09,10.11,=
261,1971-10,5.02,=
262,1971-11,-6.13,=
263,1971-12,-4.08,=
264,1972-01,-10.13,=
265,1972-02,-9.03,=
266,1972-03,-4.38,=
267,1972-04,1.62,=
268,1972-05,10.77,=
269,1972-06,16.37,=
270,1972-07,16.97,=
271,1972-08,12.57,=
272,1972-09,9.72,=
273,1972-10,5.16,=
274,1972-11,-2.53,=
275,1972-12,-2.53,=
276,1973-01,1.12,=
277,1973-02,-3.97,=
278,1973-03,0.32,=
279,1973-04,4.57,=
280,1973-05,11.17,=
281,1973-06,15.22,=
282,1973-07,18.52,=
283,1973-08,13.62,=
284,1973-09,9.47,=
285,1973-10,2.47,=
286,1973-11,-7.23,=
287,1973-12,-10.28,=
288,1974-01,-4.98,=
289,1974-02,-5.43,=
290,1974-03,0.07,=
291,1974-04,5.22,=
292,1974-05,10.22,=
293,1974-06,14.22,=
294,1974-07,14.27,=
295,1974-08,13.02,=
296,1974-09,12.27,=
297,1974-10,4.46,=
298,1974-11,-2.33,=
299,1974-12,-4.18,=
300,1975-01,-3.58,=
301,1975-02,-10.18,=
302,1975-03,-2.63,=
303,1975-04,1.02,=
304,1975-05,11.02,=
305,1975-06,12.62,=
306,1975-07,17.62,=
307,1975-08,18.51,=
308,1975-09,10.52,=
309,1975-10,4.57,=
310,1975-11,-0.42,=
311,1975-12,-2.68,=
312,1976-01,-9.88,=
313,1976-02,-5.08,=
314,1976-03,-4.73,=
315,1976-04,4.66,=
316,1976-05,11.52,=
317,1976-06,14.97,=
318,1976-07,15.22,=
319,1976-08,14.77,=
320,1976-09,6.17,=
321,1976-10,3.92,=
322,1976-11,-4.53,=
323,1976-12,-12.78,=
324,1977-01,-12.48,=
325,1977-02,-10.48,=
326,1977-03,-4.08,=
327,1977-04,-1.33,=
328,1977-05,11.92,=
329,1977-06,17.26,=
330,1977-07,16.92,=
331,1977-08,13.32,=
332,1977-09,9.22,=
333,1977-10,6.17,=
334,1977-11,-3.23,=
335,1977-12,-6.23,=
336,1978-01,-8.73,=
337,1978-02,-14.32,=
338,1978-03,-8.63,=
339,1978-04,3.12,=
340,1978-05,12.42,=
341,1978-06,16.52,=
342,1978-07,16.27,=
343,1978-08,14.72,=
344,1978-09,5.92,=
345,1978-10,4.77,=
346,1978-11,-5.48,=
347,1978-12,-17.18,=
348,1979-01,-17.03,=
349,1979-02,-12.38,=
350,1979-03,-8.78,=
351,1979-04,5.22,=
352,1979-05,10.81,=
353,1979-06,16.17,=
354,1979-07,13.67,=
355,1979-08,13.72,=
356,1979-09,7.82,=
357,1979-10,3.67,=
358,1979-11,-2.88,=
359,1979-12,-8.08,=
360,1980-01,-14.48,=
361,1980-02,-15.07,=
362,1980-03,-7.28,=
363,1980-04,5.72,=
364,1980-05,12.42,=
365,1980-06,16.92,=
366,1980-07,17.12,=
367,1980-08,13.82,=
368,1980-09,9.47,=
369,1980-10,-1.28,=
370,1980-11,-7.53,=
371,1980-12,-7.13,=
372,1981-01,-10.03,=
373,1981-02,-8.83,=
374,1981-03,-3.28,=
375,1981-04,4.42,=
376,1981-05,10.22,=
377,1981-06,12.27,=
378,1981-07,15.92,=
379,1981-08,13.77,=
380,1981-09,10.97,=
381,1981-10,3.82,=
382,1981-11,-4.03,=
383,1981-12,-12.88,=
384,1982-01,-17.28,=
385,1982-02,-9.98,=
386,1982-03,-0.87,=
387,1982-04,4.22,=
388,1982-05,11.72,=
389,1982-06,14.77,=
390,1982-07,17.07,=
391,1982-08,16.27,=
392,1982-09,9.72,=
393,1982-10,5.72,=
394,1982-11,-0.53,=
395,1982-12,-7.78,=
396,1983-01,-5.08,=
397,1983-02,-10.33,=
398,1983-03,-2.68,=
399,1983-04,4.52,=
400,1983-05,9.77,=
401,1983-06,13.72,=
402,1983-07,15.97,=
403,1983-08,14.47,=
404,1983-09,8.42,=
405,1983-10,5.61,=
406,1983-11,-1.53,=
407,1983-12,-6.43,=
408,1984-01,-10.53,=
409,1984-02,-6.93,=
410,1984-03,-4.03,=
411,1984-04,3.82,=
412,1984-05,10.92,=
413,1984-06,15.32,=
414,1984-07,14.32,=
415,1984-08,13.52,=
416,1984-09,9.22,=
417,1984-10,5.97,=
418,1984-11,1.31,=
419,1984-12,-0.98,=
420,1985-01,-15.78,=
421,1985-02,-17.82,=
422,1985-03,-5.03,=
423,1985-04,-0.33,=
424,1985-05,12.17,=
425,1985-06,15.32,=
426,1985-07,15.42,=
427,1985-08,13.47,=
428,1985-09,6.17,=
429,1985-10,6.42,=
430,1985-11,-5.17,=
431,1985-12,-12.28,=
432,1986-01,-15.38,=
433,1986-02,-14.98,=
434,1986-03,-5.78,=
435,1986-04,1.72,=
436,1986-05,10.72,=
437,1986-06,16.97,=
438,1986-07,17.42,=
439,1986-08,11.97,=
440,1986-09,6.42,=
441,1986-10,6.12,=
442,1986-11,2.22,=
443,1986-12,-8.17,=
444,1987-01,-16.28,=
445,1987-02,-8.98,=
446,1987-03,-10.38,=
447,1987-04,6.47,=
448,1987-05,11.47,=
449,1987-06,14.47,=
450,1987-07,17.51,=
451,1987-08,, 
452,1987-09,8.47,=
453,1987-10,6.12,=
454,1987-11,-5.98,=
455,1987-12,-8.78,=
456,1988-01,-3.28,=
457,1988-02,-7.83,=
458,1988-03,-8.03,=
459,1988-04,1.31,=
460,1988-05,12.92,=
461,1988-06,18.51,=
462,1988-07,15.47,=
463,1988-08,14.62,=
464,1988-09,10.97,=
465,1988-10,-0.58,=
466,1988-11,-6.28,=
467,1988-12,-7.28,=
468,1989-01,-1.18,=
469,1989-02,1.47,=
470,1989-03,0.72,=
471,1989-04,7.52,=
472,1989-05,, 
473,1989-06,14.27,=
474,1989-07,15.57,=
475,1989-08,12.22,=
476,1989-09,11.12,=
477,1989-10,4.82,=
478,1989-11,-2.33,=
479,1989-12,-10.78,=
480,1990-01,-4.78,=
481,1990-02,2.87,=
482,1990-03,3.82,=
483,1990-04,3.11,=
484,1990-05,12.82,=
485,1990-06,15.82,=
486,1990-07,17.12,=
487,1990-08,13.62,=
488,1990-09,6.92,=
489,1990-10,3.92,=
490,1990-11,-4.38,=
491,1990-12,-6.42,=
492,1991-01,-10.28,=
493,1991-02,-9.28,=
494,1991-03,0.62,=
495,1991-04,5.11,=
496,1991-05,11.22,=
497,1991-06,10.72,=
498,1991-07,19.12,=
499,1991-08,14.72,=
500,1991-09,11.22,=
501,1991-10,3.97,=
502,1991-11,-2.78,=
503,1991-12,-6.33,=
504,1992-01,-4.22,=
505,1992-02,-5.88,=
506,1992-03,-0.18,=
507,1992-04,3.82,=
508,1992-05,13.17,=
509,1992-06,14.57,=
510,1992-07,15.07,=
511,1992-08,11.97,=
512,1992-09,8.72,=
513,1992-10,2.47,=
514,1992-11,-2.38,=
515,1992-12,-4.48,=
516,1993-01,-7.48,=
517,1993-02,-5.37,=
518,1993-03,-6.98,=
519,1993-04,9.47,=
520,1993-05,13.62,=
521,1993-06,14.42,=
522,1993-07,14.27,=
523,1993-08,11.22,=
524,1993-09,7.02,=
525,1993-10,1.62,=
526,1993-11,-6.78,=
527,1993-12,-10.08,=
528,1994-01,-8.87,=
529,1994-02,-13.28,=
530,1994-03,-7.13,=
531,1994-04,6.52,=
532,1994-05,11.47,=
533,1994-06,13.67,=
534,1994-07,18.82,=
535,1994-08,15.47,=
536,1994-09,8.82,=
537,1994-10,3.82,=
538,1994-11,-0.72,=
539,1994-12,-4.68,=
540,1995-01,-9.28,=
541,1995-02,-6.28,=
542,1995-03,0.28,=
543,1995-04,6.82,=
544,1995-05,10.31,=
545,1995-06,17.01,=
546,1995-07,15.97,=
547,1995-08,14.92,=
