,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-17.6,[
1,1950-02,-23.9,[
2,1950-03,-19.4,[
3,1950-04,-12.3,[
4,1950-05,-7.7,[
5,1950-06,-1.8,[
6,1950-07,0.2,[
7,1950-08,2.7,[
8,1950-09,1.3,[
9,1950-10,-2.9,[
10,1950-11,-7.1,[
11,1950-12,-15.1,[
12,1951-01,-22.1,""""
13,1951-02,-17.1,""""
14,1951-03,-21.1,""""
15,1951-04,-11.2,""""
16,1951-05,-8.1,""""
17,1951-06,-1.7,""""
18,1951-07,1.4,""""
19,1951-08,1.5,""""
20,1951-09,-1.1,""""
21,1951-10,-3.3,""""
22,1951-11,-17.29,""""
23,1951-12,-16.1,""""
24,1952-01,-21.7,""""
25,1952-02,-15.1,""""
26,1952-03,-21.1,""""
27,1952-04,-16.29,""""
28,1952-05,-6.9,""""
29,1952-06,-0.7,""""
30,1952-07,1.2,""""
31,1952-08,1.9,""""
32,1952-09,1.0,""""
33,1952-10,-6.5,""""
34,1952-11,-9.1,""""
35,1952-12,-17.9,""""
36,1953-01,-20.1,""""
37,1953-02,-10.3,""""
38,1953-03,-20.5,""""
39,1953-04,-14.1,""""
40,1953-05,-6.9,""""
41,1953-06,-0.3,""""
42,1953-07,2.0,""""
43,1953-08,3.0,""""
44,1953-09,-0.3,""""
45,1953-10,-4.1,""""
46,1953-11,-4.3,""""
47,1953-12,-8.1,""""
48,1954-01,-14.9,""""
49,1954-02,-13.1,""""
50,1954-03,-22.5,""""
51,1954-04,-13.2,""""
52,1954-05,-6.2,""""
53,1954-06,0.0,""""
54,1954-07,3.5,""""
55,1954-08,3.2,""""
56,1954-09,0.6,""""
57,1954-10,-1.8,""""
58,1954-11,-5.7,""""
59,1954-12,-6.3,""""
60,1955-01,-13.1,""""
61,1955-02,-22.5,""""
62,1955-03,-17.79,""""
63,1955-04,-9.5,""""
64,1955-05,-8.3,""""
65,1955-06,-0.3,""""
66,1955-07,3.1,""""
67,1955-08,3.4,""""
68,1955-09,1.3,""""
69,1955-10,-4.8,""""
70,1955-11,-19.5,""""
71,1955-12,-23.5,""""
72,1956-01,-19.29,""""
73,1956-02,-9.89,""""
74,1956-03,-11.3,""""
75,1956-04,-17.9,""""
76,1956-05,-7.5,""""
77,1956-06,-0.9,""""
78,1956-07,1.7,""""
79,1956-08,4.0,""""
80,1956-09,0.0,""""
81,1956-10,-7.4,""""
82,1956-11,-8.5,""""
83,1956-12,-9.5,""""
84,1957-01,-16.6,""""
85,1957-02,-17.44,S
86,1957-03,, 
87,1957-04,, 
88,1957-05,-6.82,S
89,1957-06,, 
90,1957-07,, 
91,1957-08,, 
92,1957-09,, 
93,1957-10,, 
94,1957-11,-19.61,S
95,1957-12,-21.32,S
96,1958-01,, 
97,1958-02,, 
98,1958-03,, 
99,1958-04,, 
100,1958-05,, 
101,1958-06,, 
102,1958-07,, 
103,1958-08,, 
104,1958-09,, 
105,1958-10,, 
106,1958-11,-13.48,S
107,1958-12,, 
108,1959-01,-24.51,S
109,1959-02,, 
110,1959-03,, 
111,1959-04,, 
112,1959-05,, 
113,1959-06,, 
114,1959-07,, 
115,1959-08,, 
116,1959-09,, 
117,1959-10,-4.37,S
118,1959-11,-5.54,S
119,1959-12,-12.71,S
120,1960-01,-19.24,S
121,1960-02,-31.09,S
122,1960-03,-24.78,S
123,1960-04,, 
124,1960-05,, 
125,1960-06,-0.2,S
126,1960-07,3.42,S
127,1960-08,1.27,S
128,1960-09,-0.69,S
129,1960-10,, 
130,1960-11,, 
131,1960-12,-14.26,S
132,1961-01,-22.59,S
133,1961-02,-21.4,S
134,1961-03,-14.6,S
135,1961-04,-14.18,S
136,1961-05,-9.31,S
137,1961-06,-0.6,S
138,1961-07,3.95,S
139,1961-08,5.03,S
140,1961-09,0.63,S
141,1961-10,-3.99,S
142,1961-11,-14.37,S
143,1961-12,-19.34,S
144,1962-01,, 
145,1962-02,-24.49,S
146,1962-03,-20.85,S
147,1962-04,-14.98,S
148,1962-05,-9.72,S
149,1962-06,-0.6,S
150,1962-07,2.58,S
151,1962-08,1.53,S
152,1962-09,0.6,S
153,1962-10,-9.52,S
154,1962-11,-8.62,S
155,1962-12,-21.93,S
156,1963-01,-22.77,S
157,1963-02,-29.12,S
158,1963-03,-30.82,S
159,1963-04,-17.64,S
160,1963-05,-8.22,S
161,1963-06,-1.33,S
162,1963-07,1.04,S
163,1963-08,1.41,S
164,1963-09,-2.36,S
165,1963-10,-4.17,S
166,1963-11,-16.56,S
167,1963-12,-25.41,S
168,1964-01,-30.58,S
169,1964-02,-16.27,S
170,1964-03,-25.38,S
171,1964-04,-20.81,S
172,1964-05,-11.19,S
173,1964-06,-2.98,S
174,1964-07,2.48,S
175,1964-08,0.45,S
176,1964-09,-1.11,S
177,1964-10,-6.16,S
178,1964-11,-21.26,S
179,1964-12,-17.45,S
180,1965-01,-19.0,S
181,1965-02,-22.37,S
182,1965-03,-20.19,S
183,1965-04,-14.07,S
184,1965-05,-11.76,S
185,1965-06,-1.56,S
186,1965-07,1.8,S
187,1965-08,2.27,S
188,1965-09,0.67,S
189,1965-10,-7.95,S
190,1965-11,-12.43,S
191,1965-12,-21.21,S
192,1966-01,-23.72,S
193,1966-02,-27.47,S
194,1966-03,-27.48,S
195,1966-04,-17.87,S
196,1966-05,-11.35,S
197,1966-06,-1.81,S
198,1966-07,1.36,S
199,1966-08,0.51,S
200,1966-09,-1.59,S
201,1966-10,-13.29,S
202,1966-11,-15.57,S
203,1966-12,-6.94,S
204,1967-01,-27.3,S
205,1967-02,-26.12,S
206,1967-03,-20.7,S
207,1967-04,-15.06,S
208,1967-05,-10.22,S
209,1967-06,-1.17,S
210,1967-07,2.55,S
211,1967-08,2.31,S
212,1967-09,0.58,S
213,1967-10,-5.74,S
214,1967-11,-8.97,S
215,1967-12,-13.57,S
216,1968-01,-17.12,S
217,1968-02,-16.29,S
218,1968-03,-23.1,S
219,1968-04,-16.68,S
220,1968-05,-8.97,S
221,1968-06,-2.08,S
222,1968-07,0.1,S
223,1968-08,1.36,S
224,1968-09,-1.58,S
225,1968-10,-10.68,S
226,1968-11,-24.97,S
227,1968-12,-20.6,S
228,1969-01,-23.47,S
229,1969-02,-19.96,S
230,1969-03,-28.12,S
231,1969-04,-21.46,S
232,1969-05,-10.14,S
233,1969-06,-3.18,S
234,1969-07,1.55,S
235,1969-08,0.31,S
236,1969-09,-1.08,S
