,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-13.57,""""
1,1950-02,-24.77,""""
2,1950-03,-29.17,""""
3,1950-04,-21.27,""""
4,1950-05,-10.57,""""
5,1950-06,2.93,""""
6,1950-07,8.03,""""
7,1950-08,7.63,""""
8,1950-09,-2.97,""""
9,1950-10,-14.27,""""
10,1950-11,-21.37,""""
11,1950-12,, 
12,1951-01,-31.27,""""
13,1951-02,-35.76,""""
14,1951-03,-22.27,""""
15,1951-04,-18.46,""""
16,1951-05,-2.27,""""
17,1951-06,7.13,""""
18,1951-07,10.53,""""
19,1951-08,6.73,""""
20,1951-09,2.83,""""
21,1951-10,-7.17,""""
22,1951-11,-25.97,""""
23,1951-12,-28.37,""""
24,1952-01,-31.87,""""
25,1952-02,-38.76,""""
26,1952-03,-27.77,""""
27,1952-04,-17.67,""""
28,1952-05,-5.77,""""
29,1952-06,4.33,""""
30,1952-07,12.93,""""
31,1952-08,10.73,""""
32,1952-09,3.43,""""
33,1952-10,-9.97,""""
34,1952-11,-26.27,""""
35,1952-12,-33.17,""""
36,1953-01,-32.07,""""
37,1953-02,-36.37,""""
38,1953-03,-32.37,""""
39,1953-04,-18.27,""""
40,1953-05,-3.27,""""
41,1953-06,9.33,""""
42,1953-07,13.63,""""
43,1953-08,9.93,""""
44,1953-09,2.23,""""
45,1953-10,-10.47,""""
46,1953-11,-22.07,""""
47,1953-12,-37.97,""""
48,1954-01,-26.67,""""
49,1954-02,-31.57,""""
50,1954-03,-27.87,""""
51,1954-04,, 
52,1954-05,, 
53,1954-06,, 
54,1954-07,10.83,""""
55,1954-08,5.93,""""
56,1954-09,0.63,""""
57,1954-10,-13.47,""""
58,1954-11,-23.97,""""
59,1954-12,-37.07,""""
60,1955-01,-35.76,""""
61,1955-02,-33.07,""""
62,1955-03,-28.17,""""
63,1955-04,-18.27,""""
64,1955-05,-5.27,""""
65,1955-06,5.83,""""
66,1955-07,9.53,""""
67,1955-08,8.43,""""
68,1955-09,0.43,""""
69,1955-10,-17.46,""""
70,1955-11,-24.57,""""
71,1955-12,-18.87,""""
72,1956-01,-24.07,""""
73,1956-02,-31.76,""""
74,1956-03,-28.27,""""
75,1956-04,-15.96,""""
76,1956-05,-3.17,""""
77,1956-06,9.13,""""
78,1956-07,12.33,""""
79,1956-08,7.13,""""
80,1956-09,-0.07,""""
81,1956-10,-13.37,""""
82,1956-11,-31.37,""""
83,1956-12,-31.07,""""
84,1957-01,-23.87,""""
85,1957-02,-32.57,""""
86,1957-03,-28.77,""""
87,1957-04,-17.46,""""
88,1957-05,-2.07,""""
89,1957-06,9.23,""""
90,1957-07,11.43,""""
91,1957-08,6.13,""""
92,1957-09,2.03,""""
93,1957-10,-11.27,""""
94,1957-11,-22.57,""""
95,1957-12,-36.17,""""
96,1958-01,-33.47,""""
97,1958-02,-32.17,""""
98,1958-03,-23.57,""""
99,1958-04,-18.37,""""
100,1958-05,-5.97,""""
101,1958-06,9.13,""""
102,1958-07,10.93,""""
103,1958-08,9.53,""""
104,1958-09,-0.57,""""
105,1958-10,-15.96,""""
106,1958-11,-31.67,""""
107,1958-12,-29.47,""""
108,1959-01,-19.37,""""
109,1959-02,-30.57,""""
110,1959-03,-32.26,""""
111,1959-04,-16.87,""""
112,1959-05,-1.87,""""
113,1959-06,7.03,""""
114,1959-07,12.23,""""
115,1959-08,7.93,""""
116,1959-09,2.03,""""
117,1959-10,-12.67,""""
118,1959-11,-22.17,""""
119,1959-12,-32.67,""""
120,1960-01,-31.97,""""
121,1960-02,-32.07,""""
122,1960-03,-15.96,""""
123,1960-04,-19.27,""""
124,1960-05,-5.07,""""
125,1960-06,8.73,""""
126,1960-07,13.33,""""
127,1960-08,8.23,""""
128,1960-09,2.03,""""
129,1960-10,-12.37,""""
130,1960-11,-28.47,""""
131,1960-12,-25.37,""""
132,1961-01,-31.27,""""
133,1961-02,-30.77,""""
134,1961-03,-34.47,""""
135,1961-04,-17.46,""""
136,1961-05,0.73,""""
137,1961-06,7.63,""""
138,1961-07,12.63,""""
139,1961-08,6.53,""""
140,1961-09,-1.17,""""
141,1961-10,-13.07,""""
142,1961-11,-23.77,""""
143,1961-12,-33.07,""""
144,1962-01,-28.27,""""
145,1962-02,-27.37,""""
146,1962-03,-21.67,""""
147,1962-04,-13.77,""""
148,1962-05,-2.97,""""
149,1962-06,6.43,""""
150,1962-07,10.73,""""
151,1962-08,8.03,""""
152,1962-09,-2.97,""""
153,1962-10,-16.57,""""
154,1962-11,-25.27,""""
155,1962-12,-28.67,""""
156,1963-01,-25.27,""""
157,1963-02,-26.67,""""
158,1963-03,-31.37,""""
159,1963-04,-17.27,""""
160,1963-05,-6.47,""""
161,1963-06,4.63,""""
162,1963-07,11.33,""""
163,1963-08,5.23,""""
164,1963-09,0.43,""""
165,1963-10,-17.27,""""
166,1963-11,-24.27,{
167,1963-12,-29.87,{
168,1964-01,-43.67,{
169,1964-02,-34.07,{
170,1964-03,-33.26,{
171,1964-04,-18.67,{
172,1964-05,-3.17,{
173,1964-06,13.63,{
174,1964-07,11.33,{
175,1964-08,8.53,{
176,1964-09,-2.07,{
177,1964-10,-14.07,{
178,1964-11,-25.67,{
179,1964-12,-25.37,{
180,1965-01,-31.57,{
181,1965-02,-38.26,{
182,1965-03,-27.57,{
183,1965-04,-17.07,{
184,1965-05,-3.67,{
185,1965-06,9.93,{
186,1965-07,8.73,{
187,1965-08,7.73,{
188,1965-09,-4.87,{
189,1965-10,-18.57,{
190,1965-11,-24.97,{
191,1965-12,-41.87,{
192,1966-01,-34.76,{
193,1966-02,-35.47,{
194,1966-03,-23.77,{
195,1966-04,-21.67,{
196,1966-05,-4.67,{
197,1966-06,9.53,{
198,1966-07,11.33,{
199,1966-08,8.03,{
200,1966-09,1.33,{
201,1966-10,-17.67,{
202,1966-11,-20.17,{
203,1966-12,-33.67,{
204,1967-01,-36.57,{
205,1967-02,-35.57,{
206,1967-03,-19.96,{
207,1967-04,-18.57,{
208,1967-05,4.33,{
209,1967-06,11.23,{
210,1967-07,11.93,{
211,1967-08,6.13,{
212,1967-09,0.93,{
213,1967-10,-10.27,{
214,1967-11,-32.76,{
215,1967-12,-27.67,{
216,1968-01,-27.77,{
217,1968-02,-30.67,{
218,1968-03,-26.17,{
219,1968-04,-22.47,{
220,1968-05,-2.27,{
221,1968-06,9.63,{
222,1968-07,12.53,{
223,1968-08,10.03,{
224,1968-09,0.53,{
225,1968-10,-17.67,{
226,1968-11,-32.47,{
