,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-7.2,r
1,1950-02,-11.37,r
2,1950-03,-9.4,r
3,1950-04,-6.79,r
4,1950-05,-4.04,r
5,1950-06,1.57,r
6,1950-07,6.52,r
7,1950-08,5.33,r
8,1950-09,2.15,r
9,1950-10,-0.9,r
10,1950-11,-4.02,r
11,1950-12,-12.94,r
12,1951-01,-15.05,r
13,1951-02,-8.29,r
14,1951-03,-15.89,r
15,1951-04,-13.1,r
16,1951-05,-4.67,r
17,1951-06,1.67,r
18,1951-07,5.86,r
19,1951-08,5.35,r
20,1951-09,0.09,r
21,1951-10,-4.33,r
22,1951-11,-14.04,r
23,1951-12,-14.18,r
24,1952-01,-13.99,r
25,1952-02,-17.52,r
26,1952-03,-17.82,r
27,1952-04,-11.07,r
28,1952-05,-4.5,r
29,1952-06,4.08,r
30,1952-07,6.11,r
31,1952-08,3.57,r
32,1952-09,0.57,r
33,1952-10,-4.0,r
34,1952-11,-5.41,r
35,1952-12,-13.18,r
36,1953-01,-14.43,r
37,1953-02,-11.71,r
38,1953-03,-19.98,r
39,1953-04,-12.88,r
40,1953-05,-3.15,r
41,1953-06,3.59,r
42,1953-07,7.21,r
43,1953-08,5.64,r
44,1953-09,0.18,r
45,1953-10,-0.86,r
46,1953-11,-1.23,r
47,1953-12,-4.82,r
48,1954-01,-8.54,r
49,1954-02,-5.62,r
50,1954-03,-12.47,r
51,1954-04,-7.29,r
52,1954-05,-1.09,r
53,1954-06,2.46,r
54,1954-07,5.4,r
55,1954-08,5.07,r
56,1954-09,0.11,r
57,1954-10,-3.73,r
58,1954-11,-3.35,r
59,1954-12,-4.24,r
60,1955-01,-15.64,r
61,1955-02,-12.57,r
62,1955-03,-10.1,r
63,1955-04,-8.05,r
64,1955-05,-5.23,r
65,1955-06,1.97,r
66,1955-07,4.31,r
67,1955-08,4.13,r
68,1955-09,2.55,r
69,1955-10,-5.61,r
70,1955-11,-12.22,r
71,1955-12,-13.96,r
72,1956-01,-10.45,r
73,1956-02,-7.94,r
74,1956-03,-13.54,r
75,1956-04,-11.09,r
76,1956-05,-5.0,r
77,1956-06,1.31,r
78,1956-07,6.05,r
79,1956-08,4.97,r
80,1956-09,-0.73,r
81,1956-10,-4.0,r
82,1956-11,-3.13,r
83,1956-12,-3.71,r
84,1957-01,-7.5,r
85,1957-02,-10.8,r
86,1957-03,-10.66,r
87,1957-04,-7.04,r
88,1957-05,-2.21,r
89,1957-06,2.96,r
90,1957-07,6.1,r
91,1957-08,5.47,r
92,1957-09,1.79,r
93,1957-10,0.6,r
94,1957-11,-6.01,r
95,1957-12,-10.73,r
96,1958-01,-7.49,r
97,1958-02,-11.18,r
98,1958-03,-15.15,r
99,1958-04,-10.28,r
100,1958-05,-2.25,r
101,1958-06,2.29,r
102,1958-07,5.67,r
103,1958-08,4.43,r
104,1958-09,-0.2,r
105,1958-10,-3.85,r
106,1958-11,-7.77,r
107,1958-12,-10.29,r
108,1959-01,-17.68,r
109,1959-02,-14.26,r
110,1959-03,-15.16,r
111,1959-04,-8.7,r
112,1959-05,-1.63,r
113,1959-06,2.07,r
114,1959-07,4.98,r
115,1959-08,4.75,r
116,1959-09,0.75,r
117,1959-10,-0.79,r
118,1959-11,, 
119,1959-12,-7.02,r
120,1960-01,-10.0,r
121,1960-02,-16.1,r
122,1960-03,-9.15,r
123,1960-04,-7.39,r
124,1960-05,-1.2,r
125,1960-06,2.25,r
126,1960-07,7.29,r
127,1960-08,5.09,r
128,1960-09,2.88,r
129,1960-10,-7.79,r
130,1960-11,-7.32,r
131,1960-12,-12.9,r
132,1961-01,-12.4,r
133,1961-02,-16.98,r
134,1961-03,-12.46,r
135,1961-04,-11.37,r
136,1961-05,-3.54,r
137,1961-06,2.93,r
138,1961-07,6.74,r
139,1961-08,5.89,r
140,1961-09,1.07,r
141,1961-10,-1.11,r
142,1961-11,-6.09,r
143,1961-12,-14.85,r
144,1962-01,-13.47,r
145,1962-02,-14.3,r
146,1962-03,-19.08,r
147,1962-04,-12.86,r
148,1962-05,-6.81,r
149,1962-06,1.13,r
150,1962-07,4.22,r
151,1962-08,4.04,r
152,1962-09,-0.15,r
153,1962-10,-3.86,r
154,1962-11,-5.61,r
155,1962-12,-15.55,r
156,1963-01,-19.78,r
157,1963-02,-23.19,r
158,1963-03,-15.66,r
159,1963-04,-12.69,r
160,1963-05,-3.24,r
161,1963-06,1.62,r
162,1963-07,4.5,r
163,1963-08,5.36,r
164,1963-09,0.48,r
165,1963-10,-2.31,r
166,1963-11,-12.9,r
167,1963-12,-14.3,r
168,1964-01,-14.87,r
169,1964-02,-15.83,r
170,1964-03,-10.21,r
171,1964-04,-11.85,r
172,1964-05,-4.15,r
173,1964-06,0.64,r
174,1964-07,4.51,r
175,1964-08,5.27,r
176,1964-09,0.45,r
177,1964-10,-4.05,r
178,1964-11,-9.47,r
179,1964-12,-8.1,r
180,1965-01,-15.38,r
181,1965-02,-13.94,r
182,1965-03,-18.79,r
183,1965-04,-8.06,r
184,1965-05,-4.77,r
185,1965-06,1.61,r
186,1965-07,5.35,r
187,1965-08,4.32,r
188,1965-09,0.43,r
189,1965-10,-5.2,r
190,1965-11,-7.22,r
191,1965-12,-11.71,r
192,1966-01,-21.65,r
193,1966-02,-17.45,r
194,1966-03,-21.2,r
195,1966-04,-9.08,r
196,1966-05,-7.38,r
197,1966-06,0.98,r
198,1966-07,6.58,r
199,1966-08,4.66,r
200,1966-09,-2.06,r
201,1966-10,-9.81,r
202,1966-11,-11.51,r
203,1966-12,-5.51,r
204,1967-01,-21.26,r
205,1967-02,-15.59,r
206,1967-03,-12.89,r
207,1967-04,-9.35,r
208,1967-05,-3.91,r
209,1967-06,1.88,r
210,1967-07,5.28,r
211,1967-08,3.94,r
212,1967-09,0.8,r
213,1967-10,-6.37,r
214,1967-11,-7.96,r
215,1967-12,-14.46,r
216,1968-01,-16.29,r
217,1968-02,-15.03,r
218,1968-03,-18.24,r
219,1968-04,-13.65,r
220,1968-05,-5.42,r
221,1968-06,0.78,r
222,1968-07,4.63,r
223,1968-08,3.81,r
224,1968-09,-1.41,r
225,1968-10,-13.58,r
226,1968-11,-15.89,r
227,1968-12,-20.53,r
228,1969-01,-14.97,r
229,1969-02,-16.8,r
230,1969-03,-21.18,r
231,1969-04,-16.63,r
232,1969-05,-3.53,r
233,1969-06,0.47,r
234,1969-07,6.75,r
235,1969-08,4.54,r
236,1969-09,2.66,r
237,1969-10,-2.14,r
238,1969-11,-10.39,r
239,1969-12,-9.25,r
240,1970-01,-13.51,r
241,1970-02,-17.49,r
242,1970-03,-11.13,r
243,1970-04,-13.51,r
244,1970-05,-2.92,r
245,1970-06,1.84,r
246,1970-07,5.79,r
247,1970-08,4.34,r
248,1970-09,0.22,r
249,1970-10,-3.59,r
250,1970-11,-11.53,r
251,1970-12,-12.75,r
252,1971-01,-20.78,r
253,1971-02,-11.09,r
254,1971-03,-16.05,r
255,1971-04,-11.68,r
256,1971-05,-2.79,r
257,1971-06,4.06,r
258,1971-07,6.06,r
259,1971-08,4.42,r
260,1971-09,0.44,r
261,1971-10,-6.7,r
262,1971-11,-15.83,r
263,1971-12,-9.7,r
264,1972-01,-3.63,r
265,1972-02,-10.27,r
266,1972-03,-9.37,r
267,1972-04,-11.13,r
268,1972-05,-2.85,r
269,1972-06,3.78,r
270,1972-07,6.01,r
271,1972-08,5.31,r
272,1972-09,2.63,r
273,1972-10,, 
274,1972-11,, 
275,1972-12,, 
276,1973-01,, 
277,1973-02,-16.29,r
278,1973-03,-13.03,r
279,1973-04,-7.9,r
280,1973-05,-3.84,r
281,1973-06,2.5,r
282,1973-07,5.7,r
283,1973-08,3.69,r
284,1973-09,0.69,r
285,1973-10,-6.51,r
286,1973-11,, 
287,1973-12,, 
288,1974-01,-6.86,r
289,1974-02,, 
290,1974-03,, 
291,1974-04,-11.51,r
292,1974-05,-4.19,r
293,1974-06,2.4,r
294,1974-07,6.93,r
295,1974-08,5.68,r
296,1974-09,0.95,r
297,1974-10,-2.65,r
298,1974-11,-6.06,r
299,1974-12,-6.63,r
300,1975-01,, 
301,1975-02,-10.66,r
302,1975-03,-15.63,r
303,1975-04,-9.36,r
304,1975-05,-4.58,r
305,1975-06,1.02,r
306,1975-07,5.31,r
307,1975-08,4.92,r
308,1975-09,, 
309,1975-10,-6.11,r
310,1975-11,-10.14,r
311,1975-12,-17.26,r
312,1976-01,-13.19,r
313,1976-02,-11.84,r
314,1976-03,-6.75,r
315,1976-04,-8.95,r
316,1976-05,-2.48,r
317,1976-06,2.61,r
318,1976-07,6.22,r
319,1976-08,4.55,r
320,1976-09,-0.19,r
321,1976-10,-3.17,r
322,1976-11,-7.16,r
323,1976-12,-7.5,r
324,1977-01,-10.22,S
325,1977-02,-16.14,S
326,1977-03,-22.49,S
327,1977-04,-15.82,S
328,1977-05,-4.97,r
329,1977-06,1.08,r
330,1977-07,5.77,r
331,1977-08,4.83,r
332,1977-09,0.24,r
333,1977-10,-3.59,r
334,1977-11,-6.46,r
335,1977-12,-8.83,r
336,1978-01,-17.94,r
337,1978-02,-17.85,r
338,1978-03,-16.54,r
339,1978-04,-9.09,r
340,1978-05,-3.15,r
341,1978-06,1.7,r
342,1978-07,6.05,r
343,1978-08,5.5,r
344,1978-09,-0.5,r
345,1978-10,-4.47,r
346,1978-11,-9.67,r
347,1978-12,-10.75,r
348,1979-01,-19.41,r
349,1979-02,-19.31,r
350,1979-03,-15.27,r
351,1979-04,-15.92,r
352,1979-05,-7.91,r
353,1979-06,-0.16,r
354,1979-07,7.14,r
355,1979-08,5.28,r
356,1979-09,1.65,r
357,1979-10,-3.6,r
358,1979-11,-5.76,r
359,1979-12,-11.25,r
360,1980-01,-15.05,r
361,1980-02,-13.02,r
362,1980-03,-15.11,r
363,1980-04,-10.31,r
364,1980-05,-3.14,r
365,1980-06,3.57,r
366,1980-07,6.12,r
367,1980-08,4.72,r
368,1980-09,1.88,r
369,1980-10,-6.13,r
370,1980-11,-13.06,r
371,1980-12,-17.97,r
372,1981-01,-20.94,r
373,1981-02,-12.97,r
374,1981-03,-19.62,r
375,1981-04,-12.49,r
376,1981-05,-5.64,r
377,1981-06,0.08,r
378,1981-07,5.29,S
379,1981-08,5.68,r
380,1981-09,2.04,r
381,1981-10,-2.9,r
382,1981-11,-6.31,r
383,1981-12,-13.42,r
384,1982-01,-18.29,r
385,1982-02,-16.01,r
386,1982-03,-9.74,r
387,1982-04,-10.02,r
388,1982-05,-4.85,r
389,1982-06,1.03,r
390,1982-07,5.24,r
391,1982-08,4.62,r
392,1982-09,-2.16,r
393,1982-10,-4.91,r
394,1982-11,-8.93,r
395,1982-12,-12.74,r
396,1983-01,-11.48,r
397,1983-02,-16.48,r
398,1983-03,-10.51,r
399,1983-04,-11.94,r
400,1983-05,-3.52,r
401,1983-06,1.3,r
402,1983-07,6.01,r
403,1983-08,4.57,r
404,1983-09,1.76,r
405,1983-10,-5.42,r
406,1983-11,-12.33,r
407,1983-12,-16.3,r
408,1984-01,-8.29,r
409,1984-02,-8.86,r
410,1984-03,-13.98,r
411,1984-04,-7.66,r
412,1984-05,-2.89,r
413,1984-06,2.08,r
