,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-16.95,E
1,1950-02,-13.73,E
2,1950-03,-6.3,E
3,1950-04,-0.46,E
4,1950-05,2.84,E
5,1950-06,10.04,E
6,1950-07,13.1,E
7,1950-08,12.44,E
8,1950-09,6.26,E
9,1950-10,0.32,E
10,1950-11,-8.69,E
11,1950-12,-13.89,E
12,1951-01,-20.77,E
13,1951-02,-15.27,E
14,1951-03,-10.16,E
15,1951-04,-2.29,E
16,1951-05,1.33,E
17,1951-06,6.24,E
18,1951-07,9.65,E
19,1951-08,12.81,E
20,1951-09,6.85,E
21,1951-10,3.03,E
22,1951-11,-9.97,E
23,1951-12,-9.49,E
24,1952-01,-14.1,E
25,1952-02,-15.76,E
26,1952-03,-10.95,E
27,1952-04,-1.2,E
28,1952-05,3.22,E
29,1952-06,9.43,E
30,1952-07,11.95,E
31,1952-08,8.64,E
32,1952-09,4.11,E
33,1952-10,-3.51,E
34,1952-11,-10.5,E
35,1952-12,-17.28,E
36,1953-01,-11.25,E
37,1953-02,-17.18,E
38,1953-03,-2.88,E
39,1953-04,-1.22,E
40,1953-05,4.19,E
41,1953-06,14.18,E
42,1953-07,12.59,E
43,1953-08,11.53,E
44,1953-09,4.95,E
45,1953-10,2.29,E
46,1953-11,-3.1,E
47,1953-12,-7.21,E
48,1954-01,-11.59,E
49,1954-02,-13.88,E
50,1954-03,-6.83,E
51,1954-04,-1.41,E
52,1954-05,6.64,E
53,1954-06,9.23,E
54,1954-07,13.99,E
55,1954-08,10.71,E
56,1954-09,5.4,E
57,1954-10,-1.69,E
58,1954-11,-9.53,E
59,1954-12,-8.65,E
60,1955-01,-15.05,E
61,1955-02,-15.42,E
62,1955-03,-9.78,E
63,1955-04,-5.57,E
64,1955-05,0.79,E
65,1955-06,6.09,E
66,1955-07,13.36,E
67,1955-08,11.72,E
68,1955-09,6.92,E
69,1955-10,-2.84,E
70,1955-11,-8.63,E
71,1955-12,-21.96,E
72,1956-01,-16.5,E
73,1956-02,-17.92,E
74,1956-03,-5.47,E
75,1956-04,-5.49,E
76,1956-05,4.5,E
77,1956-06,9.56,E
78,1956-07,13.81,E
79,1956-08,9.39,E
80,1956-09,5.36,E
81,1956-10,-0.9,E
82,1956-11,-12.04,E
83,1956-12,-14.55,E
84,1957-01,-10.54,E
85,1957-02,-13.6,E
86,1957-03,-8.74,E
87,1957-04,0.4,E
88,1957-05,3.14,E
89,1957-06,7.63,E
90,1957-07,14.46,E
91,1957-08,9.97,E
92,1957-09,5.24,E
93,1957-10,-0.97,E
94,1957-11,-3.89,E
95,1957-12,-10.29,E
96,1958-01,-19.91,E
97,1958-02,-13.82,E
98,1958-03,-11.52,E
99,1958-04,-3.23,E
100,1958-05,3.12,E
101,1958-06,9.33,E
102,1958-07,11.4,E
103,1958-08,12.24,E
104,1958-09,7.17,E
105,1958-10,1.29,E
106,1958-11,-0.79,E
107,1958-12,-14.54,E
108,1959-01,-14.82,E
109,1959-02,-1.53,E
110,1959-03,-0.96,E
111,1959-04,-2.17,E
112,1959-05,4.33,E
113,1959-06,9.61,E
114,1959-07,11.61,E
115,1959-08,11.37,E
116,1959-09,5.81,E
117,1959-10,1.14,E
118,1959-11,-6.87,E
119,1959-12,-12.44,E
120,1960-01,-16.24,E
121,1960-02,-16.39,E
122,1960-03,-6.23,E
123,1960-04,-0.22,E
124,1960-05,6.04,E
125,1960-06,11.34,E
126,1960-07,14.89,E
127,1960-08,12.46,E
128,1960-09,6.96,E
129,1960-10,-3.56,E
130,1960-11,-7.79,E
131,1960-12,-13.58,E
132,1961-01,-15.41,E
133,1961-02,-8.96,E
134,1961-03,-5.03,E
135,1961-04,-3.93,E
136,1961-05,3.82,E
137,1961-06,10.92,E
138,1961-07,13.98,E
139,1961-08,10.86,E
140,1961-09,6.65,E
141,1961-10,4.12,E
142,1961-11,-4.46,E
143,1961-12,-15.76,E
144,1962-01,-13.68,E
145,1962-02,-11.76,E
146,1962-03,-13.7,E
147,1962-04,0.19,E
148,1962-05,3.66,E
149,1962-06,8.17,E
150,1962-07,11.17,E
151,1962-08,9.72,E
152,1962-09,5.14,E
153,1962-10,1.99,E
154,1962-11,-7.59,E
155,1962-12,-15.31,E
156,1963-01,-11.97,E
157,1963-02,-13.53,E
158,1963-03,-9.25,E
159,1963-04,-0.05,E
160,1963-05,8.33,E
161,1963-06,9.36,E
162,1963-07,10.6,E
163,1963-08,12.33,E
164,1963-09,7.8,E
165,1963-10,0.95,E
166,1963-11,-9.34,E
167,1963-12,-8.37,E
