,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1951-01,, 
1,1951-02,, 
2,1951-03,, 
3,1951-04,, 
4,1951-05,, 
5,1951-06,, 
6,1951-07,, 
7,1951-08,13.02,E
8,1951-09,, 
9,1951-10,2.72,E
10,1951-11,-3.85,E
11,1951-12,-7.63,E
12,1952-01,-16.89,E
13,1952-02,-10.64,E
14,1952-03,-8.31,E
15,1952-04,1.91,E
16,1952-05,4.88,E
17,1952-06,9.05,E
18,1952-07,11.4,E
19,1952-08,9.62,E
20,1952-09,3.99,E
21,1952-10,-0.54,E
22,1952-11,-8.94,E
23,1952-12,-12.6,E
24,1953-01,-14.06,E
25,1953-02,-12.89,E
26,1953-03,-1.2,E
27,1953-04,1.41,E
28,1953-05,6.77,E
29,1953-06,14.46,E
30,1953-07,12.86,E
31,1953-08,11.32,E
32,1953-09,6.24,E
33,1953-10,3.13,E
34,1953-11,-1.53,E
35,1953-12,-7.37,E
36,1954-01,-15.37,E
37,1954-02,-14.8,E
38,1954-03,-4.81,E
39,1954-04,-0.43,E
40,1954-05,6.99,E
41,1954-06,9.63,E
42,1954-07,12.57,E
43,1954-08,10.3,E
44,1954-09,6.2,E
45,1954-10,-1.11,E
46,1954-11,-5.54,E
47,1954-12,-7.14,E
48,1955-01,-12.33,E
49,1955-02,-13.02,E
50,1955-03,-8.12,E
51,1955-04,-2.75,E
52,1955-05,2.47,E
53,1955-06,7.66,E
54,1955-07,13.96,E
55,1955-08,12.87,E
56,1955-09,7.46,E
57,1955-10,0.13,E
58,1955-11,-3.55,E
59,1955-12,-16.27,E
60,1956-01,-15.25,E
61,1956-02,-13.4,E
62,1956-03,-5.56,E
63,1956-04,-1.68,E
64,1956-05,5.81,E
65,1956-06,9.37,E
66,1956-07,12.22,E
67,1956-08,8.61,E
68,1956-09,6.31,E
69,1956-10,0.89,E
70,1956-11,-9.06,E
71,1956-12,-11.09,E
72,1957-01,-7.98,E
73,1957-02,-11.03,E
74,1957-03,-7.53,E
75,1957-04,-0.83,E
76,1957-05,4.71,E
77,1957-06,8.54,E
78,1957-07,13.54,E
79,1957-08,10.31,E
80,1957-09,5.41,E
81,1957-10,1.15,E
82,1957-11,-3.73,E
83,1957-12,-8.67,E
84,1958-01,-15.1,E
85,1958-02,-15.24,E
86,1958-03,-10.68,E
87,1958-04,-1.06,E
88,1958-05,4.23,E
89,1958-06,9.48,E
90,1958-07,11.33,E
91,1958-08,11.37,E
92,1958-09,8.23,E
93,1958-10,3.58,E
94,1958-11,-2.07,E
95,1958-12,-12.21,E
96,1959-01,-15.36,E
97,1959-02,-6.7,E
98,1959-03,-1.99,E
99,1959-04,1.06,E
100,1959-05,5.63,E
101,1959-06,10.82,E
102,1959-07,13.38,E
103,1959-08,11.9,E
104,1959-09,6.67,E
105,1959-10,1.72,E
106,1959-11,-1.92,E
107,1959-12,-7.05,E
108,1960-01,-13.92,E
109,1960-02,-13.41,E
110,1960-03,-5.08,E
111,1960-04,, 
112,1960-05,6.43,E
113,1960-06,12.2,E
114,1960-07,12.18,E
115,1960-08,11.27,E
116,1960-09,6.25,E
117,1960-10,-2.27,E
118,1960-11,-4.55,E
119,1960-12,-9.87,E
120,1961-01,-14.22,E
121,1961-02,-7.37,E
122,1961-03,-1.94,E
123,1961-04,-0.56,E
124,1961-05,4.7,E
125,1961-06,11.62,E
126,1961-07,12.04,E
127,1961-08,9.34,E
128,1961-09,7.96,E
129,1961-10,5.04,E
130,1961-11,-2.65,E
131,1961-12,-12.82,E
132,1962-01,-11.21,E
133,1962-02,-10.03,E
134,1962-03,-10.4,E
135,1962-04,-0.82,E
136,1962-05,3.76,E
137,1962-06,8.01,E
138,1962-07,10.05,E
139,1962-08,9.61,E
140,1962-09,5.97,E
141,1962-10,2.45,E
142,1962-11,-6.65,E
143,1962-12,-13.18,E
144,1963-01,-12.48,E
145,1963-02,-15.75,E
146,1963-03,-7.45,E
147,1963-04,-0.2,E
148,1963-05,7.75,E
149,1963-06,11.44,E
150,1963-07,11.83,E
151,1963-08,11.79,E
152,1963-09,7.84,E
153,1963-10,2.27,E
154,1963-11,-6.82,E
155,1963-12,-8.16,E
156,1964-01,-8.36,E
157,1964-02,-9.72,E
158,1964-03,-5.34,E
159,1964-04,1.79,E
160,1964-05,6.7,E
161,1964-06,9.6,E
162,1964-07,10.41,E
163,1964-08,9.44,E
164,1964-09,5.81,E
165,1964-10,1.88,E
166,1964-11,-6.14,E
167,1964-12,-11.23,E
168,1965-01,-11.25,E
169,1965-02,-7.05,E
170,1965-03,-6.52,E
171,1965-04,1.23,E
172,1965-05,4.12,E
173,1965-06,10.23,E
174,1965-07,10.27,E
175,1965-08,9.49,E
176,1965-09,7.51,E
177,1965-10,2.17,E
178,1965-11,-10.32,E
179,1965-12,-18.83,E
180,1966-01,-21.48,E
181,1966-02,-18.44,E
182,1966-03,-7.65,E
183,1966-04,-4.0,E
184,1966-05,5.44,E
185,1966-06,12.32,E
186,1966-07,12.1,E
187,1966-08,10.24,E
188,1966-09,5.65,E
189,1966-10,1.01,E
190,1966-11,-5.34,E
191,1966-12,-10.12,E
192,1967-01,-17.25,E
193,1967-02,-7.82,E
194,1967-03,-2.36,E
195,1967-04,-1.03,E
196,1967-05,4.6,E
197,1967-06,9.13,E
