,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-19.39,""""
1,1950-02,-31.4,""""
2,1950-03,-9.2,""""
3,1950-04,-2.8,""""
4,1950-05,7.5,""""
5,1950-06,13.8,""""
6,1950-07,15.6,""""
7,1950-08,13.2,""""
8,1950-09,7.1,""""
9,1950-10,-4.5,""""
10,1950-11,-22.3,""""
11,1950-12,-21.9,""""
12,1951-01,-31.8,""""
13,1951-02,-23.1,""""
14,1951-03,-19.2,""""
15,1951-04,0.2,""""
16,1951-05,8.5,""""
17,1951-06,12.8,""""
18,1951-07,14.6,""""
19,1951-08,13.2,""""
20,1951-09,7.2,""""
21,1951-10,-6.5,""""
22,1951-11,-12.4,""""
23,1951-12,-23.0,""""
24,1952-01,-29.7,""""
25,1952-02,-20.3,""""
26,1952-03,-13.9,""""
27,1952-04,-3.4,""""
28,1952-05,4.2,""""
29,1952-06,13.6,""""
30,1952-07,14.5,""""
31,1952-08,11.1,""""
32,1952-09,4.8,""""
33,1952-10,-1.9,""""
34,1952-11,-10.3,""""
35,1952-12,-20.7,""""
36,1953-01,-31.4,""""
37,1953-02,-17.39,""""
38,1953-03,-14.7,""""
39,1953-04,1.8,""""
40,1953-05,9.7,""""
41,1953-06,15.5,""""
42,1953-07,15.6,""""
43,1953-08,12.2,""""
44,1953-09,6.2,""""
45,1953-10,-5.5,""""
46,1953-11,-17.7,""""
47,1953-12,-21.2,""""
48,1954-01,-27.0,""""
49,1954-02,-28.3,""""
50,1954-03,-12.4,""""
51,1954-04,-4.2,""""
52,1954-05,9.2,""""
53,1954-06,13.7,""""
54,1954-07,13.5,""""
55,1954-08,12.5,""""
56,1954-09,4.8,""""
57,1954-10,-1.5,""""
58,1954-11,-11.9,""""
59,1954-12,-30.8,""""
60,1955-01,-20.7,""""
61,1955-02,-25.7,""""
62,1955-03,-13.3,""""
63,1955-04,-6.9,""""
64,1955-05,6.7,""""
65,1955-06,12.0,""""
66,1955-07,15.2,""""
67,1955-08,10.6,""""
68,1955-09,5.3,""""
69,1955-10,-5.7,""""
70,1955-11,-24.3,""""
71,1955-12,-23.9,""""
72,1956-01,-30.1,""""
73,1956-02,-24.8,""""
74,1956-03,-15.6,""""
75,1956-04,-1.5,""""
76,1956-05,8.1,""""
77,1956-06,13.2,""""
78,1956-07,15.0,""""
79,1956-08,12.1,""""
80,1956-09,4.4,""""
81,1956-10,-9.4,""""
82,1956-11,-21.5,""""
83,1956-12,-34.5,""""
84,1957-01,-18.0,""""
85,1957-02,-20.3,""""
86,1957-03,-8.8,""""
87,1957-04,-0.8,""""
88,1957-05,8.0,""""
89,1957-06,16.7,""""
90,1957-07,14.8,""""
91,1957-08,14.0,""""
92,1957-09,5.3,""""
93,1957-10,-2.7,""""
94,1957-11,-10.6,""""
95,1957-12,-27.5,""""
96,1958-01,-20.39,""""
97,1958-02,-18.1,""""
98,1958-03,-9.99,""""
99,1958-04,0.3,""""
100,1958-05,8.0,""""
101,1958-06,15.9,""""
102,1958-07,15.8,""""
103,1958-08,12.5,""""
104,1958-09,4.9,""""
105,1958-10,-10.7,""""
106,1958-11,-18.1,""""
107,1958-12,-22.9,""""
108,1959-01,-30.0,""""
109,1959-02,-15.6,""""
110,1959-03,-22.6,""""
111,1959-04,-4.4,""""
112,1959-05,7.3,""""
113,1959-06,15.3,""""
114,1959-07,12.0,""""
115,1959-08,11.4,""""
116,1959-09,5.3,""""
117,1959-10,-5.5,""""
118,1959-11,-15.2,""""
119,1959-12,-24.1,""""
120,1960-01,-21.0,""""
121,1960-02,-17.2,""""
122,1960-03,-16.5,""""
123,1960-04,-4.0,""""
124,1960-05,10.6,""""
125,1960-06,12.2,""""
126,1960-07,15.6,""""
127,1960-08,11.7,""""
128,1960-09,4.1,""""
129,1960-10,-4.2,""""
130,1960-11,-19.39,""""
131,1960-12,-15.9,""""
132,1961-01,,""""
133,1961-02,,""""
134,1961-03,,""""
135,1961-04,,""""
136,1961-05,,""""
137,1961-06,,""""
138,1961-07,,""""
139,1961-08,,""""
140,1961-09,,""""
141,1961-10,,""""
142,1961-11,,""""
143,1961-12,,""""
144,1962-01,,""""
145,1962-02,,""""
146,1962-03,,""""
147,1962-04,,""""
148,1962-05,,""""
149,1962-06,,""""
150,1962-07,,""""
151,1962-08,,""""
152,1962-09,,""""
153,1962-10,,""""
154,1962-11,,""""
155,1962-12,,""""
156,1963-01,,""""
157,1963-02,,""""
158,1963-03,,""""
159,1963-04,,""""
160,1963-05,,""""
161,1963-06,,""""
162,1963-07,,""""
163,1963-08,,""""
164,1963-09,,""""
165,1963-10,,""""
166,1963-11,,""""
167,1963-12,,""""
168,1964-01,,""""
169,1964-02,,""""
170,1964-03,,""""
171,1964-04,,""""
172,1964-05,,""""
173,1964-06,,""""
174,1964-07,,""""
175,1964-08,,""""
176,1964-09,,""""
177,1964-10,,""""
178,1964-11,,""""
179,1964-12,,""""
180,1965-01,,""""
181,1965-02,,""""
182,1965-03,,""""
183,1965-04,,""""
184,1965-05,,""""
185,1965-06,,""""
186,1965-07,,""""
187,1965-08,,""""
188,1965-09,,""""
189,1965-10,,""""
190,1965-11,,""""
191,1965-12,,""""
192,1966-01,,""""
193,1966-02,,""""
194,1966-03,,""""
195,1966-04,,""""
196,1966-05,,""""
197,1966-06,,""""
198,1966-07,,""""
199,1966-08,,""""
200,1966-09,,""""
201,1966-10,,""""
202,1966-11,,""""
203,1966-12,,""""
204,1967-01,,""""
205,1967-02,,""""
206,1967-03,,""""
207,1967-04,,""""
208,1967-05,,""""
209,1967-06,,""""
210,1967-07,,""""
211,1967-08,,""""
212,1967-09,,""""
213,1967-10,,""""
214,1967-11,,""""
215,1967-12,,""""
216,1968-01,,""""
217,1968-02,,""""
218,1968-03,,""""
219,1968-04,,""""
220,1968-05,,""""
221,1968-06,,""""
222,1968-07,,""""
223,1968-08,,""""
224,1968-09,,""""
225,1968-10,,""""
226,1968-11,,""""
227,1968-12,,""""
228,1969-01,,""""
229,1969-02,,""""
230,1969-03,,""""
231,1969-04,,""""
232,1969-05,,""""
233,1969-06,,""""
234,1969-07,,""""
235,1969-08,,""""
236,1969-09,,""""
237,1969-10,,""""
238,1969-11,,""""
239,1969-12,,""""
240,1970-01,,""""
241,1970-02,,""""
242,1970-03,,""""
243,1970-04,,""""
244,1970-05,,""""
245,1970-06,,""""
246,1970-07,,""""
247,1970-08,,""""
248,1970-09,,""""
249,1970-10,,""""
250,1970-11,,""""
251,1970-12,,""""
252,1971-01,,""""
253,1971-02,,""""
254,1971-03,,""""
255,1971-04,,""""
256,1971-05,,""""
257,1971-06,,""""
258,1971-07,,""""
259,1971-08,,""""
260,1971-09,,""""
261,1971-10,,""""
262,1971-11,,""""
263,1971-12,,""""
264,1972-01,,""""
265,1972-02,,""""
266,1972-03,,""""
267,1972-04,,""""
268,1972-05,,""""
269,1972-06,,""""
270,1972-07,,""""
271,1972-08,,""""
272,1972-09,,""""
273,1972-10,,""""
274,1972-11,,""""
275,1972-12,,""""
276,1973-01,,""""
277,1973-02,,""""
278,1973-03,,""""
279,1973-04,,""""
280,1973-05,,""""
281,1973-06,,""""
282,1973-07,,""""
283,1973-08,,""""
284,1973-09,,""""
285,1973-10,,""""
286,1973-11,,""""
287,1973-12,,""""
288,1974-01,,""""
289,1974-02,,""""
290,1974-03,,""""
291,1974-04,,""""
292,1974-05,,""""
293,1974-06,,""""
294,1974-07,,""""
295,1974-08,,""""
296,1974-09,,""""
297,1974-10,,""""
298,1974-11,,""""
299,1974-12,,""""
300,1975-01,,""""
301,1975-02,,""""
302,1975-03,,""""
303,1975-04,,""""
304,1975-05,,""""
305,1975-06,,""""
306,1975-07,,""""
307,1975-08,,""""
308,1975-09,,""""
309,1975-10,,""""
310,1975-11,,""""
311,1975-12,,""""
312,1976-01,,""""
313,1976-02,,""""
314,1976-03,,""""
315,1976-04,,""""
316,1976-05,,""""
317,1976-06,,""""
318,1976-07,,""""
319,1976-08,,""""
320,1976-09,,""""
321,1976-10,,""""
322,1976-11,,""""
323,1976-12,,""""
324,1977-01,,""""
325,1977-02,,""""
326,1977-03,,""""
327,1977-04,,""""
328,1977-05,,""""
329,1977-06,,""""
330,1977-07,,""""
331,1977-08,,""""
332,1977-09,,""""
333,1977-10,,""""
334,1977-11,,""""
335,1977-12,,""""
336,1978-01,,""""
337,1978-02,,""""
338,1978-03,,""""
339,1978-04,,""""
340,1978-05,,""""
341,1978-06,,""""
342,1978-07,,""""
343,1978-08,,""""
344,1978-09,,""""
345,1978-10,,""""
346,1978-11,,""""
347,1978-12,,""""
348,1979-01,,""""
349,1979-02,,""""
350,1979-03,,""""
351,1979-04,,""""
352,1979-05,,""""
353,1979-06,,""""
354,1979-07,,""""
355,1979-08,,""""
356,1979-09,,""""
357,1979-10,,""""
358,1979-11,,""""
359,1979-12,,""""
360,1980-01,,""""
361,1980-02,,""""
362,1980-03,,""""
363,1980-04,,""""
364,1980-05,,""""
365,1980-06,,""""
366,1980-07,,""""
367,1980-08,,""""
368,1980-09,,""""
369,1980-10,,""""
370,1980-11,,""""
371,1980-12,,""""
372,1981-01,-8.8,""""
373,1981-02,-16.0,""""
374,1981-03,-3.8,""""
375,1981-04,-1.4,""""
376,1981-05,9.6,""""
377,1981-06,13.8,""""
378,1981-07,12.5,""""
379,1981-08,10.9,""""
380,1981-09,5.6,""""
381,1981-10,-2.5,""""
382,1981-11,-16.3,""""
383,1981-12,-21.2,""""
384,1982-01,-29.46,""""
385,1982-02,-21.56,""""
386,1982-03,-12.16,""""
387,1982-04,-4.06,""""
388,1982-05,6.54,""""
389,1982-06,13.04,""""
390,1982-07,15.64,""""
391,1982-08,12.04,""""
392,1982-09,7.94,""""
393,1982-10,-9.16,""""
394,1982-11,-16.96,""""
395,1982-12,-18.26,""""
396,1983-01,-25.56,""""
397,1983-02,-17.56,""""
398,1983-03,-11.76,""""
399,1983-04,1.34,""""
400,1983-05,8.54,""""
401,1983-06,15.14,""""
402,1983-07,16.24,""""
403,1983-08,10.24,""""
404,1983-09,3.44,""""
405,1983-10,-6.35,""""
406,1983-11,-14.66,""""
407,1983-12,-21.45,""""
408,1984-01,-22.76,""""
409,1984-02,-26.86,""""
410,1984-03,-7.46,""""
411,1984-04,-2.56,""""
412,1984-05,6.74,""""
413,1984-06,14.74,""""
414,1984-07,14.44,""""
415,1984-08,10.44,""""
416,1984-09,6.54,""""
417,1984-10,-5.06,""""
418,1984-11,-19.36,""""
419,1984-12,-21.16,""""
420,1985-01,-13.26,""""
421,1985-02,-24.66,""""
422,1985-03,-11.36,""""
