,Date [YYYY-MM],Temperature [°C],QCFLAG
0,1950-01,-18.47,0
1,1950-02,-30.45,0
2,1950-03,-8.22,0
3,1950-04,-1.92,0
4,1950-05,8.37,0
5,1950-06,14.72,0
6,1950-07,16.49,0
7,1950-08,14.08,0
8,1950-09,8.03,0
9,1950-10,-3.54,0
10,1950-11,-21.33,0
11,1950-12,-20.97,0
12,1951-01,-30.85,0
13,1951-02,-22.19,0
14,1951-03,-18.27,0
15,1951-04,1.12,0
16,1951-05,9.42,0
17,1951-06,13.68,0
18,1951-07,15.5,0
19,1951-08,14.17,0
20,1951-09,8.1,0
21,1951-10,-5.6,0
22,1951-11,-11.54,0
23,1951-12,-22.11,0
24,1952-01,-28.73,0
25,1952-02,-19.35,0
26,1952-03,-12.99,0
27,1952-04,-2.45,0
28,1952-05,5.13,0
29,1952-06,14.47,0
30,1952-07,15.37,0
31,1952-08,11.97,0
32,1952-09,5.72,0
33,1952-10,-1.01,0
34,1952-11,-9.44,0
35,1952-12,-19.78,0
36,1953-01,-30.46,0
37,1953-02,-16.51,0
38,1953-03,-13.77,0
39,1953-04,2.71,0
40,1953-05,10.62,0
41,1953-06,16.35,0
42,1953-07,16.49,0
43,1953-08,13.17,0
44,1953-09,7.12,0
45,1953-10,-4.64,0
46,1953-11,-16.72,0
47,1953-12,-20.24,0
48,1954-01,-26.07,0
49,1954-02,-27.34,0
50,1954-03,-11.46,0
51,1954-04,-3.31,0
52,1954-05,10.09,0
53,1954-06,14.56,0
54,1954-07,14.37,0
55,1954-08,13.38,0
56,1954-09,5.76,0
57,1954-10,-0.61,0
58,1954-11,-10.99,0
59,1954-12,-29.9,0
60,1955-01,-19.73,0
61,1955-02,-24.75,0
62,1955-03,-12.35,0
63,1955-04,-5.97,0
64,1955-05,7.57,0
65,1955-06,12.95,0
66,1955-07,16.04,0
67,1955-08,11.49,0
68,1955-09,6.28,0
69,1955-10,-4.73,0
70,1955-11,-23.39,0
71,1955-12,-22.96,0
72,1956-01,-29.18,0
73,1956-02,-23.82,0
74,1956-03,-14.69,0
75,1956-04,-0.65,0
76,1956-05,8.96,0
77,1956-06,14.09,0
78,1956-07,15.91,0
79,1956-08,12.99,0
80,1956-09,5.32,0
81,1956-10,-8.48,0
82,1956-11,-20.64,0
83,1956-12,-33.58,0
84,1957-01,-17.14,0
85,1957-02,-19.39,0
86,1957-03,-7.92,0
87,1957-04,0.06,0
88,1957-05,8.92,0
89,1957-06,17.66,0
90,1957-07,15.72,0
91,1957-08,14.88,0
92,1957-09,6.23,0
93,1957-10,-1.74,0
94,1957-11,-9.68,0
95,1957-12,-26.6,0
96,1958-01,-19.43,0
97,1958-02,-17.16,0
98,1958-03,-9.08,0
99,1958-04,1.18,0
100,1958-05,8.87,0
101,1958-06,16.82,0
102,1958-07,16.77,0
103,1958-08,13.39,0
104,1958-09,5.78,0
105,1958-10,-9.79,0
106,1958-11,-17.22,0
107,1958-12,-21.92,0
108,1959-01,-29.08,0
109,1959-02,-14.69,0
110,1959-03,-21.64,0
111,1959-04,-3.55,0
112,1959-05,8.25,0
113,1959-06,16.17,0
114,1959-07,12.88,0
115,1959-08,12.33,0
116,1959-09,6.24,0
117,1959-10,-4.63,0
118,1959-11,-14.25,0
119,1959-12,-23.2,0
120,1960-01,-20.08,0
121,1960-02,-16.29,0
122,1960-03,-15.61,0
123,1960-04,-3.13,0
124,1960-05,11.55,0
125,1960-06,13.13,0
126,1960-07,16.53,0
127,1960-08,12.58,0
128,1960-09,5.03,0
129,1960-10,-3.48,0
130,1960-11,-18.46,0
131,1960-12,-14.95,0
132,1961-01,-19.08,0
133,1961-02,-20.4,0
134,1961-03,-17.62,0
135,1961-04,-4.01,0
136,1961-05,9.41,0
137,1961-06,14.68,0
138,1961-07,14.91,0
139,1961-08,12.72,0
140,1961-09,6.52,0
141,1961-10,-6.21,0
142,1961-11,-20.27,0
143,1961-12,-31.2,0
144,1962-01,-22.27,0
145,1962-02,-14.03,0
146,1962-03,-13.56,0
147,1962-04,-1.27,0
148,1962-05,6.98,0
149,1962-06,14.6,0
150,1962-07,17.32,0
151,1962-08,14.26,0
152,1962-09,5.09,0
153,1962-10,-0.86,0
154,1962-11,-15.53,0
155,1962-12,-21.62,0
156,1963-01,-17.03,0
157,1963-02,-18.11,0
158,1963-03,-13.68,0
159,1963-04,-4.35,0
160,1963-05,9.44,0
161,1963-06,11.73,0
162,1963-07,15.37,0
163,1963-08,12.4,0
164,1963-09,8.65,0
165,1963-10,-3.32,0
166,1963-11,-23.24,0
167,1963-12,-15.19,0
168,1964-01,-26.12,0
169,1964-02,-17.01,0
170,1964-03,-18.65,0
171,1964-04,-3.07,0
172,1964-05,4.04,0
173,1964-06,15.98,0
174,1964-07,15.73,0
175,1964-08,13.99,0
176,1964-09,7.55,0
177,1964-10,-1.74,0
178,1964-11,-16.08,0
179,1964-12,-32.1,0
180,1965-01,-27.39,0
181,1965-02,-27.47,0
182,1965-03,-3.81,0
183,1965-04,-0.27,0
184,1965-05,6.39,0
185,1965-06,13.24,0
186,1965-07,16.04,0
187,1965-08,11.87,0
188,1965-09,9.34,0
189,1965-10,-9.68,0
190,1965-11,-15.28,0
191,1965-12,-25.21,0
192,1966-01,-32.64,0
193,1966-02,-21.62,0
194,1966-03,-18.79,0
195,1966-04,-2.39,0
196,1966-05,7.8,0
197,1966-06,17.74,0
198,1966-07,17.29,0
199,1966-08,14.31,0
200,1966-09,10.43,0
201,1966-10,-3.92,0
202,1966-11,-17.11,0
203,1966-12,-28.54,0
204,1967-01,-25.91,0
205,1967-02,-21.21,0
206,1967-03,-11.95,0
207,1967-04,0.2,0
208,1967-05,7.94,0
209,1967-06,16.07,0
210,1967-07,15.01,0
211,1967-08,14.12,0
212,1967-09,7.61,0
213,1967-10,-4.47,0
214,1967-11,-12.96,0
215,1967-12,-19.13,0
216,1968-01,-24.34,0
217,1968-02,-20.97,0
218,1968-03,-11.15,0
219,1968-04,-2.05,0
220,1968-05,8.2,0
221,1968-06,14.81,0
222,1968-07,18.28,0
223,1968-08,14.22,0
224,1968-09,5.53,0
225,1968-10,-5.93,0
226,1968-11,-16.96,0
227,1968-12,-28.06,0
228,1969-01,-33.08,0
229,1969-02,-22.26,0
230,1969-03,-12.63,0
231,1969-04,1.91,0
232,1969-05,9.22,0
233,1969-06,17.8,0
234,1969-07,14.74,0
235,1969-08,9.41,0
236,1969-09,9.03,0
237,1969-10,0.63,0
238,1969-11,-17.61,0
239,1969-12,-16.05,0
240,1970-01,-27.93,0
241,1970-02,-14.51,0
242,1970-03,-7.38,0
243,1970-04,-1.16,0
244,1970-05,9.82,0
245,1970-06,13.27,0
246,1970-07,15.69,0
247,1970-08,12.66,0
248,1970-09,3.71,0
249,1970-10,-8.44,0
250,1970-11,-13.04,0
251,1970-12,-24.34,0
252,1971-01,-36.54,0
253,1971-02,-21.48,0
254,1971-03,-19.18,0
255,1971-04,-4.11,0
256,1971-05,7.31,0
257,1971-06,16.24,0
258,1971-07,14.92,0
259,1971-08,12.21,0
260,1971-09,5.85,0
261,1971-10,-3.45,0
262,1971-11,-18.64,0
263,1971-12,-22.17,0
264,1972-01,-28.01,0
265,1972-02,-24.51,0
266,1972-03,-20.46,0
267,1972-04,-7.41,0
268,1972-05,7.36,0
269,1972-06,14.01,0
270,1972-07,16.89,0
271,1972-08,13.73,0
272,1972-09,3.32,0
273,1972-10,-4.07,0
274,1972-11,-15.08,0
275,1972-12,-20.34,0
276,1973-01,-29.06,0
277,1973-02,-19.76,0
278,1973-03,-12.32,0
279,1973-04,0.65,0
280,1973-05,9.16,0
281,1973-06,14.53,0
282,1973-07,15.47,0
283,1973-08,11.6,0
284,1973-09,7.35,0
285,1973-10,-5.03,0
286,1973-11,-19.31,0
287,1973-12,-20.82,0
288,1974-01,-28.18,0
289,1974-02,-28.83,0
290,1974-03,-14.77,0
291,1974-04,0.45,0
292,1974-05,9.6,0
293,1974-06,13.68,0
294,1974-07,16.3,0
295,1974-08,13.88,0
296,1974-09,9.59,0
297,1974-10,-7.07,0
298,1974-11,-18.64,0
299,1974-12,-25.17,0
300,1975-01,-27.53,0
301,1975-02,-20.82,0
302,1975-03,-11.95,0
303,1975-04,-2.03,0
304,1975-05,10.78,0
305,1975-06,16.26,0
306,1975-07,,0
307,1975-08,12.18,0
308,1975-09,6.51,0
309,1975-10,-5.69,0
310,1975-11,-23.4,0
311,1975-12,-27.84,0
312,1976-01,-24.47,0
313,1976-02,-25.66,0
314,1976-03,-11.4,0
315,1976-04,1.92,0
316,1976-05,8.43,0
317,1976-06,15.03,0
318,1976-07,16.2,0
319,1976-08,14.75,0
320,1976-09,7.1,0
321,1976-10,-4.8,0
322,1976-11,-9.25,0
323,1976-12,-20.24,0
324,1977-01,-12.69,0
325,1977-02,-13.34,0
326,1977-03,-15.57,0
327,1977-04,-2.62,0
328,1977-05,8.95,0
329,1977-06,15.01,0
330,1977-07,16.79,0
331,1977-08,16.66,0
332,1977-09,7.25,0
333,1977-10,-3.86,0
334,1977-11,-22.31,0
335,1977-12,-26.38,0
336,1978-01,-18.07,0
337,1978-02,-15.97,0
338,1978-03,-10.34,0
339,1978-04,1.22,0
340,1978-05,9.79,0
341,1978-06,12.24,0
342,1978-07,17.15,0
343,1978-08,14.92,0
344,1978-09,7.87,0
345,1978-10,-5.16,0
346,1978-11,-13.37,0
347,1978-12,-16.3,0
348,1979-01,-22.35,0
349,1979-02,-32.13,0
350,1979-03,-11.42,0
351,1979-04,-0.95,0
352,1979-05,9.58,0
353,1979-06,13.79,0
354,1979-07,15.93,0
355,1979-08,15.43,0
356,1979-09,7.72,0
357,1979-10,-0.1,0
358,1979-11,-6.91,0
359,1979-12,-23.76,0
360,1980-01,-23.34,0
361,1980-02,-9.25,0
362,1980-03,-8.5,0
363,1980-04,1.84,0
364,1980-05,10.04,0
365,1980-06,13.27,0
366,1980-07,15.73,0
367,1980-08,11.71,0
368,1980-09,5.74,0
369,1980-10,0.2,0
370,1980-11,-11.69,0
371,1980-12,-31.42,0
372,1981-01,-8.04,0
373,1981-02,-15.26,0
374,1981-03,-3.04,0
375,1981-04,-0.64,0
376,1981-05,10.41,0
377,1981-06,14.64,0
378,1981-07,13.31,0
379,1981-08,11.69,0
380,1981-09,6.36,0
381,1981-10,-1.73,0
382,1981-11,-11.27,0
383,1981-12,-20.43,0
384,1982-01,-28.08,0
385,1982-02,-20.22,0
386,1982-03,-10.85,0
387,1982-04,-2.71,0
388,1982-05,7.88,0
389,1982-06,14.38,0
390,1982-07,16.95,0
391,1982-08,13.36,0
392,1982-09,9.29,0
393,1982-10,-7.82,0
394,1982-11,-15.66,0
395,1982-12,-16.89,0
396,1983-01,-24.18,0
397,1983-02,-16.25,0
398,1983-03,-10.44,0
399,1983-04,2.62,0
400,1983-05,9.91,0
401,1983-06,16.52,0
402,1983-07,17.53,0
403,1983-08,11.6,0
404,1983-09,4.77,0
405,1983-10,-5.01,0
406,1983-11,-13.36,0
407,1983-12,-20.1,0
408,1984-01,-21.34,0
409,1984-02,-25.5,0
410,1984-03,-6.1,0
411,1984-04,-1.31,0
412,1984-05,8.09,0
413,1984-06,16.1,0
414,1984-07,15.71,0
415,1984-08,11.76,0
416,1984-09,7.91,0
417,1984-10,-3.7,0
418,1984-11,-18.06,0
419,1984-12,-19.81,0
420,1985-01,-11.98,0
421,1985-02,-23.33,0
422,1985-03,-10.02,0
423,1985-04,-6.57,0
424,1985-05,7.85,0
425,1985-06,14.02,0
426,1985-07,16.96,0
427,1985-08,13.15,0
428,1985-09,5.72,0
429,1985-10,-7.68,0
430,1985-11,-20.71,0
431,1985-12,-13.84,0
432,1986-01,-19.24,0
433,1986-02,-15.5,0
434,1986-03,-14.76,0
435,1986-04,-4.77,0
436,1986-05,8.46,0
437,1986-06,16.67,0
438,1986-07,17.21,0
439,1986-08,12.28,0
440,1986-09,7.58,0
441,1986-10,-3.05,0
442,1986-11,-17.99,0
443,1986-12,-14.03,0
444,1987-01,-17.75,0
445,1987-02,-17.31,0
446,1987-03,-10.63,0
447,1987-04,1.32,0
448,1987-05,10.17,0
449,1987-06,16.29,0
450,1987-07,17.57,0
451,1987-08,13.97,0
452,1987-09,6.4,0
453,1987-10,0.17,0
454,1987-11,-14.79,0
455,1987-12,-19.83,0
456,1988-01,-21.05,0
457,1988-02,-15.92,0
458,1988-03,-8.21,0
459,1988-04,0.57,0
460,1988-05,11.23,0
461,1988-06,16.82,0
462,1988-07,18.44,0
463,1988-08,14.29,0
464,1988-09,6.54,0
465,1988-10,-8.46,0
466,1988-11,-19.82,0
467,1988-12,-15.76,0
468,1989-01,-29.9,0
469,1989-02,-16.21,0
470,1989-03,-14.36,0
471,1989-04,1.99,0
472,1989-05,8.43,0
473,1989-06,15.31,0
474,1989-07,17.77,0
475,1989-08,15.65,0
476,1989-09,8.9,0
477,1989-10,-3.57,0
478,1989-11,-22.06,0
479,1989-12,-15.64,0
480,1990-01,-25.27,0
481,1990-02,-30.15,0
482,1990-03,-7.81,0
483,1990-04,3.08,0
484,1990-05,12.47,0
485,1990-06,16.1,0
486,1990-07,18.14,0
487,1990-08,15.25,0
488,1990-09,6.78,0
489,1990-10,-4.71,0
490,1990-11,-20.78,0
491,1990-12,-21.55,0
492,1991-01,-20.67,0
493,1991-02,-18.72,0
494,1991-03,-11.48,0
495,1991-04,1.59,0
496,1991-05,10.31,0
497,1991-06,17.34,0
498,1991-07,15.55,0
499,1991-08,12.12,0
500,1991-09,8.53,0
501,1991-10,-4.28,0
502,1991-11,-17.8,0
503,1991-12,-19.67,0
504,1992-01,-20.7,0
505,1992-02,-22.91,0
506,1992-03,-10.32,0
507,1992-04,-3.61,0
508,1992-05,5.13,0
509,1992-06,15.23,0
510,1992-07,17.47,0
511,1992-08,13.28,0
512,1992-09,-0.51,0
513,1992-10,-8.38,0
514,1992-11,-12.34,0
515,1992-12,-22.32,0
516,1993-01,-20.23,0
517,1993-02,-16.78,0
518,1993-03,-8.54,0
519,1993-04,4.74,0
520,1993-05,11.71,0
521,1993-06,16.3,0
522,1993-07,18.34,0
523,1993-08,13.08,0
524,1993-09,6.39,0
525,1993-10,-1.84,0
