,V1,V2,Correlation1,Correlation2,Correlation3,Correlation4,Correlation5,Correlation6,Correlation7,Correlation8,Correlation9,Correlation10,Correlation11,Correlation12
0,CA002101300.csv,51,0.208854915,-0.020291121,0.204585464,0.514203777,0.334206686,0.056821929,0.271467687,0.321164132,0.088089777,0.36759991,0.159001565,-0.057143904
1,CA002101415.csv,51,0.203677988,-0.01465506,0.213740134,0.44174262,0.329400069,0.042671721,0.156656114,0.415142672,0.077641761,0.414231209,0.119181617,-0.105711553
2,CA002201900.csv,44,0.142432397,0.268955458,0.086283698,0.44963079,0.426348499,0.564815241,0.435389777,0.013984224,0.346760986,0.323911546,0.301159145,0.080638402
3,CA002202101.csv,51,0.094216693,0.096163401,0.290410086,0.509596364,0.284011764,0.177504777,0.301888495,0.087636897,0.083390754,0.166049815,0.157589796,0.049619294
4,CA002202115.csv,51,0.116085404,0.052577729,0.268765879,0.495398688,0.241587613,0.119394356,0.201925025,0.008448634,0.129942824,0.15270485,0.164144512,0.099525551
5,CA002202196.csv,51,0.177761279,0.199803653,0.224969625,0.376042824,0.324700477,0.350564644,0.359650585,0.029545857,0.13585662,0.225050784,0.33244746,-0.041667588
6,CA002202198.csv,51,0.181259715,0.196627802,0.210828684,0.373028688,0.325976071,0.343489982,0.337569342,0.035055194,0.114564842,0.207699055,0.27542522,-0.015541139
7,CA002202200.csv,51,0.204498608,0.208302206,0.251940723,0.3642216,0.338486114,0.384922793,0.352177523,0.048296818,0.132124137,0.22740381,0.319029516,-0.018949538
8,CA002202400.csv,51,0.125320661,0.15529242,0.118108169,0.429965922,0.450701039,0.201895899,0.271951204,0.083331,0.155731239,0.231366224,0.295579457,0.011216813
9,CA002202800.csv,51,0.044704498,-0.07018801,0.284549993,0.509389137,0.343576624,0.216084689,0.321636011,0.078683975,0.133985815,0.100617148,-0.105657415,0.068271574
10,CA002202801.csv,51,0.003215342,-0.057833234,0.288824576,0.503008213,0.338463727,0.24918901,0.308232594,0.151209258,0.152030752,0.046918468,-0.059187044,0.059273977
11,CA002204100.csv,51,0.113486514,0.199140329,0.134150964,0.441600352,0.369491596,0.378676847,0.324748502,0.155556937,0.261779776,0.27206772,0.288797988,-0.015022839
12,CA002300500.csv,51,0.085899427,0.093780156,0.017866008,0.253109017,0.555101784,0.625122128,0.416326955,0.251419241,0.55670576,0.400813305,0.216589649,0.087671268
13,CA002300707.csv,50,-0.009739491,-0.025329311,0.058578373,0.22846421,0.595924181,0.70864286,0.432784291,0.364095952,0.553672313,0.532416133,0.09339327,0.053750367
14,CA002300900.csv,51,0.066737641,0.229055351,0.161956488,0.242555039,0.310019169,0.659792496,0.316413367,0.264572012,0.285635397,0.11678425,0.365422465,0.071170601
15,CA002301000.csv,51,0.136757297,-0.0193536,0.218003853,0.109246826,0.510100038,0.525225905,0.411740184,0.336301665,0.435508469,0.416636674,0.212463797,0.132080078
16,CA002400600.csv,51,-0.020665327,0.043366832,0.093973531,0.117007963,0.472184827,0.575449576,0.472291187,0.489833981,0.475247813,0.146485312,0.245198692,-0.040150071
17,CA002400602.csv,51,-0.024259887,0.043359018,0.061160982,0.098643899,0.467869553,0.591080834,0.482713954,0.500727212,0.467884097,0.126942528,0.220124206,0.042101104
18,CA002400800.csv,51,0.359879659,0.140407101,0.066540687,-0.005771995,0.260639949,0.664100906,0.363956617,0.490275168,0.313926406,0.476801655,0.390575268,0.192634858
19,CA002401200.csv,51,-0.035869366,0.049024953,0.223785441,0.316708133,0.416216296,0.421490316,0.177705434,0.277804637,0.293336073,0.179694564,0.326235257,0.11327063
20,CA002402590.csv,51,0.355188703,0.061662478,0.055227184,0.134240881,0.401228288,0.417788362,0.270045884,0.34512894,0.284537339,0.377066811,0.151419166,0.115581681
21,CA002403500.csv,51,-0.069681478,0.00633707,0.067264316,0.101447787,0.327861036,0.467026839,0.306298393,0.359852981,0.381119155,0.08127818,0.173683023,0.200453362
22,CA002403505.csv,51,-0.036938479,0.004780137,0.066162127,-0.038225363,0.227281505,0.46255729,0.302592988,0.355402949,0.38029993,0.08270179,0.218178733,0.19213476
23,CA002502700.csv,49,-0.019620104,0.101426483,0.203387292,0.437723965,0.249002796,0.361487064,0.207909353,0.484735373,0.185299664,-0.238893161,0.169539085,-0.115001835
24,CAXLT660207.csv,51,0.378506522,0.078551867,0.11620937,0.099293317,0.382181884,0.402924019,0.29575013,0.356742207,0.315054417,0.311704621,0.13758908,0.15391999
25,DAM00006011.csv,51,0.153672828,0.360850628,0.238409715,0.173954086,0.054862265,0.240413169,0.691090172,0.356079983,0.074695461,0.035894804,0.276432689,0.029079651
26,FI000000304.csv,51,0.622936696,0.422324015,0.33997861,0.148321986,0.045575226,0.27208946,0.338122667,0.326649448,0.233605974,0.384164962,0.013096479,0.157083665
27,FI000007501.csv,51,0.398715583,0.3869196,0.121136672,0.189856557,0.0452426,0.211616859,0.18552015,0.186713198,0.237031363,0.316305929,0.039951714,0.176786644
