,Code,Latitude,Longitude,Elevation,Name
0,RS000020034,80.817,47.417,18.0,NAGURSKOYE
1,RS000020294,77.617,101.48299999999999,6.0,GEYBERGA_ISLAND
2,RS000020357,76.183,63.567,9.0,RUSSKAYA_GAVAN
3,RS000020696,73.65,109.75,20.0,CAPE_KASISTY
4,RS000020766,72.333,79.5,10.0,LESKINO
5,RS000021405,75.533,113.51700000000001,15.0,B_PRONCHISHCHEVOY
6,RS000021613,73.9,124.6,9.0,DUNWAY_ISLAND
7,RS000021825,71.533,129.917,3.0,MOSTAKH_ISLAND
8,RS000025902,60.85,151.767,901.0,ATKA
9,RSM00020046,80.6,58.0,22.0,POLAR_GMO_IMETKRENKELJ
10,RSM00020069,79.5,76.98,10.0,OSTROV_VIZE
11,RSM00020087,79.55,90.62,7.0,OSTROV_GOLOMJANNYJ
12,RSM00020274,77.5,82.2,23.0,OSTROV_UEDINENIJA
13,RSM00020289,77.2,96.4,9.0,RUSSKIJ
14,RSM00020292,77.72,104.3,12.0,GMO_IMEKFEDOROVA
15,RSM00020353,76.85,68.55,10.0,MYS_ZELANIJA
16,RSM00020471,75.952,82.946,12.0,TROYNOY_ISLAND
17,RSM00020476,75.42,88.9,10.0,STERLEGOVA
18,RSM00020667,73.33,70.0294,6.0,BELY_ISLAND
19,RSM00020674,73.5,80.4,42.0,DIKSON
20,RSM00020744,72.3794,52.73,18.0,MALIYE_KARMAKULY
21,RSM00020871,71.875,82.706,6.0,SOPOCHNAYA_KARGA
22,RSM00020891,71.9831,102.4667,31.0,HATANGA
23,RSM00020946,70.45,59.08,13.0,IMEKFEDOROVABOLVANSKII_NOS
24,RSM00020967,70.167,72.517,17.8,SEYAHA
25,RSM00020978,70.083,83.167,29.0,KARAUL
26,RSM00020982,70.97,94.5,37.0,VOLOCHANKA
27,RSM00021358,76.15,152.833,14.0,ZOHOVA_ISLAND
28,RSM00021432,76.0,137.87,12.0,OSTROV_KOTELNYJ
29,RSM00021504,74.667,112.93299999999999,57.0,OSTROV_PREOBRAZENIJ
30,RSM00021611,73.55,118.67,12.0,TERPJAJ_TUMSA
31,RSM00021636,73.333,139.917,26.0,CAPE_KIGILYAKH
32,RSM00021647,73.18,143.2297,21.0,SHALAUROVA_MYS
33,RSM00021711,73.0,119.867,15.0,UST'OLENEK
34,RSM00021721,72.4,126.35,20.0,IMYUA_HABAROVA
35,RSM00021802,71.97,114.08,16.0,SASKYLAH
36,RSM00021813,71.917,123.56700000000001,27.0,TYUMYATI
37,RSM00021824,71.58,128.9197,6.0,TIKSI
38,RSM00021908,70.1297,113.97,61.0,DZALINDA_1
39,RSM00021921,70.68,127.4,30.0,KJUSJUR
40,RSM00021931,70.77,136.22,23.0,JUBILEJNAJA
41,RSM00021946,70.6167,147.8831,44.0,CHOKURDAH
42,RSM00021965,70.633,162.483,41.0,OSTROV_CHETYREHSTOL
43,RSM00021982,70.9831,-178.4833,2.0,OSTROV_VRANGELJA
44,RSM00022003,69.93,31.98,8.0,VAJDA_GUBA
