,Stations,Time Range,Time
1,CA002101300.csv,1942-2021,79 years
2,CA002101415.csv,1942-2013,71 years
3,CA002201900.csv,1948-2013,65 years
4,CA002202100.csv,1895-2004,109 years
5,CA002202101.csv,1921-2014,93 years
6,CA002202115.csv,1895-2021,126 years
7,CA002202196.csv,1913-2004,91 years
8,CA002202198.csv,1928-2004,76 years
9,CA002202200.csv,1931-2021,90 years
10,CA002202398.csv,1893-2004,111 years
11,CA002202400.csv,1893-2021,128 years
12,CA002202800.csv,1943-2013,70 years
13,CA002202801.csv,1945-2021,76 years
14,CA002204100.csv,1942-2012,70 years
15,CA002300500.csv,1946-2021,75 years
16,CA002300707.csv,1931-2013,82 years
17,CA002300900.csv,1930-2004,74 years
18,CA002300902.csv,1944-2021,77 years
19,CA002301000.csv,1933-2021,88 years
20,CA002400400.csv,1937-2002,65 years
21,CA002400600.csv,1929-2021,92 years
22,CA002400602.csv,1941-2021,80 years
23,CA002400800.csv,1933-2008,75 years
24,CA002401200.csv,1947-2021,74 years
25,CA002402590.csv,1946-2010,64 years
26,CA002402594.csv,1942-2021,79 years
27,CA002402600.csv,1948-2013,65 years
28,CA002402604.csv,1948-2021,73 years
29,CA002403050.csv,1925-2015,90 years
30,CA002403500.csv,1947-2021,74 years
31,CA002403505.csv,1948-2021,73 years
32,CA002403602.csv,1931-2021,90 years
33,CA002502700.csv,1948-2013,65 years
34,CAXLT660207.csv,1942-2001,59 years
35,DAM00006011.csv,1867-2021,154 years
36,FI000000304.csv,1829-2021,192 years
37,FI000007501.csv,1906-2021,115 years
38,FIE00142004.csv,1750-2010,260 years
39,FIE00142080.csv,1829-2021,192 years
40,FIE00142090.csv,1829-2014,185 years
41,FIE00142096.csv,1829-2014,185 years
42,FIE00142111.csv,1829-2014,185 years
43,FIE00142185.csv,1829-2021,192 years
44,FIE00142226.csv,1829-2021,192 years
45,FIE00142235.csv,1829-2015,186 years
46,FIE00142241.csv,1829-2021,192 years
47,FIE00142246.csv,1829-2014,185 years
48,FIE00142251.csv,1829-2014,185 years
49,FIE00142296.csv,1829-2014,185 years
50,FIE00142311.csv,1829-2014,185 years
51,FIE00142320.csv,1829-2014,185 years
52,FIE00145436.csv,1886-2014,128 years
53,FIE00145672.csv,1776-2021,245 years
54,GL000004250.csv,1866-2021,155 years
55,GL000004360.csv,1895-2021,126 years
56,GLE00100981.csv,1866-2013,147 years
57,GLE00100992.csv,1877-2020,143 years
58,GLE00146901.csv,1873-2012,139 years
59,GLE00146961.csv,1877-2012,135 years
60,GLE00147481.csv,1941-2021,80 years
61,GLM00004220.csv,1943-2021,78 years
62,GLM00004390.csv,1943-2021,78 years
63,GLW00016504.csv,1949-2020,71 years
64,GLW00017605.csv,1946-2021,75 years
65,IC000004013.csv,1846-2021,175 years
66,IC000004030.csv,1901-2021,120 years
67,IC000004048.csv,1884-2021,137 years
68,IC000004063.csv,1882-2021,139 years
69,IC000004092.csv,1937-2009,72 years
70,IC000004097.csv,1949-2021,72 years
71,ICW00016201.csv,1943-2021,78 years
72,JN000099950.csv,1937-2021,84 years
73,NO000001026.csv,1867-2021,154 years
74,NO000011520.csv,1868-2015,147 years
75,NO000050550.csv,1816-2004,188 years
76,NO000068330.csv,1920-2006,86 years
77,NO000080700.csv,1943-2021,78 years
78,NO000097250.csv,1876-2015,139 years
79,NO000098550.csv,1829-2021,192 years
80,NO000099710.csv,1937-2021,84 years
81,NOE00105467.csv,1940-2021,81 years
82,NOE00105476.csv,1945-2021,76 years
83,NOE00105477.csv,1921-2015,94 years
84,NOE00105482.csv,1943-2014,71 years
85,NOE00105494.csv,1931-2021,90 years
86,NOE00105498.csv,1943-2021,78 years
87,NOE00105503.csv,1943-2021,78 years
88,NOE00109394.csv,1946-2021,75 years
89,NOE00109514.csv,1940-2021,81 years
90,NOE00109719.csv,1868-2014,146 years
