,Code,Latitude,Longitude,Elevation,Name,Time Range,Time
0,CA002100100,61.65,-137.4833,966.0,AISHIHIK_A,1943-1966,23 years
1,CA002100115,60.4667,-134.8333,820.0,ANNIE_LAKE_ROBINSON,1976-2004,28 years
2,CA002100120,62.3667,-133.3833,1158.0,ANVIL,1967-1991,24 years
3,CA002100160,62.4167,-140.8667,649.0,BEAVER_CREEK_A,1968-2015,47 years
4,CA002100163,60.0,-136.7667,836.0,BLANCHARD_RIVER,1986-2012,26 years
5,CA002100167,61.4667,-135.7833,716.0,BRAEBURN,1974-1995,21 years
6,CA002100182,61.3667,-139.05,806.0,BURWASH_A,1966-2015,49 years
7,CA002100200,60.1667,-134.7,660.0,CARCROSS,1907-2004,97 years
8,CA002100300,62.1,-136.3,525.0,CARMACKS,1963-2008,45 years
9,CA002100301,62.1167,-136.2,543.0,CARMACKS_CS,1999-2021,22 years
10,CA002100400,64.05,-139.4333,320.0,DAWSON,1897-2013,116 years
11,CA002100402,64.05,-139.1333,370.0,DAWSON_A,1897-2021,124 years
12,CA002100460,62.2,-134.3833,609.0,DRURY_CREEK,1970-2009,39 years
13,CA002100500,63.9167,-135.4833,814.0,ELSA,1951-1989,38 years
14,CA002100517,62.2,-133.3667,716.0,FARO_A,1977-2015,38 years
15,CA002100518,62.2,-133.3833,717.0,FARO_AUT,1993-2021,28 years
16,CA002100630,60.7667,-137.5833,595.0,HAINES_JUNCTION,1944-2021,77 years
17,CA002100636,69.5667,-138.9167,1.0,HERSCHEL_ISLAND,1974-2021,47 years
18,CA002100660,69.1667,-140.15,244.0,IVVAVIK_NAT_PARK,1995-2021,26 years
19,CA002100670,60.4833,-133.3,690.0,JOHNSONS_CROSSING,1963-1995,32 years
20,CA002100679,64.45,-138.2167,973.0,KLONDIKE,1966-2010,44 years
21,CA002100682,69.6167,-140.2,13.0,KOMAKUK_BEACH,1995-2021,26 years
22,CA002100685,69.5833,-140.1833,7.0,KOMAKUK_BEACH_A,1958-1993,35 years
23,CA002100693,63.25,-130.0333,1379.0,MACMILLAN_PASS,1998-2021,23 years
24,CA002100697,68.8,-140.85,568.0,MARGARET_LAKE,1997-2021,24 years
25,CA002100700,63.6167,-135.8667,504.0,MAYO_A,1925-2013,88 years
26,CA002100709,60.8833,-135.1833,655.0,MAYO_ROAD,1983-2017,34 years
27,CA002100719,63.6,-137.5167,457.0,MCQUESTEN,1986-2014,28 years
28,CA002100794,65.3667,-138.3,597.0,OGILVIE_RIVER,1971-2007,36 years
29,CA002100800,67.5667,-139.8333,250.0,OLD_CROW_A,1951-2015,64 years
30,CA002100805,67.5667,-139.8333,251.0,OLD_CROW_RCS,1995-2021,26 years
31,CA002100840,61.0333,-137.05,830.0,OTTER_FALLS_NCPC,1980-2021,41 years
32,CA002100880,62.8167,-137.3667,454.0,PELLY_RANCH,1898-2015,117 years
33,CA002100907,60.7667,-135.1167,713.0,PORTER_CREEK_WAHL,1989-2005,16 years
34,CA002100935,66.9833,-136.2167,731.0,ROCK_RIVER,1995-2021,26 years
35,CA002100940,61.9667,-132.4333,705.0,ROSS_RIVER_A,1961-1994,33 years
36,CA002100950,68.95,-137.2167,49.0,SHINGLE_POINT_A,1957-2021,64 years
37,CA002100FCG,61.1833,-129.1333,890.0,HOUR_LAKE,1982-2014,32 years
38,CA002100LRP,64.05,-139.1333,370.0,DAWSON,1995-2021,26 years
39,CA002101000,62.3667,-140.4,587.0,SNAG_A,1943-1966,23 years
40,CA002101030,63.3833,-136.6833,480.0,STEWART_CROSSING,1963-2006,43 years
41,CA002101070,64.1,-139.75,320.0,SWEDE_CREEK,1918-1929,11 years
42,CA002101081,60.0,-131.1833,891.0,SWIFT_RIVER,1966-2004,38 years
43,CA002101095,60.95,-135.5667,671.0,TAKHINI_RIVER_RANCH,1980-2021,41 years
44,CA002101099,60.1667,-132.75,705.0,TESLIN,1943-1989,46 years
45,CA002101100,60.1667,-132.7333,705.0,TESLIN_A,1943-2013,70 years
46,CA002101102,60.1667,-132.7333,705.0,TESLIN_AUT,1973-2021,48 years
47,CA002101135,60.9333,-129.2167,724.0,TUCHITUA,1967-2012,45 years
48,CA002101200,60.1167,-128.8167,687.0,WATSON_LAKE_A,1938-2014,76 years
49,CA002101204,60.1167,-128.8167,690.0,WATSON_LAKE_AUT,2003-2021,18 years
50,CA002101300,60.7167,-135.0667,706.0,WHITEHORSE_A,1942-2021,79 years
51,CA002101303,60.7167,-135.0667,706.0,WHITEHORSE_A,1981-2021,40 years
52,CA002101310,60.7333,-135.1,707.0,WHITEHORSE_AUTO,1987-2021,34 years
53,CA002101400,60.7167,-135.0333,640.0,WHITEHORSE_RIVERDALE,1959-2012,53 years
54,CA002101415,60.7333,-135.0833,707.0,WHITEHORSE_WSO,1942-2013,71 years
55,CA002200100,68.2167,-135.0,6.0,AKLAVIK_A,1926-2009,83 years
56,CA002200675,70.1667,-124.7167,87.0,CAPE_PARRY_A,1957-2021,64 years
57,CA002200824,67.05,-126.0833,259.0,COLVILLE_LAKE,1995-2021,26 years
58,CA002201022,65.2167,-123.4333,213.0,DELINE_CS,1999-2021,22 years
59,CA0022010H0,61.25,-124.4667,283.0,DEADMEN_VALLEY,2001-2021,20 years
60,CA0022010KA,65.2167,-123.4333,214.0,DELINE_A,1991-2010,19 years
61,CA002201400,66.2333,-128.65,81.0,FORT_GOOD_HOPE_A,1909-2010,101 years
62,CA002201450,66.25,-128.65,82.0,FORT_GOOD_HOPE_CS,1998-2021,23 years
63,CA002201500,66.25,-128.6333,42.0,FORT_GOOD_HOPE_2,1898-1979,81 years
64,CA002201575,60.2333,-123.4667,216.0,FORT_LIARD_A,1973-2007,34 years
65,CA002201579,60.2333,-123.4667,213.0,FORT_LIARD,1996-2021,25 years
66,CA002201600,67.4333,-134.8833,31.0,FORT_MCPHERSON,1892-1977,85 years
67,CA002201601,67.4,-134.8667,35.0,FORT_MCPHERSON_A,1981-2013,32 years
68,CA002201700,64.9167,-125.5667,100.0,TULITA_A,1908-2007,99 years
69,CA002201799,61.3167,-117.6,162.0,FORT_PROVIDENCE,1994-2021,27 years
70,CA002201800,61.3333,-117.6667,159.0,FORT_PROVIDENCE,1943-1982,39 years
71,CA002201900,62.7167,-109.1667,166.0,FORT_RELIANCE,1948-2013,65 years
72,CA002201903,62.7167,-109.1667,168.0,FORT_RELIANCE_AUT,1993-2021,28 years
73,CA002201998,61.1667,-113.6667,159.0,FORT_RESOLUTION,1911-1936,25 years
74,CA002202000,61.1833,-113.6833,160.0,FORT_RESOLUTION_A,1930-2007,77 years
75,CA002202100,61.8667,-121.35,132.0,FORT_SIMPSON,1895-2004,109 years
76,CA002202101,61.7667,-121.2333,169.0,FORT_SIMPSON_A,1921-2014,93 years
77,CA002202102,61.7667,-121.2333,168.0,FORT_SIMPSON_CLIMATE,2003-2021,18 years
78,CA002202115,61.7667,-121.2333,169.0,FORT_SIMPSON,1895-2021,126 years
79,CA002202196,60.0,-111.9333,183.0,FORT_SMITH,1913-2004,91 years
80,CA002202198,60.0,-111.8667,207.0,FORT_SMITH,1928-2004,76 years
81,CA002202200,60.0167,-111.9667,205.0,FORT_SMITH_A,1931-2021,90 years
82,CA002202202,60.0333,-111.9333,203.0,FORT_SMITH_CLIMATE,2003-2021,18 years
83,CA002202351,63.6,-105.1333,317.0,HANBURY_RIVER,1995-2021,26 years
84,CA002202398,60.85,-115.95,161.0,HAY_RIVER,1893-2004,111 years
85,CA002202400,60.8333,-115.7833,165.0,HAY_RIVER_A,1893-2021,128 years
86,CA002202402,60.8333,-115.7833,164.0,HAY_RIVER_CLIMATE,2003-2021,18 years
87,CA002202405,60.65,-116.0,213.0,HAY_RIVER_PARADISE_GDNS,1962-2006,44 years
88,CA002202560,61.9167,-113.7333,165.0,INNER_WHALEBACKS,1994-2021,27 years
89,CA002202570,68.3,-133.4833,68.0,INUVIK_A,1957-2021,64 years
90,CA002202578,68.3167,-133.5167,103.0,INUVIK_CLIMATE,2003-2021,18 years
91,CA002202580,68.3,-133.4833,67.0,INUVIK_CDA,1957-2004,47 years
92,CA002202582,68.3167,-133.5167,103.0,INUVIK_UA,1987-2005,18 years
93,CA002202678,63.1333,-117.25,271.0,LAC_LA_MARTRE,1974-2021,47 years
94,CA002202750,69.9333,-128.9667,89.0,NICHOLSON_PENINSULA,1957-1993,36 years
95,CA002202800,65.2833,-126.8,73.0,NORMAN_WELLS_A,1943-2013,70 years
