,Code,Latitude,Longitude,Elevation,Name
0,CA002100100,61.65,-137.4833,966,AISHIHIK_A
1,CA002100115,60.4667,-134.8333,820,ANNIE_LAKE_ROBINSON
2,CA002100120,62.3667,-133.3833,1158,ANVIL
3,CA002100160,62.4167,-140.8667,649,BEAVER_CREEK_A
4,CA002100163,60,-136.7667,836,BLANCHARD_RIVER
5,CA002100167,61.4667,-135.7833,716,BRAEBURN
6,CA002100182,61.3667,-139.05,806,BURWASH_A
7,CA002100200,60.1667,-134.7,660,CARCROSS
8,CA002100300,62.1,-136.3,525,CARMACKS
9,CA002100301,62.1167,-136.2,543,CARMACKS_CS
10,CA002100400,64.05,-139.4333,320,DAWSON
11,CA002100402,64.05,-139.1333,370,DAWSON_A
12,CA002100460,62.2,-134.3833,609,DRURY_CREEK
13,CA002100500,63.9167,-135.4833,814,ELSA
14,CA002100517,62.2,-133.3667,716,FARO_A
15,CA002100518,62.2,-133.3833,717,FARO_AUT
16,CA002100630,60.7667,-137.5833,595,HAINES_JUNCTION
17,CA002100636,69.5667,-138.9167,1,HERSCHEL_ISLAND
18,CA002100660,69.1667,-140.15,244,IVVAVIK_NAT_PARK
19,CA002100670,60.4833,-133.3,690,JOHNSONS_CROSSING
20,CA002100679,64.45,-138.2167,973,KLONDIKE
21,CA002100682,69.6167,-140.2,13,KOMAKUK_BEACH
22,CA002100685,69.5833,-140.1833,7,KOMAKUK_BEACH_A
23,CA002100693,63.25,-130.0333,1379,MACMILLAN_PASS
24,CA002100697,68.8,-140.85,568,MARGARET_LAKE
25,CA002100700,63.6167,-135.8667,504,MAYO_A
26,CA002100709,60.8833,-135.1833,655,MAYO_ROAD
27,CA002100719,63.6,-137.5167,457,MCQUESTEN
28,CA002100794,65.3667,-138.3,597,OGILVIE_RIVER
29,CA002100800,67.5667,-139.8333,250,OLD_CROW_A
30,CA002100805,67.5667,-139.8333,251,OLD_CROW_RCS
31,CA002100840,61.0333,-137.05,830,OTTER_FALLS_NCPC
32,CA002100880,62.8167,-137.3667,454,PELLY_RANCH
33,CA002100907,60.7667,-135.1167,713,PORTER_CREEK_WAHL
34,CA002100935,66.9833,-136.2167,731,ROCK_RIVER
35,CA002100940,61.9667,-132.4333,705,ROSS_RIVER_A
36,CA002100950,68.95,-137.2167,49,SHINGLE_POINT_A
37,CA002100FCG,61.1833,-129.1333,890,HOUR_LAKE
38,CA002100LRP,64.05,-139.1333,370,DAWSON
39,CA002101000,62.3667,-140.4,587,SNAG_A
40,CA002101030,63.3833,-136.6833,480,STEWART_CROSSING
41,CA002101070,64.1,-139.75,320,SWEDE_CREEK
42,CA002101081,60,-131.1833,891,SWIFT_RIVER
43,CA002101095,60.95,-135.5667,671,TAKHINI_RIVER_RANCH
44,CA002101099,60.1667,-132.75,705,TESLIN
45,CA002101100,60.1667,-132.7333,705,TESLIN_A
46,CA002101102,60.1667,-132.7333,705,TESLIN_AUT
47,CA002101135,60.9333,-129.2167,724,TUCHITUA
48,CA002101200,60.1167,-128.8167,687,WATSON_LAKE_A
49,CA002101204,60.1167,-128.8167,690,WATSON_LAKE_AUT
50,CA002101300,60.7167,-135.0667,706,WHITEHORSE_A
51,CA002101303,60.7167,-135.0667,706,WHITEHORSE_A
52,CA002101310,60.7333,-135.1,707,WHITEHORSE_AUTO
53,CA002101400,60.7167,-135.0333,640,WHITEHORSE_RIVERDALE
54,CA002101415,60.7333,-135.0833,707,WHITEHORSE_WSO
55,CA002200100,68.2167,-135,6,AKLAVIK_A
56,CA002200675,70.1667,-124.7167,87,CAPE_PARRY_A
57,CA002200824,67.05,-126.0833,259,COLVILLE_LAKE
58,CA002201022,65.2167,-123.4333,213,DELINE_CS
59,CA0022010H0,61.25,-124.4667,283,DEADMEN_VALLEY
60,CA0022010KA,65.2167,-123.4333,214,DELINE_A
61,CA002201400,66.2333,-128.65,81,FORT_GOOD_HOPE_A
62,CA002201450,66.25,-128.65,82,FORT_GOOD_HOPE_CS
63,CA002201500,66.25,-128.6333,42,FORT_GOOD_HOPE_2
64,CA002201575,60.2333,-123.4667,216,FORT_LIARD_A
65,CA002201579,60.2333,-123.4667,213,FORT_LIARD
66,CA002201600,67.4333,-134.8833,31,FORT_MCPHERSON
67,CA002201601,67.4,-134.8667,35,FORT_MCPHERSON_A
68,CA002201700,64.9167,-125.5667,100,TULITA_A
69,CA002201799,61.3167,-117.6,162,FORT_PROVIDENCE
70,CA002201800,61.3333,-117.6667,159,FORT_PROVIDENCE
71,CA002201900,62.7167,-109.1667,166,FORT_RELIANCE
72,CA002201903,62.7167,-109.1667,168,FORT_RELIANCE_AUT
73,CA002201998,61.1667,-113.6667,159,FORT_RESOLUTION
74,CA002202000,61.1833,-113.6833,160,FORT_RESOLUTION_A
75,CA002202100,61.8667,-121.35,132,FORT_SIMPSON
76,CA002202101,61.7667,-121.2333,169,FORT_SIMPSON_A
77,CA002202102,61.7667,-121.2333,168,FORT_SIMPSON_CLIMATE
