Date [YYYY-MM],Temperature [°C],QCFLAG
1982-01,, 
1982-02,, 
1982-03,, 
1982-04,, 
1982-05,4.03,C
1982-06,, 
1982-07,, 
1982-08,, 
1982-09,, 
1982-10,-2.04,C
1982-11,-17.36,C
1982-12,-20.7,C
1983-01,-20.17,C
1983-02,-17.86,C
1983-03,-13.14,C
1983-04,0.01,C
1983-05,, 
1983-06,, 
1983-07,, 
1983-08,, 
1983-09,3.85,C
1983-10,-2.11,C
1983-11,-15.05,C
1983-12,, 
1984-01,-18.76,C
1984-02,-10.99,C
1984-03,-5.31,C
1984-04,0.15,C
1984-05,5.16,C
1984-06,10.2,C
1984-07,11.77,C
1984-08,10.95,C
1984-09,4.25,C
1984-10,-3.8,C
1984-11,-16.94,C
1984-12,, 
1985-01,-12.09,C
1985-02,-20.59,C
1985-03,-9.59,C
1985-04,-3.72,C
1985-05,4.22,C
1985-06,, 
1985-07,12.9,C
1985-08,, 
1985-09,4.96,C
1985-10,-3.95,C
1985-11,-22.51,C
1985-12,-13.66,C
1986-01,-15.0,C
1986-02,-16.91,C
1986-03,-8.89,C
1986-04,-5.36,C
1986-05,3.76,C
1986-06,10.29,C
1986-07,, 
1986-08,, 
1986-09,, 
1986-10,0.33,C
1986-11,-18.16,C
1986-12,-15.17,C
1987-01,-17.42,C
1987-02,-13.33,C
1987-03,-14.67,C
1987-04,, 
1987-05,, 
1987-06,, 
1987-07,, 
1987-08,, 
1987-09,, 
1987-10,1.07,C
1987-11,-9.41,C
1987-12,-15.56,C
1988-01,-21.77,C
1988-02,-15.17,C
1988-03,-7.17,C
1988-04,-0.12,C
1988-05,, 
1988-06,, 
1988-07,, 
1988-08,, 
1988-09,, 
1988-10,-1.27,C
1988-11,-12.93,C
1988-12,-18.68,C
1989-01,-23.38,C
1989-02,-19.96,C
1989-03,-14.05,C
1989-04,-0.06,C
1989-05,6.97,C
1989-06,12.56,C
1989-07,15.46,C
1989-08,13.77,C
1989-09,6.33,C
1989-10,-3.06,C
1989-11,-16.19,C
1989-12,-14.66,C
1990-01,, 
1990-02,-21.12,C
1990-03,-7.6,C
1990-04,-0.79,C
1990-05,, 
1990-06,, 
1990-07,, 
1990-08,, 
1990-09,, 
1990-10,-4.22,C
1990-11,-21.86,C
1990-12,, 
1991-01,-21.37,C
1991-02,-10.95,C
1991-03,-9.7,C
1991-04,0.34,C
1991-05,, 
1991-06,, 
1991-07,, 
1991-08,, 
1991-09,6.98,C
1991-10,-5.08,C
1991-11,-14.43,C
1991-12,-16.93,C
1992-01,-14.49,C
1992-02,-13.91,C
1992-03,-7.88,C
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,, 
1992-08,, 
1992-09,1.88,C
1992-10,-4.43,C
1992-11,-11.74,C
1992-12,, 
1993-01,-22.76,C
1993-02,-17.28,C
1993-03,-9.93,C
1993-04,1.63,C
1993-05,, 
1993-06,, 
1993-07,, 
1993-08,, 
1993-09,, 
1993-10,0.64,C
1993-11,-10.6,C
1993-12,-14.61,C
1994-01,-23.74,C
1994-02,-25.85,C
1994-03,-5.82,C
1994-04,0.91,C
1994-05,6.09,C
1994-06,11.67,C
1994-07,14.47,C
1994-08,, 
1994-09,5.21,C
1994-10,0.24,C
1994-11,-16.55,C
1994-12,-21.3,C
1995-01,-20.21,C
1995-02,-16.66,C
1995-03,-11.87,C
1995-04,1.06,C
1995-05,8.03,C
1995-06,12.46,C
1995-07,12.79,C
1995-08,, 
1995-09,8.29,C
1995-10,-1.29,C
1995-11,-15.99,C
1995-12,-20.95,C
1996-01,, 
1996-02,-15.44,C
1996-03,-12.44,C
1996-04,-3.46,C
1996-05,3.87,C
1996-06,10.46,C
1996-07,, 
1996-08,, 
1996-09,4.34,C
1996-10,-4.83,C
1996-11,-19.94,C
1996-12,-21.6,C
1997-01,, 
1997-02,-11.61,C
1997-03,-13.39,C
1997-04,-1.38,C
1997-05,5.86,C
1997-06,12.13,C
1997-07,14.42,C
1997-08,12.24,C
1997-09,7.37,C
1997-10,-4.97,C
1997-11,-13.47,C
1997-12,-14.07,C
1998-01,, 
1998-02,-14.3,C
1998-03,-10.23,C
1998-04,-0.31,C
1998-05,8.67,C
1998-06,13.24,C
1998-07,14.31,C
1998-08,10.28,C
1998-09,5.57,C
1998-10,-1.47,C
1998-11,-15.05,C
1998-12,-20.97,C
1999-01,, 
1999-02,-17.33,C
1999-03,-9.41,C
1999-04,-0.58,C
1999-05,4.54,C
1999-06,11.76,C
1999-07,12.5,C
1999-08,12.46,C
1999-09,6.45,C
1999-10,-0.37,C
1999-11,-13.3,C
1999-12,-12.76,C
2000-01,-23.05,C
2000-02,-13.5,C
2000-03,-7.39,C
2000-04,-3.57,C
2000-05,4.25,C
2000-06,11.2,C
