Date [YYYY-MM],Temperature [°C],QCFLAG
1995-01,, 
1995-02,, 
1995-03,, 
1995-04,, 
1995-05,, 
1995-06,, 
1995-07,, 
1995-08,, 
1995-09,, 
1995-10,, 
1995-11,-24.53,C
1995-12,-25.92,C
1996-01,-35.71,C
1996-02,-20.33,C
1996-03,-12.0,C
1996-04,0.37,C
1996-05,6.71,C
1996-06,12.17,C
1996-07,15.35,C
1996-08,10.75,C
1996-09,4.38,C
1996-10,-10.89,C
1996-11,-24.78,C
1996-12,-30.16,C
1997-01,-30.25,C
1997-02,-15.96,C
1997-03,-17.36,C
1997-04,-0.4,C
1997-05,7.87,C
1997-06,13.28,C
1997-07,16.37,C
1997-08,13.2,C
1997-09,7.62,C
1997-10,-9.24,C
1997-11,-13.94,C
1997-12,-19.1,C
1998-01,-27.03,C
1998-02,-18.0,C
1998-03,-10.04,C
1998-04,2.6,C
1998-05,9.67,C
1998-06,14.25,C
1998-07,15.99,C
1998-08,11.36,C
1998-09,6.21,C
1998-10,-5.28,C
1998-11,-16.16,C
1998-12,-26.04,C
1999-01,-31.51,C
1999-02,-25.05,C
1999-03,-11.45,C
1999-04,0.92,C
1999-05,6.34,C
1999-06,15.22,C
1999-07,15.06,C
1999-08,13.55,C
1999-09,5.94,C
1999-10,-4.55,C
1999-11,-17.53,C
1999-12,-22.6,C
2000-01,-29.23,C
2000-02,-13.71,C
2000-03,-7.09,C
2000-04,-2.28,C
2000-05,, 
2000-06,14.32,C
2000-07,, 
2000-08,9.8,C
2000-09,4.07,C
2000-10,-5.36,C
2000-11,-12.71,C
2000-12,-24.02,C
2001-01,-16.8,C
2001-02,-18.84,C
2001-03,-10.67,C
2001-04,0.48,C
2001-05,6.02,C
2001-06,14.23,C
2001-07,14.83,C
2001-08,13.74,C
2001-09,7.06,C
2001-10,-4.72,C
2001-11,-17.43,C
2001-12,-24.62,C
2002-01,-22.29,C
2002-02,-20.67,C
2002-03,-16.66,C
2002-04,-5.55,C
2002-05,7.31,C
2002-06,13.36,C
2002-07,15.13,C
2002-08,11.03,C
2002-09,6.94,C
2002-10,0.36,C
2002-11,-7.9,C
2002-12,-13.78,C
2003-01,-22.72,C
2003-02,-16.17,C
2003-03,-13.06,C
2003-04,-0.28,C
2003-05,6.96,C
