Date [YYYY-MM],Temperature [°C],QCFLAG
2001-01,, 
2001-02,, 
2001-03,, 
2001-04,, 
2001-05,, 
2001-06,, 
2001-07,, 
2001-08,15.16,C
2001-09,9.03,C
2001-10,-0.67,C
2001-11,-11.7,C
2001-12,-23.93,C
2002-01,-21.71,C
2002-02,-17.67,C
2002-03,-15.83,C
2002-04,-4.56,C
2002-05,, 
2002-06,, 
2002-07,, 
2002-08,13.75,C
2002-09,8.09,C
2002-10,-0.4,C
2002-11,-7.83,C
2002-12,-14.06,C
2003-01,-22.24,C
2003-02,-17.9,C
2003-03,-13.1,C
2003-04,0.88,C
2003-05,8.5,C
2003-06,13.13,C
2003-07,17.87,C
2003-08,14.01,C
2003-09,7.5,C
2003-10,1.74,C
2003-11,-13.82,C
2003-12,-16.58,C
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,2.58,C
2004-05,7.3,C
2004-06,15.96,C
2004-07,17.1,C
2004-08,13.54,C
2004-09,7.08,C
2004-10,-1.25,C
2004-11,-12.33,C
2004-12,-21.4,C
2005-01,-24.26,C
2005-02,-17.81,C
2005-03,-8.89,C
2005-04,2.59,C
2005-05,10.01,C
2005-06,13.04,C
2005-07,15.67,C
2005-08,14.0,C
2005-09,8.85,C
2005-10,0.78,C
2005-11,-10.11,C
2005-12,-12.78,C
2006-01,-23.0,C
2006-02,-13.96,C
2006-03,-13.77,C
2006-04,2.05,C
2006-05,9.07,C
2006-06,15.37,C
2006-07,16.19,C
2006-08,14.09,C
2006-09,9.54,C
2006-10,0.95,C
2006-11,-21.44,C
2006-12,-15.45,C
2007-01,-18.21,C
2007-02,-21.06,C
2007-03,-15.91,C
2007-04,1.55,C
2007-05,8.65,C
2007-06,13.86,C
2007-07,17.09,C
2007-08,13.23,C
2007-09,6.71,C
2007-10,-0.41,C
2007-11,-11.98,C
2007-12,-21.94,C
2008-01,-24.29,C
2008-02,-19.53,C
2008-03,-13.65,C
2008-04,-0.03,C
2008-05,10.14,C
2008-06,13.86,C
2008-07,16.48,C
2008-08,13.96,C
2008-09,8.87,C
2008-10,1.12,C
2008-11,-12.56,C
2008-12,-25.75,C
2009-01,-22.62,C
2009-02,-20.51,C
2009-03,-15.0,C
2009-04,0.72,C
2009-05,6.76,C
2009-06,14.66,C
2009-07,16.13,C
2009-08,15.01,C
2009-09,10.45,C
2009-10,-1.48,C
2009-11,-13.83,C
2009-12,-21.14,C
2010-01,-22.66,C
2010-02,-15.18,C
2010-03,-7.3,C
2010-04,4.21,C
2010-05,8.84,C
2010-06,14.4,C
2010-07,, 
2010-08,15.09,C
2010-09,6.42,C
2010-10,0.55,C
2010-11,-10.49,C
2010-12,-22.52,C
2011-01,, 
2011-02,-16.54,C
2011-03,-13.8,C
2011-04,, 
2011-05,9.27,C
2011-06,13.12,C
2011-07,16.4,C
2011-08,13.66,C
2011-09,9.45,C
2011-10,0.87,C
2011-11,-17.96,C
2011-12,-14.19,C
2012-01,-23.0,C
2012-02,-14.21,C
2012-03,-13.11,C
2012-04,0.97,C
2012-05,9.64,C
2012-06,14.13,C
2012-07,17.64,C
2012-08,15.6,C
2012-09,11.77,C
2012-10,-2.81,C
2012-11,-20.91,C
2012-12,-26.1,C
2013-01,-21.48,C
2013-02,-15.09,C
2013-03,-14.88,C
2013-04,-5.78,C
2013-05,, 
2013-06,16.67,C
2013-07,16.59,C
2013-08,15.22,C
2013-09,10.75,C
2013-10,3.54,C
2013-11,-14.33,C
2013-12,-25.04,C
2014-01,-14.49,C
2014-02,-22.4,C
2014-03,-13.71,C
2014-04,-0.86,C
2014-05,8.08,C
2014-06,14.52,C
2014-07,17.89,C
2014-08,15.82,C
2014-09,7.89,C
2014-10,-0.68,C
2014-11,-15.38,C
2014-12,-20.83,C
2015-01,-20.17,C
2015-02,-18.41,C
2015-03,-8.75,C
2015-04,3.6,C
2015-05,11.41,C
2015-06,15.7,C
2015-07,16.17,C
2015-08,14.16,C
2015-09,7.52,C
2015-10,0.47,C
2015-11,-9.2,C
2015-12,-19.07,C
2016-01,, 
2016-02,-14.69,C
2016-03,-6.37,C
2016-04,1.1,C
2016-05,10.26,C
2016-06,, 
2016-07,, 
2016-08,15.16,C
2016-09,, 
2016-10,-2.97,C
2016-11,-12.58,C
2016-12,, 
2017-01,, 
2017-02,-13.28,C
2017-03,, 
2017-04,, 
2017-05,10.56,C
2017-06,13.94,C
2017-07,16.42,C
2017-08,, 
2017-09,, 
2017-10,, 
2017-11,-18.05,C
2017-12,-15.28,C
2018-01,-21.36,C
2018-02,-21.0,C
2018-03,, 
2018-04,-1.3,C
2018-05,11.72,C
2018-06,14.5,C
2018-07,17.55,C
2018-08,, 
2018-09,, 
2018-10,, 
2018-11,-12.52,C
2018-12,, 
2019-01,, 
2019-02,-21.0,C
2019-03,, 
2019-04,, 
2019-05,, 
2019-06,, 
2019-07,, 
2019-08,, 
2019-09,, 
2019-10,, 
2019-11,-10.84,C
2019-12,, 
2021-01,, 
2021-02,, 
2021-03,, 
2021-04,-2.12,C
2021-05,, 
2021-06,, 
2021-07,17.95,C
2021-08,, 
2021-09,, 
2021-10,, 
2021-11,, 
2021-12,, 
