Date [YYYY-MM],Temperature [°C],QCFLAG
1991-01,, 
1991-02,, 
1991-03,, 
1991-04,, 
1991-05,, 
1991-06,, 
1991-07,, 
1991-08,, 
1991-09,, 
1991-10,, 
1991-11,, 
1991-12,-25.98,C
1992-01,, 
1992-02,, 
1992-03,, 
1992-04,, 
1992-05,, 
1992-06,, 
1992-07,, 
1992-08,, 
1992-09,, 
1992-10,, 
1992-11,, 
1992-12,-24.84,C
1993-01,, 
1993-02,, 
1993-03,, 
1993-04,, 
1993-05,, 
1993-06,, 
1993-07,10.44,C
1993-08,11.96,C
1993-09,4.62,C
1993-10,, 
1993-11,, 
1993-12,, 
1994-01,, 
1994-02,-29.72,C
1994-03,-17.25,C
1994-04,, 
1994-05,, 
1994-06,, 
1994-07,, 
1994-08,, 
1994-09,, 
1994-10,-1.07,C
1994-11,-18.39,C
1994-12,-23.59,C
1995-01,-20.91,C
1995-02,-23.54,C
1995-03,-22.94,C
1995-04,-5.64,C
1995-05,3.93,C
1995-06,10.6,C
1995-07,11.76,C
1995-08,11.22,C
1995-09,6.69,C
1995-10,-3.07,C
1995-11,-18.41,C
1995-12,-27.27,C
1996-01,, 
1996-02,-22.4,C
1996-03,-18.66,C
1996-04,-11.27,C
1996-05,, 
1996-06,, 
1996-07,14.72,C
1996-08,, 
1996-09,4.85,C
1996-10,-8.9,C
1996-11,, 
1996-12,, 
1997-01,-28.02,C
1997-02,, 
1997-03,, 
1997-04,, 
1997-05,, 
1997-06,9.68,C
1997-07,, 
1997-08,12.57,C
1997-09,7.69,C
1997-10,-4.85,C
1997-11,-11.27,C
1997-12,, 
1998-01,, 
1998-02,, 
1998-03,, 
1998-04,-3.33,C
1998-05,6.83,C
1998-06,10.36,C
1998-07,15.01,C
1998-08,13.49,C
1998-09,6.77,C
1998-10,-1.42,C
1998-11,-11.61,C
1998-12,, 
1999-01,-25.3,C
1999-02,-21.14,C
1999-03,-15.8,C
1999-04,, 
1999-05,2.04,C
1999-06,11.02,C
1999-07,11.29,C
1999-08,10.91,C
1999-09,4.67,C
1999-10,-4.99,C
1999-11,-15.86,C
1999-12,-23.17,C
2000-01,-23.19,C
2000-02,-19.22,C
2000-03,-18.03,C
2000-04,-9.92,C
2000-05,2.77,C
2000-06,12.13,C
2000-07,15.34,C
2000-08,9.99,C
2000-09,4.44,C
2000-10,-4.62,C
2000-11,-14.28,C
2000-12,-27.15,C
2001-01,-18.01,C
2001-02,-21.74,C
2001-03,-21.01,C
2001-04,-7.9,C
2001-05,1.87,C
2001-06,9.13,C
2001-07,13.89,C
2001-08,11.96,C
2001-09,7.7,C
2001-10,-3.07,C
2001-11,-13.48,C
2001-12,-21.83,C
2002-01,-24.17,C
2002-02,-25.67,C
2002-03,-19.98,C
2002-04,-12.02,C
2002-05,0.11,C
2002-06,10.96,C
2002-07,13.28,C
2002-08,9.0,C
2002-09,5.39,C
2002-10,-3.55,C
2002-11,-11.14,C
2002-12,-14.2,C
2003-01,-26.06,C
2003-02,-25.3,C
2003-03,-20.17,C
2003-04,-5.99,C
2003-05,2.45,C
2003-06,9.5,C
2003-07,14.91,C
2003-08,12.28,C
2003-09,5.41,C
2003-10,0.3,C
2003-11,-15.93,C
2003-12,-20.02,C
2004-01,-27.53,C
2004-02,-24.68,C
2004-03,-21.76,C
2004-04,-9.34,C
2004-05,-2.68,C
2004-06,10.14,C
2004-07,12.81,C
2004-08,10.12,C
2004-09,3.61,C
2004-10,-6.22,C
2004-11,-16.88,C
2004-12,-26.41,C
2005-01,-23.92,C
2005-02,-22.11,C
2005-03,-16.18,C
2005-04,-5.39,C
2005-05,4.26,C
2005-06,, 
2005-07,11.61,C
2005-08,, 
2005-09,, 
2005-10,, 
2005-11,-16.25,C
2005-12,-15.47,C
2006-01,-26.64,C
2006-02,-17.63,C
2006-03,, 
2006-04,, 
2006-05,4.35,C
2006-06,13.17,C
2006-07,13.68,C
2006-08,12.76,C
2006-09,8.65,C
2006-10,-2.01,C
2006-11,-19.51,C
2006-12,-17.22,C
2007-01,-22.04,C
2007-02,-27.98,C
2007-03,-24.79,C
2007-04,-5.85,C
2007-05,1.88,C
2007-06,10.65,C
2007-07,14.73,C
2007-08,9.92,C
2007-09,4.34,C
2007-10,, 
2007-11,-13.29,C
2007-12,, 
2008-01,-26.31,C
2008-02,, 
2008-03,-21.73,C
2008-04,-8.6,C
2008-05,6.09,C
2008-06,10.27,C
2008-07,14.09,C
2008-08,9.63,C
2008-09,4.13,C
2008-10,-4.25,C
2008-11,-12.68,C
2008-12,-24.58,C
2010-01,-25.94,C
2010-02,-18.99,C
2010-03,-13.45,C
2010-04,0.32,C
2010-05,3.65,C
2010-06,11.34,C
2010-07,14.9,C
2010-08,13.14,C
2010-09,4.19,C
2010-10,-1.5,C
2010-11,-13.38,C
2010-12,, 
