Date [YYYY-MM],Temperature [°C],QCFLAG
1995-01,, 
1995-02,, 
1995-03,-28.94,C
1995-04,, 
1995-05,-0.01,C
1995-06,7.07,C
1995-07,10.17,C
1995-08,6.85,C
1995-09,4.21,C
1995-10,-6.96,C
1995-11,-18.08,C
1995-12,-28.53,C
1996-01,-27.3,C
1996-02,-25.03,C
1996-03,-23.23,C
1996-04,, 
1996-05,-4.9,C
1996-06,6.43,C
1996-07,9.73,C
1996-08,5.15,C
1996-09,-1.91,C
1996-10,-13.69,C
1996-11,-19.46,C
1996-12,-25.1,C
1997-01,-28.09,C
1997-02,-26.91,C
1997-03,-26.55,C
1997-04,-15.72,C
1997-05,-6.55,C
1997-06,6.58,C
1997-07,9.33,C
1997-08,, 
1997-09,, 
1997-10,-8.52,C
1997-11,-14.68,C
1997-12,-24.47,C
1998-01,-29.76,C
1998-02,-24.77,C
1998-03,-18.52,C
1998-04,-7.15,C
1998-05,-0.48,C
1998-06,5.88,C
1998-07,12.94,C
1998-08,11.93,C
1998-09,, 
1998-10,-4.68,C
1998-11,-12.84,C
1998-12,-19.22,C
1999-01,-27.45,C
1999-02,, 
1999-03,, 
1999-04,, 
1999-05,-4.03,C
1999-06,, 
1999-07,6.95,C
1999-08,9.3,C
1999-09,2.63,C
1999-10,-9.07,C
1999-11,, 
1999-12,-25.26,C
2000-01,-24.73,C
2000-02,-26.39,C
2000-03,-26.17,C
2000-04,-16.57,C
2000-05,-9.18,C
2000-06,6.67,C
2000-07,9.99,C
2000-08,5.86,C
2000-09,0.93,C
2000-10,-8.22,C
2000-11,-18.79,C
2000-12,-26.62,C
2001-01,-23.65,C
2001-02,-23.36,C
2001-03,-26.88,C
2001-04,-14.57,C
2001-05,, 
2001-06,, 
2001-07,, 
2001-08,, 
2001-09,4.37,C
2001-10,-7.31,C
2001-11,-17.29,C
2001-12,-21.81,C
2002-01,-26.12,C
2002-02,-30.02,C
2002-03,-23.29,C
2002-04,-16.88,C
2002-05,-3.97,C
2002-06,4.8,C
2002-07,8.44,C
2002-08,5.98,C
2002-09,4.32,C
2002-10,-6.09,C
2002-11,-15.04,C
2002-12,-16.07,C
2003-01,-27.41,C
2003-02,-28.11,C
2003-03,-25.19,C
2003-04,-13.08,C
2003-05,-4.55,C
