Date [YYYY-MM],Temperature [°C],QCFLAG
1995-01,-24.97,C
1995-02,, 
1995-03,, 
1995-04,-2.82,C
1995-05,6.71,C
1995-06,, 
1995-07,15.6,C
1995-08,11.98,C
1995-09,, 
1995-10,-5.15,C
1995-11,-20.06,C
1995-12,-29.13,C
1996-01,-31.59,C
1996-02,-26.11,C
1996-03,, 
1996-04,-10.1,C
1996-05,3.8,C
1996-06,15.14,C
1996-07,16.7,C
1996-08,9.81,C
1996-09,3.16,C
1996-10,, 
1996-11,-20.76,C
1996-12,-25.0,C
1997-01,-29.76,C
1997-02,-23.96,C
1997-03,-24.42,C
1997-04,, 
1997-05,2.91,C
1997-06,14.23,C
1997-07,, 
1997-08,, 
1997-09,7.82,C
1997-10,-7.01,C
1997-11,-15.01,C
1997-12,-24.48,C
1998-01,, 
1998-02,, 
1998-03,-15.36,C
1998-04,-0.21,C
1998-05,, 
1998-06,15.64,C
1998-07,, 
1998-08,, 
1998-09,6.96,C
1998-10,-4.89,C
1998-11,-16.04,C
1998-12,, 
1999-01,-31.64,C
1999-02,-25.83,C
1999-03,-20.04,C
1999-04,-7.5,C
1999-05,5.02,C
1999-06,15.23,C
1999-07,13.1,C
1999-08,13.39,C
1999-09,5.65,C
1999-10,-7.56,C
1999-11,-21.93,C
1999-12,-27.26,C
2000-01,-27.39,C
2000-02,-23.77,C
2000-03,-21.09,C
2000-04,-10.59,C
2000-05,, 
2000-06,, 
2000-07,15.96,C
2000-08,10.42,C
2000-09,3.91,C
2000-10,-7.49,C
2000-11,-19.04,C
2000-12,-29.76,C
2001-01,-20.85,C
2001-02,-23.35,C
2001-03,-23.15,C
2001-04,-7.6,C
2001-05,2.94,C
2001-06,14.3,C
2001-07,, 
2001-08,13.36,C
2001-09,7.09,C
2001-10,-4.7,C
2001-11,-17.3,C
2001-12,-24.66,C
2002-01,-26.01,C
2002-02,-28.11,C
2002-03,-19.83,C
2002-04,-9.67,C
2002-05,2.99,C
2002-06,13.4,C
2002-07,, 
2002-08,, 
2002-09,, 
2002-10,, 
2002-11,, 
2002-12,, 
2003-01,, 
2003-02,, 
2003-03,, 
2003-04,, 
2003-05,, 
2003-06,, 
2003-07,, 
2003-08,, 
2003-09,, 
2003-10,-1.19,C
2003-11,-17.82,C
2003-12,-23.08,C
2004-01,, 
2004-02,, 
2004-03,, 
2004-04,-8.14,C
2004-05,1.59,C
2004-06,15.34,C
2004-07,16.49,C
2004-08,12.65,C
2004-09,3.43,C
2004-10,-6.55,C
2004-11,-21.96,C
2004-12,-29.9,C
2005-01,, 
2005-02,, 
2005-03,, 
2005-04,, 
2005-05,, 
2005-06,13.18,C
2005-07,13.04,C
2005-08,12.04,C
2005-09,5.79,C
2005-10,-4.18,C
2005-11,-21.99,C
2005-12,-18.77,C
2006-01,-29.42,C
2006-02,-19.12,C
2006-03,-22.86,C
2006-04,-9.32,C
2006-05,4.87,C
2006-06,16.26,C
2006-07,16.04,C
2006-08,14.33,C
2006-09,8.51,C
2006-10,-2.71,C
2006-11,-21.23,C
2006-12,-20.0,C
2007-01,-24.4,C
2007-02,-31.62,C
2007-03,-25.86,C
2007-04,, 
2007-05,, 
2007-06,, 
2007-07,, 
2007-08,11.67,C
2007-09,5.14,C
2007-10,-7.3,C
2007-11,-17.0,C
2007-12,-25.04,C
2008-01,-27.18,C
2008-02,-29.18,C
2008-03,-22.19,C
2008-04,-6.74,C
2008-05,, 
2008-06,, 
2008-07,, 
2008-08,9.04,C
2008-09,3.96,C
2008-10,-8.48,C
2008-11,-16.17,C
2008-12,-27.17,C
2009-01,-30.89,C
2009-02,-25.03,C
2009-03,-26.3,C
2009-04,-6.54,C
2009-05,4.21,C
2009-06,12.92,C
2009-07,14.53,C
2009-08,11.81,C
2009-09,6.43,C
2009-10,-4.14,C
2009-11,-19.3,C
2009-12,-23.3,C
2010-01,-28.8,C
2010-02,-21.69,C
2010-03,-16.93,C
2010-04,0.63,C
2010-05,6.7,C
2010-06,14.5,C
2010-07,16.94,C
2010-08,14.21,C
2010-09,4.21,C
2010-10,-4.82,C
2010-11,-13.94,C
2010-12,, 
2011-01,-27.42,C
2011-02,-23.07,C
2011-03,-20.21,C
2011-04,-12.57,C
2011-05,6.36,C
2011-06,13.42,C
2011-07,17.07,C
2011-08,13.08,C
2011-09,7.07,C
2011-10,-2.89,C
2011-11,-22.41,C
2011-12,-21.18,C
2012-01,-28.24,C
2012-02,-21.31,C
2012-03,-25.13,C
2012-04,-6.42,C
2012-05,, 
2012-06,17.74,C
2012-07,18.3,C
2012-08,15.01,C
2012-09,8.79,C
2012-10,-3.09,C
2012-11,-20.73,C
2012-12,-30.19,C
2013-01,-31.29,C
2013-02,-27.02,C
2013-03,-22.21,C
2013-04,-13.38,C
2013-05,2.87,C
2013-06,15.43,C
2013-07,15.67,C
2013-08,14.88,C
2013-09,6.75,C
2013-10,0.91,C
2013-11,-14.45,C
2013-12,-29.84,C
2014-01,-26.11,C
2014-02,-25.5,C
2014-03,-19.74,C
2014-04,-7.31,C
2014-05,6.04,C
2014-06,16.04,C
2014-07,, 
2014-08,, 
2014-09,, 
2014-10,-3.6,C
2014-11,-19.58,C
2014-12,-23.02,C
2015-01,-27.11,C
2015-02,-24.17,C
2015-03,-16.67,C
2015-04,-3.83,C
2015-05,8.91,C
2015-06,14.41,C
2015-07,14.97,C
2015-08,12.13,C
2015-09,4.69,C
2015-10,-3.46,C
2015-11,-15.89,C
2015-12,-23.64,C
2016-01,-19.98,C
2016-02,-21.93,C
2016-03,-15.27,C
2016-04,-5.98,C
2016-05,8.15,C
2016-06,14.46,C
2016-07,16.65,C
2016-08,13.88,C
2016-09,5.42,C
2016-10,-4.64,C
2016-11,-17.53,C
2016-12,-25.34,C
2017-01,-20.7,C
2017-02,-22.15,C
2017-03,-20.59,C
