Date [YYYY-MM],Temperature [°C],QCFLAG
2000-01,-24.32,C
2000-02,-18.61,C
2000-03,-13.71,C
2000-04,-7.02,C
2000-05,3.27,C
2000-06,10.78,C
2000-07,17.28,C
2000-08,11.4,C
2000-09,5.57,C
2000-10,-0.07,C
2000-11,-9.09,C
2000-12,-26.48,C
2001-01,-18.44,C
2001-02,-23.1,C
2001-03,-14.64,C
2001-04,-6.07,C
2001-05,4.05,C
2001-06,11.17,C
2001-07,16.43,C
2001-08,12.42,C
2001-09,9.3,C
2001-10,-2.01,C
2001-11,-9.97,C
2001-12,-19.98,C
2002-01,-25.52,C
2002-02,-23.62,C
2002-03,-21.65,C
2002-04,-12.25,C
2002-05,-1.55,C
2002-06,11.5,C
2002-07,14.34,C
2002-08,11.08,C
2002-09,6.78,C
2002-10,-3.88,C
2002-11,-10.72,C
2002-12,-13.63,C
2003-01,-25.7,C
2003-02,-29.36,C
2003-03,-19.76,C
2003-04,-4.25,C
2003-05,3.62,C
2003-06,9.94,C
2003-07,, 
2003-08,, 
2003-09,, 
2003-10,1.61,C
2003-11,-10.39,C
2003-12,-17.59,C
2004-01,-29.89,C
2004-02,-20.85,C
2004-03,-19.81,C
2004-04,-10.19,C
2004-05,-4.68,C
2004-06,8.22,C
2004-07,14.05,C
2004-08,9.84,C
2004-09,5.55,C
2004-10,-3.59,C
2004-11,-13.13,C
2004-12,-27.24,C
2005-01,-27.58,C
2005-02,-23.39,C
2005-03,-15.68,C
2005-04,-3.59,C
2005-05,0.22,C
2005-06,9.57,C
2005-07,13.27,C
2005-08,11.98,C
2005-09,5.35,C
2005-10,0.77,C
2005-11,-8.5,C
2005-12,-14.5,C
2006-01,-21.05,C
2006-02,-18.28,C
2006-03,-9.32,C
2006-04,-2.87,C
2006-05,6.52,C
2006-06,14.1,C
2006-07,13.75,C
2006-08,13.1,C
2006-09,8.46,C
2006-10,-0.47,C
2006-11,-14.94,C
2006-12,-13.47,C
2007-01,-21.7,C
2007-02,-25.37,C
2007-03,-19.74,C
2007-04,-4.5,C
2007-05,3.87,C
2007-06,10.3,C
2007-07,16.65,C
2007-08,10.55,C
2007-09,3.63,C
2007-10,0.52,C
2007-11,-12.12,C
2007-12,-23.46,C
2008-01,-25.83,C
2008-02,-27.97,C
2008-03,-22.02,C
2008-04,-8.82,C
2008-05,3.87,C
2008-06,10.96,C
2008-07,15.76,C
2008-08,, 
2008-09,4.73,C
2008-10,1.37,C
2008-11,-8.36,C
2008-12,-26.63,C
2009-01,-25.24,C
2009-02,-24.12,C
2009-03,-20.07,C
2009-04,-6.36,C
2009-05,-1.47,C
2009-06,9.69,C
2009-07,12.51,C
2009-08,12.16,C
2009-09,9.64,C
2009-10,-2.09,C
2009-11,-8.25,C
2009-12,-21.2,C
2010-01,-24.01,C
2010-02,-17.25,C
2010-03,-9.35,C
2010-04,0.37,C
2010-05,2.41,C
2010-06,12.35,C
2010-07,16.15,C
2010-08,13.39,C
2010-09,7.54,C
2010-10,0.49,C
2010-11,-8.75,C
2010-12,-19.59,C
2011-01,-27.57,C
2011-02,-23.54,C
2011-03,-17.48,C
2011-04,-11.06,C
2011-05,5.11,C
2011-06,11.54,C
2011-07,16.43,C
2011-08,12.92,C
2011-09,9.1,C
2011-10,1.02,C
2011-11,-10.79,C
2011-12,-18.06,C
2012-01,-22.72,C
2012-02,-18.11,C
2012-03,-16.03,C
2012-04,-7.67,C
2012-05,6.62,C
2012-06,12.95,C
2012-07,16.28,C
2012-08,14.73,C
2012-09,9.8,C
2012-10,-1.37,C
2012-11,-13.27,C
2012-12,-26.53,C
2013-01,-29.27,C
2013-02,-19.94,C
2013-03,-19.06,C
2013-04,-11.46,C
2013-05,4.15,C
2013-06,13.31,C
2013-07,13.6,C
2013-08,13.2,C
2013-09,9.59,C
2013-10,1.42,C
2013-11,-12.93,C
2013-12,-29.85,C
2014-01,-25.63,C
2014-02,-26.34,C
2014-03,-22.03,C
2014-04,-9.42,C
2014-05,3.02,C
2014-06,12.56,C
2014-07,16.99,C
2014-08,12.66,C
2014-09,5.78,C
2014-10,0.08,C
2014-11,-14.48,C
2014-12,-21.14,C
2015-01,-25.44,C
2015-02,-27.87,C
2015-03,-17.53,C
2015-04,-5.73,C
2015-05,5.38,C
2015-06,12.88,C
2015-07,13.89,C
2015-08,14.06,C
2015-09,7.41,C
2015-10,-2.0,C
2015-11,-8.8,C
2015-12,-18.64,C
2016-01,-21.19,C
2016-02,-25.63,C
2016-03,-17.33,C
2016-04,-9.65,C
2016-05,5.84,C
2016-06,13.11,C
2016-07,16.16,C
2016-08,13.54,C
2016-09,7.07,C
2016-10,-1.79,C
2016-11,-5.6,C
2016-12,-21.58,C
2017-01,-20.02,C
2017-02,-20.13,C
2017-03,-17.31,C
2017-04,-7.4,C
2017-05,6.35,C
2017-06,11.27,C
2017-07,, 
2017-08,, 
2017-09,, 
2017-10,, 
2017-11,, 
2017-12,, 
