Date [YYYY-MM],Temperature [°C],QCFLAG
1998-01,, 
1998-02,, 
1998-03,-22.35,C
1998-04,-8.9,C
1998-05,1.9,C
1998-06,10.12,C
1998-07,15.3,C
1998-08,12.78,C
1998-09,4.83,C
1998-10,-2.85,C
1998-11,-11.75,C
1998-12,-21.98,C
1999-01,-28.44,C
1999-02,-22.02,C
1999-03,-17.13,C
1999-04,-12.17,C
1999-05,-3.33,C
1999-06,8.65,C
1999-07,10.19,C
1999-08,9.82,C
1999-09,3.45,C
1999-10,-7.61,C
1999-11,-16.86,C
1999-12,-25.18,C
2000-01,-27.11,C
2000-02,-23.82,C
2000-03,-21.26,C
2000-04,-15.03,C
2000-05,-3.03,C
2000-06,8.38,C
2000-07,16.23,C
2000-08,9.72,C
2000-09,1.74,C
2000-10,-7.32,C
2000-11,-18.07,C
2000-12,-31.11,C
2001-01,-24.66,C
2001-02,-27.61,C
2001-03,-22.4,C
2001-04,-14.42,C
2001-05,-3.15,C
2001-06,6.6,C
2001-07,14.39,C
2001-08,9.8,C
2001-09,6.62,C
2001-10,-8.27,C
2001-11,-19.5,C
2001-12,-23.4,C
2002-01,-27.94,C
2002-02,-30.17,C
2002-03,-25.47,C
2002-04,-19.18,C
2002-05,-6.66,C
2002-06,8.7,C
2002-07,13.5,C
2002-08,9.37,C
2002-09,3.53,C
2002-10,-8.5,C
2002-11,-16.86,C
2002-12,-19.27,C
2003-01,-27.02,C
2003-02,-31.65,C
2003-03,-25.26,C
2003-04,-12.43,C
2003-05,-3.46,C
2003-06,6.92,C
2003-07,14.95,C
2003-08,11.39,C
2003-09,4.56,C
2003-10,-2.89,C
2003-11,-17.6,C
2003-12,-23.99,C
2004-01,-33.37,C
2004-02,-27.69,C
2004-03,-28.09,C
2004-04,-18.08,C
2004-05,-10.36,C
2004-06,6.51,C
2004-07,13.68,C
2004-08,8.73,C
2004-09,2.38,C
2004-10,-9.06,C
2004-11,-20.55,C
2004-12,-29.81,C
2005-01,-30.35,C
2005-02,-28.7,C
2005-03,-23.14,C
2005-04,-9.91,C
2005-05,-6.43,C
2005-06,6.82,C
2005-07,11.28,C
2005-08,9.78,C
2005-09,1.31,C
2005-10,-5.23,C
2005-11,-15.81,C
2005-12,-19.15,C
2006-01,-25.11,C
2006-02,-22.65,C
2006-03,-16.92,C
2006-04,-11.02,C
2006-05,1.44,C
2006-06,11.8,C
2006-07,, 
2006-08,11.56,C
2006-09,5.14,C
2006-10,-4.98,C
2006-11,-20.92,C
2006-12,-18.86,C
2007-01,-25.07,C
2007-02,-27.85,C
2007-03,-27.1,C
2007-04,-12.15,C
2007-05,-3.53,C
2007-06,7.14,C
2007-07,14.31,C
2007-08,8.19,C
2007-09,0.19,C
2007-10,, 
2007-11,-20.59,C
2007-12,, 
2008-01,-28.5,C
2008-02,-31.65,C
2008-03,-28.49,C
2008-04,-15.73,C
2008-05,-2.04,C
2008-06,7.77,C
2008-07,13.53,C
2008-08,10.87,C
2008-09,1.65,C
2008-10,-4.4,C
2008-11,-17.26,C
2008-12,-28.47,C
